115,2022/04/01,"National Prosecuting Authority of South
Africa (NPA)","Appoint Price Water House
Cooper Inc (PWC) to continue services in
the relation to the Eskom investigation","Price Water House
Cooper Inc (PWC)","2 089 474,91",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/03/05,Not Stated,Not Stated
116,2022/5/23,"National Radioactive Waste Disposal
Institute (NRWDI)","Office Accomodation of NRWDI head
office",Not stated,"0,00",Failed tender process,Within AA/AO mandate Noting,2022/6/7,Not Stated,Not Stated
117,2022/03/30,National Research Foundation (NRF),"Supply and delivery of DC Bipolar Power
Supplies to power Steerer
Magnets for the South African Isotope",Accutronics (Pty) Ltd,"1 607 642,50",Sole Supplier,Noting,2022/03/28,Once Off,Once Off
118,2022/03/30,National Research Foundation (NRF),"Maintenance and Servicing of the 4X
Carrier Chillers for a period of 15 years",AHI-Carrier South Africa (Pty) Ltd,"3 513 454,00",Sole Supplier,Not Supported,2022/03/28,Not Stated,Not Stated
119,2022/03/30,National Research Foundation (NRF),"Supply and delivery of Clio Dispensing
Unit for the dispensing of
18F-FDG patient doses",Comecer S.p.A,"2 727 230,25",Sole Supplier,Not Supported,2022/03/28,Once Off,Once Off
120,2022/03/30,National Research Foundation (NRF),"Supply and delivery of Payton Planar
Transformers for the SA –
CERN at the University of Witwatersrand,",Payton Planar Magnetics Ltd,"4 456 662,00",Sole Supplier,Noting,2022/03/28,Once Off,Once Off
121,2022/03/30,National Research Foundation (NRF),"Procurement of Hycult Biotech LAL
(Limulus Amebocyte Lysate)
Chromogenic Endpoint Assay (Catalogue",Whitehead Scientific (Pty) Ltd,"2 224 862,90",Sole Supplier,Not Supported,2022/03/28,Not Stated,Not Stated
122,2022/04/28,National Research Foundation (NRF),"First Lego League challenge mats and
obstaces as well as registration of teams",Tshwane University of Technology,"14 700,00","SARAO schools programme as well as
Tshwane University of Techology have
been organising the event since 2018.",Within AA/AO mandate Noting,2022/04/20,Once off,Once off
123,2022/04/28,National Research Foundation (NRF),"PCT Patent application NO2111664.5 in
the name of NRF iThemba LABS
University of Cape Town, the South",Spoor and Fishers,"8 516,42","Joint collaboration projects on a
Radiolobeled ADAM10 Patent
Application between University of Cape",Within AA/AO mandate Noting,2022/04/11,Once off,Once off
124,2022/04/28,National Research Foundation (NRF),"Rewire and Replace Motor +Service of
Sieve Shakes",Laboratory Equipment Supplier,"5 577,50","Laboratory Equipment is the sole
supplier of the machine.",Within AA/AO mandate Noting,2022/04/12,Once off,Once off
125,2022/04/28,National Research Foundation (NRF),"Business unit employee will attend Solid
Edge Training Course",Ultimate Partner,"12 880,00","Ultimate Partner is the sole supplier of
the services required",Within AA/AO mandate Noting,2022/04/19,Once off,Once off
126,2022/04/28,National Research Foundation (NRF),"Population of critical low voltage power
supply boards",JEMSTECH (PTY) LTD,"39 148,79","Single Source: It is the only South
African company that has been certified
to deliver as per the very high",Within AA/AO mandate Noting,2022/04/20,Once off,Once off
127,2022/04/28,National Research Foundation (NRF),"Participation of SAASTA exhibition at the
Randshow 2022 (Registration fee for
90m2 exhibition stand)","Dorgan Exhibitions & Events t/a
Randshow","100 000,00",Single Source,Within AA/AO mandate Noting,2022/04/08,2022/04/13,2022/04/18
128,2022/04/28,National Research Foundation (NRF),"Registration fee for a 52m2 floor
exhibition space at Working World
Exhibition 2022 (WWE 2022)",Inkanyezi Event Organisers (Pty) Ltd,"98 747,50","Single Source: Inkanyezi Event
Organisers was the only service provider
that organised the Randshow Event",Within AA/AO mandate Noting,2022/04/08,2022/04/13,2022/04/18
129,2022/05/06,National Research Foundation (NRF),"Breakdown repairs on Morris overhead
crane number 3 above the South African
Isotope Facility (SAIF vault) in preparation",Morris Material Handling,"29 265,20",Emergency Procurement,Within AA/AO mandate Noting,2022/04/28,2022/04/28,2022/04/29
130,2022/05/06,National Research Foundation (NRF),"Supply and Delivery of Timotheo Filling
Kits.
Single Source",Rubicon Healthcare (Pty) Ltd,"212 632,70",Single Source,Within AA/AO mandate Noting,2022/04/28,2022/04/28,2022/07/31
131,2022/05/06,National Research Foundation (NRF),"Procurement of Sterile media and Millex
Filters from Merck Life Science Pty Ltd.",Merck Life Sciences (Pty) Ltd,"21 177,75",Sole Source,Within AA/AO mandate Noting,2022/04/28,2022/04/28,2022/06/30
132,2022/05/06,National Research Foundation (NRF),Psychometric Assessments.,Thomas International,"35 429,20",Single Source,Within AA/AO mandate Noting,2022/04/28,2022/04/28,2022/05/15
133,2022/05/06,National Research Foundation (NRF),"On site assessment of 1 Mettler Toledo
XP6.",Microsep,"2 061,95",Single Source,Within AA/AO mandate Noting,2022/05/03,2022/05/05,2022/06/05
134,2022/05/11,National Research Foundation (NRF),"Calibration of Receiver Laboratory
Equipment",Protea Electronic,"92 977,50","Authorized representatives in South
Africa",Within AA/AO mandate Noting,2022/05/05,Once Off,Once Off
135,2022/05/20,National Research Foundation (NRF),"Repairs of Esco instruments at Nuclear
Medicine Department",Esco Technologies,"5 755,12",Single Source,Within AA/AO mandate Noting,2022/05/17,Once Off,Once Off
136,2022/05/20,National Research Foundation (NRF),"Online science communication course
held by Stellenbosch University",Stellenbosch University,"19 000,00",Sole Source,Within AA/AO mandate Noting,2022/05/17,2022/07/11,2022/10/10
137,2022/05/20,National Research Foundation (NRF),"Supply and delivery of KAPA HiFi HS
Reagents",Roche Diagnostics (Pty) Ltd,"250 000,00",Sole Source,Within AA/AO mandate Noting,2022/05/10,2022/05/10,2025/05/09
138,2022/05/20,National Research Foundation (NRF),"Servicing and maintenance of Isuzu and
Chevrolet vehicles",Kelston Isuzu,"250 000,00",Single Source,Within AA/AO mandate Noting,2022/05/13,2022/05/20,2025/05/20
139,2022/05/20,National Research Foundation (NRF),"Servicing and maintenance of Toyota
vehicles",Settlers City Toyota,"250 000,00",Single Source,Within AA/AO mandate Noting,2022/05/13,2022/05/20,2025/05/20
140,2022/05/20,National Research Foundation (NRF),"Procurement of Sterile media and sterile
liquid media products for usage in
isotopes productions",Merck Life Science,"88 130,49",Single Source,Within AA/AO mandate Noting,2022/05/19,Once Off,Once Off
141,2022/05/20,National Research Foundation (NRF),"The Central Analytical Facility (CAF) has
a microscope equipped with a robotic
stage that enables images generated per",Stellenbosch University,"4 588,55",Single Source,Within AA/AO mandate Noting,2022/05/19,Once Off,Once Off
142,2022/06/01,National Research Foundation (NRF),"Page charges for academic publications
or payment for open access to a particular
scientific article","Magnolia Press, Magnolia Press, Pensoft
Publishers Ltd, AOSIS (Pty) Ltd,
REABIC (Regional Euro-Asian",,Single Source,Within AA/AO mandate Noting,2022/05/19,2022/05/19,2025/05/18
143,2022/06/02,National Research Foundation (NRF),"Mathematica V13Premier Service
renewal",Blue Stallion Technogies,"31 613,50",Single Source,Within AA/AO mandate Noting,2022/05/26,2022/05/30,2022/06/01
144,2022/06/02,National Research Foundation (NRF),"Upgrade of one cleanroom at Nuclear
Medicine Department, iThemba LABS",Esco Technologies,"174 322,52",Single Source,Within AA/AO mandate Noting,2022/05/27,Once Off,Once Off
145,2022/06/02,National Research Foundation (NRF),"Next Generation Sequencing analysis by
Sequentia Biotech SL",Sequentia Biotech SL,"6 689,40",Single Source,Within AA/AO mandate Noting,2022/05/30,Once Off,Once Off
146,2022/06/02,National Research Foundation (NRF),"Procurement of Weidmuller labelling
products from Phambili Interface (Pty) Ltd
for the Weidmuller THM MultiMark",Phambili Interface,"230 841,74",Single Source,Within AA/AO mandate Noting,2022/05/31,Once off,Once Off
,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
147,2022/06/02,National Research Foundation (NRF),Repairs of electric motors,J Schipper & Sons,"48 629,21",Single Source,Within AA/AO mandate Noting,2022/05/31,Once off,Once off
148,2022/06/02,National Research Foundation (NRF),Customs clearance (Duties & VAT),DHL Express,"6 349,70",Single Source,Within AA/AO mandate Noting,2022/05/31,Once off,Once off
149,2022/06/02,National Research Foundation (NRF),Supply of LAL grade 96 well plates,Whitehead Scientific,"10 480,04",Single source,Within AA/AO mandate Noting,2022/05/30,Once off,Once off
150,2022/06/02,National Research Foundation (NRF),Servicing of the Leica MS50 units,Leica Geosystems,"25 323,00",Sole Source,Within AA/AO mandate Noting,2022/05/26,Once off,Once off
151,2022/06/02,National Research Foundation (NRF),"SolidWorks RESEARCH Premium -
Serial No.: 9000 0098 5995 5117",Mecad Systems,"41 572,50",Single Source,Within AA/AO mandate Noting,2022/05/24,2022/01/06,2025/05/30
152,2022/06/02,National Research Foundation (NRF),"Supply and delivery of Portable pressure
equipment’s","Paroscientific, Inc",US $ 11 550,Sole Source,Within AA/AO mandate Noting,2022/06/01,Once off,Once off
153,2022/06/02,National Research Foundation (NRF),Wood for shortened Jackscrew Crates,"Karoo vleisboere landbou kooperatief
beperk","5 639,76",Single Source,Within AA/AO mandate Noting,2022/05/30,Once off,Once off
154,2022/06/15,National Research Foundation (NRF),"Kruger National Park game guard
services to the Ndlovu node research
sites",SANPARKS,"9 511,15",Single Source,Within AA/AO mandate Noting,2022/06/13,Once off,Once off
155,2022/06/15,National Research Foundation (NRF),"Calibarion of Anritsu Vector Network
Analyser used for acquirate TRF
measurements",Intercal (PTY) ltd,"8 970,00",Sole Source,Within AA/AO mandate Noting,2022/06/07,Once off,Once off
156,2022/06/15,National Research Foundation (NRF),Job evaluations,Deloitte,"44 580,00",Single Source,Within AA/AO mandate Noting,2022/06/07,Once off,Once off
157,2022/06/15,National Research Foundation (NRF),Portable Preasure equipments,Paroscientific Inc,"180 000,00",Sole Source,Within AA/AO mandate Noting,2022/06/06,Once off,Once off
158,2022/06/15,National Research Foundation (NRF),Supply and Installation of 4x Cameras,Fifelity ADT Security,"16 111,50",Single Source,Within AA/AO mandate Noting,2022/06/14,Once off,Once off
159,2022/06/15,National Research Foundation (NRF),Internet Services for iThemba LABS,TENET,"98 414,72",Single Source,Within AA/AO mandate Noting,2022/06/14,2022/06/14,2022/06/30
160,2022/05/31,"National Student Financial Aid Scheme
(NSFAS)",Caseware licences,Adapt IT,"88 315,25",Sole Service Provider,Noting,,2022/06/01,2023/05/32
161,2022/05/26,"Pan South African Language Board
(PanSALB)","Placing of Notice on Government Gazette
_ Appointment of MP Provincial
Language",Government Printers,"1 008,80","Service only provided by Government
Printing as a sole provider",Within AA/AO mandate Noting,2022/05/18,2022/05/19,2022/05/19
162,2022/05/26,"Pan South African Language Board
(PanSALB)","Tlex (TshwaneLex) Dictionary Editing
Software Licenses, Technical support,
NLU training and Cloud Server","TshwaneDje Human Language
Technology CC","973 341,60",Service are available from a sole provider,Within AA/AO mandate Noting,2022/05/23,2022/06/01,2024/05/31
163,2022/05/24,"Petroleum, Oil and Gas Corporation of
South Africa (PetroSA)","Microsoft EA PetroSA, CEF, SFF 2022-
2025",Microsoft Ireland Operation,"12 342 478,72",Sole source,Noting,2022/5/19,Not Stated,Not Stated
164,2022/03/28,Postbank,"Mobile Money e-wallet by Libertas GH
supported with globally unique technology","Beline Trading Pty Ltd t/a SommaRedde
South Africa","0,00",Sole Supplier,Not Supported,2022/03/28,Not Stated,Not Stated
165,2022/03/24,Public Investment Corporation,"Executive Search Agencies that recruited
C-Suite positions post the Mpati
Commission of Inquiry",Various Suppliers,"0,00",Single Source,Conditional Support,2022/03/24,Not Stated,Not Stated
166,2022/05/18,Public Protector South Africa,Head office additional parking bays,Redefine Properties,"52 325,00",Preferred bidder,Within AA/AO mandate Noting,2022/04/15,Not Stated,Not Stated
167,2022/05/18,Public Protector South Africa,Durban Office additional parking bays,Umbulumko Properties,"43 448,96",Preferred bidder,Within AA/AO mandate Noting,2022/04/15,Not Stated,Not Stated
168,2022/05/18,Public Protector South Africa,"Relocation of photocopy machine from
Klerksdrop to Head Office",Konica Minolta SA,"4 533,63",Preferred bidder,Within AA/AO mandate Noting,2022/04/15,Not Stated,Not Stated
169,2022/05/12,Public Service Commission (PSC),Provision of caseware software,Adapt IT,"82 719,50",Single soruce,Noting,2022/05/12,2022/05/09,2023/04/30
170,2022/03/31,Railway Safety Regulator (RSR),"Request approval and procure services of
a Safety Risk Model (SRM)",TÜV RHEINLAND,"17 000 000,00",Single source,Not Supported,2022/03/25,2022/06/01,2026/05/31
171,2022/03/24,Road Accident Fund (RAF),Panel of Medical Experts,Not Stated,"0,00",Non responsive of tenders,Conditional Support,2022/03/25,Not Stated,Not Stated
172,2022/03/16,"Road Traffic Management Corporation
(RTMC)","Delivery of online renewed driver license
cards",South African Post Office,"145 232 616,00",Sole supplier,Within AA/AO mandate Noting,2022/03/16,2022/04/01,2025/03/31
173,2022/03/22,"Small Enterprise Development Agency
(SEDA)",Kenya Food Event,Angus Montgomery Ltd,"1 383 810,44",Sole Supplier,Not Supported,2022/03/19,2022/03/23,2022/03/25
174,2022/06/09,"Small Enterprise Development Agency
(SEDA)","Participating in the Mingle Boxes Pop-up
Market 27-29 May 2022","Mingle Boxes t/a The Box Shop Vilakazi
Street","93 725,00",Sole Service provider,Within AA/AO mandate Noting,2022/04/26,2022/05/27,2022/05/29
175,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Mining Indaba in Emalahleni,IMD Conferences and Exhibitions,"157 550,00",Sole provider of the event.,Within AA/AO mandate Noting,2022/05/22,2022/05/04,2022/05/04
176,2022/06/09,"Small Enterprise Development Agency
(SEDA)","Procurement of exhibition space at the
Bloem Show",Central Agricultural Society,"133 505,00","In any other exceptional case where it is
impractical or impossible to follow the
official procurement processes.",Within AA/AO mandate Noting,2022/04/19,2022/04/20,2022/05/31
177,2022/06/09,"Small Enterprise Development Agency
(SEDA)","Online Training: Auditing Governance,
Strategy, Ethics and Risk Management",Leadership academy for Guardians,"5 166,95",Sole provider of the training.,Within AA/AO mandate Noting,2022/04/22,2022/04/25,2022/04/26
178,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Rand Show Exhibition,Dogan Exhibitions and Events,"2 211 215,42",Sole organiser of the event.,Within AA/AO mandate Noting,2022/04/07,2022/04/13,2022/04/18
179,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Renewal of membership with IOD,The Institute of Directors in South Africa,"35 140,00",Sole provider of services.,Within AA/AO mandate Noting,2022/03/30,2022/04/01,2022/03/31
180,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Board Members Induction,Atlantis Corporate Travel,"98 205,00","Other venues that were sourced to
accommodate 30 people while adhering
to Covid Protocol were fully booked.",Within AA/AO mandate Noting,2022/05/16,2022/05/18,2022/05/18
181,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Wan and Internet Services,Vodacom SA,"491 337,42","Exceptional situation where the contract
has expired and Seda invited bids twice
and were both cancelled.",Within AA/AO mandate Noting,2022/03/30,2022/04/01,2022/04/30
182,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Board Training,University of Stellenbosch,"303 692,00","Customised training for Seda
Programmme in Development Finance.",Within AA/AO mandate Noting,2022/04/07,2022/04/28,2022/04/28
183,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Wan and Internet Services,Vodacom SA,"1 474 012, 28","Interim measure in order to finalise
participation in the SASSA WAN
contract",Within AA/AO mandate Noting,2022/04/28,2022/05/01,2022/07/31
,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
184,2022/06/09,"Small Enterprise Development Agency
(SEDA)",CFE Prop Course,"Anti Fraud Risk Investigation and
Compliance","59 800,00","Sole provider endorsed and accredited to
provide training by the ACFE.",Within AA/AO mandate Noting,2022/04/22,2022/05/09,2022/05/20
185,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Exhibition,Conker Investments CC,"83 110,50","Only SP authorised by the
Umgungundlovu Municipality to organise
the stands for this event",Within AA/AO mandate Noting,2022/05/11,2022/05/27,2022/06/05
186,2022/06/09,"Small Enterprise Development Agency
(SEDA)",Black Business Council Summit 2022,Black Business Council,"34 500,00","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/19,2022/05/19,2022/05/20
187,2022/06/09,"Small Enterprise Development Agency
(SEDA)",INDABA TRADE EXHIBITION,SYNERGY BUSINESS EVENT,"39 560,00","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/03,2022/05/03,2022/05/05
188,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"20 889,75","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
189,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"15 628,50","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
190,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"20 889,85","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
191,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"15 628,50","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
192,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"15 628,50","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
193,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"42 900,75","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
194,2022/06/09,"Small Enterprise Development Agency
(SEDA)",LIVE EVENTS (PTY) LTD,LIVE EVENTS (PTY) LTD,"323 920,50","The service provider is the sole organiser
of the event.",Within AA/AO mandate Noting,2022/05/13,2022/05/27,2022/05/20
195,2022/05/10,"South African Broadcasting Corporation
SOC Limited (SABC)","Repairment of the Audio Console that is
used daily for on-air productions",Yamaha,"1 714 221,58",Sole Provider,Within AA/AO mandate Noting,P.O issued,Once off,Once off
196,2022/05/10,"South African Broadcasting Corporation
SOC Limited (SABC)",IT Disaster Recovery,Kyndryl (Pty) Limited,"1 111 519,90",Continuity of services,Within AA/AO mandate Noting,2022/04/29,2022/05/01,2022/11/30
197,2022/06/08,"South African National Accreditation
System (SANAS)",Annual membership,Peasa,"700,00",Sole source,Within AA/AO mandate Noting,2022/05/17,Not Stated,Not Stated
198,2022/06/08,"South African National Accreditation
System (SANAS)",Air cons maintenance,Khanya Air Cons and Porjects,"8 119,00",Emergency,Within AA/AO mandate Noting,2022/05/31,Not Stated,Not Stated
199,2022/06/08,"South African National Accreditation
System (SANAS)",Standards,SABS,"8 376,00",Sole source,Within AA/AO mandate Noting,2022/06/01,Not Stated,Not Stated
200,2022/06/02,"South African National Biodiversity
Institute (SANBI)",Water burst,Boss Paving,"27 848,40",Emergency Procurement,Within AA/AO mandate Noting,2022/05/18,Not Stated,Not Stated
201,2022/06/02,"South African National Biodiversity
Institute (SANBI)",Repair of the boundary fence,Sen-Sma Betomure,27 577.00,Emergency Procurement,Within AA/AO mandate Noting,2022/05/18,Not Stated,Not Stated
202,2022/05/09,"South African National Biodiversity
Institute (SANBI)",Geocortex Software licence,Esri,"144 033,00",Sole Source,Within AA/AO mandate Noting,2022/04/06,Not Stated,Not Stated
203,2022/05/09,"South African National Biodiversity
Institute (SANBI)",Electrical repairs,GKM Engineering Services,"93 943,50",Emergency procurement,Within AA/AO mandate Noting,2022/04/22,Not Stated,Not Stated
204,2022/03/25,"South African National Energy
Development Institute (SANEDI)","Appointment of the catalyst verification
solution through a deviation for the jobs
fund application",Catalyst Solutions,"0,00",Continuation of service,Not Supported,2022/03/24,Not Stated,Not Stated
205,2022/03/17,"South African National Space Agency
(SANSA)","Design and development of an exhibition
stand at the IAC 2022",K.I.T Group,"2 771 797,64",Single Source,Supported,2022/03/17,2022/09/18,2022/09/22
206,2022/03/31,"South African National Space Agency
(SANSA)",Implementation of Digital Earth Africa,Various Service Providers,"111 409 000,00",Single Source,Not Supported,2022/02/01,Not Stated,Not Stated
207,2022/06/07,"South African National Space Agency
(SANSA)",Marhametica Licenses,Blue Stallion,"11 902,50","Sole Supplier and reseller of
Mathametica license in SA.",Within AA/AO mandate Noting,2022/04/29,Not Stated,Not Stated
208,2022/06/07,"South African National Space Agency
(SANSA)",Parys Airshow,Creative Space Media,"57 500,00","Sole Provider and orginaiser of this
event.",Within AA/AO mandate Noting,2022/05/09,Not Stated,Not Stated
209,2022/06/07,"South African National Space Agency
(SANSA)","International Flight Inspection
Symposium",South African Civil Aviation Authority,"14 538,32",Sole Supplier and host of this event,Within AA/AO mandate Noting,2022/05/12,Not Stated,Not Stated
210,2022/03/22,South African Police Service (SAPS),Vehicle Fleet,Various Service Providers,"19 575 240,54",Unavailable vehicles on RT contract,Not Supported,2022/03/24,Not Stated,Not Stated
211,2022/04/28,South African Police Service (SAPS),"Accommodation of 153 detached
traiiners and support staff",Not stated,"11 291 400,00",One quote attached,Noting,2022/4/28,Not stated,Not stated
212,2022/03/15,South African Revenue Service,"Procurement of suitable Detector dogs
for SARS Customs Detector Dog Unit
(DDU)",Paramount K9 solutions,"161 000,00",Single source,Conditional Support,2022/03/15,Not Stated,Not Stated
213,2022/04/05,South African Revenue Service,"The renewal of the existing ACL software
maintenance and support services
provision of seven (7) additional ACL",Surtech Solution,"0,00",Sole Supplier,Noting,2022/04/05,2021/01/01,2022/12/31
214,2022/03/31,"South African Social Security Agency
(SASSA)","Lease agreement for the
Mpumalanga regional office for 24 months",Steak Street Investments (Pty) Ltd,"0,00",Preferred Supplier / Single Source,Conditional Support,2022/03/31,Not Stated,Not Stated
215,2022/03/31,"South African Social Security Agency
(SASSA)","Lease agreement for the Gauteng
regional
office for a period of 24 months",Rebosis Property Limited,"22 960 832,84",Preferred Supplier / Single Source,Conditional Support,2022/03/31,Not Stated,Not Stated
216,2022/04/28,"South African Social Security Agency
(SASSA)","Appointment of Capitec Bank Limited by
deviating from the National Treasury
Instruction No 4A of 2016/2017 Central",Capitec Bank Limited,"0,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/04/13,Not Stated,Not Stated
217,2022/05/11,South African Tourism,"Exhibition participation fee at the Arabian
Travel Market 2022 (Floor Space)",Reed Exhibition,"USD 258 678,00",Sole Source,Within AA/AO mandate Noting,2022/04/26,2022/05/09,2022/05/18
218,2022/05/11,South African Tourism,"Exhibition Stand build at the Arabian
Travel Market 2022",Reed Exhibition,"USD 65 625,00",Sole Source,Within AA/AO mandate Noting,2022/04/26,2022/05/09,2022/05/18
219,2022/05/11,South African Tourism,"Exhibition Participation fee at the IMEX
Frankfurt 2022 (Floor space and stand
build)",Regent Exhibitions Ltd,EUR 435 285,Sole Source,Within AA/AO mandate Noting,2022/05/09,2022/05/31,2022/06/02
220,2022/05/11,South African Tourism,"Flights for the ohosted buyers to Africa
Travel Indaba 2022",South African Airways,"USD 34 103,00",Sole Source,Within AA/AO mandate Noting,2022/04/25,2022/04/30,2022/05/11
,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 1 ( 16 March 2022 - 15 June 2022) REPORT DEVIATIONS,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Not supported/Supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
221,2022/03/18,South African Weather Service,Software development,NetSys International PTY (LTD),"3 628 960,00",Sole Supplier,Conditional Support,2022/03/18,2022/04/01,2025/03/31
222,2022/03/18,South African Weather Service,"Provide support services, licensing and
updates for the Discover Weather and
Moving Weather software",IBL Software Engineering,"1 210 387,00",Single Source,Conditional Support,2022/03/18,2022/04/01,2025/03/31
223,2022/03/30,South African Weather Service,"Procurement of three biometeorological
stations",Campbell Scientific Africa,"1 343 042,02",Single Source,Conditional Support,2022/03/30,Not Stated,Not Stated
224,2022/06/10,South African Weather Service,"CRAY HPC HW and SW warranties
renewal for 12 months",Eclipse Holdings,"3 284 413,80",Single Source,Within AA/AO mandate Noting,2022/06/02,2022/06/09,2023/06/08
225,2022/04/06,Special Investigating Unit (SIU),"Extension of a contract for the
procurement of additional electronic
security system for the residence of the",Macado Security,"0,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/04/06,Not Stated,Not Stated
226,2022/05/19,Special Investigating Unit (SIU),"Project Management Service for 12
months",TFS Africa (Pty) Ltd,"2 486 400,00",Preferred bidder,Within AA/AO mandate Noting,2022/05/18,Not Stated,Not Stated
227,2022/03/23,State Information Technology Agency,"Provision of alternative core links to
connect switching centres",Liquid Intelligent Technologies (LIT),"14 748 592,50",Single Source,Conditional Support,2022/03/23,Not Stated,Not Stated
228,2022/03/23,State Information Technology Agency,"SITA Limpopo-Polokwane office
accommodation and switching centre",East and West Investments (Pty) Ltd,"12 097 138,79",Single Source,Supported,2022/03/23,Not Stated,Not Stated
229,2022/03/30,Statistics South Africa,"One (01) additional technical expert to
the panel of experts as approved by NT
on 12 February 2022",Various Suppliers,"733 900,00",Single Source,Supported,2022/03/30,2022/06/03,2022/11/30
230,2022/03/17,"The South African National Roads
Agency SOC Ltd (SANRAL)","Rehabilitation of the sinkhole on National
Road R21 Section 2 Northbound (Km
3.2)","Jones & Wagener Engineering &
Environmental Consultants (Pty) Ltd","23 670 990,50",Emergency,Noting,2022/03/17,Not Stated,Not Stated
231,2022/03/17,"The South African National Roads
Agency SOC Ltd (SANRAL)","Assessment of Regional Dolomite
Stability Conditions along Various Road
Reserves",Council for Geoscience,"16 605 000,00",Emergency,Noting,2022/03/17,Not Stated,Not Stated
232,2022/04/14,Transnet SOC Ltd,AD-HOC Startegic Advisory Services,Letsema Consulting,"2 762 000,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/04/14,Not Stated,Not Stated
233,2022/04/04,Transnet SOC Ltd,"Sale of 6,649 Transnet Freight Rail
CR13/14 Wagons to Existing Iron Ore
Export Customers",Iron Ore Export Customers,"0,00",Preferred Supplier / Single Source,Within AA/AO mandate Noting,2022/04/04,Not Stated,Not Stated
234,2022/03/30,Unemployment Insurance Fund,"Licensing, Maintenance and Support of
the Financial System",Gen2 Enterprise Software SA (Pty) Ltd,"16 947 655,51",Single Source,Conditional Support,2022/03/29,Not Stated,Not Stated
235,2022/05/17,"Wholesale and Retail Sector Education
and Training Authority
(W&RSETA)SETA",Forensic Investigation,"Ubuntu Business Advisory and
Consultancy","40 000,00",Continuation of service,Noting,2022/05/17,2022/05/09,2022/05/09
,,,,,,,,,,
