3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
91,Q2 2024/25,2024/06/25,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Ngome Plantation for aperiod of one (1) Month.",Fezela Protection Services (Pty)Ltd,Business Continuity,"R154 163,19",R462 489. 57,"R0,00",2024/06/14,2024/06/16,2024/06/16,Reported,
92,Q2 2024/25,2024/06/25,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Brookland for aperiod of one (1) Month.",EBL Tactical Security Services,Business Continuity,"R84 448,33","R253 344,99","R0,00",2024/06/07,2024/06/08,2024/07/08,Reported,
93,Q2 2024/25,2024/06/25,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Roburnia",EBL Tactical Security Services,Business Continuity,"R171 948,00","R338 146,00","R0,00",2024/06/13,2024/06/15,2024/07/15,Reported,
94,Q2 2024/25,2024/07/18,South African Local Government Association (SALGA),Tenant Installation Allowance variaition for the new KZN office,Regal Property Trust,Basic fit out structure not met,"R1 810 739,11","R17 073 552,07","R0,00",2024/07/15,Once off,Once off,Reported,
95,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"To purchase additional PLEXOS Licences and Migration of
PLEXOS Licences to Cloud Services",Energy Exemplar Europe (LTD),Expansion,"R26 065 893,91","R9 994 450,05","R5 490 041,61",2024/04/19,2022/05/25,2027/05/24,Reported,
96,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The supply of generator and generator auxiliaries spares for the
generators at Arnot Power Station for a period of 36 months",Toshiba International (Europe) Ltd,Expansion,"R7 270 517,34","R39 491 707,65","R0,00",2024/05/30,2021/10/01,2024/09/30,Reported,
97,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification of PMDC (Portable Modular Data Centre)
Monitoring &",Immersive Group Pty Ltd,Expansion,"R16 500 000,00","R8 003 415,00","R0,00",2024/04/02,2021/09/23,2024/09/22,Reported,
98,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Temporary Coal Stockpile Yard (TCSY) Rehabilitation at
Medupi PS",CIVENG Construction (Pty) Ltd,Expansion,"R1 946 431,52","R6 080 385,16","R960 314,60",2024/04/08,2023/06/12,2024/02/28,Reported,
99,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision Of Catering Services at Kusile Power Station Project
and Kendal Village Accommodation",Visit Vakasha Guest Lodge SA,Expansion,"R15 696 407,49","R65 882 494,08","R0,00",2024/04/11,2023/04/01,2024/07/31,Reported,
100,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Unit 5 Earth Box Switch Box Refurbishment for the High
Frequency Power Supply at Kendal Power Station.",Techno Environmental Filters (Pty) Ltd,Variation,"R2 032 747,68","R1 416 946,40","R1 416 946,40",2024/04/19,2023/11/03,2024/05/31,Reported,
101,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Unit 5 Earth Box Switch Box Refurbishment for the High
Frequency Power Supply at Kendal Power Station",Techno Environmental Filters (Pty) Ltd,Expansion,"R2 032 747,68","R1 416 946,40","R0,00",2024/04/19,2023/11/03,2024/05/31,Reported,
102,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Service and Calibration of M5400 Doble Machine,Doble Engineering,Expansion,"R31 021,00","R144 714,00","R0,00",2024/02/27,2024/02/27,2024/05/22,Reported,
103,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of Fire Detection System Maintenance at Camden
Power Station",MZ Security Systems CC,Expansion,"R735 012,86","R1 040 745,22","R0,00",2024/04/08,2023/04/24,2024/09/24,Reported,
104,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision to repair Sulzer pumps spares at Matla Power
Station",Sulzer Pumps SA (Pty) Ltd,Expansion,"R23 780 913,89","R75 811 490,10","R0,00",2024/04/11,2021/09/23,2026/09/22,Reported,
105,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification for the provision of contractual monitoring and
sampling of contract coal and limestone.",Lemoliwe Trading and Projects (Pty) Ltd,Expansion,"R14 611 466,00","R81 451 922,50","R0,00",2024/04/05,2020/01/01,2024/05/31,Reported,
106,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification for the provision of electrical maintenance,Lomakhosi Trading Projects,Expansion,"R3 561 575,00","R11 268 496,75","R0,00",2024/04/11,2021/04/17,2025/03/31,Reported,
107,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision on MMD Workshop & Refurbishments of components
for Medupi Power Station.",Ratamang Engineering and Supply (Pty) Ltd,Expansion,"R15 194 699,17","R55 336 556,19","R0,00",2024/04/10,2020/10/19,2024/10/31,Reported,
108,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Fuel Oil Flow Meter Replacement Project,"CT Control Systems (Pty) Ltd t/a Amaziah
Industrial Services",Expansion,"R377 103,00","R8 411 084,65","R913 922,29",2024/04/15,2022/07/01,2024/06/30,Reported,
109,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The maintenance of the CCTV security surveillance system,
Access Control System, FSD System, EVAC System and Public
Addressing System and the provision of spares on an “as- and-
when” required basis at Arnot Power Station.",C3 Shared Services (Pty) Ltd,Expansion,"R996 695,63","R15 632 281,14","R3 500 176,56",2024/04/17,2020/02/24,2024/07/23,Reported,
110,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of bus transportation services of Eskom Kriel
Power Station employees on a daily basis to and from Kriel
Power Station for the Witbank area.",Nkodosi Trading Enterprise,Expansion,"R5 950 638,40","R26 365 188,00","R7 155 824,40",2024/04/22,2019/02/01,2024/12/31,Reported,
111,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The maintenance of Arnot Power Station coal stockyard
conveyor plant",Maduka Resources cc,Expansion,"R5 190 095,87","R17 935 148,18","R20 291 521,15",2024/04/25,2022/02/01,2024/07/31,Reported,
112,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Maintenance of valves, pumps, rigging activities and any other
scope of work related to maintenance activities for plant at Arnot
Power Station for a period of five (5) years",Orea Holdings (Pty) Ltd,Expansion,"R17 145 415,20","R122 026 691,36","R0,00",2023/12/19,2024/01/18,2029/01/18,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
113,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Ingula 2 Draft Tube Gate full gate assembly inspections, all
repairs and modifications including commissioning to restore the
full operational
functionality of the gate.",H AND H Specialized Services,Expansion,"R3 000 000,00","R556 572,00","R2 097 108,00",2023/12/22,2023/12/22,2024/11/30,Reported,
114,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of data book management and review services at
Kusile Power Station",DBG Consulting (Pty) Ltd,Expansion,"R3 061 500,00","R19 369 600,00","R7 059 000,00",2024/03/28,2021/08/15,2024/07/31,Reported,
115,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Design and Construction Monitoring Services for
the Dry Ash
Disposal Facility 2- 4 Year De-scoped Works and Excess Coal
Stockyard Facility Phase 3 Works","Jones & Wagener Engineering & Environmental
Consultants (Pty) Ltd (Reg No. 1993/002655/07)",Expansion,"R9 090 887,87","R12 959 369,80","R10 752 311,08",2024/04/30,2021/01/18,2025/03/30,Reported,
116,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification No. 2 to contract 4600070281 for the provision of
Physical Guarding Services at Kusile Power Station Project for
value and time",Venus Security International (Pty) Ltd,Expansion,"R35 240 372,64","R108 118 248,32","R11 995 879,73",2024/04/25,2021/09/09,2024/06/30,Reported,
117,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision Of Catering Services at Kusile Power Station Project
and Kendal Village Accommodation",Visit Vakasha Guest Lodge SA,Expansion,"R15 696 407,49","R69 176 618,78","R0,00",2024/04/04,2023/04/01,2024/07/31,Reported,
118,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Combustion Waste Terrace Construction - Phase 2 (P23B) for
the
Kusile Power Station Project",Grinaker LTA & ENZA Construction Joint Venture,Expansion,"R223 400 711,07","R818 415 940,76","R0,00",2024/04/19,2022/08/02,2025/11/27,Reported,
119,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification for the provision of the RT46- 2020
National Treasury (NT) Transversal Contract for the Vehicle
Tracking and Monitoring Systems to the State for a period of
fifty (50) months",EKS Vehicle Tracking (Pty) Ltd,Expansion,"R6 762 679,00","R9 737 708,00","R0,00",2023/08/30,2022/02/05,2026/03/31,Reported,
120,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of the Board Portal Solution,Ability Holdings 35 CC T/A Convene SA.,Expansion,"R1 940 000,00",R4 360 600-00,"R0,00",2023/08/31,2022/05/13,2027/05/13,Reported,
121,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of legal panel,56 Suppliers (List attached),Expansion,"R889 500 000,00","R922 998 623,00","R0,00",2024/03/13,2019/04/01,2024/09/30,Reported,
122,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Time and Value Modification of contract No. 4600067541 with
SAP South Africa (Pty) Ltd 1991/020470/07 for the provision of
maintenance and support of existing SAP licenses, SAP cloud
subscription services (noncommittal), SAP M4600067541",SAP South Africa (Pty) Ltd,Expansion,"R93 583 747,22","R651 568 927,00","R0,00",2023/08/20,2020/04/01,2024/03/31,Reported,
123,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Ad-hoc and Basic software support for monitoring
on-line electrical distribution networks for 5 Operating Units and
Eskom Academy
of Learning Servers.",Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R6 830 883,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported,
124,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification of existing contract 4600065860 for provision of
Outage Management System",GE Electrical,Expansion,"R21 219 698,49","R120 370 342,34","R0,00",2026/05/31,2019/06/01,2024/05/31,Reported,
125,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Subscription license, support, and maintenance for BEST
SOLUTION for a period of four (4) years",Bayajula Services Pty Ltd,Expansion,"R621 542,23",R1 739 359.00,"R0,00",2024/04/25,2021/05/21,2024/04/30,Reported,
126,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification for Provision of Email Distribution of customer
documents solution to Eskom customers - Electronic Documents
Distribution Services (EDDS) solution",Bidvest Data Pty Ltd,Expansion,"R1 800 000,00","R2 019 960,00","R0,00",2023/07/13,2020/12/01,2023/11/30,Reported,
127,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Ad-hoc and Basic software support for monitoring
on-line electrical distribution networks for 5 Operating Units and
Eskom Academy
of Learning Servers.",Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R6 830 883,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported,
128,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of the SAS contract,Dake Solutions Pty Ltd,Expansion,"R17 995 626,00","R171 775 458,00","R0,00",2024/05/13,2021/05/01,2027/03/31,Reported,
129,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of SAP Professional Services,Klarib Business Solutions (Pty) Ltd,Expansion,"R860 754,00","R2 066 688,00","R0,00",2023/09/30,2022/07/01,2023/09/30,Reported,
130,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Non-destructive testing (NDT) Level III services on an as and
when required basis at Koeberg Operating Unit","SISA Inspection (Pty) Ltd (previously known as
Stanley Inspection South Africa (Pty) Ltd)",Expansion,"R3 043 304,86","R8 963 868,00","R6 225 203,98",2024/04/30,2019/09/20,2025/07/19,Reported,
131,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision for Home-work Home Transportation of shift
employees on a daily basis at Matimba Power Station.",Naremotho Trading Enterprise (Pty) Ltd,Variation,"R76 734,00","R15 314 961,00","R10 072 508,48",2024/05/03,2018/09/01,2024/05/31,Reported,
132,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of home-work-home transportation of shift
employees daily at Matimba Power Station",Naremotho Trading Enterprise (Pty) Ltd,Expansion,"R1 315 101,00","R15 314 961,00","R10 149 242,48",2024/05/31,2018/09/01,2024/08/31,Reported,
133,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision for maintenance, testing, inspection, and repair of all
cranes and lifting equipment and supply of spares on an as and
when required basis at Matimba Power Station",Margisia Lifting Solutions (Pty) Ltd,Expansion,"R1 709 497,54","R19 190 241,55","R2 900 758,83",2024/05/10,2019/06/01,2024/05/31,Reported,
134,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of Technical Training Support Services at
Koeberg Operating Unit",Prosmart Training Solutions (Pty) Ltd,Expansion,"R4 948 192,00","R14 573 475,20","R0,00",2024/05/09,2019/08/05,2026/02/03,Reported,
135,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Refurbishment of Oil Burners and supply of spares as and when
required for a period of 5 years at Kriel Power Station",Safurnco (SA) (Pty) Ltd,Expansion,"R15 519 155,20","R11 645 155,20","R0,00",2024/05/06,2020/02/05,2025/02/04,Reported,
136,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Refurbishment of Water Treatment Plant Demin Trains for a
period of 2 years at Matla Power Station",AquaPlan,Expansion,"R2 961 631,80","R9 896 354,00","R1 421 650,00",2024/05/02,2017/08/01,2024/11/30,Reported,
137,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Full refurbishment of Drehmo Actuators and overall of gear
boxes for Arnot Power Station or plant for a period of three
years",Ageleze Automation,Expansion,"R6 501 268,08","R6 501 268,08","R0,00",2024/04/17,2021/06/03,2024/06/06,Reported,
138,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Work home-work transport for employees,Makalane Plant Maintenance,Expansion,"R748 870,92","R14 976 783,36","R2 246 612,76",2024/05/27,2018/09/01,2024/08/31,Reported,
139,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Service & Repairs of Air Conditioners, Fans and Air Filtration
Systems at Peaking Plants and offices for 5 Years
(Drakensberg, Gariep, Ingula, Palmiet, Port Rex, Sere Windfarm
and Vanderkloof)",KRM Global Works (Pty) Ltd,Expansion,"R5 955 273,00","R5 877 017,50","R10 878 320,00",2024/05/17,2023/07/01,2028/06/30,Reported,
140,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Remedial works to Machine Hall Roof,Toprope SA,Expansion,"R471 553,20","R505 313,75","R0,00",2024/05/27,2023/12/01,2024/05/31,Reported,
141,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of office cleaning, hygiene, and car wash services at
Matimba Power Station","Koketso Anna Ngoako Trading & Projects (Pty)
Ltd",Expansion,"R1 877 547,94","R19 056 095,00","R1 993 112,72",2024/05/01,2022/04/01,2024/08/31,Reported,
142,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Supply and delivery of dust handling plant mechanical spares to
Kriel Power Station for a period of 5 years",Madiva Trading Enterprise,Expansion,"R49 037 059,50","R47 383 185,00","R0,00",2024/05/20,2020/02/01,2025/01/31,Reported,
143,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Veld Fire Services,Sesizwile Transport & General Services (Pty) Ltd,Expansion,"R406 900,00","R2 116 000,00","R0,00",2024/05/22,2019/07/01,2025/06/30,Reported,
144,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of boiler washing, unblocking and vacuuming for
a period of 36 months at Camden Power Station",Dfrey Engineering Project (Pty) Ltd,Expansion,"R9 153 509,80","R42 311 592,40","R0,00",2024/04/25,2021/01/29,2024/10/29,Reported,
145,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of C&I Cable Pulling, Maintenance and Outage
Service",MJMP83 (Pty) Ltd,Variation,"R406 900,00","R2 116 000,00","R0,00",2024/05/06,2019/05/29,2026/09/03,Reported,
146,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of private security services at Matimba Power Station,Mjayeli Security Services (Pty) Ltd,Expansion,"R2 844 926,67","R18 508 244,66","R518 000,00",2024/05/30,2022/12/15,2024/05/30,Reported,
147,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The maintenance and technical support of the mills and mill
auxiliaries from Units 1 to 6 at Duvha Power Station",Enflotech (Pty) Ltd,Expansion,"R868 229,75","R183 990 860,92","R98 880 390,00",2024/05/23,2017/08/01,2024/06/30,Reported,
148,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Refurbishment of the Workshop and Stores Roof Cladding
Project",SAWA Construction,Expansion,"R2 786 784,80","R11 896 677,00","R0,00",2024/05/15,2023/08/15,2024/11/14,Reported,
149,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Boiler Maintenance services for Auxiliary boiler,
Flue Gas cleaning, Fuel Oil Plant & Oil Burners, Submerged
Scraper Conveyor, Boiler Pressure Parts & Steam Piping and
Milling & PF Piping Maintenance Services at Kusile Power",Mitsubishi Power Africa (Pty) Ltd,Expansion,"R37 800 000,00","R228 589 171,00","R0,00",2024/05/02,2021/12/02,2024/10/31,Reported,
150,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Coal Plant Maintenance,Ratamang Engineering and Supplies (Pty) Ltd,Expansion,"R5 069 035,40","R7 744 799,40","R9 327 033,75",2024/05/03,2022/02/18,2025/03/15,Reported,
151,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Hazmat Modification,Revamp Engineering Services (Pty) Ltd,Expansion,"R11 068 640,52","R44 274 562,10","R0,00",2024/05/26,2023/01/17,2026/03/26,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
152,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Workshop Refurbishment and or Repair contract of Boiler
Feed water (Electric Feed and Steam Feed), Condensate
Extraction Pumps and other associated pumps and auxiliaries
Equipment at 14 Coal Fired Power Stations",Sulzer Pumps South Africa,Expansion,"R225 802 692,35","R189 497 154,25","R0,00",2024/04/26,2021/05/25,2024/12/31,Reported,
153,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Manufacture, Supply and delivery to Insert: Large
Distributor;MS;SABS 1431 and Insert: Small Distributor; MS GR
300WA to Matimba Power Station for a period of Five years",Witbank Foundry (Pty) Ltd,Expansion,"R4 272 000,00","R22 911 000,00","R0,00",2024/05/30,2019/06/01,2024/05/31,Reported,
154,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Supply of New ACC Gearboxes and refurbishment of ACC
Gearboxes for a period of 36 months on an as and when
required basis.",Bearing Man Group (Pty) Ltd,Expansion,"R18 174 535,79","R12 390 887,07","R0,00",2023/12/12,2022/10/03,2025/10/02,Reported,
155,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of minor reticulation services within Limlanga
Cluster (Limpopo and Mpumalanga) on “as and when” required
basis","Avansare Development Projects, Bafune
Construction & Electrical, Batlase Business
Enterprise and Driving School (Pty) Ltd, Bazilor
(Pty) Ltd, Biliyon, BK Air Link Communication",Expansion,"R102 415 200,39","R280 000 000,00","R20 000 000,00",2023/12/13,2021/09/01,2023/08/30,Reported,
156,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The establishment of an Enabling Agreement with a panel of 22
contractors for the provision of electrical contracting
(electrification of household connections, infrastructure and
direct infill/post connections, as well as the electrification of","Prest Business Supplier, Rejcon Engineering,
Matimba Ya Ripfumelo Trading, Davies and Son
Electrical, M and M Nefas Electrical, Firm Supply
Trading, Oxior Civil Enterprise, MMND",Expansion,"R26 598 534,66","R230 462,00","R166 836 165,00",2024/04/12,2020/12/15,2024/12/14,Reported,
157,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Specialised Facilities Services Fire Protection
Services for Mbombela and Ermelo Eskom Park in the
Mpumalanga Operating Unit",Transfire (Pty) Ltd,Expansion,"R500 000,00","R1 891 500,00","R0,00",2024/03/20,2021/03/25,2024/11/23,Reported,
158,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",Double Barell Security Services CC,Expansion,"R11 624 711,00","R76 304 273,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
159,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",Tlhomphanang Business Enterprise,E x p a n s i o n,"R12 572 565,75","R77 552 093,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
160,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",Gubis Solutions,Expansion,"R5 873 247,90","R40 518 663,35","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
161,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",SecureLife Security Services,Expansion,"R9 829 237,25","R66 425 535,48","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
162,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",Mphosha Security Services,Expansion,"R9 731 790,95","R59 549 593,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
163,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Provision of security services for Mpumalanga Operating
Unit",Vick Pule Construction Projects,Expansion,"R6 041 248,15","R38 468 504,45","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
164,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Mokopane Sector",Ensemble Security Trading 2366,Expansion,"R5 584 053,80","R14 558 144,32",R7 023 967.04,2024/05/15,2021/03/06,2024/11/30,Reported,
165,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo -
Polokwane Sector",Ensemble Security Trading 2366,Expansion,"R12 013 951,93","R16 163 677,47",R10 041 362.66,2024/05/15,2021/03/06,2024/11/30,Reported,
166,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Modimolle Sector",Ensemble Security Trading 2366,Expansion,"R3 916 626,90","R12 180 606,32",R3 432 757.00,2024/05/15,2021/03/06,2024/11/30,Reported,
167,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Lephalale Sector",Ensemble Security Trading 2366,Expansion,"R8 583 529,77","R13 208 451,42",R7 457 751.52,2024/05/15,2021/03/06,2024/11/30,Reported,
168,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Thohoyandou Sector",Securelife Security Services,Expansion,"R7 125 350,90","R10 542 013,23",R3 846 712.62,2024/05/15,2021/03/01,2024/11/30,Reported,
169,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Makhado Sector",Ensemble Security Trading 2366,Expansion,"R7 059 483,39","R11 250 542,65",R8 539 940.18,2024/05/15,2021/03/01,2024/11/30,Reported,
170,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Giyani
Sector",Securelife Security Services,Expansion,"R4 716 779,23","R9 421 914,74",R6 864 422.62,2024/05/15,2021/03/01,2024/11/30,Reported,
171,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Tzaneen Sector",Ensemble Security Trading 2366,Expansion,"R5 629 373,15","R9 453 185,29",R4 563 826.59,2024/05/15,2021/03/01,2024/11/30,Reported,
172,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Groblersdal Sector",Securelife Security Service,Expansion,"R6 445 074,76","R10 201 196,51",R3 996 365.30,2024/05/15,2021/03/01,2024/11/30,Reported,
173,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Burgersfort Sector",Securelife Security Service,Expansion,"R6 850 825,52","R10 639 355,82",R7 875 974.52,2024/05/15,2021/03/01,2024/11/30,Reported,
174,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Physical Guarding Services across various sites in
the Northern Cape Operating Unit for a period of 36 months","Mjayeli Security Services (Harts & Kgalagadi
Sector); Mulanga Security and Training ((Kalahari
& Karoo Sector)",Expansion,"R19 438 238,16","R97 448 701,04",R13 817 192.80,2024/04/25,2021/06/01,2024/05/31,Reported,
175,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The manufacture, testing at works, training and supply of pole
mounted Auto Re-closers",RWW Engineering (Pty) Ltd,Expansion,"R71 750 418,01","R297 378 527,58","R3 704 967,80",2024/04/18,2019/01/02,2026/01/31,Reported,
176,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification for the increase on time and value for the security
services contract within Gauteng Cluster","Modise Protection Services
Kya Guards (Pty) Ltd.
Grace and Guardian (Pty) Ltd.
Marebole Security Solutions",Expansion,"R120 025 003,43","R344 669 673,61","R14 174 088,16",2024/01/06,2021/01/06,2024/05/31,Reported,
177,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of Debt Collection Services,"SAYA Recoveries Pty Ltd
Morkalio Revenue Solutions Pty Ltd
CSS Credit Solutions Pty Ltd
Nimble Collection Services Pty Ltd",Expansion,"R1 131 688,77","R7 618 080,00","R450 000,00",2024/05/01,2022/08/08,2026/03/31,Reported,
178,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification of converting annual financial statements to
extensible business reporting language
(XBRL)",Ernst & Young Advisory Services Pty Ltd,Expansion,"R369 898,00","R427 218,29","R0,00",2024/05/22,2021/06/01,2026/05/31,Reported,
179,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of Site Facilities Services,Magmacore and Geshom Construction JV,Expansion,"R5 430 336,71","R18 234 890,00","R4 089 950,00",2024/05/31,2018/04/01,2025/01/31,Reported,
