No,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date
137,NRF,"Manufacture, assembly, supply
and delivery of SKA DSS HC
storage servers",Peralex Eletronics (Pty) Ltd,Continuity of service,"4 ,593,722.45","1 ,203,293.92",0.00,2017/05/26,Conditional support,2017/06/05,2017/09/30
138,NRF,"Supply, delivery, support of data
network ethernet switches and
cabling",Eclipse Holdings (Pty) Ltd,Continuity of service,"1 8,436,695.00","6 ,327,657.00","2 4,764,352.00",2017/06/28,Pending,Not stated,Not stated
139,NSFAS,"Senior Manager: Loan Book
services",KPMG,Continuity of service,"166,167.00","498,500.00",0.00,2017/06/19,Supported,2017/07/01,Once off
140,NSG,Provision of call centre services,SITA,"Ratification of letter dated 20
March 2017","4,763,485.00","5,326,489.00",0.00,5/19/2017,Conditional support,4/1/2017,3/31/2019
141,NYDA,"Extention of Physical Security
services for 90 days",Smada Security,"Competitive bidding process in
progress","6 ,884,064.00","9 3,400.00","1 54,485.00",2017/05/24,Conditional support,6/1/2017,Once off
142,OHSC,"Provision of a website
management services",MTY Squared,Alignment with Ombud contract,"2 48,516.00","1 8,638.00","1 86,387.00",2017/04/03,Conditional support,2017/06/01,2018/01/31
143,PetroSA,"provision of Execeval system for
job grading and analysis
services",Deloitte Consulting (Pty) Ltd,Sole source,"7 50,000.00","2 ,000,000.00",0.00,2017/03/31,Not supported,2017/04/01,2020/03/31
144,PetroSA,"Provision of the NEC Range of
PABX system and Exucutel /
MOH hardware, maintenance
and support services",Gijima Holdings (Pty) Ltd,Sole source,"4 ,442,821.48","3 ,328,171.09","2 ,162,997.00",2017/04/25,Conditional support,2017/05/01,2020/04/30
145,PetroSA,"Support and maintenance of the
KIP3100 printer",Regma Cape (Pty) Ltd,Sole source,"6 8,160.00","4 0,000.00","1 98,524.00",2017/04/25,Conditional support,2017/05/01,2019/04/30
146,PetroSA,"Provision of Execeval system
for job grading and analysis
services",Deloitte Consulting (Pty) Ltd,Sole source,"7 50,000.00","2 ,000,000.00",0.00,2017/03/31,Supported,2017/04/01,2020/03/31
147,PetroSA,"Provision of Information
Services Infrastructure
Outsource Agreements over a
24 month period",Gijima Holdings (Pty) Ltd,Continuity of service,"4 9,316,604.00","61,298,548.00",0.00,2017/05/18,Not supported,2017/11/01,2019/10/31
148,PetroSA,"Provision of Information
Services Infrastructure
Outsource Agreements over a
24 month period",Business Connexion (Pty) Ltd,Continuity of service,"3 6,625,063.00","40,044,122.21",0.00,2017/05/18,Not supported,2017/11/01,2019/10/31
149,PetroSA,"System interface that
automatically snap exchange
rates at designated times and
upload into SAP for a 12 month
period",Thomson Reuters,Continuity of service,"103,591.00","122,000.00","253,971.00",2017/06/12,Conditional support,2017/08/01,2018/07/31
150,PetroSA,"Provision of Information
Services Infrastructure
Outsource Agreements over a
24 month period",Gijima Holdings (Pty) Ltd,Continuity of service,"49,316,604.00","6 1,298,548.00",0.00,2017/05/18,Conditional support,2017/11/01,2019/10/31
151,PetroSA,"Provision of Information
Services Infrastructure
Outsource Agreements over a
24 month period",Business Connexion (Pty) Ltd,Continuity of service,"3 6,625,063.00","4 0,044,122.21",0.00,2017/05/18,Conditional support,2017/11/01,2019/10/31
152,PetroSA,Provision of Platts data feed,Platts McGraw Hill Financial,Single Source,"2 3,075.00","1 23,258.00","1 56,685.00",2017/06/29,Not supported,from date of appointment,12 months
153,PetroSA,Ghostpractice software,Korbicom Pty Ltd,Sole source,"9 6,000.00","3 01,000.00","2 66,004.00",2017/04/13,Supported,5/1/2017,2019/04/30
154,PetroSA,"The provision of remedial and
survelliance work on four F-A
field production wells",Expro Pty Ltd,"To avoid conflict of services and
high costs if another supplier is
used.","1 ,510,779.00","1 ,134,000.00",0.00,2017/04/04,Supported,5/15/2017,Once off
155,PetroSA,"Provision of cleaning service at
the Refinery Site, Logistics
Base, Training Centre etc","Supercare Services Group (Pty)
Ltd","Competitive bidding process in
progress","1 3,428,575.00","1 ,513,806.00","R 2 ,375,737.00",2017/06/23,Supported,2017/07/01,2017/09/30
156,PRASA,"Maintenance of the early
warning security system
detection signals as a protection
for criminals when attempting to
vandalize or steal equipment in
rail network.",TakeNote Technologies,"System to detect criminals when
attempting to vandalize or steal
equipment in rail network.",Not stated,"5,472,000.00","1 8,000,000.00",2017/03/27,Conditional support,from date of appointment,12 months
157,PRASA,Supply connectivity services,Internet Solutions,"ITC thought services were
covered by the contract of Value
Added Services.","24,800,512.00","10,368,000.00",0.00,2017/05/19,Conditional support,month on month basis,month on month basis
158,PRASA,Travel management Agency,TWF,"Competitive bidding process in
progress","1 ,400,000.00",0.00,0.00,Not dated,Pending,2013/09/20,2017/06/21
159,PRASA,Cash Management Services,FNB,"Competitive bidding process in
progress","8 5,095,999.00",0.00,"4 1,547,032.00",2017/06/21,Pending,2009/03/31,Not stated
160,Public Protector,Travel management Agency,Duma Travel,"The original budget was
underestimated at the planning
phase as per procurement plan","8,000,000.00","22,000,000.00",0.00,2017/05/09,Conditional support,5/22/2017,5/21/2020
161,Public Protector,"Quantity surveyor fact finding
analysis pertaining the
investigation conducted by
PPSA (Private Office)",,"Finalisation of the quantity
survey investigation","16,416.00","18,601.00",0.00,2017/04/24,Conditional support,Not stated,Not stated
162,Public Works,"Maintenance and Servicing of
buildiing",Mercy Civils and Buildings,Continuity of service,"10,437,267.00","1,095,369.00","5,753,081.17",2017/04/21,Conditional support,2017/05/03,2017/09/02
163,Public Works,"Renewal of a lease agreement
:George Lubbe",JHI Properties (Pty) Ltd,Continuity of service,Not stated,"3,229,430.52",Not stated,2017/03/16,Not supported,2017/04/01,2018/03/31
164,Public Works,"Renewal of a lease
agreement:Nedbank Building",JHI Properties (Pty) Ltd,Continuity of service,Not stated,"1,933,859.28",Not stated,2017/03/24,Not supported,2017/04/01,2018/03/31
165,Public Works,"Renewal of a lease
agreement:S.A Eagle Building",JHI Properties (Pty) Ltd,Continuity of service,Not stated,"2,739,168.72",Not stated,2017/03/23,Not supported,2017/04/01,2018/03/31
166,Public Works,Renewal of a lease agreement,"Mayula Procurement Property
(Pty) Ltd",Continuity of service,Not stated,"4,240,139.62",Not stated,2017/03/13,Not supported,2017/02/01,2018/01/31
167,Public Works,Renewal of a lease agreement,"Public Works Roads and
Transport",Continuity of service,Not stated,"2,905,460.28",Not stated,2017/03/16,Not supported,2017/04/01,2018/03/31
168,Public Works,"To render a Waste
Management services",Averda (Pty) Ltd,Continuity of service,"5,500,000.00","4,800,000.00","800,000.00",2017/03/28,Conditional support,2017/06/01,2018/05/31
169,Public Works,"To render a Waste
Management services",Interwaste (Pty) Ltd,Continuity of service,"16,580,000.00","8,400,000.00","1,400,000.00",2017/03/28,Conditional support,2017/06/01,2018/05/31
170,RAF,Legal services,Hogan Lovells Inc,"Service Provider currently
attending to litigated matters on
behalf of RAF .",Not stated,Not stated,0.00,Not dated,Conditional support,Not stated,Not stated
171,RAF,"Lease contract between road
accident fund and
Johannesburg Skyscrapper",Johannesburg Skyscrapper,"Competitive bidding process in
progress","1 1,590,206.00",0.00,"1 3,498,058.00",2017/03/08,Conditional support,2017/04/01,2018/03/31
172,RAF,"To vary a lease agreement with
Columbia Falls Properties 80 pty
ltd","Columbia Falls Properties 80 pty
ltd",C,"3 ,506,867.12","5 66,784.00",0.00,2017/05/30,Supported,2017/08/01,2019/04/30
173,RAF,Additional office space,Faerie Glen Waterpark,"Increased business
requirements, on recruitment of
more employees resulting in
more office space needed",Not stated,"4,429,055.00",0.00,Date not specified,Conditional support,2017/06/01,2019/10/31
174,S.A Tourism,Markerting Services,KPRN,Expansion of Scope,Not stated,EUR 30 000,Not stated,2017/06/01,Conditional support,2017/07/01,2018/09/30
175,SALGA,"Travel management services
with Travel with Flair",Travel with Flair Pty Ltd,"Competitive bidding process in
progress","estimated R95 per
transaction",0.00,0.00,2017/03/30,Supported,Not stated,Not stated
176,SALGA,"Renewal of Lease for SALGA
Offices in Free-State",Anthill Real Estate,"Offices still meets the SALGA
Free-State strategy.","1 3,220,501.66","5 ,462,573.64",0.00,2016/06/23,Conditional support,2017/04/01,2019/03/30
177,SAMRC,"5th global conference (SVRI
Forum 2017), Rio de Janeiro,
Brazil",Sheraton Hotel,Additional hotel costs,"4 20,000.00","1 30,000.00",0.00,2017/05/29,Conditional support,2017/09/18,Once off
178,SANBI,Adjustmentof professional fees,Vernon Mathews architects,Continuity of service,"937,764.00","8,848,267.96","5,014,335.00",2017/04/07,Not supported,Not stated,Not stated
179,SANBI,Adjustmentof professional fees,T.J Architects,Continuity of service,"972,420.00",2 064 494.24,0.00,2017/04/07,Not supported,Not stated,Not stated
180,SANRAL,"Operation and maintainance of
Huguenot toll plaza on the N1
toll road & maintainace of N4
Huguenot tunnel",Tolcon,Sole source,0.00,"1,003,658.00",0.00,2017/04/25,Not supported,Not applicable,Not applicable
181,SANRAL,Auditor-General Findings,Macrobert Attorneys,"Increase in scope for disciplinary
hearing, thus the request for
additional budget","43,574.00","356,426.00","1 00,000.00",2017/05/08,Conditional support,from date of appointment,Once off
182,SANRAL,"Improve National Route R570
section 1 starting from N4 (KM
0.0) to Jeppes Reef (KM40.732)",Triamic Construction,"Contractor’s time due to
extended scope.","507,100,000.00","87,128,725.00",0.00,2017/05/23,Conditional support,2015/01/12,2017/07/11
183,SANRAL,"Database administration and
management",RDC,"The main contract was extended
for 24 months therefore the
additional funding was required.","7 ,871,923.44","5,247,948.96",0.00,2017/05/08,Supported,Not stated,Not stated
184,SANRAL,"Additional funds for the
construction of dual carriageway
and bridges from Umthatha to
Ngqeleni Interchange",Haw & Inglis Civil Engineering,"Land acquisition, relocation of
servces and community unrest",Not stated,"45,931,195.99","5 23,380,579.78",2017/04/26,Conditional support,from date of appointment,16 months
185,SANRAL,Disciplinary hearing matter,Shepstone and Wylie,"Several sittings required due to
limitations","478,000.00","572,000.00",0.00,2017/06/06,Conditional support,2017/06/01,Once off
186,SAPO,Specialised digital certificate,ECMS,"SAPO's strategic and corporate
plan",Not stated,"7,337,329.20",0.00,2017/04/03,Not supported,Not stated,Not stated
187,SAPO,Project operational changes,Escher Group,"To enhance and improve service
delivery to SAPO customers",Not stated,"4,597,667.07",0.00,2017/23/03,Not supported,2017/03/01,2017/10/31
188,SAPO,"Licencing, support and
maintenance",SAP,Single Source,Not stated,"371,119.72",0.00,2017/03/23,Conditional support,2017/06/12,2020/06/11
189,SAPO,Internet Connectivity,"BankservAfrica Managed
Network solution",Single Source,Not stated,"330,286.48",0.00,2017/06/14,Not supported,Not stated,Not stated
190,SAPO,Software Enhancement,"Escher Group, Oracle and ACI",Continuity of service,Not stated,"6,500,000.00",0.00,2017/05/26,Not supported,Not stated,2018/03/31
191,SAPO,"Annual Licencing, Support and
Maintenance","Wolters Kluwer Tax &
Accounting Southern Africa","Licencing, Support and
Maintenance","223,000.00","261,679.61",0.00,2017/06/15,Conditional support,2018/01/01,2020/12/31
192,SAPO,"Advanced Project Support
services",Oracle,Customer confidentiality,Not stated,"539,437.64",0.00,2017/06/14,Not supported,2017/04/01,2020/03/31
193,SAPO,"Project operational changes
and new products",Escher Group,Variation of Scope,Not stated,"4,597,667.07",0.00,2017/05/30,Conditional support,2017/03/01,2017/10/31
194,SARS,"Acquisition of short-term
insurance brokerage services",Marsh Pty Ltd,Continuity of service,"1,204,182.00","471,880.20",0.00,2017/04/24,Conditional support,7/1/2017,6/30/2018
195,SARS,"Provision of Software licences
and support",JMR Software,Continuity of service,"2,385,670.02","1,625,852.80",0.00,2017/03/17,Conditional support,6/1/2017,4/30/2020
196,SARS,Media monitoring and analysis,Newsclip Media Monitoring,"Competitive bidding process in
progress","478,996.56","119,749.14",0.00,2017/05/18,Conditional support,7/1/2017,11/30/2017
197,SARS,"Provision of HP testing tool
licenses, support and
maintenance",EOH Mthombo,Expansion of scope,"3,053,721.97",548625.00,0.00,5/2/2017,Conditional support,6/9/2017,6/30/2018
198,SARS,"Provision of short term
insurance",Marsh Pty Ltd,Continuity of service,"1,204,182.00","471,880.20",0.00,6/1/2017,Conditional support,7/1/2017,6/30/2018
199,SARS,Renewal of VTD-XML software,Ximpleware Corp,Continuity of service,"66,393.60","246,743.28","73,898.63",4/28/2017,Conditional support,5/1/2017,4/30/2020
200,SARS,Provision of office space,Delta Property,Continuity of service,"148,993,884.49","22,534,991.04",0.00,6/28/2017,Supported,3/1/2017,2/28/2019
201,SARS,Provision of office space,Valeria Beggings,Continuity of service,"348,676.72",3611556.11,0.00,6/28/2017,Supported,12/1/2016,11/30/2021
202,SARS,Provision of office space,Sodema,Continuity of service,"14,896,844.63","26,493,327.07",0.00,6/28/2017,Supported,1/1/2017,12/31/2021
203,SARS,Provision of office space,Denel (Pty) Ltd,Continuity of service,0.00,"1,649,294.30",0.00,5/29/2017,Conditional support,11/1/2017,10/31/2021
204,SASSA,Ofiice lease,Caledon local office,Finalisation of tender process,"1 ,620,827.00","1 ,545,988.00","2 ,584,325.00",2017/03/31,Conditional support,2017/01/01,1/1/2019
205,SASSA,Ofiice lease,Vredenberg local office,Finalisation of tender process,"1 ,218,607.00","854,554.00","1 ,434,028.00",2017/03/31,Conditional support,2017/01/01,1/1/2018
206,SASSA,Ofiice lease,Vredendal local office,Finalisation of tender process,"1,982,988.00","1 ,385,961.00","2 ,310,486.00",2017/03/31,Conditional support,from date of appointment,3 years
207,SASSA,"New lease agreement for
Tswaing local office","Arefeen Properties Pty Ltd
(Tswaing local office)","Offices customized to suit
SASSA's needs.","2 ,592,000.00","3 94,520,579.00",0.00,2017/04/05,Supported,from date of appointment,3 years
208,SASSA,Office Accommodation,Omtay Property Holdings Trust,Continuation of Services,"18,526,129.46","45,360,800.30","4 7,223,692.28",2017/06/20,Conditional support,2017/08/01,2022/07/22
209,SEDA,Advisory Services,EOH Advisory Services,Continuity of service,"6,202,364.00","1,080,000.00","1,581,480.00",2017/03/30,Supported,2017/04/01,2017/09/30
210,SITA,Advisory services,Ernst and Young,Expansion of scope,"401,447.00","199,180.80",0.00,2017/04/19,Supported,5/1/2017,4/30/2022
211,SITA,"Independent audit and risk
assessment",Bowman Gilfillian Incorporated,Expansion of scope,"495,435.00","9,680,503.47",0.00,2017/03/23,Not supported,4/25/2017,4/24/2018
212,SITA,Provision of office space,Shock Proof 46 Pty Ltd,"Competitive bidding process in
progress","207,600.00","269,280.00","696,000.00",2017/04/26,Conditional support,5/1/2017,4/30/2018
213,SITA,Provision of office space,One Vision 104 Pty Ltd,"Competitive bidding process in
progress","99,960.00","129,360.00","334,800.00",2017/04/26,Conditional support,5/1/2017,4/30/2018
214,SITA,"Provision of annual certification
ISO 9001:2008 Quality
Management Systems",SABS,Continuity of service,"429,415.20","155,199.60",0.00,2017/04/25,Conditional support,4/1/2017,3/31/2019
215,SITA,"Provision of analitycal and
visualisation software",ISS,Continuity of service,"279,983,829.04","82,898,482.15",0.00,2017/05/17,Conditional support,6/1/2017,5/31/2018
216,SITA,"Maintenance, Repairs and
Service appliances",GSM Electro,Allow transition period,"11,585,009.22","338,192.62","6,971,764.81",5/29/2017,Conditional support,6/1/2017,5/30/2018
217,SITA,"Provision of procurement
process review","BIG Business Innovations Group
(Pty) Ltd",Continuity of service,"66,074.40","34,131.60","9,878.12",6/13/2017,Conditional support,6/13/2017,Once off
218,SITA,"Procurement consultancy
services",Core Focus,Continuity of service,"8,002,800.00","10,000,080.00",0.00,6/19/2017,Supported,7/1/2017,1/31/2018
219,StatsSA,"Supply and use tables (SUT)
compilation",Roger Jullion and Ross Harvey,Expansion of scope,Not stated,"3,793,920.00",0.00,4/24/2017,Conditional support,4/28/2017,3/31/2018
220,TCTA,"Provide disaster recovery
services",Continuity SA,"Competitive bidding process in
progress","583,903.00","258,620.00","2 ,286,105.00",2017/04/24,Not supported,Not stated,Not stated
221,TCTA,"Expansion of External Audit
Fees Overuns for 2015/16",Ernst & Young,Overruns,"2,200,000.00","1,000,000.00",0.00,2017/04/04,Conditional support,Not stated,Not stated
222,Tourism,"Appeal: technical advice for the
renewable energy",WSP/Parsons Brincekroff,Continuity of service,3 700 000.00,1 891 975.00,0.00,2017/02/14,Pending,Not stated,Not stated
223,Tourism,"Appeal: technical advice for the
renewable energy",McDonald/Phambili Merz,Continuity of service,"3,000,000.00","800,000.00",0.00,2017/02/14,Pending,Not stated,Not stated
224,Transnet,"Facilities Management for
Inyanga Buildings 1-4",Afroteq Facilities Management,"Competitive bidding process
underway","4 7,552,731.02","1 6,548,966.97",0.00,2017/04/26,Conditional support,Not stated,Not stated
225,Transnet,"Supply, maintenance and
scrapping of Industrial tyres,
tube, rims and retreading","Tirepoints Contracts and Siyaya
Corporation","Competitive bidding process
preparation underway","8 7,222,173.00","48,784,285.00","2 2,274,843.00",2017/04/28,Conditional support,Not stated,Not stated
226,Transnet,"Freight protection security
services",Protea Coin Group,"Competitive bidding process in
progress","3 5,551,560.00","1 8,012,214.50","2 45,519,053.90",2017/05/29,Conditional support,2017/06/01,2017/10/30
227,Transnet,"On Track Machines
maintenance service contracts","Aveng t/a Lennings Rail, Plasser
South Africa, Maziya Bahai and
SIMS",Continuity of service,"1 ,042,803,904.00","2 ,542,758,387.00","7 17,252,205.00",2017/05/29,Conditional support,2017/06/01,2018/05/30
228,Transnet,"Implementation of a bespoke
railway engineering technical
programme partnership","Institute of Railway Operators
(IRO), Glasgow Caledonian
University (GCU) and University
of Johannesburg (UJ) ;
University of Pretoria","Transnet Freight Rail plans to
extend the ROMP","9 ,800,000.00","1 28,789,555.00","4 8,817,113.00",2017/05/23,Conditional support,2017/12/01,2021/11/30
229,Transnet,Occupational health care service,sPrimecure Health (Pty) Ltd,Finalisation of tender process,"8 5,000,000.00","1 0,800,000.00","8 4,000,000.00",2017/04/26,Conditional support,5/1/2017,7/31/2017
230,Transport,Valuation of eNatis Assets,Sekela Xabiso,Ongoing litigation process,"4 ,044,327.20","1 ,381,650.60",0.00,2016/09/14,Conditional support,from date of appointment,Once off
231,Transport,Additional scope of work PWC,PWC,Specialist technical knowledge.,"402,101.00","9 12,106.00",0.00,2017/05/16,Supported,Not stated,6 Months
232,UIF,Implementation of SAP ERP,Accenture,Expansion of scope,"152,075,651.00","13,941,983.00",0.00,2017/04/21,Supported,Not stated,Not stated
233,Umalusi,"Co-sourcing engagement
partner modelto develop
customer software.",EOH Mthombo (Pty) Ltd,Continuity of service,"3 ,217,356.00","3 ,615,076.80","3 ,410,560.80",2017/05/25,Conditional support,Not stated,Not stated
234,Water and Sanitation,"Conduct a due diligence study
for the establishment of the
single water board in KwaZulu-
Natal",Deloitte Consulting (Pty) Ltd,Urgency,"9,525,086.00","3,810,034.00",0.00,2017/04/18,Not supported,Not stated,Not stated
""
""
""
