5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
98,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Non-pathogenic Canine parvovirus, A-72 (canine
fibrosarcoma cell line, ATCC-CRL-1542) and growth
medium",Industrial Analytical,"R50 434,40",Sole Source,Within AA/AO mandate Noting,2022/06/17,2022/06/17,2022/06/17,Reported
99,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),GZ534 (Men’s combat boot – 103 off) – Black,Dick Whittington Shoes,"R146 878,00",Sole Source,Within AA/AO mandate Noting,2022/06/27,2022/06/27,2022/06/27,Reported
100,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),LipShare Software renewal,LipShare Software,"R46 330,49",Sole Source,Within AA/AO mandate Noting,2022/06/15,2022/06/01,2022/05/31,Reported
101,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The provision of Plexos Software licenses for the
Energy
Systems in the Energy Centre",Energy Exemplar Pty Ltd,"R1 161 371,20",Sole Source,Within AA/AO mandate Noting,2022/07/04,2022/04/01,2023/05/30,Reported
102,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Inspecam LM, SS 316, 700 TVL, 4:3, IL4M PIN 1:
GND 2: Video 3: +12V Camera 4 + 12V LED",RCU Under Water Systems,"R59 122,00",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/06/21,2022/06/21,Reported
103,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"DFA connectivity link for the University of Western
Cape Digital Innovation Hub (UWC DIH).",Dark Fibre Africa (Pty) Ltd,"R275 315,14",Sole Source,Within AA/AO mandate Noting,2022/06/28,2022/06/28,2022/10/31,Reported
104,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Annual accreditation fee,SANAS,"R38 959,70",Sole Source,Within AA/AO mandate Noting,2022/06/29,2022/07/01,2022/06/30,Reported
105,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),ebook subscription renewal,ProQuest LLC,"R160 393,57",Sole Source,Within AA/AO mandate Noting,2022/06/15,2022/06/01,2022/05/31,Reported
106,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Coolant water mixture for the cooling system of the
Hot Isostatic Press (HIP)",Clariant Southern Africa (Pty) Ltd,"R189 934,00",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/06/21,2022/06/21,Reported
107,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The supply of Chemicals and reagents for analysing
seawater samples by FIA and for cleaning bottles for
sampling",Merck Life Science (Pty) Ltd,"R81 586,75",Sole Source,Within AA/AO mandate Noting,2022/06/27,2022/06/27,2022/06/27,Reported
108,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),MATLAB renewal license.,Opti-num Solutions (Pty) Ltd,"R51 777,60",Sole Source,Within AA/AO mandate Noting,2022/06/30,2022/06/30,2023/06/29,Reported
109,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Renewal of MATLAB Annual license,Opti-num Solutions (Pty) Ltd,"R103 167,65",Sole Source,Within AA/AO mandate Noting,2022/06/27,2022/06/27,2022/06/26,Reported
110,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),renewal of existing software licenses,ASIC Design Services,"R136 138,44",Sole Source,Within AA/AO mandate Noting,2022/06/30,2022/07/01,2022/06/30,Reported
111,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Mini & MidiMACS Starting Kit (MS, LS),
Components: MiniMACS™ Separator (130-042-
102), MidiMACS™ Separator (130-042-302),
MACS® MultiStand (130-042-303), MS Columns
(130-042-201), LS Columns (130-042-401), CD138
Separation Reagent",Biocom Africa (Pty) Ltd,"R45 769,28",Sole Source,Within AA/AO mandate Noting,2022/06/27,2022/06/27,2022/06/27,Reported
112,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),MATLAB software maintenance renewal license,Opti-num Solutions (Pty) Ltd,"R193 696,80",Sole Source,Within AA/AO mandate Noting,2022/06/29,2022/07/01,2023/06/30,Reported
113,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The provision of software maintenance service for
Smart Mobility Visum license 01/06/2022 –
31/05/2023.",PTV Africa (Pty)Ltd,"R108 403,31",Sole Source,Within AA/AO mandate Noting,2022/07/04,2022/07/01,2023/07/31,Reported
114,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"BIOVIA Materials Studio Academic Research Suite
– National software license",Dassault Systémes SA (Pty) Ltd,"R1 298 738,70",Sole Source,Within AA/AO mandate Noting,2022/07/11,2022/07/11,2023/07/10,Reported
115,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Equipemnt of laser material processing,Fraunhofer ILT,"R143 666,15",Sole Source,Within AA/AO mandate Noting,2022/07/08,2022/07/08,2022/07/08,Reported
116,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Technical Components,Harmonic Drive,"R631 050,46",Sole Source,Within AA/AO mandate Noting,2022/07/20,2022/07/20,2022/07/20,Reported
117,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),One key license and support,Pragma,"R293 773,25",Sole Source,Within AA/AO mandate Noting,2022/07/12,2022/08/01,2025/07/31,Reported
118,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),MindView Software Licence Renewal for 1 Year,MatchWare Inc,"R55 805,09",Sole Source,Within AA/AO mandate Noting,2022/07/08,2022/09/08,2023/09/07,Reported
119,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Mathworks Software Products,Opti-num Solutions (Pty) Ltd,"R766 374,95",Sole Source,Within AA/AO mandate Noting,2022/07/06,2022/07/06,2023/06/30,Reported
120,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"COJ _ Certificate Management System Renewal - 3
Year Licence",Law Trusted Third Party Services (Pty) Ltd,"R758 069,12",Sole Source,Within AA/AO mandate Noting,2022/07/04,2022/07/01,2025/06/29,Reported
121,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Udemy for Business Licenses,Udemy Business,"R473 526,50",Sole Source,Within AA/AO mandate Noting,2022/07/06,2022/07/01,2023/06/30,Reported
122,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Siemens software: Plant Simulation Consultation
and Support",Siemens,"R227 700,00",Sole Source,Within AA/AO mandate Noting,2022/07/04,2022/07/01,2022/06/30,Reported
123,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The supply of SG Spares for SG573 Case 4755 and
total
sensor repair for the CSIR Ocean Systems &
Climate","HII Unmanned Systems, Inc.","R56 931,60",Sole Source,Within AA/AO mandate Noting,2022/07/14,2022/07/14,2022/07/14,Reported
124,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Spatial Light modulator,Holoeye Photonics,"R148 062,73",Sole Source,Within AA/AO mandate Noting,2022/07/12,2022/07/12,2022/07/12,Reported
125,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The provision of laboratory analyses on
water/wastewater and sediment for the CSIR Durban
Outfalls Monitoring project 2022/23",Eurofins Analytico BV,"R256 946,19",Sole Source,Within AA/AO mandate Noting,2022/07/05,2022/07/05,2022/07/05,Reported
126,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Materials for Manufacturing : ARMOX500T,SSAB,"R94 214,67",Sole Source,Within AA/AO mandate Noting,2022/07/07,2022/07/07,2022/07/07,Reported
127,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Technical Components,Humanetics,"R50 984,58",Sole Source,Within AA/AO mandate Noting,2022/07/19,2022/07/19,2022/07/19,Reported
128,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Repairs of Peak Scientific AB-3G Nitrogen
generator which provides high-purity nitrogen gas to
one of the mass spectrometry systems",Peak Scientific Africa (Pty) Ltd,"R57 463,32",Sole Source,Within AA/AO mandate Noting,2022/07/13,2022/07/13,2022/07/13,Reported
129,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Annual accreditation fee 2022/2023,SANAS,"R44 849,00",Sole Source,Within AA/AO mandate Noting,2022/07/05,2022/07/05,2023/07/04,Reported
130,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),SMSPRIME and EMI,Custom Made Investigation Technology Solutions,"R64 528,80",Sole Source,Within AA/AO mandate Noting,2022/07/18,2021/12/29,2023/06/08,Reported
131,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"8 cancer cell lines for the cell culturing and to
establish protocol for cancer precision medicine",PromoLab (Pty) Ltd T/A Separations,"R138 334,63",Sole Source,Within AA/AO mandate Noting,2022/07/14,2022/07/14,2022/07/14,Reported
132,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The supply of Booth Space at HPC2022
Conference in Cetraro, Italy.",Prof. Lucio Grandinetti,"R34 468,80",Sole Source,Within AA/AO mandate Noting,2022/07/01,2022/07/01,2022/07/01,Reported
133,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Annual license renewal of SuperPro Designer,"INTELLIGEN, INC.","R108 311,63",Sole Source,Within AA/AO mandate Noting,2022/07/12,2022/07/12,2022/07/11,Reported
134,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The supply of 2 x batteries and spare parts for a
Web Teledyne Slocum glider",Teledyne Webb Research,"R754 824,92",Sole Source,Within AA/AO mandate Noting,2022/07/11,2022/07/11,2022/07/11,Reported
135,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Siemens software maintenance renewal,Siemens,"R1 522 892,86",Sole Source,Within AA/AO mandate Noting,2022/07/22,2022/07/01,2023/06/30,Reported
136,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Annual service of the Synapt UPLC-MS equipment
used for
high end analysis of small molecules",Microsep (Pty) Ltd,"R262 704,85",Sole Source,Within AA/AO mandate Noting,2022/07/11,2022/07/11,2022/07/11,Reported
137,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The provision of Flownex license and training for
Smart Places",M-Tech Industrial (Pty) Ltd,"R333 270,00",Sole Source,Within AA/AO mandate Noting,2022/07/21,2022/07/21,2023/07/20,Reported
138,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Computer, Camera and camera analysis software
for Olympus BX40 microscope.",Wirsam Scientific and Precision Equipment (Pty) Ltd,"R69 360,00",Sole Source,Within AA/AO mandate Noting,2022/07/19,2022/07/19,2022/07/19,Reported
139,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Global Africa Network - South Africa Business
publication",Global Africa Network Media (Pty) Ltd,"R40 192,50",Sole Source,Within AA/AO mandate Noting,2022/07/08,2022/07/08,2022/07/08,Reported
140,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Edgecam Maintenance Contract,Stillam Services CC,"R44 557,90",Sole Source,Within AA/AO mandate Noting,2022/07/29,2022/07/29,2023/07/28,Reported
141,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Famelab Competition,Jive Media,"R48 702,50",Sole Source,Within AA/AO mandate Noting,2022/07/29,2022/07/29,2022/07/29,Reported
142,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"EBSCO Academic eBooks Collection Annual
Subscription Renewal
(01 August 2022 – 31 July 2023)",EBSCO International Inc,"R135 307,33",Sole Source,Within AA/AO mandate Noting,2022/07/21,2022/08/01,2023/07/31,Reported
143,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Lab Accreditation and Certification,SANAS,"R90 198,00",Sole Source,Within AA/AO mandate Noting,2022/07/22,2022/07/22,2023/07/21,Reported
144,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Servicing of the Milli-Q water purification system in
Lab C34 in Building 18C",Merck Life Science (Pty) Ltd,"R41 756,04",Sole Source,Within AA/AO mandate Noting,2022/07/25,2022/07/25,2022/07/25,Reported
145,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Repair and Mantainance of 3D printer,3D Manufacturing Technology,"R88 084,25",Sole Source,Within AA/AO mandate Noting,2022/07/18,2022/07/18,2022/07/18,Reported
146,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Microcep process sensors and cables,Microsep (Pty) Ltd,"R274 181,54",Sole Source,Within AA/AO mandate Noting,2022/07/19,2022/07/19,2022/07/19,Reported
147,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Sartorius inlet, exhaust and venting filter for
Bioprocess fermenters",SARTORIUS SOUTH AFRICA (PTY) LTD,"R63 596,15",Sole Source,Within AA/AO mandate Noting,2022/07/28,2022/07/28,2022/07/28,Reported
148,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Hamilton process sensors and cables,PromoLab (Pty) Ltd T/A Separations,"R199 368,60",Sole Source,Within AA/AO mandate Noting,2022/07/19,2022/07/19,2022/07/19,Reported
149,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Thermofisher QuantStudio5 Equipment Service and
Thermofisher Kingfisher Flex Equipment Service",LTC Tech South Africa (Pty) Ltd,"R549 207,23",Sole Source,Within AA/AO mandate Noting,2022/07/20,2022/07/20,2022/07/22,Reported
150,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The provision of specialised software add on for MS
power point. Think Cell - 1 Year Subscription
Renewal",TITUS Corporation,"R100 266,66",Sole Source,Within AA/AO mandate Noting,2022/07/25,2022/08/01,2023/07/31,Reported
151,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The provision of sustainability Handbook and Panel
session
at the sustainability summit.Summit",Kaqala Media (Pty) Limited,"R192 050,00",Sole Source,Within AA/AO mandate Noting,2022/07/29,2022/07/29,2022/07/29,Reported
152,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"Services: Laboratory analysis of water samples for
protozoan parasites, enteric viruses and tissue
culture maintenance",Aquadoc Analytics,"R224 101,65",Sole Source,Within AA/AO mandate Noting,2022/07/22,2022/07/22,2022/07/22,Reported
153,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Al Media Expo Africa 2022,Al Media Organizers Pty Ltd,"R115 000,00",Sole Source,Within AA/AO mandate Noting,2022/07/29,2022/09/19,2022/09/20,Reported
154,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),Hepa filters,Devos Laboratory,"R34 469,81",Sole Source,Within AA/AO mandate Noting,2022/07/22,2022/07/22,2022/07/22,Reported
155,Q2 2022/23,New,2022/08/04,Council for Scientific and Industrial Research (CSIR),"The supply of Broadband IOT equipment for
Supporting SMMEs to Bridge the Digital Divide",Whizpace,"R242 227,39",Sole Source,Within AA/AO mandate Noting,2022/07/26,2022/07/26,2022/07/26,Reported
156,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Southern African Energy Efficiency Confederation
Conference (SAEEC) 28 – 30 September 2022","Southern African Energy Efficiency Confederation
(SAEEC)","R57 500,00",Sole Source,Within AA/AO mandate Noting,2022/08/05,2022/08/05,2022/08/05,Reported
157,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Renewal of Software License from carmenta,Carmenta Geospatial Technologies AB,"R77 840,11",Sole Source,Within AA/AO mandate Noting,2022/08/11,2022/08/11,2023/05/31,Reported
158,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Repair and replacement of parts for chiller,Compact Cooling,"R107 821,70",Sole Source,Within AA/AO mandate Noting,2022/08/08,2022/08/08,2022/08/08,Reported
159,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Raptor/ Custom Payload Integration,Alti UAS (PTY) LTD,"R743 820,00",Sole Source,Within AA/AO mandate Noting,2022/08/11,2022/08/11,2022/08/11,Reported
160,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Technical Components,Logicalis SA,"R674 685,64",Sole Source,Within AA/AO mandate Noting,2022/08/10,2022/08/10,2022/08/10,Reported
161,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Covert System SCW0186AMX,SCW Turnkey Projects,"R455 448,30",Sole Source,Within AA/AO mandate Noting,2022/08/11,2022/08/11,2022/08/11,Reported
162,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Provincial Government Handbook 2022 and
National Government Handbook 2023",Yes Media,"R57 500,00",Sole Source,Within AA/AO mandate Noting,2022/08/10,2022/08/10,2023/08/10,Reported
163,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Resource Magazine February 2023,August and
November 2022 edition 2 – 3 inserts",Novus Print,"R63 997,50",Sole Source,Within AA/AO mandate Noting,2022/08/10,2022/08/31,2023/02/28,Reported
164,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Yearly service of the Physica Smartpave plus
Modular Compact Rheometers used in the
specification testing of bituminous binder.",Anton Paar Southern Africa,"R33 544,35",Sole Source,Within AA/AO mandate Noting,2022/08/15,2022/08/15,2022/08/15,Reported
165,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"1 x RMA-CRE-SRVXM License Replacement
VXmodel – MOD, 1 x RMA-CRE-SRVXMI License
Replacement VXinspect Full – INS",High Tech Machine Tools,"R35 512,00",Sole Source,Within AA/AO mandate Noting,2022/08/12,2022/08/12,2022/08/12,Reported
166,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Who Owns Whom (WOWEB) Annual Subscription
Renewal
(01 September 2022 – 31 August 2023)",Who Owns Whom (Pty) Ltd,"R124 191,40",Sole Source,Within AA/AO mandate Noting,2022/08/15,2022/09/01,2023/08/31,Reported
167,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),"Quantec EasyData Annual Subscription Renewal
(01 September 2022 – 31 August 2023)",Quantec Enterprises (Pty) Ltd,"R441 606,80",Sole Source,Within AA/AO mandate Noting,2022/08/12,2022/09/01,2022/08/31,Reported
168,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Supply of PS-410 Schenck power supply,DURR Africa (Pty) Ltd,"R115 906,03",Sole Source,Within AA/AO mandate Noting,2022/08/05,2022/08/05,2022/08/05,Reported
169,Q2 2022/23,New,2022/08/22,Council for Scientific and Industrial Research (CSIR),Bio Africa Conference,Bio Africa,"R179 400,00",Sole Source,Within AA/AO mandate Noting,2022/08/12,2022/08/27,2022/08/31,Reported
170,Q2 2022/23,New,2022/08/11,Department of Employment and Labour,State Theatre-Parking pays,State Theatre,"R2 284 098,00",Single Source,Within AA/AO,2022/10/06,2022/08/05,2022/12/31,Reported
171,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Modise Khanye Investment Industries (Pty) Ltd,"R1 717 648,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
172,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Moilwa and Sons Resources (Pty) Ltd,"R583 398,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
173,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Oasis De La Nature,"R1 155 735,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
174,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Eco Rhythm Management Pty Ltd,"R3 449 174,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
175,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Gaulanga,"R1 724 587,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
176,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Kwevho's Business Enterprise,"R554 081,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
177,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",G & M EMS,"R10 939 381,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
178,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Richmond FPA,"R5 213 358,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
179,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Savannah Regeneration (Pongola),"R4 392 500,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
180,Q2 2022/23,New,2022/07/01,"Department of Environment, Forestry and Fisheries
(DEFF)","APPOINTMENT OF SERVICE PROVIDER TO
MANAGE THE INVASIVE SPECIES, DEGRADED
LAND, AND WETLANDS WITHIN
ENVIRONMENTAL PROGRAMMES: NATURAL
RESOURCE MANAGEMENT (NRM) ON A
SINGLE SOURCE DURING THE 2022/23",Savannah Regeneration,"R3 707 678,00","In view of the above, the department has procured the services of several service providers as a single
source providers in order to manage the invasive species, degrading land, and wetlands within Environmental
Programmes: Natural Resources Management (NRM) during the 2022/23 Financial year.",Within AA/AO mandate Noting,2022/05/17,N/A,N/A,Reported
181,Q2 2022/23,New,2022/07/29,"Department of Higher Education and Training
(DHET)",Software support and maintenance,SITA,"R684 925,81",Continuation of service,Noting,2022/07/18,2022/07/18,2023/07/18,Reported
182,Q2 2022/23,New,2022/07/28,"Department of Higher Education and Training
(DHET)",Procurement of emulation software,SITA,"R684 925,81",Quotation procurement method,Noting,2022/07/18,2022/07/18,2022/07/18,Reported
183,Q2 2022/23,New,2022/08/01,"Department of Planning, Monitoring and Evaluation
(DPME)",Presidential Hotline service,SITA,"R15 700 000,00",Continuation of service,Noting,2022/04/01,2022/04/01,2023/03/31,Reported
184,Q2 2022/23,New,2022/08/18,"Department of Planning, Monitoring and Evaluation
(DPME)","Training on the Framework for Strategic Plans and
Annual Performance Plans",NSG,"R1 000 000,00",Preferred Supplier,Noting,2022/08/10,Not Stated,Not Stated,Reported
185,Q2 2022/23,New,2022/09/01,"Department of Public Works and Infrastructure
(DPWI)","DCS: Ekuseni Youth Development Center - Man
Hole is Blocked (Clearing of blockage from the
manhole to the sewer plant",Langwanya Trading and Construction,"R18 000,00",Guidelines,Within AA/AO mandate Noting,2022/08/11,Not Stated,Not Stated,Reported
