SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 - QUARTER 3 (16 September 2020 - 15 December 2020) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Cases Allocated To Team Member
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Root Causes
(Use dropdown List)","not supported/not supported/Conditional
supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
122,2020/11/19,Mhlathuze Water,"Assessment and repair of the two defective pumps (number 4
and spare pump) and two defective split casing pumps for the
Tugela Goedertrow Transfer Scheme",Sulzer Pumps (Pty) Ltd,"1 486 392,69",Original Equipment Manufacturer (OEM),Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
123,2020/11/06,Mine Health and Safety Council (MHSC),provision of office accommodation,Emira Property Fund,"4 098 012,00",Finalisation of tender process,Extension of Accommodation Leases,Supported,Not stated,Not stated
124,2020/11/27,"Msinsi Holdings (SOC) Ltd,","Sage Pastel Evolution System Integrated Business Solution for
a Computerised Maintenance Management and Customer
Relationship Management System for three (3) years",Not Stated,Not Stated,Close-bidding,Accredited Partners,Conditional Support,Not stated,Not stated
125,2020/11/24,Municipal Infrastructure Support Agent (MISA),Software licence agreement,Sage South Africa,"199 839,00",Continuity of service,Preferred Supplier / Single Source,Conditional Support,not stated,not stated
126,2020/10/29,National Credit Regulator (NCR),Removal and installation of printers,Konica Minolta,"525 000,00",Current provider of this service,Preferred Supplier / Single Source,Conditional Support,not stated,not stated
127,2020/12/03,National Credit Regulator (NCR),Legal services,Dlamini Attorneys,"2 000 000,00",Single source,Value-for-money,Conditional Support,not stated,not stated
128,2020/10/16,National Energy Regulator of South Africa,"Procurement of electronic national and international
newspapers",ReadPress,"1 279 900,00","Only PressReader can provide electronic
international newspapers","Lack of understanding of procurement
legislation",Not Supported,Not Stated,"Fina
Not Stated"
129,25/9/2020,National Home Builders Registration Council,"Office accommodation for Richards Bay Office for a period of 5
years","Excellerate Real Estate Services
(Pty) Ltd t/a JHI","1 152 321,54","NHRBC has found it difficult to find office
space in Richards Bay which meets all the
institution’s specifications","Drafting of poor specifications (TORs)
and evaluation criteria",Conditional Support,1/10/2020,30/9/2023
130,2020/12/01,National Library of South Africa (NLSA),Procurement of tattle tapes,CSX Holdings,Not Stated,Single Source,Business continuity,Supported,2021/01/01,2021/12/31
131,2020/09/16,National Prosecuting Authority of South Africa (NPA),Provision of facilities management service for NPA office f,Rebosis Property Fund,"98 013 505,68",Continuation of service,Poor contract management,Conditional Support,not stated,not stated
132,2020/10/12,National Research Foundation (NRF),Provision of ten(10) x Titanium (Ti) Positron Source Capsules,Dr. Reinhard Krause-Rehberg,"4 692 187,50",Sole supplier,Sole Supplier – e.g. OEM,Noting,Not Stated,Not Stated
133,2020/12/08,National Research Foundation (NRF),Senior Software Development Skills,SHB Ventures,"1 004 640,00",Urgent Requirement,Poor Planning,Conditional Support,2021/01/04,2021/08/03
134,2020/11/02,National Treasury,"Single Source appointment for the development of a costing
model","Liberty Corporate (a division of
Liberty Group)","257 000,00",Single Source,Poor contract management,Supported,Not Stated,Not Stated
135,2020/09/25,National Treasury,Distribution of RSA retail bonds,South African Post Office,Not stated,Sole supplier,Non-responsive market,Supported,Not stated,Not stated
136,2020/12/11,National Treasury,"Online subscription of Financial Times
service",Financial Times,"2 446 494,00",Renewal of subscription,Business Strategy/operations,Supported,Not Stated,Not Stated
137,2020/10/13,Office of the Chief Justice (OCJ),Software Licenses,Pursuit Knowledge Consulting,"2 789 665,50",Emergency Procurement,System Hack,Noting,Not stated,Not stated
138,2020/12/03,Office of the Chief Justice (OCJ),"Reconfigure, re-instate, operationalise and support the
Information Technology Service Management System (ITSM)",Marval Africa,"2 032 707,00","There is no ICT helpdesk operational at the
OCJ and OCJ already owns the Marval
software which was procured in 2016",Preferred Supplier / Single Source,Conditional Support,Not Stated,Not Stated
139,2020/12/15,Office of the Chief Justice (OCJ),"Design and implement a combined assurance model and (ii)
provision of ICT hardware to refresh the OCJ infrastructure.",Not Stated,Not Stated,Continuation of service,Service Delivery Urgency,Conditional Support,Not Stated,Not Stated
140,2020/10/14,Passenger Rail Agency of South Africa (PRASA),"Leasing of seven diesel type locomotives for deployment
between Johannesburg and Eastern Cape corridor covering the
top three high-income routes for Mainline",Premifield (Pty) Ltd,"28 999 320,00","Continuity on the provision of goods and
works,",Business continuity,Conditional Support,Not stated,Not stated
141,2020/12/14,Passenger Rail Agency of South Africa (PRASA),"Provide technical assistance for PRASA for condition
assessment, rehabilitation and maintenance of the network",Transnet,"1 100 000 000,00",Single Source,Preferred Supplier / Single Source,Conditional Support,2021/01/01,2022/12/31
142,2020/12/15,Passenger Rail Agency of South Africa (PRASA),National Private Security Services,Not Stated,"902 000 000,00",Single Source,Preferred Supplier / Single Source,Conditional Support,2021/01/01,2021/12/31
143,2020/10/20,Petroleum Agency South Africa (PASA),Provision of Questor Software,IHS Markit,"1 419 130,00",Continuation of service,"Inadequate market research and
analysis",Not Supported,Not Stated,"Fina
Not Stated"
144,2020/11/30,Petroleum Agency South Africa (PASA),"Installation of additional seismometers and provide baseline
seismic data as part of the shale gas strategic project",Council for Geoscience,"7 823 008,00",Sole source,Sole Supplier – e.g. OEM,Supported,Not stated,Not stated
145,2020/10/07,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Provision of funding for three projects.,Various service providers,"40 500 000,00","Commercial banks require government
guarantees","Inadequate market research and
analysis",Supported,Not Stated,"Fina
Not Stated"
146,2020/10/08,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Transportation of bulk fuel to Transnet sites for two months,Various service providers,"8 700 000,00","PetroSA has a panel contract for the service
and require time to conclude a new contract","Use emergency provision to enter into
long term contracts",Supported,Not Stated,"Fina
Not Stated"
147,2020/11/23,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Provision of occupational medical services,Dr JR Beneke,"1 434 800,00","No suitable service provider found during a
normal tender process",Closed bid process (Limited market),Conditional Support,Not stated,"Fina
Not stated"
148,2020/10/19,Public Investment Corporation SOC Ltd (PIC),Appointment of Sello Moloko as financial expert,Mr. Sello Moloko,"1 716 000,00",Unique service and shortage of time,Business continuity,Supported,Not stated,Not stated
149,2020/10/02,Railway Safety Regulator,Provision of profiling / marketing of safety awareness,Gautrain,"1 151 885,61","Gautrain has marketing infrastructure at their
stations and are unique","Lack of understanding of procurement
legislation",Supported,Not Stated,"Fina
Not Stated"
150,2020/10/15,Railway Safety Regulator,"Legal representation at the Commission for Conciliation
Mediation and Arbitration (CCMA) and in the Labour Court",MM Baloyi Attorneys,"495 850,00",Continuation of service,Poor Planning,Supported,Not Stated,"Fina
Not Stated"
151,25/9/2020,Road Accident Fund (RAF),Medical experts for RAF,Various Experts,"0,00",Continuation of services.,Tender Cancellation,Conditional Support,Not stated,"Fina
Not stated"
152,2020/11/13,Road Traffic Management Corporation (RTMC),Supply of 94 Polo Hatch 2.0 GTI DSG,VW SA,"38 543 031,22",Urgency,"Inadequate market research and
analysis",Not Supported,Not stated,Not stated
153,2020/11/06,Road Traffic Management Corporation (RTMC),Lease accommodation for RTMC Durban Office,Postem Trading (Pty) Ltd,"302 970,96",Continuation of services.,Business continuity,Within AA/AO mandate Noting,2021/01/01,2021/09/30
154,2020/12/06,Road Traffic Management Corporation (RTMC),RTMC Licences,Microsoft,"5 459 890,14",OEM,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
155,2020/10/14,Sedibeng Water,"Recruitment of individuals to form part of the Program
Management Office for period not exceeding a year.",Not Stated,"4 000 000,00",Shortage of key critical skills.,Business continuity,Conditional Support,Not stated,Not stated
156,2020/10/29,Sentech,"Supply, deliver, install and maintenance of high-power
broadcasting TV and FM transmitters",Rohde & Schwarz (R&S),"18 708 867,70",Sole Supplier,Sole Supplier – e.g. OEM,Conditional Support,Not Stated,5 years
157,2020/10/13,Sentech,C-Band satellite services,Intelsat,"1 037 000,00",Cost implications,Business continunity,supported,2020/10/01,2020/12/31
158,2020/12/03,Sentech,C-Band Satellite services orbit location 62 east,Intelstat,"6 058 800,00",Finalize the internal approval processes,Business continunity,Supported,Not Stated,Not Stated
159,2020/10/05,Small Enterprise Development Agency (SEDA),"For the renewal of annual Customer Relation Management
(CRM) licenses and software",Acctech Systems (Pty) Ltd,"1 114 798,50",Single Source,Continue using existing software,Supported,2020/11/01,2021/10/31
160,2020/10/08,Small Enterprise Development Agency (SEDA),New Lease agreement,"Sanlam Life Insurance Limited -
JHI Properties","1 226 994,60",SEDA merging with SEFA,Preferred Supplier / Single Source,Supported,2020/11/01,2022/10/31
161,2020/09/23,"South African Broadcasting Corporation SOC Limited
(SABC)",Microsoft Enterprise products,Microsoft Ireland Limited,"69 077 788,01",Sole supplier,Sole Supplier – e.g. OEM,Supported,2020/11/11,2021/06/30
162,8/10/2020,"South African Diamond and Precious Metals
Regulator",Microsoft licences,Microsoft,"4 390 149,75","Memorandum of Understanding (MOU) signed
by SITA and National Treasury on behalf of
Government with Microsoft",Accredited Partners,Supported,1/12/2020,30/11/2021
163,2020/10/02,"South African Forestry Company SOC Limited
(SAFCOL)","Inbound logistics transportation of round log at Entabeni
Plantation",Buhle Betfu Carriers,"5 091 098,00",Continuation of service,"Failed tender processes; Restart tender
processes",Conditional Support,3 months,3 months
164,2020/11/11,"South African Forestry Company SOC Limited
(SAFCOL)","WAN maintenance and
support to SAFCOL",Mint Fresh Trading,"18 337 536,00",Continuation of service,"Inadequate market research and
analysis",Conditional Support,6 months,6 months
165,2020/10/28,South African Maritime Safety Authority (SAMSA),"Replacement of the wire and net monitoring system FS20/25
with SIMRAD FS70 for vessel name Africana.",Marime Radio Acoustic,"1 173 086,25",Sole supplier of the system,Sole Supplier – e.g. OEM,Conditional Support,Not stated,Not stated
166,2020/12/09,South African Maritime Safety Authority (SAMSA),"Removal of obsolete engines, supply and commissioning of the
replacement engines",Not Stated,"45 000 000,00",Limited Supplier,Closed bid process (Limited market),Conditional Support,Not stated,Not stated
167,2020/10/20,South African Medical Research Council (SAMRC),Appeal: Report for the procurement of Hamilton products,Separations,"30 000 000,00",Sole suplier,"Lack of understanding of procurement
legislation",Not Supported,Not Stated,"Fina
Not Stated"
168,2020/10/12,South African Medical Research Council (SAMRC),"Procurement QuantStudio 5 Real -Time PCR systems including
approved COVID-19 Reagents",LTC Tech South Africa,"7 000 000,00",Sole supplier,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
169,2020/12/03,South African National Biodiversity Institute (SANBI),IQUAL User Licence,Predicate Logistics,"621 120,00",Single Source,Business continuity,Conditional Support,Not Stated,Not Stated
170,2020/09/23,South African National Parks (SANParks),Car insurance,Marsh/Indwe,"40 000 000,00",Tender process failed,Poor Planning,Not Supported,2020/10/01,2021/09/30
171,2020/10/30,South African National Parks (SANParks),Exemption on Resale goods,Different service providers,Not Stated,Single Source,Business continuity,Conditional Support,2020/11/01,2022/10/31
172,2020/10/27,South African National Space Agency (SANSA),New Lease,Notre Damme (Innovation Hub),"143 413 580,46",Single Source,Business Strategy/operations,Conditional Support,2022/03/01,2032/03/31
173,2020/11/10,South African Police Service (SAPS),Rheinmetal Denel Munition,"Procurement of pyrotechnical
equipment (ammunition)","25 000 000,00","making the specification public will
compromise SAPS",Preferred Supplier / Single Source,Supported,Not stated,Not stated
174,2020/11/25,South African Police Service (SAPS),Procurement of Building Material,Nominated Procedure,"14 771 825,00",Limited bidding process,Inadequate market research and analysis,Not Supported,Not stated,Not stated
175,2020/11/26,South African Police Service (SAPS),"Supply, print and distribute firearms licence.","Government Printing Works
(GPW)","0,00","Current system is absolete and SAPS is
currently drafting the specification for the new
system",Business continuity,Supported,Not stated,Not stated
176,2020/12/10,South African Police Service (SAPS),Completion of 10% for the Labware project,Labware Africa (Pty) Ltd,"1 127 348,06",Changes in the specification,Expansion of scope (time & material),Not Supported,Not stated,Not stated
177,2020/11/28,South African Police Service (SAPS),"Convert three (3) surveillance, purpose-built vehicles",Afrimeasure,"253 651,70","Afrimeasure could not be contracted due to
COVID 19 lockdown",COVID-19,Conditional Support,Not Stated,Not Stated
178,2020/12/11,South African Post Office (SAPO),SAP license support maintance,SAP,"9 122 177,00",Continuation of service,Preferred Supplier / Single Source,Supported,2021/01/01,2020/12/31
179,2020/10/06,South African Revenue Service (SARS),Procurement of second hand cleaning equipment,Various suppliers,"1 000 000,00",Cost effective,Business continuity,Supported,Not stated,Not stated
180,2020/11/17,South African Revenue Service (SARS),"Letting of Canteen space at Alberton SARS campus at below
market rate",Not Stated,Not Stated,"The selling of food products by the previously
appointed Service Providers at market-rates or
even above market-rates has proven to be
problematic and had an adverse effect on the
overall canteen and its intended purpose.",Business Strategy/operations,Not Supported,Not Stated,Not Stated
181,2020/11/17,South African Revenue Service (SARS),"Maintenance and support of licenses for the enterprise content
management (document & captiva), streamserve and
professional services for 24 months",OpenText,"27 661 875,73",Sole Supplier,Business continuity,Conditional Support,Not Stated,Not Stated
182,2020/11/23,South African Revenue Service (SARS),"Appointment of 2 expert witnessess to SARS by Estina (Pty) Ltd
in support of the declaration to customs at the time of
importation.",Mr D. Maree and Mr J Burger,"60 600,00",Preferred service providers,Business continuity,Conditional Support,Not Stated,Not Stated
183,2020/11/24,South African Revenue Service (SARS),Provision of armed response and alarm monitoring services,"Maxi Phumelela Security Services
(Pty) Ltd","828 000,00",Appointment of second highest bidder,"Easy way out (making deviations
normal way of procurement)",Supported,2020/12/01,2023/11/30
184,2020/12/15,South African Revenue Service (SARS),Feedback from SARS,Gartner,Not Stated,Noting,Poor Planning,Noting,Not Stated,Not Stated
185,2020/11/26,South African Social Security Agency (SASSA),"New lease agreement with the Bikitsha Properties for SASSA
local offices at Khayelitsa for a period of three (3) years",Bikitsha Properties,Not stated,Continuation of service,Business Strategy/operations,Conditional Support,5 years,5 years
186,2020/11/24,South African Social Security Agency (SASSA),"Advertise bids on the National Treasury’s e-tender portal and
the agency website only",Not stated,Not stated,Continuation of service,Business Strategy/operations,Conditional Support,Not stated,Not stated
187,2020/12/09,South African Social Security Agency (SASSA),Training programmes offered by NSG for a period of 5 years,Not stated,Not stated,Business Strategy/operations,Business Strategy/operations,Supported,not stated,not stated
188,2020/10/21,South African Tourism,"To partner with Soulistic music to launch the World Tourism Day
and the official opening of the Tourism","Soulistic agency of Southern
Africa Pty (ltd)","2 800 000,00",Single Source,Poor Planning,Noting,2020/09/27,2021/12/31
189,2020/11/11,South African Tourism,Reporting:Brazil office operations cost,TI Communicacoes,"2 500 000,00",Sole supplier,Sole Supplier – e.g. OEM,Noting,2020/04/01,2021/12/31
190,2020/11/11,South African Tourism,Reporting: QIT Support (grading system),M Assessment service limoted,"2 100 000,00",Sole supplier,Sole Supplier – e.g. OEM,Noting,2020/12/01,2021/06/30
191,2020/11/10,South African Tourism,"To partner with Soulistic music to launch the World Tourism Day
and the official opening of the Tourism","Soulistic agency of Southern
Africa Pty (ltd)","2 800 000,00",withdrawal,Poor Planning,Not Supported,2020/09/27,2020/12/31
192,2020/11/11,South African Tourism,System upgrade and licensing,Oracle,"7 916 341,06",Ratification of amount,Continue using existing software,Conditional Support,2020/09/01,2023/08/31
193,2020/12/08,South African Tourism,Additional 140 license,Monday.com,"914 457,50",Single Source,Continue using existing software,Conditional Support,Not Stated,Not Stated
194,2020/11/30,South African Weather Service,Office accommodation in George,ACSA,"1 991 367,20",Single Source,Preferred Supplier / Single Source,Conditional Support,2021/01/01,2025/12/31
195,2020/12/04,South African Weather Service,Reporting: Procurement of a Tekran Speciation Unit and Spares,C&M Consulting Engineers,"1 430 548,25",Sole supplier,Business continuity,Noting,Not Stated,Not Stated
196,2020/12/08,South African Weather Service,Renewal of the Microsoft Enterprise license agreement,Microsoft Corporation,"7 800 000,00",Single Source,Continue using existing software,Noting,2021/01/01,2023/12/30
197,2020/12/08,South African Weather Service,"To deliver/install two new Lumex Mercury Analyzer at De Aar
and Kimberly Weather Offices",Chemoquip Pty Ltd,"1 768 700,00",Single Source,Preferred Supplier / Single Source,Noting,once off,once off
198,2020/10/21,State Security Agency (SSA),Extension of SSA domestic lease agreement,Not stated,Not stated,Continuation of service,Poor contract management,Not Supported,2 years,2 years
199,2020/11/05,State Security Agency (SSA),Hiring of aircraft (Charter Flight Services).,Not stated,"5 000 000,00",Business operations,Service Delivery Urgency,Conditional Support,not stated,not stated
200,2020/12/09,South African Social Security Agency (SASSA),Kuruman Office Lease,Not stated,Not stated,Continuation of service,Business continuity,Not Supported,not stated,not stated
201,2020/10/13,Strategic Fuel Fund,Procurement of PetroSA's Refinery feedstock,Not Stated,Not Stated,"Only YOHO heavy consendate is processed by
the Refinary","Lack of understanding of procurement
legislation",Not Supported,Not Stated,"Fina
Not Stated"
202,2020/11/28,The Presidency,Review and reconfigure the organisational structure,"Government Technical Advisory
Centre (GTAC)",Not Stated,“Fit for purpose” organisation,Inadequate market research and analysis,Not Supported,Not stated,Not stated
203,2020/10/30,The Presidency,Brand Specific Trend Micro Antivirus license,Not Stated,"2 000 000,00",New Software costly,Business Strategy/operations,Conditional Support,Not stated,Not stated
204,2020/11/19,The Presidency,Increased bandwidth,ABSOL,"164 887,00",Increased traffic to website,Preferred Supplier / Single Source,Within AA/AO mandate Noting,Not stated,Not stated
205,2020/12/11,The Presidency,Asset verification 2020/21,TAT I-Chain Technologies,"530 000,00",Has current support and maintenance contract,Preferred Supplier / Single Source,Conditional Support,Not stated,Not stated
206,2020/11/20,"The South African National Roads Agency SOC Ltd
(SANRAL)","Provision of system maintenance and support of the current
Freeway Management System, Advanced Traffic Management
System and Advanced Management Traveller Information
System",IBI Group Professional Services,"149 008 660,00",Sole source,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
207,2020/12/03,"The South African National Roads Agency SOC Ltd
(SANRAL)","Routine Road Maintenance on National Route R63 Section 13
(KM0.00) to Section 16 (KM 43.64) between Adelaide and N2",Messrs. Kew Maintenance,"11 165 000,00",emergency,Service Delivery Urgency,Noting,Not stated,Not stated
208,2020/11/09,Trans-Caledon Tunnel Authority (TCTA),Johannesburg Stock Exchange (JSE) Debt Sponsor,One Capital,"5 094 500,00",Unsuccessful contracting with current provider,"Drafting of poor specifications (TORs) and
evaluation criteria",Conditional Support,Not stated,Not stated
209,2020/11/09,Trans-Caledon Tunnel Authority (TCTA),"Migration, implementation and support of the Oracle Fusion
solution",Oracle SA,"33 674 300,00","Oracle is an OEM of the product and owns the
IP",Continue using existing software,Not Supported,Not stated,Not stated
210,2020/11/17,Transnet SOC Ltd,"Special dispensation to confine selected contracts for the
exclusive benefit of the local communities and entrepreneurs
residing along the railway lines",Not stated,Not stated,"To empower the community and contribute to
the socio-economic challenges identified",Business Strategy/operations,Conditional Support,Not stated,Not stated
211,2020/11/17,Umgeni Water,"Review and closing of gaps within Asset Management in line
with ISO 55001",IMQS,"2 500 000,00",Limited accredited training institutions,"Lack of understanding of procurement
legislation",Not Supported,Not stated,Not stated
212,2020/10/29,Unemployment Insurance Fund (UIF),Cleaning services,"Powerful Cleaning and Projects
(Pty) Ltd","2 218 038,00",Continuation of service,Business Continuity,Noting,2019/03/12,2022/02/12
213,2020/10/20,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)",SABC,"4 999 360,50",Sole supplier,Covid19,Noting,Not stated,Not stated
214,2020/10/20,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)",Prime Media,"3 341 255,80",Sole supplier,Covid19,Noting,Not stated,Not stated
215,2020/10/20,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)",ESAT Pty Ltd,"1 290 300,00",Sole supplier,Covid19,Noting,Not stated,Not stated
216,2020/10/20,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)",SABC,"4 675 000,00",Sole supplier,Covid19,Noting,Not stated,Not stated
217,2020/10/20,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)",Media Mark,"2 892 540,38",Sole supplier,Covid19,Noting,Not stated,Not stated
218,2020/10/27,Unemployment Insurance Fund (UIF),T5 Supercluster Business Critical Assistance,Oracle,"4 079 886,55",Sole supplier,Business continuity,Noting,2020/09/15,2021/09/15
219,2020/11/26,Unemployment Insurance Fund (UIF),"Covid19 awarness campaign for temporary employee/ employer
relief scheme (C19 TERS)","Nashua Telecommunications (Pty)
Ltd","39 000 000,00",Sole Supplier,Sole Supplier – e.g. OEM,Noting,Not Stated,Not Stated
220,2020/11/26,Unemployment Insurance Fund (UIF),"Additional licenses when the VO systems was migrated from
VO1 to VO2",Oracle Corporation SA,"6 998 595,00",Sole Supplier,Business continuity,Noting,Not Stated,Not Stated
221,2020/12/04,Unemployment Insurance Fund (UIF),"Technical advice and opinions on the implementation of
new/revised GRAP standards and financial disclosure of related
transactions",Altimax (PTY) LTD,"3 936 180,00",Continuation of service,Business continuity,Conditional Support,Not Stated,Not Stated
222,2020/11/13,"Universal Service and Access Agency of South Africa
(USAASA)",Investigate fraud cases at USAASA,Not Stated,Not Stated,No SCM capacity,"Easy way out (making deviations normal
way of procurement)",Not Supported,Not Stated,Not Stated
,,,,,,,,,,
,,,,,,,,,,
