,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended
date by AO/AA","Supported/Not
Supported","Contract Start
Date","Contract End
Date"
143,PetroSA,,Kimru (Pty) Ltd,Sole source,"39 925,00","239 580,00","686 867,00",2017/01/30,Conditional support,2017/05/01,2017/04/30
144,PetroSA,Provision online intranet subscription,LexisNexis (Pty) Ltd,Sole distributor,"250 800,00","1 585 762,00","3 401 630,00",2017/01/23,Conditional support,2017/01/01,2020/01/31
145,PetroSA,"Provision of the services of an Offshore
Installation Manager (OIM)",Afrishore Shipping,Continuity of service,"2 311 200,00","1 008 000,00","1 344 000,00",2017/02/13,Conditional support,2017/03/17,2017/08/04
146,PetroSA,"Provision of equipment hire service to
its Mossel Bay and Offshore facilities",Renttech (Pty) Ltd,Continuity of service,"17 027 517,00","13 000 000,00","0,00",2017/02/13,Conditional support,2014/12/01,2017/11/30
147,PetroSA,"Provision of high pressure cleaning,
vacuum cleaning and catalyst handling
services for its Mossel Bay and
Offshore facilities",Averda South Africa (Pty) Ltd,Continuity of service,"18 143 091,00","14 000 000,00","0,00",2017/02/13,Conditional support,2016/03/01,2019/02/28
148,PetroSA,"Provision of tube inspection, Guided
Wave Ultrasonic (GUL) and Incotest
inspection services for its Mossel Bay
and Offshore facilities.",Steel Test (Pty) Ltd,Insufficient approved contract value .,"19 704 591,00","3 302 076,00","0,00",2017/02/13,Conditional support,2015/11/01,2020/10/30
149,PetroSA,"Provision of Non-Destructive Testing
(NDT) services for its Mossel Bay and
Offshore facilities.",D-Tect Unit Inspection (Pty) Ltd,Continuity of service,"23 755 416,00","14 291 166,00","0,00",2017/02/13,Conditional support,2016/03/01,2019/02/28
150,PetroSA,Supply of valve spares,Aveng Africa (Pty) Ltd,"Accredited service provider authorized by
Fischer In RSA.","27 511 426,00","8 000 000,00","0,00",2017/02/14,Conditional support,2017/01/01,2019/12/31
151,PetroSA,"Provision of e-Recruitment Solutions
Licence, maintenance and support.",Pnet (Pty) Ltd,Continuity of service,"433 200,00","843 654,00","1 138 100,00",2017/02/21,Conditional support,2017/04/01,2020/03/31
152,PetroSA,"Supply of Runner Process Data
Extraction Solution to PetroSA",Innowera LLC,Current contract renewable annually,"7 080,00","3 600,00","2 160,00",2017/02/20,Conditional support,2016/11/01,2019/10/31
153,PetroSA,"Hiring of three tanks (94TK101 and
94TK102 for Diesel and 94TK103 for
Reformate)","ShellShell Downstream South
Africa (Pty) Ltd",Sole source,"18 011 465,00","3 134 787,00","26 030 372,00",2017/02/24,Conditional support,2017/04/01,2018/03/31
154,PetroSA,"Provision of InMagic software
maintenance and support",Mindex System,Continuity of service,"87 480,00","288 000,00","252 995,00",2017/02/22,Conditional support,2017/01/01,2019/12/31
155,PetroSA,Supply of seven (7) sim cards,Vodacom,Continuity of service,"5 640,00","44 108,00","33 972,00",2017/02/24,Conditional support,2017/04/01,2017/07/31
156,PetroSA,Provision of radiology services,"Drs Coetzer & H Bartlet and Dr
WE Scribante",Change on the scope of work,"900 000,00","900 000,00","1 330 000,00",2017/02/03,Conditional support,Not stated,2018/02/19
157,PetroSA,"Provision of rotation, delivery and
collection of backup tapes",Metrofile (Pty) Ltd,Continuity of service,"11 520,00","39 815,00","534 993,00",2017/02/27,Conditional support,2017/04/01,2017/08/31
158,PetroSA,"Provision of Neuralog and
NeuraScanner software maintenance
and support",Neuralog Inc.,Sole source,"1 530,00","8 236,00","14 014,00",2017/02/28,Conditional support,2017/03/01,2020/02/28
159,PetroSA,"Provision of Terminal Management
System software maintenance and
support",Dupleix Liquid Meters (Pty) Ltd,Continuity of service,"787 308,00","150 425,00","731 093,00",2017/02/27,Conditional support,2017/03/01,2017/12/31
160,PetroSA,"Provision the DevCraft Ultimate
software maintenance and support",Telerik Inc.,Continuity of service,"8 815,00","5 500,00","9 589,00",2017/02/28,Conditional support,2016/09/01,2019/08/31
161,PetroSA,Lease of land,Jannie Meyer & Seuns Boerdery,Continuity of service,"43 200,00","675 565,00","976 111,00",2017/03/08,Not Supported,Not stated,Not stated
162,PetroSA,"Legal services in respect of residual
disputes and issues",McDermott Will Energy UK LLP,Finalisation of abitration process.,250 000.00,"150 000,00","720590,00",2017/03/08,Conditional support,Not stated,Not stated
163,PetroSA,"Lease Agreement for Office
Accommodation",Central Energy Fund,Additional space required,"3 729 860,28","666 600,00","0,00",2017/03/08,Conditional support,2017/03/15,2021/09/30
164,PetroSA,"Re-fill and Certify 14 off NAF S125
Cylinders and one Nitrogin pilot",Fire Appliance Services,Sole source,"3 453 660,00","486 305,00","3 936 165,00",2017/03/20,Conditional support,2015/06/01,2018/07/31
165,PetroSA,"cylinder
Provision of maintenance and support
of Red Hat Enterprise Linux Services
Software.",First Technology (Pty) Ltd,Sole source,"7 815,00","28 110,60","27 573,00",2017/03/24,Not Supported,Not stated,Not stated
166,PetroSA,"Provision of ArcGIS Licence ,
maintenance and support",Esri South Africa (Pty) Ltd,Sole distributor of the software.,"802 200,00","460 760,00","130 000,00",2017/03/27,Conditional support,2017/04/01,2020/03/31
167,PetroSA,"Provision of representation services of
PetroSA Ghana Limited",Mr Clemment Vanderpuye,Continuity of service,"27 292,00","180 000,00","150 440,00",2017/03/27,Conditional support,2017/04/01,2020/09/30
168,PetroSA,Provision of cleaning services,"Supercare Service Group (Pty)
Ltd",Expansion of scope of work,"13 428 575,00","1 784 737,00","14 019 575,00",2017/03/28,Conditional support,2014/07/01,2017/06/30
169,PetroSA,"Maintenance and filing of PetroSA
intellectual property services",Hahn & Hahn,Continuity of service,"2 500 000,00","2 500 000,00","9 120 000,00",2017/03/28,Conditional support,2017/04/01,2019/03/31
170,PetroSA,"Provision of maintenance and support
of AVO,Strata and Emerge Software.",CGG Services,Sole Service Provider,"12 502,00","43 000,00","0,00",2017/03/28,Supported,2017/04/01,2020/03/31
171,PetroSA,"Provision of emergency standby rescue
teams",Toprope SA,Additional scope of work,"319 503,00","115 000,00","497,00",2017/03/30,Conditional support,2017/02/20,2017/03/29
172,PetroSA,"Supply and Maintenance of IP
Software.",Synergy Software Limited,Sole source,"42 490,00","38 932,00","328 013,00",2017/03/30,Conditional support,2017/04/01,2018/03/31
173,PetroSA,"Maintenance, update and support of
the IPM software suit",Petroleum Experts,Sole source,"8 123,00","41 991,00","496 878,00",2017/03/28,Conditional support,2017/04/01,2018/03/31
174,PetroSA,"Provision of Intellectual Property
Service",Adams & Adams,Continuity of service,"250 000,00","200 000,00","1 150 000,00",2017/03/30,Conditional support,2017/04/01,2019/03/31
175,"Planning, monitoring and
evaluation",Hosting of DPME Applications,Internet Solutions,Competitive bidding process in progress,"2 862 676,00","458 259,00","0,00",2017/03/17,Supported,2017/04/01,2017/09/30
176,Public Works,Repairs and Renovation,Solomon & Smith Property,Continuity of service,"2 724 397,00","557 343,58","0,00",2017/02/14,Not Supported,Not stated,Not stated
177,Public Works,Lease framework,Core Focus,Continuity of service,"1 672 000,30","3 344 000,00","0,00",2017/03/13,Not Supported,2017/03/01,2017/03/01
178,Public Works,Provision office accommodation,Van Wyk & Louw,Continuity of service,"3 994 607,00","240 381 757,30","0,00",2017/03/23,Conditional support,2017/08/01,2024/08/01
179,RAF,Provision of storage facilities,Metrofile (Pty) Ltd,Increase in the movement of files,"7 818 509,95","2 095 380,27","0,00",Not dated,Supported,2017/07/17,2018/02/16
180,RAF,Provision of parking facilities,Interpark,Competitive bidding process in progress,"6 78 400,20","6 44 015,46","0,00",2017/03/10,Supported,2017/02/03,2018/03/31
181,RAF,"Communication and advertising
services",GCIS,Expansion of scope of work,"117 617 400,00","46 763 470,70","0,00",2017/03/09,Supported,2015/04/01,2017/03/31
182,RAF,Banking services,Standard Bank,Competitive bidding process in progress,"1 080 830,00","7 50 000,00","4 844 351,55",2017/03/17,Supported,2017/06/01,2017/12/31
183,RAF,Cleaning services at Cape town office,J&M Cleaning Services,Competitive bidding process in progress,"4 29 290,52","2 29 596,60","0,00",2017/03/08,Supported,2016/05/01,2017/04/30
184,RAF,Provision of office accomodation,Skyscrapper,Competitive bidding process in progress,"11 590 206,00",13 498 056,"0,00",Not stated,Supported,2013/04/01,2018/03/31
185,"Rural Development & Land
Reform","Cleaning services in Nkangala Land
Restitution Support (LSR) Offices in",KaMatshika Services,Extended land claim period,"466 462,00","153 000,00","0,00",2016/12/21,Conditional support,2014/11/07,2017/04/22
186,"Rural Development & Land
Reform","Mpumalanga
Rendering of cleaning and hygiene
services at Cape Town deeds registry.","Horne's Projects and Enterprise
(Pty) Ltd",Competitive bidding process in progress,"999 407,00","290 700,00","0,00",2016/12/13,Conditional support,2015/06/01,2017/03/31
187,"Rural Development & Land
Reform","Development of a Demand
Management web-system","Odirile Corporate IT Holdings
(Pty) Ltd",Continuity of service,1498000,"357 960,00","0,00",2017/01/12,Conditional support,2015/06/01,2017/05/30
188,"Rural Development & Land
Reform","Investigation of officials from the office
of the Registrar of Deeds: Pretoria","Madlanga and Partner Inc.
Attorneys",Continuity of service,"91 200,00","91 200,00","0,00",2017/01/12,Conditional support,Not stated,Not stated
189,"Rural Development & Land
Reform","Provision of cleaning and hygiene
services","Kaysers Office Equipment and
Stationery Suppliers",Relocating to new offices,"666 034,00","141 587,00","0,00",2017/02/10,Conditional support,2017/02/01,2017/11/30
190,SA Tourism,Brand Tracking Survery 2004,"Integreon Managed Solutions
SA",Continuity of service,"20 591 276,00","8 904 000,00",32921000,2017/01/31,Supported,2017/01/01,2018/01/01
191,SAHRA,"Repair of airconditioner in the server
room",Striving Minds Trading,Continuity of service,"2 350,00","19 447,00","0,00",2017/02/06,Conditional support,Once off,Once off
192,SALGA,"Renewals of leases of various SALGA
provincial offices in Gauteng",Sanlam Life Insurance Ltd,Lease renewal,"14 142 086,34","12 461 026,20","0,00",2017/01/25,Conditional support,2016/08/01,2021/07/31
193,SALGA,"Renewals of leases of various SALGA
provincial offices in Limpopo",Mooimon Group,Lease renewal,"14 858 571,39","8 437 752,60","0,00",2017/01/25,Conditional support,2016/10/01,2019/09/30
194,SALGA,"Renewals of leases of various SALGA
provincial offices in Eastern Cape",RIO Ridge 4 (Pty) Ltd,Lease renewal,"9 751 270,16","8 581 646,27","0,00",2017/01/25,Conditional support,2016/08/01,2019/07/31
195,SALGA,"Provision of forensic investigation
services",SNG,Expansion of scope of work,"246 135,93","543 851,91","0,00",2017/03/08,Conditional support,2016/09/14,2016/12/07
196,SAMSA,Provision of security services,ADT Kusela,Competitive bidding process in progress,"3 612 531,74","387 637,00","0,00",2017/02/01,Not stated,2017/03/01,2017/06/30
197,SANAS,"Resolving a list of enhancements and
fixes glitches",Core Focus,Expansion of scope of work,"197 921,11","88 920,00","0,00",2017/03/14,Conditional support,Not stated,Not stated
198,SANBI,"Conduct detailed design, monitoring
and implementation support for the
rehabilitation activities associated with
Kingfisher Lake.",Groundtruth,Continuity of service,"475 872,00",663 538.00,52 896,2017/01/25,Conditional support,Not stated,Not stated
199,SANBI,"Professional architectural services
(Kirstenbosch National Botanical
Garden)",Vernon Mathews Architects,Continuity of service,"937 764,00","5 014 335,00","0,00",2017/03/14,Not Supported,Not stated,Not stated
200,SANEDI,Provision of secreterial service,Merchantec Capital (Pty) Ltd,"Continuity of service and change in the scope
of work","298 782,00","174 000,00","0,00",2016/03/17,Conditional support,2017/07/17,2017/12/31
201,SANParks,Data Service Agreements,Telkom,Continuity of service,"59 000 000,00","11 800 000,00","0,00",2017/02/06,Conditional support,2017/04/20,2022/04/20
202,SANParks,"Developmenent, implemention and
support of the gate security system in
the Kruger National Park",Mustek Limited,Continuity of service,"2 041 348,30","621 214,50","0,00",2017/02/23,Conditional support,2017/03/01,2017/05/31
203,SANRAL,"Construction of bridges, intersection
widening of Nroute R61",Triamic (Pty) Ltd,Extension of contract period,"230 701 754,39","15 838 137,84","71 207 160,46",2017/03/16,Conditional support,Not stated,"38 working days
duration"
204,SANRAL,"Operations supervision of Interoperable
open road tolling system in Gauteng","Tolplan and Toll Infrastructure
Services (Pty) Ltd",Continuity of service,"112 860 000,00","414 823 200,00","291 964 816,80",2017/02/26,Not Supported,Not stated,Not stated
205,SANRAL,"Consulting engineering services for
road markings",KBK Engineers (Pty) Ltd,Expansion of scope of work,"11 419 380,00","2 971 211,55","0,00",2017/02/16,Supported,Not stated,Not stated
206,SANRAL,"Rehabilitation of Route N6 between
Rouxville & Smithfield",Aurecon SA (pty) Ltd,Expansion of scope of work,"41 154 000,00","4 7 666 241,68","0,00",2017/02/16,Supported,Not stated,Not stated
207,SANRAL,"Consulting engineering services for the
investigation and special maintanace of
R56 sections 2,4,5,6 & 7 and R58
sections 4 & 5.",KBK Engineers (Pty) Ltd,Expansion of scope of work,"21 035 746,00","16 665 322,00","16 665 322,00",Not stated,Supported,2016/02/20,2018/08/11
208,SANSA,Travel management services,Travel Manor,"Travel Policy Framework not published yet by
National Treasury","9 366 080,00","1 500 000,00","5 800 000,00",2017/02/28,Supported,01 April 2017,2018/06/30
209,SANSA,Printing services,Instrostat,Competitive bidding process in progress,"94 474,00","13 121,00","0,00",2017/02/28,Conditional support,2016/11/01,2017/02/28
210,SAPO,SMS Alert/Notifications for Postbank,Internet Solutions,Single Source,Not Stated,"12 740 966,02",Not Stated,2016/11/02,Supported,2017/01/03,2019/01/04
211,SAPO,Provision of security service,NIK Security,Competitive bidding process in progress,"290 976,00","85 000,00",Not Stated,2017/03/07,Not Supported,2017/01/03,2017/03/31
212,SAPO,"Maintenance and Support of flexcube
Remit software",Oracle,Expansion of scope of work,"1 132 420,12","1 346 420,12",Not Stated,2017/02/23,Conditional support,2017/01/03,2017/02/28
213,SAPO,IT Security Services,Infoguardian,Continuity of service,"436 800,00","1 385 364,00",Not Stated,2017/02/21,Conditional support,2017/06/04,2017/06/10
214,SAPO,"Design a costing model on ABC
Costing Software",BPS,Expansion of scope of work,"1 043 667,53","1 387 422,21",Not Stated,2017/08/03,Conditional support,2017/01/08,2020/07/31
215,SAPO,"Maintenance and Support for
Interchange as an EFT solution.",Payteq,Continuity of service,"1 341 143,37","4 578 276,54",Not Stated,2017/01/15,Conditional support,2017/01/04,2020/03/31
216,SAPO,SMS Alert/Notifications for Postbank,Internet Solutions,Continuity of service,Not stated,3 727 291.39,Not Stated,2016/11/22,Supported,2017/01/04,2019/01/12
217,SAPS,"Conversion of fifteen by four ton Trucks
into mobile Community service centers",TFM Manufacturing (Pty) Ltd,Expansion of scope,"11 197 500,00","22 395 000,00",Not Stated,2017/02/21,Not Supported,2017/03/08,2017/04/07
218,SARS,Lease of Warehouse,Tribeca Properties,Continuity of service,"4 013 302,96","4 254 102,24","0,00",2017/01/25,Supported,2017/01/01,2017/12/31
219,SARS,Provision of office accomodation,Pavillion Building,Continuity of service,"28 019 006,44","18 600 000,00","27 000 000,00",2017/01/25,Supported,2016/09/01,2018/08/30
220,SARS,"Network Infrastructure Services for
Internet Solutions",Dimension Data,Continuity of service,"866 338 252,47","78 767 857,00","161 231 023,00",2017/01/23,Conditional support,2017/03/01,2017/08/31
221,SARS,"Maintenance services of Lectora
licenses",Bytes People Solutions,Continuity of service,"182 400,00","3 08 098,03","0,00",2017/02/01,Conditional support,2017/03/01,2020/02/28
222,SARS,Employees Health and Awareness,ICAS Southern Africa,Competitive bidding process in progress,"16 357 777,50","9 08 765,42","2 410 045,42",2017/02/09,Supported,2017/03/01,2017/04/30
223,SARS,Short messaging services,Vodacom & MTN,Continuity of service,"52 829 324,00","7 514 000,00","12 876 263,54",2017/02/16,Conditional support,2017/03/01,2017/08/31
224,SARS,"Implement and integrate e-sourcing
Phase II to CSD",Bayajula,Continuity of service,"5 307 383,00","2 133 407,40","0,00",2017/02/16,Conditional support,2017/03/01,2017/08/31
225,SARS,Panel of Legal Advisors/Attorneys,Various Legal Advisors,Competitive bidding process in progress,"218 460 000,00","82 899 450,06","105 431 079,06",2017/03/27,Conditional support,Not stated,Not stated
226,SARS,Lease agreement: North Park Mall,SA Retail Properties Limited,Continuity of service,"10 836 492,92","12 850 900,09","0,00",2017/03/29,Conditional support,2017/09/01,2022/08/31
227,SARS,"Lease agreement: Pietermarirtzburg
SARS Branch","The trustees for the time of the
Sleepy Hollow Trust",Continuity of service,"42 024 684,71","59 385 225,79","0,00",2017/03/29,Conditional support,2017/06/01,2022/05/31
228,SARS,Media buying services,Spacegrow Media,Competitive bidding process in progress,"109 445 000,00","9 600 000,00","96 415 444,00",2017/03/27,Conditional support,2017/04/01,2017/05/31
229,SARS,"Maintenance of Enterprise Architecture
toolset",Casewise SA,Continuity of service,"1 613 823,29","9 806 961,61","3 116 942,29",2017/03/28,Not Supported,2017/03/17,2020/02/28
230,SASSA,Provision of office accomodation,Fetakgomo Municipality,Continuity of service,"2 71 814,40","2 44 985,45","2 69 484,55",2016/11/18,Conditional support,2016/11/01,2021/10/31
231,SASSA,Metro Ethernet Wan Connectivity,Telkom,"Upgrade from Metro Ethernet connectivity to
Diginet","6 535 360,80","5 625 852,24","0,00",2017/01/05,Conditional support,2017/01/05,Not stated
232,SASSA,Pay social payment assistance benefits,Cash Paymaster Services,Continuity of service,"16,44","0,00","16,44",2017/02/07,Conditional support,Not stated,Not stated
233,SEDA,Travel Service,Various service providers,Competitive bidding process in progress,Not Stated,"11 000 000,00",Not Stated,2017/01/13,Condiional Support,2017/04/01,2017/09/30
234,SENTECH,Appointment of CEO and HR Executive,Human Communications,Expansion of contract scope,"429 000,00","80 219,70","0,00",2017/03/06,Conditional support,Once off,Once off
235,SITA,"Maintenance and support of the Kofax
product",Intervate Solutions,Continuity of service,"1 290 560,52","903 244,18","0,00",2017/01/31,Supported,2017/05/01,2018/08/31
236,SITA,Access links and Bandwidth,Ethekwini Municipality,Continuity of service,"18 800 210,00","5 665 469,40","1 2 501 525,04",2017/03/27,Not Supported,2017/03/01,3 Years
237,SITA,"Provision of cabling network
equipment, maintenance and support",Sizwe IT Group (Pty) Ltd,Continuity of service,"0,00","25 650 000,00","0,00",2017/03/01,Not Supported,2016/10/03,2017/03/31
238,SITA,"Provision office accomodation
(Moolman Polokwane)",East and West Investments,Continuity of service,"1 053 251,88","11 841 548,36","26 247 738,39",2017/02/08,Conditional support,2017/04/2017,2020/03/31
239,SITA,"Provision office accomodation (Durban
Offices)",JHI Properties,Continuity of service,"7 296 529,80","58 734 995,67","99 722 685,77",2017/03/17,Conditional support,2017/04/01,2020/03/31
240,SITA,"Maintenance and support of the
BarnOwl Risk Management",IDI Technology,Competitive bidding process in progress,"524 016,96","144 310,32","667 265,83",2017/03/20,Not Supported,2017/04/01,2018/03/31
241,SITA,Independent audit and risk assessment,Bowman Gilfillian Incorporated,Expansion of scope,Not stated,"9 680 503,47","0,00",2017/03/23,Not Supported,Not stated,Not stated
242,SITA,Operating system licences and support,Business Connexion,Expansion of scope,"465 929 596,00","512 522 555,60","0,00",2017/03/24,Not Supported,2017/04/01,5 Years
243,SIU,Provison of office space,Bishop’s Court Building,Competitive bidding process in progress,"27 847 681,00","4 922 910,00","2 788 992,00",Not stated,Conditional support,Not stated,Not stated
244,SIU,Provision of office space,East & West (Pty) Ltd,Competitive bidding process in progress,"7 318 559,00","1 639 064,00","992 969,00",Not stated,Conditional support,Not stated,Not stated
245,Stats SA,Printing services,Ren-Form CC,Continuity of service,"2 130 311,06","449 807,52","0,00",2017/03/09,Conditional support,2017/04/01,2017/06/30
246,Stats SA,Evaluation of trade statistics,Jacob Ryten,Continuity of service,"2 333 455,00","2 292 420,00","2 050 563,00",2017/03/29,Conditional support,2017/04/01,2018/03/31
247,TCTA,Provide disaster recovery services,Continuity SA,Competitive bidding process in progress,"583 903,00","356 951,00","1 442 559,00",2017/01/24,Conditional support,2013/10/01,2017/04/30
248,TCTA,"Drawing up of charges and assist in the
disciplinary hearing",KPMG,Continuity of service,"600 000,00","145 000,00","0,00",2017/02/06,Conditional support,Not stated,Not stated
249,TCTA,"Provide operations, maintenance and
management services for the Eastern
Basin Acid Mine Drainage Short Term
Treatment Plan","CMC – PG Mavundla Joint
Venture Ltd",Competitive bidding process in progress,"956 141 123,00","40 000 000,00","144 747 648,00",2017/02/22,Conditional support,2014/06/01,2017/08/30
250,TETA,Disciplinary hearing process,Mamabolo Phajane Attorneys,Continuity of service,"235 321,35","300 000,00","0,00",2017/03/13,Condiional Support,,
251,TETA,"Transition to new Deloitte SMS
platform",Deloittte Consulting (Pty) Ltd,Continuity of service,"5 950 800,0000","4 687 867,92","3 132 694,40",2017/03/16,Not Supported,2017/03/31,2020/03/31
252,Tourism,"Technical advice for the renewable
energy projects","WSP/Parsons Brincherhoof and
Mett Mc Donald/ Phabili Merz",Expansion of scope,"6 700 000,00","2 691 975,00","0,00",2017/02/14,Not Supported,2017/04/01,2018/05/31
253,Transnet,Construction of NMPP Terminal 1,"Group Five Construction (Pty)
Ltd",Expansion of scope,1 606 976 396.00,2 204 117 545.00.,"787 843 596,16",2016/12/14,Conditional support,2010/06/29,2017/07/31
254,Transnet,Instrumentation work for Terminal 2,"Group Five Construction (Pty)
Ltd",Continuity of service,671 877 171.16,2 367 026 777.00,"620 557 832,86",2016/12/14,Conditional support,2010/02/01,2017/07/31
255,Transnet,"CP Installation and DCVG Survey
Inspection services","Pipeline Performance
Technologies",Continuity of service,"9 605 158,00","5 916 021,46","0,00",2017/01/30,Conditional support,2017/02/01,2017/05/31
256,Transnet,Provision of external audit services,"SizweNtsalubaGobodo Inc.
(SNG)","Alignment of contract with final billing of
2016/17",381 000 000.00,"183 000 000,00","0,00",2017/01/20,Conditional support,2017/04/01,2018/03/31
257,Transnet,"Provision of voice and data cellular
services",MTN,Competitive bidding process in progress,"40 000 000,00","60 000 000,00","0,00",2017/01/25,Conditional support,2017/02/10,2017/08/09
258,Transnet,"Provision for freight protection security
services",Protea Coin Group,Competitive bidding process in progress,"35 551 560,00","33 168 533,40","195 225 923,50",2017/01/30,Conditional support,2017/02/01,2017/10/31
259,Transnet,"Provisioning of pension fund
administration services",Momentum,Competitive bidding process in progress,"76 807 609,00","29 974 087,00","29 974 087,00",Not stated,Supported,2017/05/01,2018/04/01
260,Transport,Live capture enrolment units,Not stated,Competitive bidding process in progress,"3 519 310,95","0,00","0,00",2017/01/17,Not Supported,Not stated,Not stated
