SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 3 (16 SEPTEMBER 2020 - 15 DECEMBER 2020) REPORT EXPANSIONS,,,,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2020/12/14,Agrément South Africa,Office Accomodation,"Council for Scientific and Industrial Research
(CSIR)",Contract extension,Not Stated,Not Stated,Not Stated,Conditional Support,2020/12/14,2021/03/01,2024/02/28
,2020/10/29,Air Traffic and Navigation Services (ATNS),Total Airport and Airspace Modeler (TAAM) Fast Time Simulation Software,TAAM,"To finalise reseach and
develop specifications for the
next tender process","7 468 315,56","11 425 284,00",0.00,Supported,2020/10/29,2020/11/16,2022/11/15
,2020/11/23,Air Traffic and Navigation Services (ATNS),Dynamics GP Support,Braintree VOX Telecommunications,New strategy adopted,"1 189 905,00","2 379 810,00",0.00,Supported,2020/11/23,2020/12/03,2021/05/02
,2020/09/21,Airports Company South Africa (ACSA),"Slot Management Solution for the Development, Support and Maintenance
of SCORE",Prolog Development Centre (PDC),"Difficult for users to do slot
coordination optimally and on-
going maintenance is","2 703 293,00","6 468 854,00","720 824,00",Conditional Support,2020/09/21,2021/04/01,2024/03/31
,2020/09/29,Amatola Water,"Professional services implementation Mthatha Bulkwater master plan,
refurbishment of Mathata Thornhill raw water pipeline, upgrading of Mthata
water supply, Thornhill bulk water supply upgrade and rehabilitation and
Rosedale to Libode WSS",Gibb (Pty) Ltd,"Adjust values to be in line with
final construction cost","90 092 303,74","61 877 515,08","329 787 116,17",Not Supported,2020/07/23,Not stated,Not stated
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Supplier Park,"Allow time to engage on a
new tender process","310 777,08","357 048,00",7 518 354.67,Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Capricon FET,"Allow time to engage on a
new tender process","59 272,50","323 242,12","59 272,50",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Klipdrift,"Allow time to engage on a
new tender process","117 079,20","558 116,80","852 087,94",Supported,2020/09/22,2020/11/13,2021/03/31
2020/10/19,Market Theatre Foundation,"Construction contract to change the designed block paving to a concrete
slab",LH Langa,Contract Variatiom,"631 345,60",1 974 637.50,0.00,Supported,2020/09/30,Not Stated,Not Stated
2020/10/02,Municipal Infrastructure Support Agent (MISA),Young Engineering graduates,Renaissance Network,variation request by end user,"135 240,00","6 528 313,00","5 802 944,00",Not Supported,2020/09/28,Not stated,Not stated
2020/12/04,National Agricultural Marketing Council (NAMC),Construction of custom feeding facilities in KZN,BICS Engineering,"Vandalism and theft of
materials","1 227 407,50","2 039 700,00",0.00,Supported,2020/12/07,Not stated,Not stated
2020/11/23,National Consumer Commission (NCC),Legal services,Maenetja Attorneys,Escalation of funds,"146 067,50","150 000,00",0.00,Conditional Support,2020/09/02,Not stated,Not stated
2020/11/23,National Consumer Commission (NCC),Legal services,Geldenhuys Malatji Attorneys,Insufficient funds,"118 006,50","470 000,00",0.00,Conditional Support,2020/09/16,Not stated,Not stated
2020/09/21,"National Prosecuting Authority of South Africa
(NPA)",Unified telephony services for the NPA for a period of six (6) months,EOH Mthombo (Pty) Ltd,"To allow for a new
procurement process","3 302 229,24","50,587,420.19","6,258,861.48",Conditional Support,2020/09/18,2020/11/01,2021/04/30
2020/10/21,"National Regulator for Compulsory Specifications
(NRCS)",Lease agreement,SABS,No intention to relocate,"54 000 000,00",Not stated,Not stated,Conditional Support,2020/10/23,2020/12/01,2025/11/30
2020/11/02,National Research Foundation (NRF),"Consulting for South African Isotope Facility (SAIF) project by iThemba
LABS",CSM Consulting Services (Pty) Ltd),Contract Variatiom,"6 679 825,00","9 849 000,00",0.00,Conditional Support,2020/10/26,Not Stated,Not Stated
2020/11/03,National Treasury,Provision of coaching services,"Tsheto Leadership and Coaching Academy (Pty)
Ltd",Continuation of service,"57 200,00","37 217,39",0.00,Supported,2020/11/03,Not stated,Not stated
2020/11/20,National Treasury,"The provision of financial statement consolidation software at the national
and provincial departments and national and provincial public entities",Infinitus Reporting Solutions (Pty) Ltd (Finnivo),Operational strategy,"2 600 000,00","2 035 661,00",0.00,Conditional Support,2020/11/20,2021/04/01,2024/03/31
2020/10/23,National Youth Development Agency (NYDA),Extension of a lease accommodation for NYDA Durban Branch,Delta Fund (Pty) Ltd,"Allow time to finalise the
tender process","445 777,02","3 038 275,65","382 271,36",Supported,2020/10/19,2020/11/01,2021/03/31
2020/12/15,Office of the Valuer General,Provision of project management services,Business Connexions,"Finalizing of HR process or
tender process","893 760,00",5 070 810.00,481 335.00,Conditional Support,2020/12/14,Not stated,Not stated
2020/12/02,"Perishable Products Export Control Board
(PPECB)",Provision of office rental space,Centurion Close Development (Pty) Ltd,"Properties in these two (2)
areas are not suitable for
laboratory services","6 536 638,54","20 910 921,54",0.00,Conditional Support,2020/12/02,2021/07/01,2023/08/31
2020/11/30,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Provision of security services at Mossel Bay,Fidelity Security Services,Continuity of service,"1 584 187,25","7 379 846,00","4 752 561,00",Supported,2020/11/30,2020/12/16,2021/01/15
2020/12/04,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",To charter the Greatship Manisha (PSV),Marine Crew Services,Continuity of service,"52 125 400,00","98 604 803,70",0.00,Supported,2020/12/04,Not stated,Not stated
2020/12/14,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Provision of an additional 10000m3 storage facilities,BP South Africa,"Strategic Imperatives and
business continuity","112 500 000,00","124 656 000,00",0.00,Supported,2020/12/14,Not stated,Not stated
2020/11/16,Public Investment Corporation SOC Ltd (PIC),Extension of contract of IT application (board papers),EOH,Tender process not finalised,"952 964,58",2 079 000.00,2 918 196.40,Conditional Support,2020/11/12,Not stated,Not stated
2020/11/09,"Public Service Sector Education and Training
Authority (PSETA)SETA","To assist in approaching labour court to regularise the appointment of 5
managers and executives",Maenetja Attorneys,Continuity of service,"427 000,00","402 500,00",0.00,Supported,2020/11/08,Not stated,Not stated
2020/12/04,Rand Water,39 Suppliers of water tankers for the Department of Education,Variours Suppliers,Clarity to National Treasury,"54 240 563,00","50,815,210.00","10,848,113",Not Supported,2020/11/24,Not stated,Not stated
2020/09/22,Road Accident Fund (RAF),Corporate Panel of Attorneys,Various Law Firms,Contract amount depleted,"20 000 000,00","30 000 000,00","4 500 000,00",Not Supported,2020/09/15,Not Stated,2020/09/30
2020/10/21,Road Accident Fund (RAF),Office ccommodation for RAF Durban Office,Delta Fund (Pty) Ltd,"Tender process failed and a
new strategy adopted","13 329 465,24","45 027 977,99","17 871 319,58",Not Supported,2020/09/29,2020/10/01,2021/09/30
2020/11/02,Road Accident Fund (RAF),Office accommodation for RAF Polokwane Customer Services Centre,TVR Beleggings CC,New strategy adopted,"716 375,04","3 201 680,21","1 136 374,62",Supported,2020/10/13,2020/12/01,2021/11/30
2020/10/21,Road Accident Fund (RAF),Office accommodation for RAF Nelspruit Services Centre,FKG (Pty) Ltd,New strategy adopted,"657 225,00","2 569 779,12",0.00,Supported,2020/10/13,2020/12/02,2021/12/01
2020/11/26,Road Accident Fund (RAF),Extension of a lease for RAF Mafikeng CSC,Columbia Falls Properties (Pty) Ltd,"Allow time to engage on a
new tender process","800 952,00","4 044 775,52","1 960 003,64",Supported,2020/10/22,2021/01/01,2021/12/31
2020/12/15,Robben Island Museum,"Short term insurance contract for marine and non-marine insurance
additional products",AON,Contract expansion,"562 181,00",891 347.00,0.00,Supported,2020/12/11,Not Stated,Not Stated
2020/11/10,"Safety and Security Sector Education and Training
Authority (SASSETA)",Office Accommodation,Attacq Waterfall Investment Proprietary Limited,Continuity of service,"159 435 887,82",10 812032.28,0.00,Supported,2020/11/08,2021/08/01,2025/07/31
2020/12/10,Sedibeng Water,"Project Management Unit - Vaal Gamaraga Regional Water Supply
Scheme",Ingerop,Continuity of service,-,"121 159 580,19",0.00,Not Supported,2020/12/09,2020/06/30,2021/11/30
2020/09/23,Small Enterprise Development Agency (SEDA),Office Accommodation in Swelledam Branch,Wolfaardt Trust usung Seef as Management,Business continuity,"386 560,40",495 491.04,0.00,Conditional Support,2020/09/30,2020/12/01,2022/11/30
2020/10/01,Small Enterprise Development Agency (SEDA),Office Accommodation in Beaufort West branch,N1 Support,Business continuity,"332 604,29",498 906.36,0.00,Conditional Support,2020/09/30,2020/12/01,2022/11/30
2020/10/27,Small Enterprise Development Agency (SEDA),Office Accomodation for Seda National Office,Savyon Building Pty Ltd,Business continuity,"33 248 029,00",88 459 264.44,11 609 045 .98,Conditional Support,2020/10/27,2021/01/01,2022/12/31
2020/11/18,Small Enterprise Development Agency (SEDA),Provision of security services,Fidelity Security Services (Pty) Ltd,15% variation of contract,"2 278 122,00",1 575 802.89,"606 915.33,",Conditional Support,2020/11/17,2021/01/01,2022/12/31
2020/11/06,"South African Broadcasting Corporation SOC
Limited (SABC)",Landmark Software Licence,Imagine Communications EMEA (UK) Ltd,Contract Variatiom,"9 961 325,00","11 109 974,00",0.00,Supported,2020/11/06,2021/01/01,2021/12/31
2020/11/26,"South African Broadcasting Corporation SOC
Limited (SABC)",Electronic Newsroom Production System,Inala Broadcast Technologies (Pty),"Contract expansion in excess
of 15%","36 522 983,23","13 479 392,88",0.00,Conditional Support,2020/11/26,2020/12/20,2021/12/19
2020/12/14,"South African Broadcasting Corporation SOC
Limited (SABC)",SAP Software,SAP South Africa (Pty) Ltd,Contract extension,"2 451 219,08","82 734 043,51","7 353 657,23",Supported,2020/12/14,2021/01/01,2021/04/30
2020/09/28,South African Civil Aviation Authority (SACAA),Provision of forensic investigation,Velile Tinto and Associates,"Hours which had been
allocated to the service
provider have been exhausted","75 000,00","499 928,00",0.00,Not Supported,2020/09/28,Not stated,Not stated
2020/09/30,South African Civil Aviation Authority (SACAA),Legal services,Panel of law firms,To finalise a tender process,Not stated,Not stated,0.00,Supported,2020/09/30,2020/10/01,2021/02/28
2020/10/07,South African Civil Aviation Authority (SACAA),Lease of office space,Growth Point Properties & Redefine Properties,To finalise a tender process,"30 438 058,23","56 248 104,24","70 673 382,20",Supported,2021/07/01,2022/06/30,2020/10/07
2020/12/03,South African Civil Aviation Authority (SACAA),Provision of security services,Laphinda Cleaning & Security Services,To finalise a tender process,"701 116,88",R4 256 214.62,"2 201 330,00",Supported,2020/12/03,2021/01/01,2021/02/28
2020/11/02,"South African Diamond and Precious Metals
Regulator",Disciplinary hearing - employer representative,Nishlan Moodley Attorneys,"To conclude disciplinary
hearing","212 522,88","250 000,00",0.00,Supported,2020/11/02,Not stated,Not stated
2020/11/02,"South African Diamond and Precious Metals
Regulator",Disciplinary hearing - Presiding officer services,Adv Prince Verveen,"To conclude disciplinary
hearing","169 840,00","250 000,00",0.00,Supported,2020/11/02,Not stated,Not stated
2020/11/09,"South African Health Products Regulatory
Authority (SAPHRA)",Provision of legal support,Gildenhyns Malatji Incorporated (GMI),"Allow time to finalise the
tender process","250 000,00","499 000,00",0.00,Supported,2020/11/09,2020/03/06,2021/03/05
2020/10/28,"South African National Accreditation System
(SANAS)",Internet & voice services and anti-virus service,Liquid Telecom & Infoguardian,"New tender process & appoint
new provider for antivirus","172 751,68",Not stated,Not stated,Conditional Support,2020/10/28,2021/03/01,2021/08/01
2020/10/14,"South African National Biodiversity Institute
(SANBI)",Adjustment of professional fees,Derek Kock& Associates,15% variation of contract,"145 504,37",649 196.00,"2 063 167,00",Not Supported,2020/10/13,Not Stated,Not Stated
2020/10/14,"South African National Biodiversity Institute
(SANBI)",Adjustment of professional fees,GIBB,15% variation of contract,"174 036,35",547 806.62,-,Not Supported,2020/10/13,Not Stated,Not Stated
2020/10/08,"South African National Biodiversity Institute
(SANBI)",Provision of telephone services at SANBI 's NZG Mokopane facilities,Kinetix Connect,15% variation of contract,"199 920,00",521 424.00,77 050.00,Not Supported,2020/09/11,Not Stated,Not Stated
2020/11/27,"South African National Biodiversity Institute
(SANBI)",Adjustments of professional fees,Element Consulting Engineers,15% variation of contract,"9 759 790,26","4 233 748,09",0.00,Not Supported,2020/11/24,Not Stated,Not Stated
2020/12/08,"South African National Biodiversity Institute
(SANBI)",Adjustments of professional fees,Bartsch Consult (Pty) Ltd,15% variation of contract,"1 638 759,36","477 660,00",0.00,Not Supported,2020/12/04,Not Stated,Not Stated
2020/12/02,South African Police Service (SAPS),Construction of New Police Station,Delta BEC (Architect),"Adjustment of consultants
fees","696 414,20","418 573,20",0.00,Supported,2020/11/30,Not stated,Not stated
2020/12/02,South African Police Service (SAPS),Construction of New Police Station,AAA CIvills (Civil and Structural Engineer),"Adjustment of consultants
fees","829 232,15","235 147,40",0.00,Supported,2020/11/30,Not stated,Not stated
2020/12/02,South African Police Service (SAPS),Construction of New Police Station,Delta BEC (Electrical Engineer),"Adjustment of consultants
fees","312 011,74","133 036,42",0.00,Supported,2020/11/30,Not stated,Not stated
2020/12/02,South African Police Service (SAPS),Construction of New Police Station,Delta BEC (Mechanical Engineer),"Adjustment of consultants
fees","243 316,15","121 669,38",0.00,Supported,2020/11/30,Not stated,Not stated
2020/12/02,South African Police Service (SAPS),Construction of New Police Station,Pros QS (Quantity Surveyor ),"Adjustment of consultants
fees","586 815,04","586 089,22",0.00,Supported,2020/11/30,Not stated,Not stated
2020/10/09,South African Revenue Service (SARS),Security Services,Fedility Security Serives and Thorburn Solutions,Handover process,"17 729 984,71",46 565 500.00,34 905 570.44,Supported,2020/10/09,2020/11/01,2020/11/30
2020/10/09,South African Revenue Service (SARS),Research Services,Gartner Research Advisory,Business Continuity,"9 827 900,00",16 397 370.12,0.00,Conditional Support,2020/10/0,2020/12/01,2021/11/30
2020/10/05,South African Revenue Service (SARS),RT08-2017 Removal and Storage of assets of auhority,DMS Fire and Security,Continuation of service,"33 882,45","139 121,12",0.00,Conditional Support,2020/10/05,Not stated,Not stated
2020/09/16,South African Revenue Service (SARS),Extension of lease for DURBAN Prospecton Industrial Warehouse,Tribecca Property Group,"Insufficient time for tender
process",-,Not stated,Not stated,Not Supported,2020/03/24,2021/01/01,2020/12/31
2020/11/16,South African Revenue Service (SARS),Request for lease extension of ORTIA office space and staff parking cargo,Airports Company South Africa (ACSA),Operational strategy,"131 495 869,02",4 412 168.36,26 995 403.55,Conditional Support,Not Stated,2021/01/01,2025/12/31
2020/11/16,South African Revenue Service (SARS),Request for lease extension at Saldanha Bay port,Transnet National Port of Authority,Operational strategy,"452 377,77",Not stated,448 713.15,Conditional Support,Not Stated,2021/01/01,2020/12/31
2020/10/20,South African Revenue Service (SARS),"Master Service Agreement (MSA) contract with strategic partners
(Barone,
Budge & Dominick - BB&D, Shandon and Ionize)","Barone, Budge & Dominick - BB&D, Shandon and
Ionize",Tender process not finalised,"355 000 000,00",Not stated,1 565 353 999.00,Conditional Support,2020/10/20,Not stated,Not stated
2020/12/09,South African Revenue Service (SARS),Customs Warehouse in Durban (Appeal),Tribecca Property Group,"Business Continuity and
tender process time",-,Not Stated,Not Stated,Conditional Support,2020/01/09,2021/01/01,2021/12/31
2020/11/17,South African State Theatre,Investigating allegations of theft and fraud against 2 employees,"Gobodo Forensic and Investigative Accounting
(GFIA)",Contract Variatiom,"357 548,00",429 638.16,0.00,Supported,2020/10/13,Not Stated,Not Stated
2020/12/14,South African Tourism,Upgrade to the existing system,RedEdge Pty Ltd,Variation of scope,"1 691 100,00",11 279 463.00,612 368.00,Supported,2020/12/08,Not Stated,Not Stated
2020/12/01,State Diamond Trader,Provision of ICT support services,Redwill ICT,To finalise a tender process,"196 000,00","2 020 718,00",147 000.00,Supported,2020/12/01,2021/01/01,2021/04/30
2020/10/30,State Information Technology Agency (SITA),Gauteng Provincial Government fully managed data centre (FMDC),Telkom/BCX SA SOC LTD,Sole Supplier,"27 079 563,26","267 789 088,96","13 676 771,63",Conditional Support,2020/10/28,2020/11/01,2021/04/30
2020/11/03,"The South African National Roads Agency SOC
Ltd (SANRAL)","Upgrade of national route 1 section 14 between Trompsburg interchange
(km 19.0) and Fonteintjie (km 39.0) toll roads",Aveng Grinaker LTA (Pty) Ltd,"consultant made errors when
evaluating the hardness of the
rock in the specified borrow
pits","34 440 938,30","358 539 849,60","94 286 839,25",Supported,2020/09/23,Not stated,Not stated
2020/09/28,"The South African National Roads Agency SOC
Ltd (SANRAL)",Provision of engineering services,TPO Consulting,"SANRAL needs seven months
to finalise a tender.","1 322 081,46","5 565 196,92","3 025 628,48",Supported,2020/09/28,Not stated,Not stated
,"The South African National Roads Agency SOC
Ltd (SANRAL)","Engineering services, preliminary and detailed design and construction
monitoring of the National Route 2 Section 21",JG Africa,"increased cost of works at
construction tender stage","2 315 752,32","1 421 511,60","16 148 559,67",Not Supported,2020/11/05,Not stated,Not stated
2020/12/09,"The South African National Roads Agency SOC
Ltd (SANRAL)","Provision of Management, Operation and Maintenance of N1 North Traffic
Control Centres",LCO JUV,compliance with Covid-19,"29 440 000,00","140 203 265,13",0.00,Conditional Support,2020/12/09,Not stated,Not stated
2020/11/04,Transnet SOC Ltd,Tippler 3 Project and Upgrade of Storm Water Project,"Various (Group 5, Sisonke JV, Khato Civils, Saryx
Engineering, Takraf Tenova, JHDA CKIT JV,
Aecom, GA Environmental, Nsovo Environmental)",Insufficient funds,0.00,Time extension,0.00,Conditional Support,2020/11/04,Not stated,2021/08/15
2020/11/09,"Transport Education Training Authority
(TETA)SETA","Prepare for the lodging and arguing of the matter between TETA and
Public Protector",Werkans Attorneys,Continuity of service,"1 900 000,00","482 080,00","719 891,20",Not Supported,2020/11/09,Not stated,Not stated
2020/11/06,Umgeni Water,"Construction of a 13.2km Long DN 650 Rising Main from Rosetta
Treatment Works to command Reservoir at Bruntville",WK Construction SA,"Final account settlement cost
based on Engineer Valuation","17 653 443,00","85 694 912,28","79 619 488,00",Not Supported,2020/11/06,Not stated,Not stated
2020/11/06,Umgeni Water,Construction ehabilitation of Durban Heights Reservoir 3 roof,Smart Civils Construction,"Additional time –related claims
delay in giving contractor
access to site, access to
reservoir and additional work.","18 862 641,86","22 459 527,00","18 535 555,80",Not Supported,2020/10/29,Not stated,Not stated
2020/11/17,"Wholesale and Retail Sector Education and
Training Authority (W&RSETA)SETA",IT infrstructure managed and Hosting services,Internet Solutions,"Increase in contrsct value as
a result of lockdown","8 556 675,97",6 597 626.10,"14 000 252,00",Supported,2020/10/05,Not stated,2021/03/31
