No,Department / Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award
/Recommendation by/
Date",Supported/Not supported,Contract start date,Contract expiry
177,PRASA,Sideria Brake Blocks,Global Railway Africa,"6,000,000.00",Continuity of service,2017/03/15,Conditional support,From date of appointment,6 months
178,PRASA,"Carry on with second evaluation to
shortlist panel of service providers to
specific field of expertise",Evaluation criteria only,0.00,"NT to approve that Prasa
further issues a specific
evaluation criteria per
categories required",2017/04/13,Pending,Not stated,Once off
179,PRASA,"Repair and Refurbishment of
Interlocking, Racks and Units at
retreat Winterberg and FishHoek",Atom Signalling,"12,759,659.00","Emergency contracting of
Signal to service outages.",2017/05/13,Conditional support,Not stated,Not stated
180,PRASA,"Leasing of two (2) locomotives which
occurred during high pick period",PREMIFIELD,"1,500/hr",Sold out schedule,2017/05/19,Conditional support,From date of appointment,Once off
181,Public Works,Lease Renewal,Not stated,"3,958,744.78",Negotiated Procedure,2017/04/03,Conditional support,2017/04/01,2018/12/31
182,Public Works,"Implementation of Archibus system
within Public Works",LDM,"7,000,000.00",Negotiated Procedure,2017/04/04,Not supported,Not stated,Not stated
183,Public Works,Office Accommondation,JR 2019 (Pty),"95,838,133.80",Single source.,2017/04/04,Conditional support,Not stated,Not stated
184,Public Works,Intergrated security system,JFE Group Empowerment (pty) Ltd,"1,700,000.00",Negotiated Procedure,2016/12/09,Conditional support,Not stated,Not stated
185,Public Works,Residential accommodation of Cabinet,M Lienaisptefrrog,"8,000,000.00",Negotiated Procedure,2017/02/07,Conditional support,Not stated,Not stated
186,Public Works,Maintainance of lifts,Lifts Manufactures,"348,000,000.00",Negotiated Procedure,2017/04/06,Conditional support,Not stated,Not stated
187,Public Works,National Order Ceremony,Not stated,"3,000,000.00",Nominated Procedure,2017/04/17,Conditional support,Once-off,Once-off
188,Public Works,"Acqusition of alternative building for
department of planning , monitoring &
evaluation",Not stated,"1,052,675.00",Negotiated Procedure,2017/03/30,Conditional support,Not stated,Not stated
189,Public Works,Acqusition of alternative building PSC,Not stated,"638,485.00",Negotiated Procedure,2017/03/30,Conditional support,Not stated,Not stated
190,Public Works,"Acqusition of alternative building for
IPID",Not stated,"1,094,375.00",Negotiated Procedure,2017/03/30,Conditional support,Not stated,Not stated
191,Public Works,"Supply of movable Infrastructure for
the National Orders Ceremony to be
held on 28 April 2017",Various suppliers,"3,000,000.00",Nominated procedure,2017/04/14,Conditional support,2017/04/28,Once-off
192,Public Works,Office accommodation,JR 209 Investments,"62,484,384.29",Contiuity of services,2017/05/18,Conditional support,Not stated,Not stated
193,Public Works,Appeal: Technical and audit support,Ernst & Young,"19,000,000.00",Single source,2017/05/18,Not supported,Not stated,Not stated
194,Public Works,Office Accommondation,Doncon (Pty) Ltd,"15,255,698.67",Non-responsive bid,2017/06/09,Conditional support,Not stated,Not stated
195,Puiblic Works,"Appeal: Office accommodation and
parking",Ascension Properties,Not stated,"Relocation to a new
building",2017/03/06,Conditional support,2017/03/01,2021/02/28
196,RAF,Single source for the SSL certificate,LawTrust,"55,357.67","Non responsive quotation
process.",2017/04/24,Conditional support,From date of appointment,24 months
197,RAF,OpenScape Concierge Solutions,Nashua,"1,149,903.16",Sole supplier.,No date stated,Conditional support,2017/04/13,4/12/2019
198,RAF,Office lease in CapeTown,Not Specified,"95,832,637.01","Cost saving as building is
already customised to RAF
needs.",2017/05/04,Conditional support,2017/09/01,2022/10/31
199,RAF,Appointment to effect payment only,"Ernst and Young Consortium and
Medscheme","32,434,117.12",Conclusion of court matters,2017/03/02,Conditional support,Once off,Once off
200,Rand Water,"Construction of S4 pipeline from Van
Dyk Park to Rynfield",Eskom Rotek Industries,"224,874,058.00",Single source,2017/04/24,Conditional support,Not stated,Not stated
201,Rand Water,"Supply and installation of steel pipes
for the cross connection at station 5 at
the Zuikerbosch Pump Station",Eskom Rotek Industries,"276,911,842.00",Single source,2017/04/24,Conditional support,Not stated,Not stated
202,Rand Water,"Rehabilitation of sludge on existing
drying beds at Panfontein water
treatment residual disposal site",Eskom Rotek Industries,"212,400,000.00",Single source,2017/04/24,Conditional support,Not stated,Not stated
203,Rand Water,"Provide the institution with flat steel
products in coil form to be utilised for
construction of majority of the 3500km
of the pipe network",ArcelorMittal South Africa Limited,"324,218,702.58",Sole source,2017/05/15,Conditional support,Not stated,Not stated
204,Rand Water,"Refurbishment of Pumps 1, 2 and 3
and supply of Spare Parts at the
Central Sludge 2 at Zuikerbosch
Pumping Station",Centex Fluid Products Africa (Pty) Ltd,"3,454,981.00",Sole source,2017/05/17,Not supported,Not stated,Not stated
205,Rand Water,"Refurbishment of Pumpset 2 in Engine
Room 1 at the Palmiet Pumping
Station",KSB Pumps and Valves (Pty) Ltd,"8,536,447.00",Sole source,2017/05/29,Conditional support,Not stated,Not stated
206,Rand Water,"Refurbishment of pump set 21 at
Zuikerbosch Water Treatment Plant",Sulzer Pumps of South Africa (Pty) Ltd,"4,947,521.00",Sole source,2017/06/06,Conditional support,Not stated,Not stated
207,RIM,"Development of the Smart tour guide
mobile App",Jungle Corner,370 870.50,Contiuity of services,2017/05/31,Supported,Not stated,Not stated
208,"Rural Development
and Land Reforms","Report on deviation from normal
bidding process: appointment of
Ukweza Holdings",Ukweza Holdings,"5,400,000.00","It was not feasible for the
department to operate the
kitchen.",2017/05/03,Pending,2017/04/01,2017/06/30
209,S.A Tourism,Office Lease,"Colliers International Investment &
Assest Management","1,565,420.00","Quotation procurement
method",2017/04/13,Conditional support,2017/06/01,2022/05/31
210,S.A Weather Services,"Review of the overall strategic plan
and the development of the 2018/19
annual Performance plan",Human Interest Consulting,"316,800.00",Insufficient skills set,2017/06/12,Conditional support,Once off,Once off
211,SALGA,"Acquisition of office accommodation
for the SALGA Western Cape Office","Paramount Property Fund Limited
trading as Growthpoint Properties","89,600,000.00","Customised to suit SALGA
requirements, saving on
relocation costs.",2017/05/25,Conditional support,Not stated,Not stated
212,SALGA,"Conduct research and develop web
portal for the Small Town
Regeneration Programme",CSIR,"3,136,000.00","CSIR has been enacted to
conduct multi-disciplinary
research and technology
innovation.",2017/06/01,Conditional support,Not stated,Not stated
213,SANParks,Advertising,Media 24,"3,385,044.00","The supplier is unique in
their capacity to address
the relevant target market",2017/04/10,Supported,2017/04/01,Once off
214,SANRAL,Legal advisors for DMTN Programme,Werkmens Inc,"150,000.00","Specialist knowledge in the
field.",2017/03/07,Conditional support,From date of appointment,Once off
215,SANRAL,"Appointment of a specialist for the
operations supervision of
interpoperable open road tolling
system in Gauteng",Mr. Peter Erasmus,"457,824.00",Continuation of services.,2017/04/04,Supported,From date of appointment,2 months
216,SANRAL,"Services as a Central Securities
Depository",STRATE,,Sole supplier,2017/05/08,Conditional support,From date of appointment,3 years
217,SANRAL,"Legal representation on Ampcor
Khanyisa matter",Werkmans Attorneys,"237,593.21","Urgency of matter with a
response timeline of 10
days.",Unspecified date,Conditional support,Once off,Once off
218,SANSA,Internet connectivity,TENET,"3,000,000.00",Sole source,2017/05/31,Not supported,2017/05/01,2020/04/30
219,SANSA,"th
exhibition during 37 International
Symposium on Remote Sensing of
Environment",ScanDisplay,"160,000.00",Continuity of service,2017/04/02,Conditional support,2017/05/08,Once off
220,SANSA,"Licence renewal for Microsoft suite
products",Microsoft Ireland Operations Ltd,"3,865,648.02",Single source supplier,2017/05/23,Supported,2017/05/01,2020/04/30
221,SAPO,"Digital signature solution to e-
Government departments",SITA,Not stated,Single source,2017/03/24,Conditional support,Not stated,Not stated
222,SAPO,"Utilisation of the Payteq Advanced
Payment Technology",Payteq,"2,426,474.00",Contiuity of services,2017/03/16,Conditional support,Not stated,Not stated
223,SAPO,"Postbank treasury management
system","Fikon treasury and IT (Pty) Ltd, Oracle
and HP","2,506,539.50",Contiuity of services,2017/03/29,Pending,Not stated,Not stated
224,SAPO,"Online Microsoft Project and Portfolio
Management",Certified Microsoft Partners,"4,733,404.59",Closed bid to Gold Partners,2017/05/26,Supported,Not stated,Not stated
225,SAPS,Procurement of blue lights and sirens,Khumza Trading Enterprise,"1,097,705",not provided,2017/05/30,Pending,Once off,Once off
226,SAPS,Annual Polmusca Unity festival,Various Hotels,"3,675,360.00","Quotation procurement
method",2017/05/17,Not supported,2017/09/20,Once off
227,SAPS,"Additional Ammunition to train new
Recruits as well as remedial training of
members",Denel Pretoria Pressing Metal,"3,878,000.00","Only supplier as indicated
in the market analysis",2017/04/12,Not supported,Once off,Once off
228,SAPS,"Procurement of three (3) Mercedes
Benz V250",Mercedes Benz rosebank,"3,727,735.75","The OEM on RT 57
contract was out of stock",2017/03/31,Not supported,Once off,Once off
229,SARS,"Provision of credit risk software
product",Moody's Analytics,"987,161.00",Continuity of service,2017/03/24,Supported,4/1/2017,6 months
230,SARS,Mobile Management Services,VMWare,"5,912,729.60","Leader in the Gartner
magic quadrant",2017/03/31,Conditional support,4/1/2017,3/31/2020
231,SARS,"Repairs of air conditioning system:
Richards Bay Office",Lockaway Investment,"68,502.60",Single source,2017/06/09,Conditional support,Once off,Once off
232,SARS,Provision of voice and data contract,Vodacom and Telkom,"20,000,000.00",Continuity of service,2017/06/19,Conditional support,Once off,Once off
233,SARS,Renewal of CEB membership,CEB,"396,450.00",Continuity of service,2017/06/28,Supported,7/1/2017,3/31/2018
234,SASSA,Office Lease,Bojanala District Office,"4,271,870.00","Finalisation of tender
process",2017/03/31,Supported,From date of appointment,36 months
235,SASSA,Office Lease,Reboisis Fund Limited,"27,278,784.00","Finalisation of tender
process",2017/03/31,Conditional support,From date of appointment,24 months
236,SASSA,Office Lease,Lustitia building,41 712 588.96,Continuity of services,2017/05/09,Conditional support,From date of appointment,5 years
237,SASSA,Office Lease,Global Focus Training Development,"2,165,280.00",Continuity of service,2017/04/24,Conditional support,From date of appointment,3 years
238,SASSA,Office Lease,Teb Properties (Pty) Ltd,"8,731,392.19",Continuity of service,2017/03/31,Conditional support,From date of appointment,3 years
239,Sassa,Office space,Redefine Retails,"8,009,591.08",Continuation of service,2017/02/23,Conditional support,2017/06/01,2017/06/30
240,Sassa,Office lease agreement,Weston Gold Star Investments (Pty) Ltd,"8,698,311.00",Continuation of Service,2017/04/24,Conditional support,2017/07/01,2020/01/01
241,SEDA,"ICT Disaster Recovery and Business
Continuity Services",Continuity S.A (Pty) Ltd,"8,136,173.00","Quotation procurement
method",2017/05/04,Not supported,Once off,Once off
242,SEDA,"Appeal: ICT Disaster Recovery and
Business Continuity Services",Continuity S.A (Pty) Ltd,"8,136,173.00","Quotation procurement
method",2017/05/04,Not supported,2017/07/01,2020/06/30
243,SEDA,Provision of office accommondation,Greenmile Investment CC,"4,146,011.36","Quotation procurement
method",2017/06/22,Conditional support,2017/07/01,2022/06/30
244,SEDA,"National Business Incubation
performance reporting system",Avnon Consulting,"1,887,771.60",Sole supplier,2017/03/27,Conditional support,2017/05/01,2018/03/30
245,SITA,"Hosting of the Gauteng Department of
Education ArcGIS System at Vodacom
Data Centre",Vodacom,"791,958.00",Continuity of service,2017/03/30,Supported,From date of appointment,1 year
246,SITA,"Support of SAPS STRLAB systems for
24 months",Labware,"4,322,989.44",Continuity of service,2017/04/10,Not supported,4/1/2017,3/31/2019
247,SITA,"Provision of Microfilm and Archiving
for DoD",Meniko Records Management Services,"3,093,126.47","Competitive bidding
process in progress",2017/04/13,Not supported,12/1/2016,11/30/2017
248,SITA,"Provision of financial modelling
service",Parahellic CC,"1,261,410.00",Continuity of service,2017/04/19,Conditional support,4/21/2017,3 Months
249,SITA,Renewal of Micro fucus,Axiz Pty Limited,"42,691,830.00",Continuity of service,2017/04/24,Supported,4/25/2017,4/24/2018
250,SITA,Provision of medical schemes,Alexander Forbes Health,Not stated,"Competitive bid process in
progress",2017/04/13,Supported,4/26/2017,3 Months
251,SITA,"Additional RSA tokens for the users of
eCabinet solution and renewal anmd
maintenance of the existing token",Puleng Technologies,"1,607,229.00",Continuity of service,2017/05/04,Conditional support,5/22/2017,5/21/2020
252,SITA,SAPS assets projects,Charles George Higgins,"500,000.00",Single source,2017/06/05,Conditional support,Not stated,Not stated
253,SITA,"Provision of high speed broadband
services",Broadband Infraco,"1,900,000,000.00",Single source,2017/06/14,Not supported,6/28/2017,6/27/2020
254,"Small business
Development",Executive Induction Programme (EIP),National School of Government,"44,771.00","Compulsory Capacity
Development Training",2017/05/22,Supported,2017/06/22,Once off
255,"Small business
Development",Internal Audit Training,Institute for Internal Auditors,"2,845.00",Professional body,2017/05/22,Supported,2017/06/22,Once off
256,"Small business
Development","Training: ""How to Investigate &
conduct Disciplinary Hearing""",Eminent Conferencing,"12,999.00","Empower employees in
Labour Relations matters",2017/05/23,Conditional support,2017/05/30,Once off
257,"Small business
Development",Annual Law Conference,Govlaw,"25,077.72",Empower legal unit,2017/05/22,Supported,2017/05/30,Once off
258,"Small business
Development",30th Annual Labour Conference,Emperors Palace,"14,000.00","To ensure that the
employees are up to date
with new trends in labour
law",2017/05/26,Conditional support,Not stated,Not stated
259,"Small business
Development","8th South African Acquired Immune
Deficiency Syndrome",Dira Sengwe Conferencing,"5,200.00",No reason provided,2017/06/06,Not supported,2017/06/13,Once off
260,"Small business
Development",Legal Services,Marcus Evans (S.A) Ltd,"15,054.30",Single source,2017/04/12,Supported,2017/04/20,Once off
261,"Small business
Development","Development of a Business rescue
strategy, turnaround and retention
strategy for Small Enterprises and co-
operatives",Enterprises University of Pretoria,"498,972.87",Single source,2017/05/04,Supported,2017/05/05,Once off
262,"Small business
Development","To connect the Department to all
national and international
broadcasting television news channels",Multichoice (Pty) LTD,2 802.40 per month,Single source,2017/05/04,Conditional support,Subscription,Subscription
263,"Small business
Development","Training in evidence-Based policy -
making and implementation course",University of Cape Town,"69,000.00",Single source,2017/05/04,Supported,2017/05/08,2017/05/10
264,"Small business
Development",56th Annual risk management conferen,cNeO aSnAd Aexuhdiibtiintigo nand Ispection Services,"1,900.00",Sole source,2017/06/06,Supported,Once off,Once off
265,"Small business
Development",Confeence in Psychology and member,sPhispc hological society of south Africa,"4,800.00",Sole Source,2017/06/06,Supported,Once off,Once off
266,Social Development,"Child protection week in Langa on 28
May 2017 and for closing in Lusikisiki
on 04 June 2017",Not specified,"2,400,000.00",Non responsive bids,2017/05/11,Conditional support,Once off,Once off
267,Social Develpoment,"Procurement of fleece, tops, bennies,
scarves, backpacks and lunch boxes
for Child Protection Week",Not specified,"4,200,000.00","To reach an objective goal
of empowering special
groups.",2017/04/11,Conditional support,Once off,Once off
268,StatsSA,"Provision of financial advisory services
on ad-hoc basis",Pamoja Asset Management,"504,000.00",Single source,2017/04/13,Conditional support,Not stated,Not stated
269,StatsSA,"Provision of BBBEE and legal
advisory support services",Ledwaba Mazwai Attorneys,"3,871,980.00",Single source,2017/04/13,Conditional support,4/26/2017,4/25/2020
270,StatsSA,"Investigation of a major lapse in
Household Survey",Three retired international experts,"251,520.00",Specialist skills required,2017/05/11,Conditional support,40 hours each,Once off
271,StatsSA,Cruise conference,"Stellenbosch Institute for Advanced
Study on the University of Stellenbosch","531,000.00",Single source,2017/05/05,Conditional support,7/3/2017,7/5/2017
272,StatsSA,"Produce and Flight the Stats SA
drama series",SABC,"10,891,560.00",Single source,2017/05/26,Conditional support,Once off,Once off
273,StatsSA,Consultant,Mr Strover Maganedisa,"3,067,200.00",Continuity of service,2017/06/09,Not supported,6/13/2017,6/12/2019
274,TCTA,"Provide TCTA with construction and
engineering law advisory service",Baker McKenzie Attorney,"500,000.00",Continuity of service,2017/05/05,Not supported,Not stated,Not stated
275,TCTA,"Provide legal advisory services to
TCTA on the fund raising activities for
the Lesotho Highlands Water Project
(LHWP)","Tshisevhe Gwina Ratshimbilani
Incorporated","500,000.00",Single source,2017/05/09,Not supported,Not stated,Not stated
276,TCTA,"Represent and advise the TCTA in
labour disputes and disciplinary
actions",Selomo Attorney,"500,000.00",Single source,2017/06/01,Not supported,Not stated,Not stated
277,TCTA,"Law advisory regarding the
investigation and institution of
disciplinary action",Edward Nathan and Sonnenberg,"500,000.00",Single source,2017/05/09,Not supported,Not stated,Not stated
278,TCTA,"Investigation of irregular procurement,
appointment, promotions and salary
increase",Ernst and Young,"657,650.00",Single source,2017/05/24,Not supported,Not stated,Not stated
279,TETA,"Transition to new Deloittte SMS
System",Deloitte Consulting,"7,829,801.88",Continuity of services,2017/03/16,Not supported,Not stated,Not stated
280,Transnet,"Negotiation services for Microsoft
servers and cloud enrollments
contracts","Gartner Computer Financial
Consultants",25% of achieved savings,"Only company with largest
database of Microsoft
agreements",2017/04/13,Conditional support,2017/04/01,Once off
281,Transnet,"Maintenance of Railway Infrastructure
with an online tracking tool",Plasser South Africa,"37,183,854.00","Only immediate available in
South Africa",2017/03/27,Conditional support,From date of appointment,18 months
282,Transnet,Waltloo TPL System,"Original Equipment Manufacturer of the
product","9,000,000.00","Original Equipment
Manufacturer of the product",2017/05/02,Conditional Supported,From date of appointment,12 months
283,Transport,Maintenance plan for PABX,Bytes Technology,"693,057.93","Non responsive tender
process",2017/01/13,Supported,From date of appointment,12 months
284,Transport,Procurement of vehicle for the minister,Mercedes Benz,"984,990.00","Vehicle is not available in
the RT57 contract",2017/06/14,Conditional support,Once off,Once off
285,Transport,"Investigation on irregular operation on
isssuing of air licences and testifying
in the hearing",Nexus Forensic Services,"147,972.00",Continuity of services,2017/06/07,Conditional support,Once off,Once off
286,Water and Sanitation,"Configuration review and performance
review of the Oracle Information
Technology infrastructure deployed for
SAP",Oracle,"68,964.00",Sole source,2017/04/03,Conditional support,Not stated,Not stated
287,Water and Sanitation,"Organising the United Nations World
Water Day Summit and Expo held on
22-24 March 2017 in Durban",Andimahle Trading Enterprise,8 483 310,"No enough time for
competitve bid process",2017/03/25,Not supported,3/17/2017,3/24/2017
288,Water and Sanitation,"The removal of the razor wire fence
and erection of a six strand barbed
wire fence: Tugela Vaal Government
Waterwork in the KwaZulu-Natal
Province",FCL Farming CC,"6,814,582.00",Court order,2017/05/11,Conditional support,Not stated,Not stated
289,Water and Sanitation,"Due diligence, business case and
establishment of single water board",No supplier,Not stated,Close bidding process,2017/05/24,Not supported,Not stated,Not stated
290,Water and Sanitation,"Point-to-point layer 2 link between the
Sedibeng building computer room and
Continental building on a month-to-
month basis",Neotel (Pty) Ltd,"18,436,695.00",Continuity of service,2017/06/09,Conditional support,6/10/2017,8/9/2017
291,Women,Facilitation Services,Pam Yako,"27,360.00",Single source,2017/05/11,Not supported,2017/05/13,2017/05/14
