5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
115,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Repairs of precipitator transfomers rectifiers at Lethabo Power Station,Castlet SA,R35 037 425.00,"Castlet SA is the OEM of the precipitator transformers and the market leaders
in the design manufacture and repair of these specialized units. All repairs
have complied, if not exceeded with quality and reliability standards. Other
repairers were utilized in the past for the repairs of these units, but with limited
success and reliability",Noting,2023/02/14,2023/06/05,2028/06/04,Reported
116,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Urgent Procurement Process National Key Points - Duvha PS,Hintrex 116,R940 200.00,"Currently the services at the Non- NKP areas are rendered by Pridi Security
Services through an Urgent Procurement Order for a period of two months
which comes to an end on the 31st May 2023. It was envisaged that by 1 June
2023, Duvha Security 5 years contract would be in place, but due to some
technicalities this has
not materialized. The process is currently at the negotiation stage. This means
that we need another two months to finalize the contract and to allow the
successful bidder to get together necessary resources/administration and to
settle on site before the contract starts on 1 August 2023.",Noting,2023/06/02,2023/06/02,2023/06/02,Reported
117,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"Repair of FD Fan and ID Fan Impellers in the workshop on as and when
required basis for a period of 60 months - Tutuka PS",Howden South Africa,R25 048 510.50,OEM,Noting,2023/05/23,2023/06/02,2028/06/01,Reported
118,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Main condenser HP waterjet cleaning - Tutuka PS,RKES (MAAA0366588),R1 541 375.72,"All units at Tutuka have been experiencing vacuum load losses. Condenser
scaling and general fouling of tubes is a significant factor in these vacuum load
losses, with the scaling being worst on the hot condensers. A high pressure
water jetting of the main condenser tubes is an option that will partially
alleviate this problem. A pressure
of approximately 1000 bar has been recommended for this application as it is
expected to be high enough to remove scale.",Noting,2023/06/06,2023/06/07,2023/11/30,Reported
119,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Re-Heater Tubing 13 CROMO & 16M03 Materials - Duvha PS,"Boiler Steel Products and
Engineering",R1 636 720.00,"The majority of these tubing are manufactured overseas with a lead time of 6
to 8 months after orders placed. During the 2-year lockdown period, the mill
runs overseas came to a standstill and no tubing was manufactured. There
has been major outages as well as tube leaks during this period and the stock
levels depleted. During the upgrade of the Duvha units having more time and
funding the normal quantities to replace these elements, exceeded the Outage
Philosophy SOW quantities, resulting in using these elements much quicker
than anticipated.",Noting,2023/06/06,2023/06/07,2023/12/01,Reported
120,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"The scope entails provision of physical security services: Static guarding,
patrolling and conducting access control at various sites (Non NKP Areas
i.e. AWR, RWD, Ikageng Residence, Ikageng Sewage Pump House,
Roshcon Ash dam Gate, Service providers parking area, Overland Converyor
belt, Eskom Village, Driefontein dam, and Ash Dams) Duvha Power Station.",Pridi Security Services,R1 988 800.00,"On 1 June 2023 an urgent situation arose at Non NKP Areas. The situation
arose because of the current urgent procurement security contract coming to
an end on 31st May 2023 before the approval/finalisation of Duvha Security 5
years contract. The latter is currently at the negotiation stage, hence the
request for the extension of the current urgent procurement process for a
further period of two months to allow the finalisation and implementation of the
5 years contract.",Noting,2023/06/02,2023/06/05,2023/08/05,Reported
121,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Core Radiator for Diesel engines - Koeberg PS,Man Energy Solutions South Africa,R98 007 004.80,"MAN Energy Solutions is the Original Equipment Manufacturer (OEM) for
branded engines, Emergency Diesel Generators (EDG’s) installed at Koeberg
Nuclear Power Station. They are the only sole supplier in the Republic of
South Africa who are authorised and approved by MAN DIESEL SE in Europe
to provide the supplied spares via local representatives which are mentioned in
the certification of Representative attached. Koeberg has five emergency
diesel generators (1 & 2 LHP, 1 & 2 LHQ and 9 LHS), of which the OEM of the
diesel engines was S.E.M.T. Pielstick. In order to ensure continued diesel
engine availability and reliability, engine parts as well as radiators, are required
from the OEM. MAN Energy Solutions is the only Q1 supplier, who is qualified
to supply spare parts for these Pielstick engines. The emergency diesel
generators play a critical role in the safety and reliability of the Koeberg units,
and the use of original diesel engine parts assist with this role.",Noting,2023/06/06,2023/06/09,Once Off,Reported
122,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Oil Burners Refurbishment and Spares Contract - Duvha PS,Safurnco,R18 000 000.00,OEM,Noting,2023/05/26,2023/06/07,2023/12/11,Reported
123,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Supply/Repair Supervisory spares - Tutuka PS,Gemsys Engineering,R3 361 407.00,"On 21 May 2023, an urgent situation arose at Tutuka Power Station. The
Gem80 Supervisory PLC ailed which resulted in the Coal Stock Yard
Operators not having the HMI available. Due to the obsolescence of the PLC,
spares are not easily available and thus it was necessary to request support
from the consultant of the system. The CSY control system however is
equipped with a back up emergency system which allows for operation of the
conveyor system by local push button. On 31 May 2023, multiple trips of the
conveyor system started occurring and since the HMI is unavailable, the
operating and maintenance staff are required to do tedious fault finding. This
task results in significant delays in returning the coal supply conveyors thus
putting the station at risk of coal supply shortage from the CSY. In order to
remedy the situation, it is necessary to repair the supervisory PLC as well as
receive support for diagnostics from the consultant to improve plant turn
around time.",Noting,2023/06/02,2023/06/02,2024/06/01,Reported
124,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,Maintenance of Lifting Equipment - Medupi PS,Margisia Lifting Solutions,R1 293 967.92,"On 22/05/23 an urgent situation arose at Medupi Power Station. The situation
arose as a result of damage to multiple lifting equipment failure and the urgent
need to get the lifting equipment certified as most certificates (inspection and
load test) have expired and or are reaching expiry in less than a month. U5
outage is also at risk since most cranes have not been certified. It is then
recommended to repair the damaged cranes, hoists, lifting equipment to
prevent further delays to ongoing activities, prevent any production losses due
to crane unavailability and ensure we comply to statutory requirements with
regards to lifting equipment.",Noting,2023/05/26,2023/06/01,2023/09/30,Reported
125,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"Connector TEE:AL, 35-95 MM2;PVC;Bare (QTY 20000); Connector Tee:35
MM2-95 MM2 AL/CU;PVC (QTY 10000); SF6 Dilo Gas Multi Analyser (x1) -
Northern Cape Gemma Cluster",Eyethu Global Trading,R959 213.00,"In accordance with Eskom Procurement and Supply Chain Management
Procedure, purchases not exceeding R1m excl. VAT can be done via informal,
closed tendering mechanism.",Noting,2023/05/03,2023/05/03,2023/06/12,Reported
126,Q1 2023/24,New,2023/06/15,Eskom Holdings SOC Ltd,"Cement:Concrete Conductive;Bag 25 KG (QTY 2500 KG) - Northern Cape
Gemma Cluster",Bubbly Agent,R888 550.00,"In accordance with Eskom Procurement and Supply Chain Management
Procedure, purchases not exceeding R1m excl. VAT can be done via informal,
closed tendering mechanism.",Noting,2023/05/04,2023/05/04,2023/06/19,Reported
127,Q1 2023/24,New,2023/03/17,Road Traffic Infringement Agency (RTIA),Witness services during disciplinary process- once-off,Bowmans,R200 000.00,Continuation of services,Noting,2023/03/15,Not stated,Not stated,Reported
128,Q1 2023/24,New,2023/03/27,Air Traffic and Navigation Services (ATNS),"Grammarly is a writing tool that uses advanced algorithms to help individuals and
organisations to write better, clearer, and more effective communication",Grammarly,R138 750.00,Single sourcing,Noting,2023/03/25,2023/03/10,2024/03/09,Reported
129,Q1 2023/24,New,2023/03/27,Air Traffic and Navigation Services (ATNS),Convene SA app,Ability Holdings 35,R1 435 200.00,Continuation of services,Noting,2023/03/25,2023/04/01,2026/03/31,Reported
130,Q1 2023/24,New,2023/03/24,"South African Health Products Regulatory Authority
(SAPHRA)",EURS and EURS Next Platform,Extedo,R1 845 763.38,Single sourcing,Noting,2023/03/16,2023/04/01,2024/03/31,Reported
131,Q1 2023/24,New,2023/03/24,"South African Health Products Regulatory Authority
(SAPHRA)",SAGE People 300 leave virtual workshop,SAGE,R7 866.00,Single sourcing,Noting,2023/03/22,2023/03/22,2023/03/22,Reported
132,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Business case,Clientelis Africa,R297 500.00,Service offering consistency,Noting,2022/12/18,2023/02/16,2023/03/17,Reported
133,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Filters,Merck Life Science,R417 824.00,Quality validated process,Noting,2022/12/18,2022/12/21,2023/01/31,Reported
134,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),"NovatecP generators, 131 capsoles and cold kits",Van Overeem Nuclear,R68 006.40,Availability of the product,Noting,2022/12/20,2022/12/23,2023/01/31,Reported
135,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),EPDM 30H O-Rings,James Walker,R754 092.50,Quality validated process,Noting,2022/12/22,2022/12/22,2022/12/23,Reported
136,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Frits,Altiko,R173 130.00,Quality validated process,Noting,2023/01/24,2023/02/07,2023/02/07,Reported
137,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Ultrasonic cleaner,Ultrasonic System,R60 591.00,Quality,Noting,2023/01/30,2023/02/06,2023/02/06,Reported
138,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Packaging Boxes,Batho Batsho,R516 115.00,Quality validated process,Noting,2023/02/02,2023/02/06,2023/03/31,Reported
139,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),PEEK column preparation stands,Sykam,R94 843.11,Quality validated process,Noting,2023/02/07,2023/02/09,2023/02/17,Reported
140,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Reagents and cassettes for PSMA Synthesis,ABX,R911 961.60,Quality validated process,Noting,2023/02/09,2023/03/13,2023/03/13,Reported
141,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Cs-137 primary encapuslated sources,Eckert & Ziegler Isotope,R529 539.60,Quality validated process,Noting,2023/02/16,2023/02/21,2023/02/21,Reported
142,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Dionex CarboPacPA10 guard and analytical columns,Anatech,R69 394.24,Sole supplier,Noting,2023/02/16,2023/03/07,2023/03/31,Reported
143,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),M217 to Pelindaba P1701 and training to the internal stuff,Howson Industrial Tools,R763 000.00,Quality validated process,Noting,2023/02/17,2023/02/17,2023/03/17,Reported
144,Q1 2023/24,New,2023/03/16,NTP Radiosotopes SOC Ltd (NTP),Periodic table ties and scarves,"The South African Chemical
Institute School of Chemistry",R44 300.00,Sole supplier,Noting,2023/02/23,2023/03/23,2023/03/22,Reported
145,Q1 2023/24,New,2023/03/16,Petroleum Agency South Africa (PASA),Appointment of a service provider for the supply and installation of carpet,Gxakwe project,R999 948.00,"PASA is scheduled to be in the new offices by the 1st March 2023, installation of flooring
is standing holding back two important service providers which are as follows: 2)The
second contractor is the office move service provider who is scheduled to move staff
boxes and equi. Quotations were requested from two (2) service providers Turnkey and
Gxakwe which are currently on site as this will minimum site establishment cost. The
Quotations are as follows; Turnkey Option 1 R1 136 998.10 (incl VAT). Will take
maximum 14 working days to install.",Noting,2023/02/23,2023/02/24,2023/03/31,Reported
146,Q1 2023/24,New,2023/03/23,South African Civil Aviation Authority (SACAA),Support of EMPIC,EMPIC Synova JV,R3 000 000.00,Sole supplier,Noting,2023/03/23,Not stated,Not stated,Reported
147,Q1 2023/24,New,2023/03/23,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",2023 DLM TMS Maintenance & Support Renewal,Dupleix Liquid Meters,R236 037.00,Sole Source,Noting,2023/02/20,2023/02/20,2023/02/20,Reported
148,Q1 2023/24,New,2023/03/23,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",GL Wand M&S 25-Apr-2022 - 24-Apr-2023,Insightsoftware South Af,R70 000.00,Sole Source,Noting,2023/02/23,2023/02/23,2023/02/23,Reported
149,Q1 2023/24,New,2023/03/23,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Attend to Luffing Cylinder Pressure Train,Liebherr-Africa,R31 800.00,Sole Source,Noting,2023/02/23,2023/02/23,2023/02/23,Reported
150,Q1 2023/24,New,2023/04/04,"The South African National Roads Agency SOC Ltd
(SANRAL)",Supply of SAP software Licenses,SAP South Africa Pty Ltd,R34 359 074.89,Sole Source,Noting,2023/04/04,2023/03/29,2024/03/28,Reported
151,Q1 2023/24,New,2023/04/14,Road Traffic Management Corporation (RTMC),"Provision of accomodation and office space at Denel Kempton Park Campus while
awaiting completion of a permanent facility",ACSA,R51 759 970.40,Single sourcing,Noting,2023/03/30,2023/04/01,2024/03/31,Reported
152,Q1 2023/24,New,2023/04/14,Road Traffic Management Corporation (RTMC),"Provision of physical security services at Waterfall branch for a period of 3 months
while investigation into the theft of assets is underway",Makheda Security,R2 725 925.97,RFQ Process,Noting,2023/02/28,2023/03/01,2023/06/30,Reported
153,Q1 2023/24,New,2023/04/14,Road Traffic Management Corporation (RTMC),"Provision of repair, maintenance and calibration of speed equipment, moving violation
recorders, automated number plate recognition system and related items for a period
of 3 years. The service is rated-based.",Truvelo Electronics Division,R0.00,Sole Source,Noting,2023/02/28,2023/03/01,2026/02/28,Reported
154,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Sand mineral slag 0.2 to 1.4 particles 1,Blastrite,R58 687.20,Sole Source,Noting,2023/03/08,2023/03/08,2023/03/17,Reported
155,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Recondition radiotor,Full Circle Radiators,R39 473.91,Sole Source,Noting,2023/03/09,2023/03/09,2023/03/09,Reported
156,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Rental of Bomag NR:P51198,Xmoor Transport,R922 500.00,Single source - Emergency,Noting,2023/03/20,2023/03/20,2023/03/20,Reported
157,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Chemical degreaser rigwash 9001,SAFIC,R40 066.35,Sole Source,Noting,2023/03/31,2023/03/31,2023/04/24,Reported
158,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Cable instr thermocouple type-K 3mmX10m,Wika Instruments,R45 060.80,Sole Source,Noting,2023/03/23,2023/03/23,2023/04/06,Reported
159,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Adapt IT 2023 caseware licence,Adapt IT,R65 253.30,Sole Source,Noting,2023/03/14,2023/01/01,2025/12/31,Reported
160,Q1 2023/24,New,2023/04/14,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Afrox cylinder rental,African Oxygen,R200 000.00,Sole Source,Noting,2023/03/27,2023/03/27,2023/03/29,Reported
161,Q1 2023/24,New,2023/04/18,South African Medical Research Council,Procurement of Elsevier services,Elsevier BV,R9 537 814.97,Sole supplier,Noting,2022/12/31,2023/01/31,2025/01/30,Reported
162,Q1 2023/24,New,2023/04/19,Petroleum Agency South Africa (PASA),"Karoo basin and petroleum systems modelling continous research review, update and
technical workshop",CVA Engineering,R887 000.00,Single source service provider,Noting,2023/03/09,Not Stated,Not Stated,Reported
163,Q1 2023/24,New,2023/04/19,Petroleum Agency South Africa (PASA),"Appointment of a service provider for purchasing secondhand core processing
equipment and training.",Graham Botha,R1 180 830.00,Sole supplier,Noting,2023/03/31,Not Stated,Not Stated,Reported
164,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","SANRAL is implementing a SAP ERP system and the licenses are required for the
continuous utilisation of the system. SAP South Africa is an OME and the only service
provider that can provide support and maintenance for SAP Licenses.",SAP South Africa Pty Ltd,R34 359 074.89,"SANRAL is implementing a SAP ERP system and the licenses are required for the
continuous utilisation of the system. SAP South Africa is an OME and the only service
provider that can provide support and maintenance for SAP Licenses.",Noting,2023/04/19,2023/03/29,2024/03/28,Reported
165,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","SARF was the only service provider in the market responded. SARF is the only SP
that provide professional registration and where CPD points can be obtained by the
professional registered.",South African Road Federation (SARF),R30 000.00,"SARF was the only service provider in the market responded. SARF is the only SP that
provide professional registration and where CPD points can be obtained by the
professional registered.",Noting,2023/04/19,2022/05/05,Once off,Reported
166,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)",SARF is the only service provi der that provides this kind of training,South African Road Federation (SARF),R84 700.00,SARF is the only service provi der that provides this kind of training,Noting,2023/04/19,2022/04/08,Once off,Reported
167,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","There are no other service providers that can provide the course, market research
was done on both CSD and Google.SARF is the only service provider that provides
this virtual course.",South African Road Federation (SARF),R31 950.00,"There are no other service providers that can provide the course, market research was
done on both CSD and Google.SARF is the only service provider that provides this
virtual course.",Noting,2023/04/19,2022/10/27,Once off,Reported
168,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","The Department of Civil Engineering, Stellenbosch university is the only institution that
offers River & Stormwater course.",Stellenbosch University,R7 000.00,"The Department of Civil Engineering, Stellenbosch university is the only institution that
offers River & Stormwater course.",Noting,2023/04/19,2022/08/22,Once off,Reported
169,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","The Kelsey Events & Business Consulting is the only service provider offering the
refresher Strategic Facilities Management workshop",Kelsey Events & Business Consulting,R12 999.00,"The Kelsey Events & Business Consulting is the only service provider offering the
refresher Strategic Facilities Management workshop",Noting,2023/04/19,2022/08/22,Once off,Reported
170,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","The Servitu de Valuations of Land & Rights Acqu isition is onl y hosted by SARWA
and no other one.","South African Right of Way Associates
(SARWA)",R4 500.00,"The Servitu de Valuations of Land & Rights Acqu isition is onl y hosted by SARWA and
no other one.",Noting,2023/04/19,2022/09/29,Once off,Reported
171,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","Marble Business Technology is the only service provider that provides this kind of
event.",Marble Business Technology,R40 000.00,Marble Business Technology is the only service provider that provides this kind of event.,Noting,2023/04/19,2022/12/05,Once off,Reported
172,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","SARF is the only service provider that provides this New 2022 Advance Traffic Safety
Officer/Roadworks Traffic Management Training Programme in Compliance with
Legislation (virtual course), to be held 1st to the 2nd December 2022",South African Road Federation (SARF),R4 425.00,"SARF is the only service provider that provides this New 2022 Advance Traffic Safety
Officer/Roadworks Traffic Management Training Programme in Compliance with
Legislation (virtual course), to be held 1st to the 2nd December 2022",Noting,2023/04/19,2022/11/29,Once off,Reported
173,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","SARF is the only service provider that provides this Road Pavement Rehab ilitation
Training (virtual course), to be held on the 1st to the 2nd of March 2023",South African Road Federation (SARF),R39 825.00,"SARF is the only service provider that provides this Road Pavement Rehab ilitation
Training (virtual course), to be held on the 1st to the 2nd of March 2023",Noting,2023/04/19,2023/02/13,Once off,Reported
174,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","SARF i s the only service provider that provides this N ew 2022 Advance Traffic
Safety Officer/Roadworks Traffic
Management Training Programme in Compliance with Legislation (virtual course), to
be held 19th to the 20 th of April 202",South African Road Federation (SARF),R4 425.00,"SARF i s the only service provider that provides this N ew 2022 Advance Traffic Safety
Officer/Roadworks Traffic
Management Training Programme in Compliance with Legislation (virtual course), to be
held 19th to the 20 th of April 202",Noting,2023/04/19,2023/02/13,Once off,Reported
175,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","Business Solutions Southern Africa BS O LSSA) is the only service provider that
provides this kind of event",BSOLSSA,R212 750.00,"Business Solutions Southern Africa BS O LSSA) is the only service provider that
provides this kind of event",Noting,2023/04/19,2023/02/14,Once off,Reported
176,Q1 2023/24,New,2023/04/19,"The South African National Roads Agency SOC Ltd
(SANRAL)","Business Success Solutions is the only company accredited with both SACNASP and
EAPASA proving this kind of training",Business Success Solutions,R9 198.95,"Business Success Solutions is the only company accredited with both SACNASP and
EAPASA proving this kind of training",Noting,2023/04/19,2023/03/28,Once off,Reported
177,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Service of the exchange units,Metrohm,R114 427.18,Sole Supplier,Noting,2023/03/02,2023/03/17,2023/04/10,Reported
178,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Vials,Nucmedcor,R312 696.00,Quality Validated Process,Noting,2023/03/02,2023/03/02,2023/03/10,Reported
179,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Corrective maintenance of the Lu-177 dispensing cell,Comecer,R185 627.17,Sole Supplier,Noting,2023/03/02,2023/03/02,2023/03/10,Reported
180,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Novatec-P components,Gottfert Plastic,R288 975.00,Quality Validated Process,Noting,2023/03/02,2023/03/02,2023/05/23,Reported
181,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Calibrated leak standard,Ultimate Vacuum Solutions,R55 069.28,Only Supplier prepared to quote,Noting,2023/03/02,2023/03/08,2023/04/14,Reported
182,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Market stydy,MEDraysintell,R292 828.80,Established service provider for this sector,Noting,2023/03/07,2023/03/07,2023/04/06,Reported
183,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Silicone tubing,Sipla Nordic,R106 758.72,Single Source,Noting,2023/03/13,2023/03/13,2023/04/26,Reported
184,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),Lithium sulphate monohydrate,Associated Chem,R485 000.00,Quality Validated Process,Noting,2023/03/17,2023/03/17,2023/03/23,Reported
185,Q1 2023/24,New,2023/04/20,NTP Radiosotopes SOC Ltd (NTP),"Extension line, kit clio and vials",Comecer,R372 400.00,Quality Validated Process,Noting,2023/03/24,2023/03/24,2023/04/28,Reported
186,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of ESRI SA to provide maintanance and support of ARCGIS software for
a period of 02 years from a sole supplier",ESRI SA,R2 236 916.11,Sole supplier status,Noting,2022/09/20,2023/03/24,2023/04/28,Reported
187,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of CGS for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE for 2022/23
financial year",The Council for Geoscience,R20 483 000.00,"Single source procurement - CGS has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
188,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of CGS for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE for 2023/24
financial year",The Council for Geoscience,R20 562 000.00,"Single source procurement - CGS has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
189,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of CGS for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE for 2024/25
finacial year",The Council for Geoscience,R21 485 000.00,"Single source procurement - CGS has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
190,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of Mintek for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE for 202/23
finacil year",MINTEK,R122 912 000.00,"Single source procurement - Mintek has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
191,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of Mintek for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE forfor
2024/25 financialfor 2022/24 financial year",MINTEK,R123 384 000.00,"Single source procurement - Mintek has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
192,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of Mintek for water ingress project and implementation of the
management derelict and ownerless mines project on behalf the DMRE for 2024/25
financial year",MINTEK,R128 925 000.00,"Single source procurement - Mintek has been implementing similar projects in
the past years for the Department and therefore they have historical data of
the department, specialised skills and information that is confidenatial.",Noting,2022/10/31,Not Stated,Not Stated,Reported
193,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of Petroleum Agency of South Africa (PASA) on a single source basis to
acquire new geophysical data concurrent with the implementation plan of the shale
gas research project in the Karoo basin, South Africa for 2022/23 financial year","Petroleum Agency of South Africa
(PASA)",R46 000 000.00,"Single source procurement - PASA has been appointed for phase 2 of the
project as implementation agent for these project to ensure continuity of shale
gas research project.Further more the reason for procurement through single
source was due to data sensitivity and transfer of skills .",Noting,2022/12/08,Not Stated,Not Stated,Reported
194,Q1 2023/24,New,2023/04/21,"Department of Mineral Resources and Energy
(DMRE)","Appointment of Petroleum Agency of South Africa (PASA) on a single source basis to
acquire new geophysical data concurrent with the implementation plan of the shale
gas research project in the Karoo basin, South Africa from 2024 to 2026 finacial
years.","Petroleum Agency of South Africa
(PASA)",R188 000 000.00,"Single source procurement - PASA has been appointed for phase 2 of the
project as implementation agent for these project to ensure continuity of shale
gas research project.Further more the reason for procurement through single
source was due to data sensitivity and transfer of skills.",Noting,2022/12/08,Not Stated,Not Stated,Reported
195,Q1 2023/24,New,2023/04/21,Council for Geoscience (CGS),"Wits Enterprise, given its academic status, brings an added capacity-building platform
that extends beyond operator training to the
possibility of co-supervising MScs and PhDs. Wits Enterprise has the equipment for
sourcing seismic surveys readily available in the
country, which will significantly reduce lead time, mobilization, and demobilization
costs.",Wits Enterprise,R17 535 966.30,"Wits Enterprise, given its academic status, brings an added capacity-building platform
that extends beyond operator training to the
possibility of co-supervising MScs and PhDs. Wits Enterprise has the equipment for
sourcing seismic surveys readily available in the
country, which will significantly reduce lead time, mobilization, and demobilization costs",Noting,2023/04/20,Not Stated,Not Stated,Reported
196,Q1 2023/24,New,2023/04/05,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)",Provision of ICT services for 60 months,"State Information Technology Agency
(SITA)",R1 088 393.20,Sole supplier status,Noting,2023/03/28,2023/04/01,2028/03/03,Reported
