5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 3 (16 SEPT - 15 DEC) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not supported/Conditional supported
(Use dropdown List)","""Award/recommended by AO/ AA date
(yyyy/mm/dd)""",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
134,2021/10/29,Public Service Commission (PSC),Assessment of the disbursement/distribution of funds,Human Science Research council,300002.23,single source,Conditional Support,28/10/2021,Not indicated,Not indicated
135,11/3/2021,Road Accident Fund (RAF),Office lease accommodation - Cape Town,35 Lower Long Street,90598290.56,Non responsiveness of bid,Noting,10/11/2021,Not stated,Not stated
136,11/11/2021,Road Traffic Management Corporation (RTMC),"Provision of bulk processing, printing and courier distribution of motor
vehicle licences",South African Post Office,837769714.00,"SAPO is the only entity licensed to distribute reserved parcels by the
regulator",Noting,11/11/2021,Not stated,Not stated
137,2021/9/20,Small Enterprise Development Agency (SEDA),"Reporting: Cisco cybersecurity software, hardware and installation
services for recovery and defence against cybersecurity incidents",Sizwe IT Group,5980442.75,Sole Supplier,Noting,8/20/2021,Not Stated,Not Stated
138,2021/10/19,Small Enterprise Development Agency (SEDA),"Renewal of the annual Customer Relationship Management (CRM) license
and software assuraqnce of the Sage CRM 200",AccTech Systems (Pty),1193778.20,Single Source,Conditional Support,10/13/2021,11/1/2021,2022/10/30
139,2021/11/5,Small Enterprise Development Agency (SEDA),"To participate at the Intra-African Trade Fair in Durban from the 15 – 21
November 2021",Reed Exhibition (Pty) Ltd,2533896.80,Single Source,Conditional Support,11/4/2021,11/15/2021,2021/11/21
140,2021/11/9,Small Enterprise Development Agency (SEDA),Additional license to the current Microsoft M36 E5 Enterprise License,Microsoft,1882673.73,Single Source,Noting,11/9/2021,Not Stated,Not Stated
141,2021/11/29,Small Enterprise Development Agency (SEDA),"Seda 20 SMMES to participate at the Agro & Poultry Tanzania 2021
edition that will take place on 15 – 22 January 2022 in Dar-es-Salaam
Tanzania.",Expolink Exhibitions Organizers,1600000.00,Single Source,Conditional Support,11/25/2021,1/15/2022,1/22/2022
142,2021/12/14,Small Enterprise Development Agency (SEDA),Office accommodation in Umsunduzi Municipality,uMsunduzi Municipality,1331700.00,Single Source,Supported,12/13/2021,1/1/2022,12/31/2023
143,2021/10/12,South African Airways (SAA),Support of various critical operations of SAA,14 service providers,Not stated,Finalise tender process,Conditional Support,10/5/2021,12 months,12 months
144,2021/10/28,South African Broadcasting Corporation SOC Limited (SABC),Maintenace of Lifts and escalators at Auckland Park,Schindler (Pty) Ltd,17373925.72,Single Source,Not Supported,10/27/2021,1/1/2022,2024/09/30
145,2021/11/19,South African Broadcasting Corporation SOC Limited (SABC),Maintenace of Lifts and escalators at Auckland Park,Schindler (Pty) Ltd,17373925.72,Single Source,Conditional Support,10/27/2021,1/1/2022,2024/09/30
146,10/25/2021,South African Civil Aviation Authority (SACAA),Confined tender,Calabration services,Not stated,No local suppliers,Supported,10/25/2021,Not stated,Not stated
147,2021/11/18,South African Forestry Company SOC Limited (SAFCOL),Provision of Forensic Services,Peyper Forensics,241155.00,Preferred supplier,Conditional Support,11/17/2021,Not stated,Not stated
148,2021/10/27,South African Heritage Resources Agency (SAHRA),Acquisition of buildings,79 Partnerships,16000000.00,Single Source,Supported,10/27/2021,Not Stated,Not Stated
149,2021/11/25,South African Institute for Drug-Free Sport (SAIDS),"Project Management tool that enables organizations to manage tasks,
projects and team work in one application software",Monday.Com,Not Stated,Preffered supplier,Conditional Support,11/22/2021,Not Stated,Not Stated
150,2021/11/17,South African National Parks (SANParks),Events Management services,Moshate Communications,2685393.53,Single Source,Supported,11/10/2021,Not Stated,Not Stated
151,2021/9/22,South African National Space Agency (SANSA),"Procurement of South Africa/SANSA Pavilion including floorspace at the
exhibition hall of International Astronautical Congress (IAC) 2021",DXB Live,1400000.00,Single Source,Supported,9/22/2021,10/25/2021,2021/10/29
152,2021/10/11,South African National Space Agency (SANSA),Procurement of Isobody shelters,Isobodies (Pty) Ltd,283021.90,Single Source,Conditional Support,10/7/2021,Not Stated,Not Stated
153,2021/10/18,South African National Space Agency (SANSA),,CPI (Orbital Systems),8100000.00,Single Source,,10/14/2021,,
154,2021/12/3,South African National Space Agency (SANSA),Use of brand names for ICT Services,Various ICT Equipment Brand names,0.00,Single Source,Not Supported,9/10/2021,Not Stated,Not Stated
155,2021/12/13,South African National Space Agency (SANSA),Rental of 26m antenna for the support of Deep space and lunar missions,South African Radio Astronomy Observatory (SARAO),10000000.00,Single Source,Conditional Support,12/13/2021,Not Stated,Not Stated
156,2021/12/6,South African Nuclear Energy Corporation (NECSA),Provision of a limited scope study,AquiSim Pty Ltd,533000.00,Single source,Within AA/AO mandate Noting,10/20/2021,Not stated,Not stated
157,2021/9/22,South African Police Service (SAPS),"9X19mm
calibre, ball (full metal jacket) ammunition",Denel Pretoria Metal Pressings,6530000.00,Preffered Supplier,Not Supported,2021/9/21,Not Stated,Not Stated
158,2021/9/22,South African Police Service (SAPS),"5.56 x 45mm calibre, ball (fullmetal jacket) ammunition",Denel Pretoria Metal Pressings,4006560.00,Preffered Supplier,Not Supported,2021/9/21,Not Stated,Not Stated
159,2021/10/13,South African Police Service (SAPS),Toyota SA,Two Toyota Land Cruiser Armoured Vehicles,14000000.00,Limited supplies,Not Supported,10/13/2021,Not Stated,Not Stated
160,2021/11/25,South African Police Service (SAPS),Provisioning of voice and data services,Telkom SA,600000000.00,Continuation of service,Conditional Support,11/25/2021,Not stated,Not stated
161,2021/9/29,South African Post Office (SAPO),"Provision of services related to the bank’s process to apply for a banking
license",KPMG South Africa,Not indicated,Business continuity,Conditional Support,29/9/2021,Not indicated,Not indicated
162,2021/10/11,South African Post Office (SAPO),Close Tender - SAPO Online Motor Vehicle License (MVL),various Suppliers,Not indicated,Operation strategy,Not Supported,11/10/2021,Not indicated,Not indicated
163,2021/10/25,South African Revenue Service (SARS),Appointment of Bowmans Gilfillan Inc as a Forensic Auditor,Bowmans Bowmans,14000000.00,single source,Not Supported,22/10/2021,Not indicated,31/10/2024
164,2021/10/29,South African Revenue Service (SARS),Value-added Tax Refund Administration Services,Vat Refund Administrator,Not indicated,single source,Conditional Support,27/10/2021,Not indicated,Not indicated
165,2021/11/24,South African Revenue Service (SARS),"maintenance renewal of the Simio Simulation Software services for a
period of thirty six (36) months",Process Design & Automation (Pty) Ltd,944380.44,Business Continuity,Supported,23/11/2021,1/1/2022,2024/12/31
166,2021/12/2,South African Revenue Service (SARS),Pop-up Branch Offices,North Mead Mall,303567.98,Single source,Conditional Support,11/30/2021,01/01/2022,31/12/2022
167,2021/10/27,South African Social Security Agency (SASSA),"Appointment of RAiN Chartered Accountants Inc. to finalise the verification
on CPS Statement of expenses incurred, income received and profit
earned on SASSA/CPS",RAiN Chartered Accountants Inc,3900000.00,Preferred supplier,Conditional Support,10/20/2021,Not stated,Not stated
168,2021/11/5,South African Tourism,"To deliver a bespoke, integrated partnership across its two conservation
Zoos located in Sydney and Western Plains",Taronga Conservation Society,3168310.00,Single Source,Not Supported,10/28/2021,1/1/2022,2022/12/31
169,2021/11/22,South African Tourism,"To deliver a bespoke, integrated partnership across its two conservation
Zoos located in Sydney and Western Plains",Taronga Conservation Society,3168310.00,Single Source,Conditional Support,10/28/2021,1/1/2022,2022/12/31
170,2021/12/13,South African Tourism,IBTM World exhibition floor space rental,Reeds Exhibition Limited,1322070.00,Single Source,Not Supported,12/13/2021,11/30/2021,12/2/2021
171,2021/10/21,South African Weather Service,Procurement of Light Detection Network sensor upgrade kit,Vaisala,4000000.00,Single Source,Conditional Support,10/21/2021,Not Stated,Not Stated
172,10/21/2021,State Diamond Trader,RAM Transportation,Transportation services,4500 per delivery,Non responsiveness of bid,Not Supported,10/19/2021,11/1/2021,10/31/2024
173,2021/9/30,State Information Technology Agency (SITA),Provision of WASP services,"Vodacom, MTN, CellC and Telkom",8962647.53,Business continuity,Supported,16/9/2021,Not indicated,Not indicated
174,2021/10/1,State Information Technology Agency (SITA),"Implementation of a differentiated model for provisioning cabling services
to our Government customers",Not indicated,Not indicated,Business strategy,Noting,1/9/2021,Not indicated,Not indicated
175,2021/10/18,State Information Technology Agency (SITA),"Maintenance and support of all existing Telkom SA SOC Limited owned
connectivity lines provided to various government sites",Telkom SA SOC Limited,504301878.94,Single source,Conditional Support,18/10/2021,10/1/2021,3/31/2023
176,2021/11/2,State Information Technology Agency (SITA),"Appointment of service provider for Office Accomodation in Gqeberha
Switching Centre",Bird In Hand (Pty) Ltd,12407533.11,single source,Conditional Support,30/10/2021,Not indicated,Not indicated
177,2021/10/4,State Security Agency (SSA),"To procure IBM QRadar, SIEM Architecture development and related
services directly from IBM South Africa",IBM SA,2162000.00,Single source,Not Supported,9/23/2021,Not stated,Not stated
178,2021/12/3,State Security Agency (SSA),Continued utilisation of a Healthcare Administration system provider,MIP Healthcare Administration system,7729580.43,Preferred supplier,Not Supported,11/15/2021,Not stated,Not stated
179,2021/10/29,Statistics South Africa (Stats SA),Provissioning of Hired Cars for Census Project,Various Suppliers,Not indicated,single source,Conditional Support,29/10/2021,Not indicated,Not indicated
180,2021/11/26,Statistics South Africa (Stats SA),Appointment of 11 census 2022 technical experts,various consultants,1183440.00,Single source,Conditional Support,25/11/2021,Not indicated,Not indicated
181,11/8/2021,Strategic Fuel Fund,"Review of SFF's current 5-year corporate strategy and strategic plans and
provide advise on the required strategic interventions in light of the
changed operating environment",Ernst & Young,Not Stated,Continuation of service,Not Supported,10/22/2021,Not stated,Not stated
182,2021/11/29,The South African National Roads Agency SOC Ltd (SANRAL),Provision of civil design software,Civil Designer South Africa,1542275.45,Sole supply,Noting,11/29/2021,Not stated,Not stated
183,2021/9/29,Trans-Caledon Tunnel Authority (TCTA),"Implementation and support of the Oracle Fusion Cloud Based Project
Solution",,164122175.15,OEM of the product and owns the IP,Not Supported,9/28/2021,Not Stated,Not Stated
184,2021/9/23,,,Luchini South Africa (LSA),Not stated,Shortage of wheels,,9/30/2021,,
185,2021/9/22,Transnet SOC Ltd,"Manufacture, supply/delivery and commissioning of five (5) ACS1000
Variable Speed Drives",ABB,18860000.00,Monitoring,Not Supported,9/20/2021,Not stated,Not stated
186,2021/10/5,Transnet SOC Ltd,"Provision of
various engineering programmes, teaching chair and partnerships","University of Pretoria, University of Witwatersrand, University of Kwazulu-
Natal, University of Zululand, Durban University of Technology, Nelson
Mandela
University, University of Cape Town, University of Stellenbosch, Cape
PeninsulamUniversity of Technology, National School of Government,
Leadership Academy for",225754727.85,Long standing working relations,Supported,10/4/2021,5 years,5 years
187,2021/10/20,Transnet SOC Ltd,Framework for Designated Procurement for Trasnet,Not stated,Not stated,Closed bid,Not Supported,10/20/2021,60 months,60 months
188,2021/10/25,Transnet SOC Ltd,"Once off supply and
delivery of (9635), 36 wheels",Luchini South Africa,180969401.95,Shortage of wheels,Conditional Support,10/25/2021,7 months,7 months
189,2021/11/8,Transnet SOC Ltd,"Manufacture, supply/delivery and commissioning of five (5) ACS1000
Variable Speed Drives (VSD’S)",ABB,18860000.00,Preferred supplier,Conditional Support,11/4/2021,24 months,24 months
190,2021/12/7,Transnet SOC Ltd,"Notification of Transnet's Emergency Procurement Process to address
cyber-attack","Microsoft SA; Cybereason BCX; BCX; Mimecast –BCX; Forescout -BCX;
Gijima Holding",112779049.35,Emergency procurement,Noting,11/26/2021,Not stated,Not stated
191,2021/12/9,Umgeni Water,Laboratory Consumables for Microbiogolical Analysis,Not stated,14267068.00,Emergency,Conditional Support,11/30/2021,Not stated,Not stated
192,2021/10/22,"Suppliers to implement the
Universal Service and Access Agency of South Africa (USAASA)",Broadcasting Digital Migration Programme and achieve Analogue Switch Off (,ASO) by 31 January 2022 Various Suppliers,1073000000.00,single source,Conditional Support,22/10/2021,Not indicated,Not indicated
,,,,,,,,,,
,,,,,,,,,,
,,QUARTER 3 2021/2022,,,,,,,,
,,Total number of Deviation requests/reports received :,,192,,,,,,
,,Incorrect Reporting,,,,,,,,
,,Actual Received,,192,,,,,,
"Applications finalised after Q3
0
Number of Deviation requests/reports - Not Finalised todate:
13
Total number of Deviation requests/reports reviewed:
179
93%",,Applications finalised after Q3,,0,,,,,,
,,Number of Deviation requests/reports - Not Finalised todate:,,13,,,,,,
,,Total number of Deviation requests/reports reviewed:,,179,,,,,,
,,,,93%,,,,,,
Signature______________________________________________,,,,,,,,,,
"Reviewed deviations
166
#DIV/0!
(Current quarter)
Reviewed appealed
13
deviations
Reviewed ratified
0
deviations
Reviewed deviations
10
#DIV/0!
(Previous quarter)",,,,,,,,,,
