,,,,,,,,
SUPPLY CHAIN MANAGEMENT: GOVERNANCE MONITORING COMPLIANCE REPORT OF DEVIATIONS: 2020/21 QUARTER 1 (27 MARCH TO 15 JUNE 2020),,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
161,South African Post Office Limited,On site resorce support,ACI,"2,048,140.00",System upgrade to comply with latest version,Supported,Once off,Once off
162,South African Revenue Service,Pricing Software Catalyst License,Bureau van Dijk,"7,452,233.49",Risk in transfer of information,Not supported,Date of Approval,48 months
163,South African Revenue Service,Maintenance and support of Appscon licences,HCL Axon,"3,047,113.63","Maintain direct relationship with OEM and benefit
from economies of scale",Supported,Date of Approval,31-Dec-2020
164,South African Revenue Service,Security Services,Fidelity & Thorburn Solutions,"46,565,500.00",Finalisation of bid process,Supported,1-Jun-2020,31-Aug-2020
165,South African Revenue Service,Executive Recruitment Search,Various Executive Search Providers,Not stated,Current panel did not yield expected outcome,Supported,Not stated,Not stated
166,South African Social Security Agency,"Enter into Negotiations with Bankserv In Terms of Emergency Delegations for
The Procurement of Covid 19 Grant Payment Services",BankServ,"112,202,037.00",Single Source,Conditional support,Not stated,Not stated
167,South African Social Security Agency,Provision of Physical Security Services at Sassa Free State and Limpopo,Not stated,"9,858,336.00",Competitive bidding in progress,Conditional support,2020/05/01,2020/07/31
168,South African Social Security Agency,Appoint medical doctors Through A Closed Bidding Process,Not stated,"8,276,198.00",Closed Bid,Conditional support,Not stated,Not stated
169,South African Weather Service,Procurement of Radar spare parts,Leonardo Germany GMBH,1 325 641.98,Single source procurement,Supported,Not Stated,Not Stated
170,State Information Technology Agency,SAPS ICT Contracts,Telkom,"571,000,000.00",Regularize contracts deemed irregular,Not supported,Not stated,Not stated
171,State Information Technology Agency,Data Switching Centres,City of Cape Town,"31,590,000.00",Cost effectiveness,Conditional support,Date of Approval,5 years
172,State Information Technology Agency,Sotware Licences and Related Services,Various suppliers,Not stated,Improve Service Delivery,Closed,Not stated,Not stated
173,Strategic Fuel Fund,Replacement of the current auto inline Jiskoot sampler,Welker,Not Stated,No suitable supplier from the market,Not supported,Not Stated,Not Stated
174,Trans-Caledon Tunnel Authority,"Legal service provider regarding findings from the Auditor-General of South
Africa",Not Stated,"500,000.00",Urgent and information is sensitive,Not supported,Not Stated,Not Stated
175,Trans-Caledon Tunnel Authority,"Legal service provider to represent TCTA in legal proceeding against two third
parties",Not Stated,"500,000.00",Closed bidding process,Conditional support,Not Stated,Not Stated
176,Trans-Caledon Tunnel Authority,"Supply of hand sanitizers, office disinfection, access control cards and printer
ribbon",Germcure and Fifty-One 49,"99,120.00",Emergency due COVID-19,Noting,Once-Off,Once-Off
177,Transnet,Mobile Data Services For Field Devices,MTN,"7,200,000.00",Has the required network infrastructure,Not supported,Not stated,Not stated
178,Transnet,Replace vehicles for the Group Chief Executive and Her CPO'S Drivers,Toyota SA,"1,300,000.00",Preferred supplier,Conditional support,Not stated,Once off
179,Transnet,"Lease for Transnet Port Terminals (TPT) and Transnet Port of Authority
(TNPA) Head Office at Kingsmead Office Park- Durnam to Existing lessors","Impilo Flats(Pty) Ltd; Kingsmead
Investment(Pty) Ltd; Dandelton Investments","46,900,000.00",Continuity of work,Conditional support,Not stated,6/30/2020
180,Transnet,"Consolidation, upgrade, support & maintenance of TIMS",Isometrix Systems,15 535 638.00,Single source,Not supported,Not stated,Not stated
181,Transnet,"Supply of success factors talent management software subscription for a
period of 2 years",SAP,"11,000,000.00",Single source,Conditional support,2020/04/01,2022/03/31
182,"uMalusi Council for Quality Assurance in General and
Further Education and Training","To use brand names (Dell and Cisco) when procuring communication network
in the tender for the renovation of an existing office building.",Not Stated,0.00,Compatibility,Not supported,Not stated,Not stated
183,Unemployment Insurance Fund (UIF),COVID - 19 Hotline,Call Force Direct,"40,000,000.00",Extension of call centre pro bono services,Supported,Once off,Once off
184,Unemployment Insurance Fund (UIF),Covid-19 Relief Scheme Awareness Campaign,SABC,"4,675,000.00",COVID - 19 Pandemic,Noting,Once off,Once off
185,Unemployment Insurance Fund (UIF),Radio Campaign Services,Media Mark,Not Stated,COVID - 19 Pandemic,Noting,Not Stated,Not Stated
186,Unemployment Insurance Fund (UIF),Caseware software,ADAPT IT,"342,893.33",Sole supplier,AA/AO Mandate,Date of approval,3 years
187,Universal Service and Access Agency of South Africa,Deviation from Instruction Note 5 - IDTVs,Not Stated,"242,000,000.00","COVID - 19 Pandemic: Grade 12 Learners catch
up programmes",Supported,Once off,Once off
