173,"South African Maritime Safety
Authority",Installation of the Acoustic Doppler Current Profiler and the Thermosalinograph,Anchora Enterprise,"6 ,151,529.00",Time constraints,Supported,Not Stated,Not Stated
174,"South African Maritime Safety
Authority","Provision of archiving, availability of emails, SPAM Filtering, Secirity and Mail Solution for
three (3) years",Mimecast,"1 ,790,698.00",Sole source procurement,Noting,Not Stated,Not Stated
175,"South African Medical Research
Council",Provision of laboratory information management system (LIMS).,Labware Africa (Pty) Ltd,"2 ,900,000.00",Sole service provider,Noting,2019/11/01,2021//10/31
176,"South African Medical Research
Council",Provision of a Laboratory Information Management System (LIMS),Labware Africa (Pty) Ltd,"2,900,000.00",Sole source procurement,Noting,Not Stated,Not Stated
177,"South African National Biodiversity
Institute","Kirstenboch summer sunset concerts and Kirstenbosch new year's Eve concert for the
summer of 2019-2020",13 different agencies,"4,179,436.00",Single Source procurement method,Supported,2019/11/17,2019/12/31
178,South African National Parks,Upgrade and support to the human resource management system,Sage South Africa (Pty) Ltd,7 066 748.85,Single source procurement method,Not supported,2019/10/1,2022/9/30
179,South African National Parks,Provision of office accomodation - Arid regional office in Upington,Sinato Investment,675 000.00,Single source procurement method,Conditional Support,2019/10/1,2024/9/30
180,South African National Parks,Renting mobile housing and ablution units,Kwikspace Modular Building (Pty) Ltd,895 797.00,Single source procurement method,Supported,2019/10/1,2020/9/30
181,South African National Parks,Supply laboratory services for controlled diseases,Agriculture Research Council,"3,506,040.00",Single Source procurement method,Not supported,Not Stated,Not Stated
182,South African National Parks,Supply laboratory services for DNA analysis,National Zoological Gardens,"1,350,000.00",Single Source procurement method,Not supported,Not Stated,Not Stated
183,South African National Parks,"Furniture and fittings, Linen, Kitchen equipment and smalls, inventory, information
technology,operating stock and provision for snagging",various suppliers,"10,750,000.00",Closed tender,Not supported,Not stated,Note stated
184,South African National Space Agency,Scintillation GNSS receivers,Septentrio NV,"2,250,000.00",Single Source procurement method,Noting,Not Stated,Not Stated
185,South African Police Service,Appeal: DB Kits Collection Swab reference System,Elvis Koena Consulting,"2,636,030.00",Quotation procurement method,Not supported,Not Stated,Not Stated
186,South African Police Service,Report: Purchasing of DNA Quantification Kits,LTC Tech,"4,358,668.48",Qotation procurement method,Noting,Not Stated,Not Stated
187,South African Police Service,Appeal: Maintenance and Repair of SAPS Aircrafts:ZS-RNR,Airbus Southern Africa,2 135 720,Sole supplier,Not supported,Not Stated,Not Stated
188,South African Police Service,Appeal: Maintenance and Repair of SAPS Aircrafts:ZS-R2V,Airbus Southern Africa,"5,889,417.00",Sole supplier,Not supported,Not Stated,Not Stated
189,South African Police Service,Appeal: Maintenance and Repair of SAPS Aircrafts:ZT-RCM,Airbus Southern Africa,"929,266.33",Sole supplier,Not supported,Not Stated,Not Stated
190,South African Police Service,Supply and delivery of armoured vehicles,Not Stated,"21,000,000.00","Making the speficication public will compromise the
safety of the VIPs",Supported,Once off,Once Off
191,South African Police Service,Procurement of police vehicles,Not Stated,0.00,RT57-2016 contract expired. Urgency,Not supported,Once off,Once Off
192,South African Police Service,Procurement of 700 000 rounds of 9x19 mm ammunition,Denel PMP SOC,"3,703,000.00",Emergency procurement method,Noting,Not Stated,Not Stated
193,South African Police Service,Procurement of 5 000 000 of 9x19 mm ammunition for training purposes,Parvilor (Pty) Ltd,"28,750,000.00",Emergency procurement method,Noting,Not Stated,Not Stated
194,South African Police Service,Procurement of 900 000 rounds of 9x19 mm ammunition,Denel PMP SOC,"4,761,000.00",Emergency procurement method,Noting,Not Stated,Not Stated
195,South African Police Service,Supply and delivery of Rounds 40mm long range CS Gas firearms and ammunition,Rheinmetall Denel Munition,"5,750,000.00",Urgency procurement method,Supported,Once off,Once Off
196,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System:
Northern Cape",Msomi Trading & Projects,"421,245.00",Emergency procurement method,Noting,Not Stated,Not Stated
197,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System:
KwaZulu Natal",Yaya's Lighting & Accessories,"8,744,673.60",Emergency procurement method,Noting,Not Stated,Not Stated
198,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System:
Western Cape",Yaya's Lighting & Accessories,"12,612,510.00",Emergency procurement method,Noting,Not Stated,Not Stated
199,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System:
Mpumalanga",Ramphodi Building Construction,"133,533.45",Emergency procurement method,Noting,Not Stated,Not Stated
200,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System: Eastern
Cape",Yaya's Lighting & Accessories,"15,628,334.40",Emergency procurement method,Noting,Not Stated,Not Stated
201,South African Police Service,"Supply, Delivery and Installation of Emergency Warning Lights and Sirens System:
Gauteng",Yaya's Lighting & Accessories,"18,382,096.80",Emergency procurement method,Noting,Not Stated,Not Stated
202,South African Police Service,Marking of South African Police Service Vehicles: Free State,Rantaoleng,"787,800.00",Emergency procurement method,Noting,Not Stated,Not Stated
203,South African Police Service,Marking of South African Police Service Vehicles: KwaZulu Natal,Sharpline Graphics,"2,223,870.00",Emergency procurement method,Noting,Not Stated,Not Stated
204,South African Police Service,Marking of South African Police Service Vehicles: Western Cape,Sharpline Graphics,"657,632.00",Emergency procurement method,Noting,Not Stated,Not Stated
205,South African Police Service,Marking of South African Police Service Vehicles: Gauteng,Sharpline Graphics,"2,328,736.00",Emergency procurement method,Noting,Not Stated,Not Stated
206,South African Police Service,Procurement of Uniform items,Not Stated,"20,416,038.25",Urgency procurement method,Not supported,Not stated,Not Stated
207,South African Police Service,Specialised investigation technique,Traros (Pty) Ltd,"782,000.00",Quotation procurement method,Supported,Not Stated,Not Stated
208,South African Police Service,Maintenance and repairs of SAPS aircraft:zs-rnr:sapbrz237b,Airbus Helicopters South Africa,"2,135,720.26",Sole supplier,Noting,Not Stated,Not Stated
209,South African Police Service,Maintenance and repairs of SAPS aircraft:zs-rzv:sapbpg786b,Airbus Helicopters South Africa,"5,889,417.19",Sole supplier,Noting,Not Stated,Not Stated
210,South African Police Service,Maintenance and repairs of SAPS aircraft:zt-rcm:bvj750b,Airbus Helicopters South Africa,"929,266.33",Sole supplier,Noting,Not Stated,Not Stated
211,South African Police Service,Labware Project,Labware Africa (Pty) ltd,"11,273,048.06","Completion of outstanding deliverables outside of the
contract",Not Supported,Not Stated,Not Stated
212,South African Police Service,Repair and Maintenance of Security System,Bridging Technologies South Africa (Pty) Ltd,"645,610.70","Repair and Maintenance of the system by the supplier
who installed the system",Supported,Not Stated,Not Stated
213,South African Police Service,Procurement of fifteen (15) drones,New World Dicount Stores,"533,250.00",Quotation process - Confidentiality,Supported,Once off,Once Off
214,South African Tourism,Annual participation in the IMEX Trade show,Scan Display,2 100 000.00,Single source procurement method,Not supported,2019/9/10,2019/9/12
215,South African Tourism,Sourcing of of intergrated marketing agency for the European Hub,Closed bid,0.00,Closed bid procurement method,Conditional Support,2019/10/01,2019/03/31
216,South African Tourism,Marketing Services,IT Communications,4 132 460.00,Single source procurement method,Not Supported,2019/10/1,2020/3/1
217,South African Tourism,Trade workshops,TAAI/ Sunshine Tour,INR 33 00 000,Single source procurement method,Not Supported,Not Stated,Not Stated
,South African Tourism,Appeal:Marketing services,Media Shop,152 500 000.00,S i n g l e s o u r c e p r o c u r e m e n t m e t h o d,Not supported,2019/10/01,2020/3/31
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
219,South African Tourism,Appeal:Marketing services,"Weber
Shandwick","9,384,000.00",Single source procurement method,Not supported,2019/10/01,2020/3/31
220,South African Tourism,Appeal:Marketing services,Ls Communication,"15,045,042.00",Single source procurement method,Not supported,2019/10/01,2020/3/31
221,South African Tourism,Upgrade of Google Analytics and related implementation services,Not Stated,Not stated,Closed tender,Conditional support,2019/11/1,2021/10/31
222,South African Tourism,UK campaign,Saga Holidays,"10,296,418.30",Qotation procurement method,Supported,Not Stated,Not Stated
223,South African Tourism,Participation at the consumer travel show (Vakantiebeurs 2020),Jaarbeurs BV,"1,109,482.46",Single source procurement method,Supported,2020/1/16,2020/1/19
224,South African Tourism,Procurement of a Global Agency,Starcom,"11,771,630.75",Single source procurement method,Not supported,Not Stated,Not Stated
225,South African Tourism,"To manage, market and book venues for all Learn SA workshops 2019",TAAI,"5,996,075.00",Single source procurement method,Not supported,Not Stated,Not Stated
226,South African Tourism,Office accommodation in India,Naman Centre,"172,596.12",Qoutation procurement method,Supported,2020/5/1,4/31/2025
227,South African Weather Service,"To utilise the Hydronet platform and its applications and provide support to the water,
energy, agriculture and disaster risk sector",Hydrologic System BV,"6,900,000.00",Single source procurement method,Conditional support,Not Stated,Not Stated
228,South African Weather Service,Procurement of service and spares of specific branded instruments,Envirocon Instrumentation,"1,090,000.00",Single source procurement method,Supported,Not Stated,Not Stated
229,South African Weather Service,Procurement of service and spares of specific branded instruments,Inteltronics,"1,090,000.00",Single source procurement method,Supported,Not Stated,Not Stated
230,South African Weather Service,Procurement of service and spares of specific branded instruments,Ero-Electronics,"2,000,000.00",Single source procurement method,Supported,Not Stated,Not Stated
231,South African Weather Service,Procurement of service and spares of specific branded instruments,C&M Consulting Engineers,"2,000,000.00",Single source procurement method,Supported,Not Stated,Not Stated
232,South African Weather Service,Procurement of service and spares of specific branded instruments,Si Analytics (Pty) Ltd,"1,272,000.00",Single source procurement method,Supported,Not Stated,Not Stated
233,Strategic Fuel Fund,To support SFF on two sensitive and material litigation matters,ENSafrica and Webber Wentzel,Not Stated,"SFF has legitimate concerns regarding potential conflict
of interest on a competitive tender.",Not supported,Not Stated,Not Stated
234,"Telecommunications and Postal
Services",Digital development fund for phase 1 & 2,GTAC,0.00,Single source,Supported,Date of approval,Not stated
235,Tourism,Completion of QwaQwa guest house project,River Ranger Management,7 651 990.00,"To complete outstanding works through EPWP
programme",Not supported,Not Stated,Not Stated
236,Tourism,Repatriation cost of the body of the late Ms Mbude,Not Stated,"300,000.00",Single source procurement method,Supported,Not Stated,Not Stated
237,Tourism,To conduct forensic investigation on identified EPWP projects,SNG Grant Thornton,"778,789.86",Quotation procurement method,Supported,Not Stated,Not Stated
238,Tourism,South Africa on Tourism,Investment Envoys,"4,500,000.00",Single source procurement method,Supported,2019/11/22,2020/12/31
239,Tourism,Research Services,closed tender,0.00,"Develop research capacity anf stimulate the generation
of now knowledge that translates into socia-economic
benefits.",Supported,Not Stated,Not Stated
240,Tourism,Training workshop for both tourism practitioners and municipal policy makers,United Nations World Tourism Ornganisation,"673,484.92",Single source procurement method,Not supported,2020/3/2,2020/3/6
241,Tourism,Research Services,closed tender,0.00,Single source procurement method,Conditional support,Not stated,Not stated
242,Transnet,Supply of Waste Management at the Port of Richards Bay for Transnet SOC Ltd,"Dolphin Coast Landfill Management (Pty) Ltd
Interwaste (Pty) Ltd
Enviroserve","20,000,000.00",Additional need,Not supported,Not Stated,Not Stated
243,Transnet,"Leases for TPT Head Office and TNPA satellite Head Office leases at Kingsmead Office
Park – Durban","Impilo Flats (Pty) Ltd
Kingsmead Investment (Pty) Ltd
Albaraka Properties (Pty) Ltd
Dandelton Investments (Pty) Ltd","46,900,000.00",Extension of Lease,Conditional support,2019/01/11,2021/04/31
244,Transnet,"Set up and configure Geographical Information Systems (GIS) platform and renewal of the
annual subscription",ESRI-South Africa (Pty) Lt,"1,330,000.00",Sole procurement method,"Within AA/AO mandate
Noting",Not stated,Not stated
245,Transnet,Rail fastening systems nationally,Pandrol SA (Pty) Ltd,"607,506,043.00",Continuity of service,Not supported,Not stated,Not stated
246,Transnet,"Pipeline Communcation Network Maintenance and Advanced Support on the Multi-Product
Pipeline",Business Connexion (Pty) Ltd,"46,788,320.08",Continuity of service,Conditional support,2019/12/01,2022/03/31
247,Transnet,Provision of Network Services,Liquid Telecom (Pty) Ltd,"1,998,988,003.40",Continuity of service,Not supported,Not stated,Not stated
248,Transnet,Renewal of Software Subscriptions for Transnet Group Capital,Prokon Software Consultants (Pty) Ltd,"909,594.00",Sole procurement method,"Within AA/AO mandate
Noting",Not stated,Not stated
249,Transnet,Renewal of Xtime Software License,G4S Secure Solutions SA (Pty) Ltd,"710,600.00",Sole procurement method,Within AA/AO mandate,Not stated,Not stated
250,Transnet,Rail fastening systems nationally,Pandrol SA (Pty) Ltd,"607,506,043.00",Approved products,"Noting
Not supported",Not stated,Not stated
251,"Transport Education and Training
Authority",Billing for telephone usage,Thuni Logistics,"625,386.48",Single source procurement method,Not supported,2019/4/1,2020/3/31
252,USAASA,Reconnection and maintenace of Broadband Internet Connectivity,Galela Telecommunications,"2,825,550.00",Internet Equipment Owner,Supported,Date of approval,12 months
253,Water and Sanitation,"Environmental Control Office for monitoring and auditing for environmental issues from 23
August 2012.",Iliso Consulting,"9 25,598.00",Continuity of service,Supported,Not Stated,Not Stated
254,Water and Sanitation,Construction,Group Five,"2 18,587,654.57",Continuity of service,Supported,Not Stated,Not Stated
255,Water and Sanitation,A diving contractor to open valves at Waterdom dam,Breakwater Diving Services CC,"6 9,944.80",Emergency procurement method,Noting,Once-Off,Once-Off
256,Water and Sanitation,"Loading funds, servicing, ink and maintenance of franking postal machine in the Department
for period twenty-four (24) months.",Frama Link Pty Ltd,"2 00,000.00",Sole source procurement,Noting,Not Stated,Not Stated
257,Water and Sanitation,"Purchasing clarity tube and South African Scoring System 5 (SASS 5) kit for Resource
Protection Sub-directorate in the Free State Province for 2019/20 financial year",GroundTruth cc,"1 420.00(Clarity Tube);
3 370.00(SASS 5 Kit)",Sole source procurement,Noting,Not Stated,Not Stated
258,Water and Sanitation,"Supply of replacement parts for Sontek Acoustic Doppler used by the Free State
Hydrological services for flow measurement and dats logging at Gauging stations within the
Free State province for 2019/20 financial year.",Monitoring Control Laboratories Pty,"1,455,385.00",Sole source procurement,Noting,Not Stated,Not Stated
259,Water and Sanitation,"of CTC Water Tech for R198 874,00 as a sole supplier for servicing of all Hach Laboratory
and field equipment used by the sub-directorate: Water service regulation for route water
quality monitoring in the Free State Province for 2019/20 financial year.",CTC Water Tech,"198,874.00",Sole source procurement,Noting,Not Stated,Not Stated
,Water Research Commission,Provision of security service,various suppliers,"1 ,507,131.66",Change of scope,Supported,Not Stated,Not Stated
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,Wholesale and Retail SETA,To provide training to 20 registered co-operatives,Closed bid - suppliers unknown,"1,430,000.00",Bid process yielded no results,Not supported,Not Stated,Not Stated
