Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
136,PRASA,"Design and implementation of new
digital radio signalling railway network
system","Huawei Altech Alcom Matoma
Consortium",ROE and CPI adjustments,485 079 188.80,"53 750 658,66","0,00",2016-12-08,Conditional support,2016-02-01,2016-11-30
137,Productivity SA,Extension of lease agreement,Vukile Property,Continuity of service,"9 818 874,45","18 857 077,00","0,00",2016-10-18,Supported,2017-01-01,
138,Productivity SA,Extension of lease agreements,Anicol Properties,Continuity of service,"1 561 154,34","2 642 082,00","0,00",2016-10-18,Supported,2016-11-01,5 Years
139,PSC,"National Anti-Corruption Hotline
(NACH)",Boxfusion,Continuity of service,"0,00","1 490 000,00","0,00",2016-10-21,Conditional support,2016-10-24,2 years
140,Pseta,Hygiene Services,Bidvest Steiner Hygiene,Continuity of service,"103 065,80","100 952,29","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
141,Pseta,Courier Services,Dawn Wings,Continuity of service,"59 621,04","120 000,00","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
142,Pseta,Security Services,Fidelity Security,Continuity of service,"145 373,27","156 299,70","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
143,Pseta,Business Insurance,Marsh,Continuity of service,"142 441,20","119 653,00","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
144,Pseta,Off-site records storage,Metrofile,Continuity of service,"92 643,43","89 315,84","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
145,Pseta,Office storage & backup tapes,Metrofile,Continuity of service,455.61/month,333.32/month,"0,00",2016-11-07,Supported,2016-11-01,2018-03-31
146,Pseta,Printing Machines Lease,Nashua Tshwane,Continuity of service,7139.48/month,6262.70/month,"0,00",2016-11-07,Supported,2016-11-01,2018-03-31
147,Pseta,4G cards,Vodacom,Continuity of service,"9 940,01","70 414,00","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
148,Pseta,Internet Solutions,Vox,Continuity of service,"296 605,04","289 138,04","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
149,Pseta,Online branding,Active Brand,Continuity of service,"108 436,80","98 558,15","0,00",2016-11-07,Supported,2016-11-01,2018-03-31
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
150,Public Works,"Maintenance and servicing of the
Makhaleng Telle Bridge and
Sepapushek ports of entry","Superway Construction (Pty)
Ltd",Delays in the procurement process.,15 200 000.00,6 843 201.42,13 000 594.71,2016-09-14,Supported,2016-09-30,2017-04-04
151,Public Works,"Adaption and complete upgrade of
phase 2:WCS 044954 for the
Standerton Correctional Centre",Clear Choice Builders,Allows for the continuity of service,311 913 544.00,9 538 858.65,Not stated,2016-09-20,Supported,2016-12-19,2017-05-18
152,Public Works,"Maintenance, repairs, civil
mechanical and electrical
infrastructure and installations for
Ficksburg Bridge and Caledonspoort
portof entry","Mercy Civil and Building
Contractors","The competitive bidding process is
in progress",8 368 393.44,1 317 684.38,11 201 879.84,2016-10-14,Supported,2016-10-22,2017-01-21
153,Public Works,"Maintenance and servicing of
building, civil mechanica, electrical
infrastructure and installations at
Maseru Port of Entry","Caledon river properties ccT/A
Magwa Construction","The procurement process was not
finalised.",15 612 816.42,786 542.00,8 955 698.78,2016-10-21,Supported,Not stated,Not stated
154,Public Works,"Maintenance and Servicing of the
Pontdrift Plant Jan and Zanzibar land
Port of entry",Multi-Net Systems,Allows for the continuity of service,"12 201 599,22",4 211 960.90,4 211 960.90,2016-11-09,Supported,2016-11-18,2017-01-31
155,Public Works,"Maintenance and Servicing of
buildings, civil mechanical electrical
infrastructure and installation at the
Sani Pass & Qachasnek Port of entry",Ruwacon (Pty) Ltd,"The procurement process (supplier
vetting) has not been concluded.",7 066 717.95,714 592.94,9 735 354.88.,2016-11-16,Supported,2016-11-19,2016-12-31
156,Public Works,"Repairs service and maintenance to
industrial air conditioning plant and
associated equipment","Stainless Concepts
Engineering","The procurement process (supplier
vetting) has not been concluded.",19 600 000.00,1 900 000.00,30 338 322.00,2016-11-02,Supported,2016-12-01,2017-02-28
157,Public Works,"Repairs service and maintenance to
water pumps and associated
equipment",Roy’s Oil and Gas,"The procurement process (supplier
vetting) has not been concluded.",10 500 000.00,1 800 000.00,12 660 461.00,2016-11-02,Supported,2016-12-01,2017-02-28
158,Public Works,"Repairs, service and maintenance to
hangar doors roller shutter blast and
automatic doors",Roy’s Oil and Gas,"The procurement process (supplier
vetting) has not been concluded.",10 500 000.00,1 700 000.00,7 002 776.00,2016-11-02,Supported,2016-12-01,2017-02-28
159,Public Works,"Repairs service and maintenance to
electric diesel and steam boilers",Roy’s Oil and Gas,"The procurement process (supplier
vetting) has not been concluded.",10 500 000.00,750 000.00,2 442 117.00,2016-11-02,Supported,2016-12-01,2017-02-28
160,Public Works,Leasing Framework,Core Focus,"The project on leasing framework is
not complete",1 672 000.,950.00 per hour.,Not stated,2016-12-13,Supported,Not stated,Not stated
161,Public Works,"To conclude the outstanding training
for which he was contracted and for
learners to receive their competence
certificate for a period of 6 months",Sphola Consulting (Pty) Ltd,Allows for the continuity of service,"2 327 313,74","1 074 221,16","0,00",2016-11-10,Supported,2017-01-01,2017-06-30
162,RAF,Security services,Various service providers,"Competitive bidding process in
progress","353 318 617,00","0,00","557 487 954,00",Not dated,Supported,Not stated,Not stated
163,RAF,Various cleaning services,"Neledzi Cleaning Services
(Pty) Ltd,","Competitive bidding process in
progress",363 852.65,"382 255,15","0,00",2016-09-09,Supported,2016-11-01,2017-03-31
164,RAF,Various cleaning services,"Neledzi Cleaning Services
(Pty) Ltd","Competitive bidding process in
progress",399 948.25,"464 506,90","0,00",2016-09-09,Supported,2016-11-01,2017-03-31
165,RAF,Various cleaning services,Supercare Services,"Competitive bidding process in
progress",495 033.60,429 018.75,"0,00",2016-09-09,Supported,2016-11-01,2017-03-31
166,RAF,Various cleaning services,Servest Cleaning,"Competitive bidding process in
progress",103 388.10,"104 835,53","0,00",2016-09-09,Supported,2016-11-01,2017-03-31
167,RAF,Corporate Panel of Attorneys,Various Atterneys,"Competitive bidding process in
progress","0,00","3 000 000,00","0,00",Not provided,Supported,2016-11-01,2017-04-30
168,RAF,"Provide Manager Ready
Assessments",Deloitte Consulting,"Competitive bidding process in
progress","608 760,00","1 500 000,00","0,00",2016-10-18,Supported,2017-01-08,2017-07-30
169,RAF,Provision of legal services,Macrobert Attorneys,Continuity of service,38 222.81,200 000.00,"0,00",2016-11-21,Conditional support,2016-11-11,2017-04-10
170,Road Accident Fund,National security contracts,"Imvula Quality Protection;
Venus Security and
Securitas",Delay in the finalisation of the tender,"280 296,64","Imvula Quality
Protection = 4 154
037.68; Venus
Security = 475
318.25 and
Securitas = 315
383.90",None,2016-11-07,Conditional support,6 months,Not stated
171,SANBI,"To design and upgrade the entrance
facility at the Lowveld National
Botanical Gardens Nelspruit",T.J Architecht,"additional expenses related to the
unplanned site visists",169 736.88,141 840.53,Not stated,2016-09-29,Supported,Not stated,Not stated
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
172,SANBI,"Feasibility studies for the design and
construction of a new administration
building in the Kirstenbosch National
Botanical Gardens","Vernon Mathews and
Associates",Change in the scope of work,937 764.00,8 848 267.96,Not stated,2016-10-01,Not Supported,Not stated,Not stated
173,SANBI,"Unclocking of the biodiversity benefits
through development finance in
critical catchments",Pegasys Pty Ltd,"To allow for the contunuity of the
services",444 600.00,150 000.00,Not stated,2016-11-02,Supported,Not stated,Not stated
174,SANParks,"To review the Tourism Systems
Strategy",PWC,Scope change,499 550.28,111 412.00,Not stated,2016-11-04,Supported,Not stated,Not stated
175,SANParks,Office Lease,Cozirex (Pty) Ltd,continuity of service,370 044.00,800 000.00,Not stated,2016-11-22,Supported,2016-12-01,2018-11-30
176,SANRAL,"Additional expenditure for the repair
and reseal of National road R34
sections 2 and 3",Royal Haskoning DHV (Pty) Ltd,Additional scope,28 180 399.39,11 013 273.23,"0,00",2016-12-07,Conditional support,2017-01-01,2018-12-31
177,SANRAL,"Construction Engineering for upgrade
of N2",Ingerop,Change in the road design,"0,00",31 801 361.34,"0,00",2016-12-01,Conditional support,Not stated,Not stated
178,SANRAL,"Rehabilitation of National Route from
Ladysmith South to Nkunzi River",Worley Parsons,"Additional supervision costs due to
splitting of contract","0,00","0,00","0,00",2016-11-07,Conditional support,Not stated,Not stated
179,SANRAL,"Procurement of National Intelligent
Transport System and Integrated
Supporting System Software (Various
Provinces)","Teti Construction & Kimley-Hon
and Associates",Cost saving and benefit to the public,897 638 327.88,559 249 924.26,"0,00",2016-11-14,Supported,2016-12-01,2019-11-30
180,SANRAL,"Consulting Engineering Services for
Design and Construction Monitoring
of the Rehabilitation National Route 1
Section 12 between Trompsburg and
Fonteinjie","Mott Mac Donald PDNA (Pty)
Ltd",Expansion of project duration,18 413 086.20,35 601 510.30,26 863 671.96,2016-11-07,Supported,2016-11-29,2017-06-29
181,SAPO,"Supply of MPLS VPN services
Symantec Cloud IS fibre connection ,
Telkom Diginet connectivity and
Enterprise internet accessVoIP
services",Internet Solutions,"To allow for the contunuity of the
services",Not stated,"3 727 291,39","0,00",2016-07-14,Not Supported,2016-04-01,2017-03-31
182,SAPO,Internet and Web access,Internet Solution,"To allow for the contunuity of the
services",,"12 740 966,02",Not stated,2016-12-12,Supported,Not stated,Not stated
183,SAPO,International Financial Systems,Universal Postal Union,"To allow for the contunuity of the
services","5000,00","650 050,45",Not stated,2016-12-12,Supported,2017-01-01,2017/31/12
184,SAPO,"Passport Advantage software annual
licencing",IBM,"To allow for the contunuity of the
services","6 202 000,00",21 171 837.33,Not stated,2016-12-12,Supported,2017-01-01,2017-06-30
185,SAPO,Call centre Licences,Elingo,"To allow for the contunuity of the
services",Not stated,"13 797 175,32",Not stated,2016-12-08,Supported,2017-03-01,2020-02-28
186,SAPO,"Oracle Database and the Sun Micro
licences",Oracle,"To allow for the contunuity of the
services",Not stated,"66 102 114,88",Not stated,2016-12-12,Supported,2017-03-01,2020-02-28
187,SAPO,Disaster recovery hosting services,Telkom SA,"To allow for the contunuity of the
services",Not stated,"40 000 000,00",Not stated,2016-12-08,Supported,2017-03-01,2020-02-28
188,SAPO,"IBM contract for the SAPO 6X Core
activation on 2X Unix hosts for a
period of 3 years",IBM,"To allow for the contunuity of the
services",Not stated,"3 869 400,00",Not stated,2016-12-12,Supported,2017-03-01,2020-02-28
189,SAPO,Support on the Escher software,Escher Group,"To allow for the contunuity of the
services",Not stated,"9 036 998,20",Not stated,2016/21/11,Supported,2017-03-01,2020-02-28
190,SAPO,Support on the Escher software,Escher Group,"To allow for the contunuity of the
services",Not stated,"46 548 585,72",Not stated,2016-08-12,Supported,2017-03-01,2020-02-28
191,SAPO,IT Mobile application Project,Fuse IT,"To allow for the contunuity of the
services",Not stated,"355 200,00",Not stated,2016-08-12,Supported,2017-03-01,2020-02-28
192,SAPO,"Third party and voucher management
system",Fuse IT,"To allow for the contunuity of the
services",Not stated,"3 046 130,30",Not stated,2016-12-12,Supported,2017-03-01,2020-02-28
193,SAPO,"Postilion financial switch used by
Postbank and retail divisions to
service its branch, ATM, POS, Traffic
fines and money order channels",ACI Global Ltd,"To allow for the contunuity of the
services",Not stated,"15 044 818,00",Not stated,Not stated,Supported,2016-01-04,2021/31/03
194,SAPO,"Maintenace and support of the
Embrace and Universe software for 3
years","Associated Computer Solutions
(ACS)","To allow for the contunuity of the
services",Not stated,"2 036 336,89","1 661 971,70",2016/21/11,Supported,2017-03-01,2020-02-28
195,SAPO,"To move the equipment from the
ChurchStreet data centre to Telkom
data centre in Centurion","EMC, HP, IBM and CISCO","To allow for the contunuity of the
services","7 260 000,00","222 891,50",Not stated,2016-01-12,Supported,2017-03-01,2020-02-28
196,SAPO,Data and voice services,Telkom SA,"To allow for the contunuity of the
services","551 800 000,00","296 191 920,00",Not stated,2016/21/11,Supported,2017-03-01,2020-02-28
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
197,SARS,Extension of lease agreements,"Richards Bay: Lockaway
Investments","Premises still meet SARS operating
standards",1680.0058.5,"10 094 048,43",Not stated,2016-08-05,Supported,2016-12-01,2019-11-30
198,SARS,"Extension of maintenance service of
Lectora licenses",Bytes People Solutions,Continuity of service,"245 100,00","33 060,00",Not stated,2016-10-11,Supported,2016-10-17,2017-09-18
199,SARS,TeamMate software renewal,"Wolters Kluwer Tax &
Accounting Southren Africa",Continuity of service,"458 732,39","314 412,52","839 607,29",2016-10-20,Supported,2016-11-01,2016-11-30
200,SARS,Special Projects,Various service providers,Continuity of service,"146 883 000,00","1 565 353 999,00","529 226 000,00",2016-10-31,Conditional support,2017-01-01,2019-12-31
201,SARS,Extension of lease,Randburg- Delta Property,Continuity of service,"22 534 991,04","78 663 995,17","0,00",2016-12-13,Not Supported,2017-03-01,2022-02-28
202,SARS,Extension of lease,"Stellenbosch - Valeria
Beleggings",Continuity of service,"3 611 556,11","2 008 746,22","0,00",2016-12-13,Not Supported,2016-12-01,2019-11-30
203,SARS,Extension of lease,Klerksdorp- Sodema,Continuity of service,"26 493 327,07","14 660 607,98","0,00",2016-12-13,Not Supported,2017-01-01,2019-12-30
204,SARS,Debt collection services,CSS Credit Solutions,Continuity of service,"38 896 000,00","31 335 412,09","0,00",2016-11-11,Conditional support,2016-12-01,2017-05-31
205,SARS,Debt collection services,NDS Credit Solutions,Continuity of service,"38 896 000,00","31 848 350,02","0,00",2016-11-11,Conditional support,2016-12-01,2017-05-31
206,SASSA,Parking space,Broll Property Group (Pty) Ltd,"Alignment of parking space contract
with Head Office lease contract",420 444.60,1 115 244.86,1 291 620.60,2016-10-31,Supported,2016-11-01,2018-03-31
207,SASSA,Cleaning and Hygiene Services,Masana Hygiene Services,"Competitive bidding process in
progress",16 347 893.82,513 761.61,1 541 284.83,2016-10-31,Supported,Not stated,Not stated
208,SASSA,"ICT Operations, Support,
Maintenance and Service Desk",EOH Mthombo (Pty) Ltd,Continuity of service,87 934 360.91,43 967 180.45,"0,00",2016-11-17,Supported,2017-04-01,2018-03-31
209,SASSA,Cleaning services,Lucob Cleaning Services,Delay in the finalisation of the tender,"3 143 205,00","0,00","0,00",2016-10-31,Supported,Not stated,Not stated
210,Science and Technology,"Production and delivery of an
induction DVD and CD-Rom Package
for the department`s newly appointed
employees",Markon Digital (Pty) Ltd,Expansion of scope,124 881.30,46 272.60,"0,00",2016-10-14,Conditional support,Once-off,Once-off
211,SEDA,"To host and manage the Public
sector SMME Payment Assistance
Hotline Facility","EOH Advisory Services (Pty)
Ltd","To allow National Treasury to
normalize all the call centre
operations.",6 202 364.00,702 880.00,878 600.00,2016-11-04,Supported,2016-12-01,2016-03-31
212,SITA,Additional Vantage Software Licenses,"Mediro Belay Managed
Services",Continuity of service,"3 108 596,50","874 053,50","0,00",2016-10-21,Supported,2016-11-01,3 Years
213,SITA,Symantec software Licences,SymantecSA,Continuity of service,"206 400 000,00","42 710 975,00","0,00",2016-11-10,Supported,2016-12-01,2017-11-30
214,SITA,SAPS Switching Centre infrastructure,Infrasol (Pty) Ltd,Continuity of service,"11 243 613,66","25 992 000,00","5 963 880,37",2016-11-23,Conditional support,2016-12-01,2017-11-30
215,SITA,Microfilm & Archiving services,SymantecSA,"Competitive bid process not
succesful","9 970 274,97","4 141 236,00","8 899 805,64",2016-11-10,Conditional support,2016-12-01,2017-11-30
216,SITA,Extension of lease agreement,Mowana Properties,"Non-responsive competitive bid
process","2 581 435,95","591 406,29","913 994,00",2016-12-08,Conditional support,2017-01-01,2017-09-30
217,SITA,Extension of lease agreement,Touchbase Properties,"Non-responsive competitive bid
process","1 097 887,98","218 599,56","715 753,12",2016-12-08,Conditional support,2017-01-01,2017-09-30
218,SITA,"Extension of the in-house travel
Management",Duma Travel,Continuity of service,"1 437 876,30","1 079 324,94","354 288,31",2016-12-13,Supported,2017-01-01,2017-06-30
219,STATSSA,Evaluation of the trade statistics,Jacob Ryten,Continuity of service,"2 333 455,00","2 050 563,00","0,00",2016-10-07,Supported,Once off,Once off
220,TCTA,"Provide re-baseline design and
construction supervision services for
Phase 2B of Olifants River Water
Resources Development Project
(ORWRDP 2)","Aurecon Ndodana Joint
Venture",Expansion of scope,"379 000 000,00","309 000 000,00","160 000 000,00",2016-11-16,Conditional support,2009-09-01,2021-07-30
221,TCTA,"Construction of Phase 2C Pipeline
from De Hoop Dam to Steelpoort of
Olifants River Water Resources
Development Project (ORWRDP 2)",Basil Read,Expansion of scope,"1 165 000 000,00","93 100 000,00","308 900 000,00",2016-11-16,Conditional support,2012-03-28,2017-08-27
222,TCTA,"Provision of disaster recovery
services",Continuity SA,"Allow time to finalise bidding
process","583 903,00","1 204 592,00","713 903,00",2016-12-03,Conditional support,2013-10-01,2017-09-30
223,"Technology Innovation
Agency","Leadership Development Training
Session",Thinking Fusion Africa (Pty) Ltd,Expansion of scope,"495 558,00","123 120,00","0,00",2016-11-09,Conditional support,Once Off Service,Once Off Service
224,Transnet,"Validation of completed engineering
and design for the construction of
terminals on NMPP project",Kentz (Pty) Ltd,"Expansion of project duration due to
industrial action","10 855 848,00","60 000 000,00","719 948 431,13",2016-11-11,Conditional support,13 Months,Not stated
225,Transnet,"Provision of IT Advisory, Research
Services: Best Practice",Gartner Ireland (Pty) Ltd,"Competitive bidding process in
progress","2 375 460,00","8 732 799,00","10 685 697,00",2016-12-15,Conditional support,2017-01-01,2017-12-31
226,Transnet,Provision of professional services,PWC,Continuity of service,"18 022 046,00","14 735 654,00","32 434 448,00",2016-12-14,Conditional support,2017-01-04,2019-01-03
227,Transnet,"Master Information Technology
Outsourcing",T-Systems SA (Pty) Ltd,"Competitive bidding process in
progress","1 986 552 619,00","637 705 237,00","3 664 022,00",2016-12-06,Conditional support,Not stated,9 months
228,Transnet,"Maintenance and support of SAP
Server",IBM South Africa (Pty) Ltd,Continuity of service,41 214 373.46,10 950 304.63,15 390 000.00,2016-11-29,Supported,2016-12-01,2017-11-30
229,UIF,Siyaya Systems,Vindhya Professional Services,Continuity of service,"6 390 343,20","4 000 000,00","10 475 061,90",2016-10-19,Supported,2016-09-01,2017-08-31
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
230,W& R SETA,"Enterprise Resource Planning
System",Deloitte Consulting (Pty) Ltd,"To allow for the contunuity of the
services","11 918 454,60","8 800 000,00","0,00",2016-10-28,Supported,20 months,20 months
