5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 2 (16 JUNE 2020 - 15 SEPTEMBER 2020) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recom
mended by
AO/ AA date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
122,2020/06/22,South African Weather Service,Lease agreement in East London,Mr Clive Eugene Collin,Continuation of service,"4 25 564,96","6 44 795,40",-,Supported,2020/6/19,2020/7/1,2023/6/30
123,2020/06/22,South African Weather Service,To compile a fixed assets register,MNB Chartered Accontants,Continuation of service,"2 70 000,00","4 33 670,00",-,Supported,2020/6/19,Not Stated,Not Stated
124,2020/08/11,South African Weather Service,Forensic Investigation,Sizwe Ntsaluba Gobodo,Continuation of service,"7 60 000,00","2 962 433,00","4 50 000,00",Conditional Support,2020/8/11,2020/8/12,2020/3/31
125,2020/07/17,"Sports, Arts and Culture","Provision of comprehensive wellness
services to include 146 employees
from the former Department of Sports and
Recreation","WorkForce Health
Care","Inclusion of 146 employees
from the former Department of Sports and
Recreation","1 52 603,58","9 03 042,00",-,Supported,2020/7/13,2020/8/1,2021/10/31
126,2020/07/08,"Sports, Arts and Culture",Internal Audit Services,"SizweNtsalubaGobodo Advisory Services
(Pty) Ltd","Due to an increase in the audit scope
identified by the Audit Committee","7 32 858,75","4 885 725,00",-,Not supported,2020/5/18,2020/8/1,2020/11/20
127,2020/07/22,State Information Technology Agency,Office Lease - Polokwane,East and West Investments,Unsuccesful bid process,"8 761 826,59","1 053 251,88","3 8 637 756,50",Not supported,Not Stated,2020/6/1,2021/5/31
128,2020/07/25,State Information Technology Agency,Corporate Insurance Contract,GIB Insurance Brokers (Pty) Ltd,Biding Process was cancelled 4 times,"3 642 778,41","1 0 306 394,99",-,Supported,Not Stated,2020/8/1,2020/7/31
129,2020/08/27,State Information Technology Agency,Electronic Document Delivery System,Bidvest Data,Continuation of Service,"2 0 700 000,00","1 4 594 280,00",-,Supported,Not Stated,2021/2/1,2024/2/28
130,2020/07/21,Statistics South Africa,Appeal: Price escalation,Ledwaba Mazwai Attorneys,Amount not correctly estimated,"4 563 077,00","3 871 980,00",-,Supported,Not Stated,Not Stated,Not Stated
131,2020/07/24,Transnet Limited,second hand handling equipments,Radd SI trucking and saflog,Business continuity,"7 0 195 257,06","1 99 177 524,04","2 1 409 008,67",Conditional Support,2020/07/20,2020/07/24,2021/01/23
132,2020/07/21,Transnet Limited,insurance brokering,Marsh PTY Lts and Willis SA Pty Ltd,"Extensions on current contracts due to
new tender processes not concluded in
time",-,"4 5 000 000,00",-,Conditional Support,2020/07/16,2020/08/01,2020/12/31
133,2020/07/29,Transnet Limited,"Security Services in Gauteng and North
West Region","Sinqobile Equestrian Security Services
(Pty) Ltd",Business continuity,"4 5 359 308,38","6 589 036,86","2 9 319 632 900,00",Conditional Support,2020/07/28,2020/08/03,2021/01/31
134,2020/07/24,Transnet Limited,"Lease of Used/Second Hand Equipment at
Port of Richards Bay","RADDS, SI Trucking & SAFLOG",Business continuity,"1 99 177 524,56","2 1 409 008,67","7 0 195 257,06",Conditional Support,2020/07/24,2021/01/23,2020/07/20
135,2020/07/22,Transport Education and Training Authority,Office Accomodation (Cape Town),"Growthpoint Securitisation Warehouse
Trust",Continuation of service,"2 266 994,69","1 295 842,28","1 680 798,92",Supported,2020/7/22,2020/10/1,2022/3/31
136,2020/09/14,Transport Education and Training Authority,"Lodging and arguing on th e matter - Review
of Public Protector report",Werkmans Attorneys,Continuation of Service,"1 900 000,00","4 82 080,00",-,Not supported,2020/7/22,Not stated,Not Stated
137,2020/07/27,"uMalusi Council for Quality Assurance in General
and Further Education and Training","106 additional modems with 20 gigabytes for
officials and support staff, for a period of six
months",MTN,Continuation of service,"243 324,00","2 64 486,00","57 612,00",Supported,2020/07/27,Not stated,Not stated
138,2020/09/03,Umgeni Water,"Design and Build of a 32kg Ozone at
Wiggins Water Works",PCI Africa (Pty) Ltd,"Cover the awarded claims by adjudicator
for price adjustment due to exchange rate
and contract price adjustment","5 031 073,51","2 2 910 934,00","4 100 410,03",Conditional Support,2020/08/21,Not stated,Not stated
139,2020/08/12,Umgeni Water,"Rosetta Water Treatment plant,",Basil Read,Cover the cost of completion,"38 415 973,77","3 04 765 117,00","2 7 549 915,21",Conditional Support,2020/08/11,Not stated,Not stated
140,2020/08/02,"Universal Service and Access Agency of South
Africa",Broadcast Digital Migration Phase 1,Finalised by Public Finance,Finalised by Public Finance,Not Stated,Not Stated,Not Stated,Closed,Not Stated,Not Stated,Not Stated
141,2020/08/19,Wholesale and Retail SETA,IT Systems,Solugrowth,"To accommodate the new financial
reporting and the auditing close out period
and to migrate all its historic financial
information from the old ERP system into
the new system","3 578 309,18","1 6 929 000,00","3 4 046 682,88",Closed,2020/8/17,2020/9/1,2021/1/30
,,,,,,,,,,,,
