GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 2 (16 June 2021 - 15 September 2021) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract expiry
(yyyy/mm/dd)"
119,2021/06/29,South African National Parks (SANParks),Additional Microsoft Licenses,Microsoft,"Ensure the success of the various projects and ongoing user
productivity and needs","9 577 391,13",46 453 957.37,"0,00",Not Supported,2021/06/21,2019/06/01,2022/05/22
120,2021/09/13,South African National Parks (SANParks),Additional Microsoft Licenses,Microsoft,"Ensure the success of the various projects and ongoing user
productivity and needs","9 577 391,13",46 453 957.37,"0,00",Not Supported,2021/09/02,Not Stated,Not Stated
121,2021/08/16,South African Nuclear Energy Corporation (NECSA),Provision of waterproofing,Dzimano's Projects and Project,Continuation of work,"168 987,24","74 264,95","0,00",Conditional Support,2021/08/16,Not Stated,Not Stated
122,2021/07/23,South African Post Office (SAPO),Cash In Transit and Guarding Services,Fidelity Cash Solutions (FCS),Continuation of service,"218264779,89",Not Stated,"0,00",Supported,23/7/2021,Not Stated,Not Stated
123,2021/07/06,South African Revenue Service (SARS),Extension of lease agreement for accomodation,Russet Trading and Investment 95 (PTY) Ltd,Location convinient and cost efficient,"61814208,03","37245470,76","0,00",Supported,6/7/2021,1/9/2021,31/8/2026
124,2021/07/08,South African Revenue Service (SARS),Extension of lease agreement for Parking Space,Uton,Continuation of service,"625866,81","121800,00","440075,00",Supported,6/7/2021,1/3/2022,28/2/2027
125,2021/07/12,South African Revenue Service (SARS),Extension of lease agreement for accomodation,IMBALI PROPS 21 (PTY) LTD,Continuation of service,"2190283,60","31041362,01.","3577435,68",Supported,9/7/2021,01/10/2021,30/9/2022
126,2021/07/14,South African Revenue Service (SARS),"Provision of Hygiene Services (Supply, Installation and Maintenance of
Sanitary and Health Care Equipment)","Imvula Quality Protection, Orizoe Services CC and Supercare",Continuation of service,"13544799,13","65493057,56","0,00",Conditional Support,14/7/2021,1/9/2021,31/5/2021
127,2021/07/16,South African Revenue Service (SARS),Extension of lease agreement for accomodation,Bildamol Investments (Pty) Ltd,Continuation of service,"6491173,38","681434,96","0,00",Conditional Support,15/7/2021,01/01/2022,31/06/2026
128,2021/08/11,South African Revenue Service (SARS),Provision of Employee Health and Wellness Related Services,Workforce Healthcare Pty Ltd,Continuation of service,"3 200 000,00","2000000,00","0,00",Supported,11/8/2021,1/9/2021,31/1/2022
129,2021/08/12,South African Revenue Service (SARS),"Maintenance and support of the recording machines for Registrar of the
Tax Court (RTC)",Digital Voice Processing (Pty) Ltd,Continuation of service,"243887,01","227532, 41","0,00",Supported,6/8/2021,01/03/2020,29/02/2021
130,2021/08/16,South African Revenue Service (SARS),"Lease Agreement between SARS and Department of Public Works and
Roads",DPWRI,Continuation of service,"17 883 881,00","13584432,89.","0,00",Supported,16/8/2021,01/10/2021,30/09/2026
131,2021/08/11,South African Revenue Service (SARS),Lease Agreement,Tribecca Property Group,Continuation of service,"6 486 442,70",Not Stated,"26457722,70",Supported,11/8/2021,1/1/2022,31/12/2021
132,2021/08/20,South African Revenue Service (SARS),Lease Agreement,Uhuru Professional Electrical Contractors,Continuation of service,"821880,60","30666270,45","21620049,15",Supported,29/7/2021,1/9/2021,31/7/2024
133,2021/07/27,South African Social Security Agency (SASSA),"Extension of the current cleaning contract with Pronto Kleen Cleaning
Services",Pronto Kleen Cleaning Services,Continuation of service,5 408 277.54,20 625 552.36,2 617 997.59,Conditional Support,2021/07/27,6 months,6 months
134,2021/08/16,South African Social Security Agency (SASSA),Call centre support,Alton,Additional scope of work,42 456 735.00,29 340 000.00,2 115 000.00,Conditional Support,2021/08/12,2021/09/01,2022/07/31
135,2021/07/27,South African Social Security Agency (SASSA),Cleaningat the SASSA offices in Western Cape,Pronto Kleen Cleaning Services,Continuation of service,5 408 277.54,20 625 552.36,2 617 997.59,,2021/07/27,6 months,6 months
136,2021/09/14,South African Social Security Agency (SASSA),extension of the current contract with The Document Warehouse,The Document Warehouse,Continuation of service,339 510 898.20,480 182 800.00,0.00,Conditional Support,2021/09/10,2021/09/01,2022/02/28
137,2021/09/08,South African Social Security Agency (SASSA),Distribution of the special Covid-19 R350 grand at transaction fee,SAPO,Continuation of service,not applicable,not applicable,not applicable,Conditional Support,2021/09/07,2021/08/01,2022/07/30
138,2021/06/30,South African Tourism,Implementation of the data analytics tool(Software).,SurTech (Pty) Lty,Sole source,"324 675,32","897 758,30","0,00",Not Supported,2021/06/10,2022/07/01,2023/06/30
139,2021/07/22,South African Weather Service,Security services,Maemo Security Services,To embark on a new procurement process,"747 422,64","7 460 272,94","996 563,52",Conditional Support,2021/07/22,2021/08/01,2021/10/31
140,2021/08/05,Special Investigating Unit (SIU),Provision of SIU office accommodation for head office in Pretoria,Not Stated,Additional scope of work,29 649 031.00,17 072 312.37,73 279 948.00,Conditional Support,2021/08/03,2022/01/01,2025/03/31
141,2021/09/15,Special Investigating Unit (SIU),"Provision of armed close protection services for SIU employee with
Arcangel Group in Bloemfontein office",Arcangel Group,Continuation of service,"456,722.00","277,828.50","471, 672.00",Conditional Support,2021/09/15,2021/10/01,2022/02/28
142,2021/09/15,Special Investigating Unit (SIU),Provision of SIU office accommodation for Mahikeng office.,Not Stated,Continuation of service,1 001 946.00,4 094 004.60,584 287.52,Conditional Support,2021/09/08,2021/11/01,2022/10/31
143,2021/06/29,State Information Technology Agency (SITA),Microfilm and archiving services to the Department of Defence (DOD),"Metrofile Pty
(Ltd)",Tender prcess underway,"727416,51","6333794,78","374943,84",Not Supported,15/6/2021,2021/07/01,2021/10/31
144,2021/07/27,State Information Technology Agency (SITA),"IBM Z-series Print Management Software, Maintenance & Support","Levy, Ray and Shoup, INC",Continuation of service,"9700474,12","17598653,17","0,00",Supported,Not Stated,Not Stated,Not Stated
145,2021/07/22,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,Werksmans Attorneys,"External legal counsel is currently attending to drafting SANRAL’s
notice of intention to oppose and answering affidavit","1 997 550,00","740 600,00","0,00",Not Supported,2021/07/22,2021/06/21,Not Stated
146,2021/07/02,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,SGV Attorneys,"Funds allocated for the appointment of SGV Attorneys to run with this
matter were estimates (owing to the unpredictable/ indeterminable
nature of litigation) and have unforeseeably became insufficient","2 023 770,00","1 470 787,50","0,00",Not Supported,2021/07/22,2021/06/21,2021/06/20
147,2021/06/10,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,DM5 Attorneys,Continuity of service,"1 825 450,26","1 338 214,75","0,00",Not Supported,2021/06/10,Not stated,Not stated
148,2021/06/10,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,LNP Attorneys,Continuity of service,"2 599 156,49","1 454 922,59","0,00",Not Supported,2021/06/10,Not stated,Not stated
149,2021/06/10,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,Molefe Dlepu Attorneys,Continuity of service,"1 332 350,00","1 311 960,22","0,00",Not Supported,2021/06/10,Not stated,Not stated
150,2021/06/10,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,Sgv Attorneys,Continuity of service,"2 023 770,00","1 470 787,50","0,00",Not Supported,2021/06/10,Not stated,Not stated
151,2021/06/10,"The South African National Roads Agency SOC Ltd
(SANRAL)",Provision of legal services,Werksmans Attorneys,Continuity of service,"1 997 550,00","740 600,00","0,00",Not Supported,2021/06/10,Not stated,Not stated
152,2021/09/15,Trans-Caledon Tunnel Authority (TCTA),Provision of legal services - represent TCTA in the Pretoria High Court,Allen & Overy (South Africa) LLP Attorneys,Continuation of service,"3 500 000,00","500 000,00","2 000 000,00",Conditional Support,2021/09/14,Not Stated,Not Stated
153,2021/08/26,Umgeni Water,"Construction of an Artificial
Wetland at Darvill Wastewater Works",Icon Construction,Continuation of work,6 944 736.84,26 710 526.32,"0,00",Conditional Support,2021/08/24,Not Stated,Not Stated
154,2021/08/26,Umgeni Water,"Accommodate the Ethekwini Municipality line application for water use
license for uMshwathi Phase 6 project",Environcarb Consulting,Extension of scope of work,"46 500,00","106 425,00","0,00",Conditional Support,2021/08/27,Not Stated,Not Stated
155,2021/08/26,Umgeni Water,"Accommodate environment assessment to include the Ethekwini
Municipality line",Mondli Mthembu Consulting,Extension of scope of work,"33 092,00","153 131,00","0,00",Conditional Support,2021/08/27,Not Stated,Not Stated
156,2021/06/28,Unemployment Insurance Fund (UIF),bank verification services,ABSA Bank,Cost effecient,"4 987 158,00","2924949,00","0,00",Supported,2021/06/25,Not stated,Not stated
157,2021/06/29,Unemployment Insurance Fund (UIF),Supply of ICT resources to develop and support systems for the UIF,Vindhya Systems,Contract budget exhausted,"18 734 535,00","45203445,30","11215800,00",Conditional Support,28/6/2021,24/7/2021,23/7/2022
,,,,,,,,,,,,
,,,,,,,,,,,,
