"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 4 ( 16 December 2022 - 15 March 2023) REPORT EXPANSIONS",,,,,,,,,,,,,,,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
73,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Extension of fibre links to network / rerouting traffic for the
remaining period of the contract",Dimension Data (Pty) Ltd,"To enable SITA to provide a peering solution to its clients by using the
backhaul bandwidth provided for in the contract.","R2 695 921,08","R104 478 752,35","R0,00",Within AA/AO mandate Noting,2022/12/14,2021/06/01,2024/05/31,
74,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Supply and install additional material which is further required to
install the neww access control system that is currently being
deployed at SITA Centurion and Numerus, and will further be
deployed to the rest of SITA offices including provinces","Guard-4-Sure Security Services (Pty)
Ltd",Additional material required to complete the project,"R992 208,04","R15 988 985,68","R0,00",Within AA/AO mandate Noting,2022/12/14,2022/01/11,2025/01/10,
75,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Upgrade of access links: NPA 0045-20 from 16MB/S to 50MB/S
for the KZN Department of Health",Ubuntu Technologies (Pty) Ltd,"The site was awarded to Ubuntu Technologies (Pty) Ltd. Due to the over-
utilised internet bandwidth, the National Prosecuting Authority (NPA)
requested SITA for the increase/upgrade the access links NPA 0045-20 from
16 mb/s to 50 mb/s.","R307 630,60","R249 585,00","R249 585,00",Within AA/AO mandate Noting,2022/09/02,2021/03/01,2026/02/28,
76,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Extension of the contract between SITA and Mobile Telephone
Network (Pty) Ltd on a month-to-month for a period not
exceeding twelve (12) months",Mobile Telephone Networks (PTY) Ltd,"Business continuity whilst waiting for a new process through the Go-To-
Market strategy.","R5 667 267,68","R8 775 148,19","R10 919 621,25",Within AA/AO mandate Noting,2022/07/30,2022/08/01,2023/07/31,
77,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Extension of the contract between OMNICOR (PTY) LTD and
SITA for the supply of integrated compeency assessment
sevices, for a fixed perios of three months",Omnicor (Pty) Ltd,Business continuity whilst waiting for a replacement tender.,"R992 054,40","R7 800 000,00","R0,00",Within AA/AO mandate Noting,2022/05/26,2022/05/31,2022/11/30,
78,Q4 2022/23,New,2023/03/06,State Information Technology Agency,Gauteng Broadband network Phase II,Altron Nexus (Pty) Ltd,To allow the finalisation of the GBN III tender.,"R0,00","R2 839 619 479,49","R0,00",Within AA/AO mandate Noting,2022/05/08,2022/08/09,2023/02/08,
79,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Extension of a contracts between SITA and Mobile Telephone
Network (PTY) LTD",Mobile Telephone Networks (MTN),Business continuity.,"R5 667 267,68","R8 775 148,19","16 586 888,93",Within AA/AO mandate Noting,2022/07/31,2022/08/01,2023/07/31,
80,Q4 2022/23,New,2023/03/06,State Information Technology Agency,,,,"R7 475 000,00","R238 988 724,59","R0,00",Within AA/AO mandate Noting,2022/10/28,2022/10/28,2023/06/30,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]",,,,,
81,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Scope expansion on SS 4101-2020 for acquiring an additional
24 Million Service Units (MSU) of licenses for the TMONCICS
Software product used in the Hosting SAPS, Numerus Data
Centre mainframe environment for the remaining period of the
contract ending 31 October 2024.","DJT Group (Pty) Ltd trading as ASG
Africa","For acquiring an additional 24 Million Service Units (MSU) of licenses for the
TMONCICS Software product used in the Hosting SAPS, Numerus Data
Centre mainframe environment for the remaining period of the contract
ending 31 October 2024.","R99 080,85","R5 175 372,83","R0,00",Within AA/AO mandate Noting,2022/12/08,2023/01/23,2024/10/31,
82,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"period extension of SSP 2530-2019 the renewal of the umbrella
contract for maintenance and support between SITA and CANON
South Africa (Pty) Ltd, for a period of six (6) months on a month
to month basis",Canon South Africa (Pty) Ltd,"Business continuity whist waiting for the finalisation of the replacement
tender process.","R0,00","R22 185 559,43","R0,00",Within AA/AO mandate Noting,2022/12/19,2023/01/01,2023/06/30,
83,Q4 2022/23,New,2023/03/14,Financial Intelligence Centre,"Approval for a contract variation for Altron Karabina due to
additional age analysis report functionality for the Compliance
Monitoring and Assessment Solution (CMAS) to be delivered as
part of the existing contracts",Altron Karabina,"To allow for the addition of the Age
Analysis Report to the existing contract to further enhance the CMAS solution
capabilities","487 225,00","11484818,00","R526 467,96",Within AA/AO mandate Noting,2023/03/13,TBC,TBC,
84,Q4 2022/23,New,2023/03/14,Financial Intelligence Centre,"Request to contract for additional infrastructure-as-a-service,
licences for Power BI premium, Azure virtual desktop services
and Azure Sentinel services in terms of the Microsoft Enterprise
Agreement for Azure services for a period of three years",Microsoft,"To provide additional capabilities, resources, and support to the current
version","8668000,00","4763760,00","R0,00",Within AA/AO mandate Noting,2023/03/13,TBC,TBC,
85,Q4 2022/23,New,2023/03/14,Financial Intelligence Centre,"Approval for a contract variation of the Altron Karabina contract
to include additional functionality to be delivered as part of the
existing contract",Altron Karabina,"To allow for the procurement of the
deprioritised functionality to further enhance the CDP and BI solution
capabilities and
to enable the required business requirements","4257530,00","18169989,00","R0,00",Within AA/AO mandate Noting,2023/03/13,TBC,TBC,
86,Q4 2022/23,New,2022/12/22,Road Traffic Management Corporation (RTMC),Insurance services,AON SA,Procurement process still underway,"R2 314 993,60","R4 327 091,53","R2 314 993,68",Noting,2022/12/22,2023/01/01,2023/06/30,
87,Q4 2022/23,New,2022/12/20,Road Traffic Management Corporation (RTMC),Physical Security Services,Bamogale Security,Procurement process still underway,"R989 782,50","R9 237 545,80","R1 979 466,40",Noting,2022/11/30,2022/12/01,2023/02/28,
88,Q4 2022/23,New,2022/12/20,Road Traffic Management Corporation (RTMC),Physical Security Services,Royal Security,Procurement process still underway,"R1 490 280,99","R993 520,66","R0,00",Noting,2022/11/30,2022/12/01,2023/02/28,
89,Q4 2022/23,New,2022/12/22,"The South African National Roads Agency SOC Ltd
(SANRAL)","OPERATIONS FOR LOAD CONTROL ON THE N4 EAST AND
ALTERNATIVE ROADS IN THE MAPUTO DEVELOPMENT
CORRIDOR.",TRAC,Procurement process still underway,"R19 655 397,00","R787 794 091,00","R0,00",Noting,2022/12/22,Not stated,Not stated,
90,Q4 2022/23,New,2022/12/22,"The South African National Roads Agency SOC Ltd
(SANRAL)","FOR THE RESURFACING OF NATIONAL ROAD R33 SECTION
7 FROM AMSTERDAM (Km 0.0) TO N17 INTERSECTION (Km
52.5).",ROADMAC SURFACING (PTY) LTD,Procurement process still underway,"R24 407 709,96","R122 038 549,82","R0,00",Noting,2022/12/22,Not stated,Not stated,
91,Q4 2022/23,New,2022/12/22,"The South African National Roads Agency SOC Ltd
(SANRAL)","FOR THE CONSULTING ENGINEERING SERVICES FOR THE
OPERATIONS AND MAINTENANCE OF THE N2 TSITSIKAMMA
TOLL PLAZA",AURECON (PTY) LTD,Procurement process still underway,"R217 149,08","R7 773 793,00","R0,00",Noting,2022/12/22,Not stated,Not stated,
92,Q4 2022/23,New,2023/01/17,Road Traffic Management Corporation (RTMC),Infrastructure network for a period of 18 months,Telkom,Business continuity as the RTMC is still migrating sites,"R43 000 000,00","R67 000 000,00","R67 000 000,00",Noting,2022/12/21,2023/04/01,2024/09/30,
93,Q4 2022/23,New,2023/01/31,Department of Water and Sanitation (DWS),"Rendering private security services for a period of 36 months in
Eastern Cape",Tlomphanang Business Enterprises,Risk assessment done requires additional officers,"R8 274 057,44","R44 131 430,23","R0,00",Noting,2022/07/09,2022/09/01,2025/08/31,
94,Q4 2022/23,New,2023/01/31,Department of Water and Sanitation (DWS),"Rendering private security services for a period of 36 months in
Limpopo B",Tactical Security Services,Risk assessment done requires additional officers,"R11 767 553,10","R46 367 044,57","R0,00",Noting,2022/07/09,2022/09/01,2025/08/31,
95,Q4 2022/23,New,2023/01/31,Department of Water and Sanitation (DWS),"Design, manufacture, supply delivery to site, installation and
commissioning of the service/passenger lift, guide rails,
operating system and maintenance for De Hoop Dam- VO 1",IFE Elevators,Completion of work,"R427 673,50","R1 147 884,00","R0,00",Noting,2022/12/04,2023/04/23,2026/11/30,
96,Q4 2022/23,New,2023/01/31,Department of Water and Sanitation (DWS),"Conducting environmental assessment services for the Casteel
Dam safety rehabilitation project",Naledzi Environmental Consultants,Additional scope of work,"R99 151,75","R440 657,00","R0,00",Noting,2022/12/15,2023/12/01,2024/02/28,
97,Q4 2022/23,New,2023/02/02,"Department of Planning, Monitoring and Evaluation
(DPME)",Provision of physical security services,Nceda Cleaning Security,Extension of contract while new tender process is still underway,"R1 506 996,26","R7 387 064,10","R645 855,54",Noting,2023/01/25,2023/02/01,2023/08/31,
98,Q4 2022/23,New,2023/01/11,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",forensic Investigation,"Mabuya and Khumalo Chartered
Accounants",Continuity of Servce,"R894 144,00","R0,00","R923 600,00",Noting,2022/08/01,Not stated,Not stated,
99,Q4 2022/23,New,2023/01/30,Department of Higher Education and Training (DHET),"Variation of scope and cost and recommencement of
construction at Sterkspruit Campus of Ikhala Collage",Upahla Construction,expansion of scope,"R221 410 103,59","R153 382 812,93","R166 423 085,81",Noting,2023/01/30,Not stated,Not stated,
100,Q4 2022/23,New,2023/02/13,National Youth Development Agency (NYDA),"Office lease in East London while the institution is negotiating for
free space with Buffalo City Municipality",Hemipac Investments,Continuity of Servce,"R773 241,06","R6 926 500,42","R773 241,06",Noting,2023/01/30,2023/02/01,2023/07/31,
101,Q4 2022/23,New,2023/02/16,Road Traffic Infringement Agency (RTIA),Legal representation,ENS,Completion of work,"R1 600 000,00","R857 472,00","R600 000,00",Noting,2023/01/13,2023/01/13,2023/03/31,
102,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Gauteng,Pristo response,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R4 075 132,66","R55 110 734,98","R7 382 608,53",Noting,2022/11/21,2022/12/01,2023/01/31,
103,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Nothern Cape,Bulcof Security and Cleaning,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R967 734,70","R13 357 734,98","R1 189 091,91",Noting,2022/11/21,2022/12/01,2023/01/31,
104,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in KwaZulu Natal,Siyajabula Security Solutions,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R2 713 335,96","R37 713 478,12","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
105,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Western Cape,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 834 062,96","R25 266 303,98","R3 537 411,52",Noting,2022/11/21,2022/12/01,2023/01/31,
106,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Eastern Cape,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 655 436,34","R22 870 556,00","R2 534 427,50",Noting,2022/11/21,2022/12/01,2023/01/31,
107,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Mpumalanga,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R2 720 361,50","R37 466 528,00","R5 374 840,00",Noting,2022/11/21,2022/12/01,2023/01/31,
108,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Free State,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R2 892 392,12","R38 870 757,60","R3 483 065,00",Noting,2022/11/21,2022/12/01,2023/01/31,
109,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services for region 1 in various
offices",Pristo response,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R909 761,68","R4 135 280,40","R603 015,30",Noting,2022/11/21,2022/12/01,2023/01/31,
110,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services for region 2 in various
offices",Pristo response,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 213 766,98","R5 547 804,24","R725 075,00",Noting,2022/11/21,2022/12/01,2023/01/31,
111,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Sefata Building,Kya Gaurds,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R280 732,74","R701 831,63","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
112,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Roodeplaat,D Emandleni Trading,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R269 100,00","R538 200,00","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
113,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services at Kempton Park
Quarantine Station",Mamelega Business Trading,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R353 280,00","R706 580,00","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
114,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Agriculture Place,Static Protection Services,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R258 750,00","R517 500,00","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
115,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Deplan Building,Kutlwano Security,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R252 000,00","R504 000,00","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
116,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Harvest House,Vhakula Trading and Projects,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R179 048,94","R358 097,88","R0,00",Noting,2022/11/21,2022/12/01,2023/01/31,
117,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Gauteng,Pristo response,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R2 037 566,33","R55 110 734,98","R11 457 639,05",Noting,2023/01/30,2023/02/01,2023/02/28,
118,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Limpopo,Pro Securie Security,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R582 366,26","R19 072 012,00","R2 743 366,91",Noting,2023/01/30,2023/02/01,2023/02/01,
119,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Northern Cape,Bulcof Security and Cleaning,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R483 867,35","R13 357 734,98","R2 156 826,61",Noting,2023/01/30,2023/02/01,2023/02/28,
120,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in KwaZulu Natal,Siyajabula Security Solutions,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 356 667,98","R37 713 478,12","R7 567 398,14",Noting,2023/01/30,2023/02/01,2023/02/28,
121,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Western Cape,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R917 031,46","R25 286 303,98","R5 371 474,48",Noting,2023/01/30,2023/02/01,2023/02/28,
122,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Eastern Cape,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R827 716,67","R22 870 558,00","R4 189 880,84",Noting,2023/01/30,2023/02/01,2023/02/28,
123,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",North West Province,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R768 896,90","R20 978 346,00","R2 828 378,80",Noting,2023/01/30,2023/02/01,2023/02/28,
124,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Mpumalanga,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 360 180,75","R37 488 528,00","R8 095 001,50",Noting,2023/01/30,2023/02/01,2023/02/28,
125,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services in Free State,Bamogale Enterprise,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R1 446 197,06","R39 870 757,60","R6 375 469,12",Noting,2023/01/30,2023/02/01,2023/02/28,
126,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services for region 1 in various
offices",Pristo response,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R454 880,84","R4 135 260,40","R1 512 766,98",Noting,2023/01/30,2023/02/01,2023/02/28,
127,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services for region 2 in various
offices",Makhuvae Trading,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R606 793,50","R5 547 804,24","R1 938 841,98",Noting,2023/01/30,2023/02/01,2023/02/28,
128,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Sefata Building,Kya Gaurds,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R140 366,37","R701 831,63","R280 732,74",Noting,2023/01/30,2023/02/01,2023/02/28,
129,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Roodeplaat,D Emandleni Trading,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R134 550,00","R538 200,00","R269 100,00",Noting,2023/01/30,2023/02/01,2023/02/28,
130,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Security gaurding and special services at Kempton Park
Quarantine Station",Mamelega Business Trading,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R176 640,00","R706 660,00","R353 280,00",Noting,2023/01/30,2023/02/01,2023/02/28,
131,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Agriculture Place,Static Protection Services,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R129 375,00","R517 500,00","R258 760,00",Noting,2023/01/30,2023/02/01,2023/02/28,
132,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Deplan Building,Kutlwano Security,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R126 000,00","R504 000,00","R252 000,00",Noting,2023/01/30,2023/02/01,2023/02/28,
133,Q4 2022/23,New,2023/02/23,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Security gaurding and special services at Harvest House,Vhakula Trading and Projects,"to allow the tender process to be finalised - additional one month is required
to conlcude the process","R69 524,47","R358 097,88","R178 048,94",Noting,2023/01/30,2023/02/01,2023/02/28,
134,Q4 2022/23,New,2023/02/23,Department of Transport (DOT),Travel Management Services,XL Nexus Corporate Travel,"The new bid DoT/10/2022/COO was advertised and evaluated. The
Department is as yet not in a position to appoint. The current contract
expired on 31 November 2022. It was extended for six (6) months.","R0,00","R0,00","R0,00",Noting,2022/12/21,2023/01/01,2023/06/30,
135,Q4 2022/23,New,2023/02/23,Department of Transport (DOT),Guarding security services to DoT for the period of four months,Eldna Security Services,"The current extension contract will expire before a new bidding process is
concluded, extending the current contract will allow sufficient time to conclude
the new competitive bidding process","R558 387,50","R5 727 352,50","R1 167 537,52",Noting,2023/01/27,2023/02/01,2023/03/31,
136,Q4 2022/23,New,2023/03/03,Railway Safety Regulator (RSR),Initiating services of a new disciplinary hearing,AM Vilakazi Tau Incorporated Attorneys,Additional funds for initiating services of a new disciplinary hearing,"R400 000,00","R400 000,00","R0,00",Noting,2023/02/10,Not Applicable,Not Applicable,
137,Q4 2022/23,New,2023/03/03,Railway Safety Regulator (RSR),Representation in a CCMA matter,Chaane Attorneys,Additional funds for representing in a CCMA matter,"R150 000,00","R500 000,00","R0,00",Noting,2023/02/15,Not Applicable,Not Applicable,
138,Q4 2022/23,New,2023/03/03,Railway Safety Regulator (RSR),"SAGE 200 and 300 support and maintenance and
implemantation and support of Sage (300) recruitment and
selection module",Omni Africa (Pty) Ltd,Expansion of scope and time,"R360 030,50","R193 200,00","R72 450,00",Noting,2023/02/23,2023/03/01,2024/02/29,
139,Q4 2022/23,New,2023/03/03,Railway Safety Regulator (RSR),Representation at the Labour Appeal Court.,Tshiqi Zebediela Attorneys,Additional funds for represntation at the Labour Appeal Court,"R1 000 000,00","R800 000,00","R0,00",Noting,2023/03/02,Not Applicable,Not Applicable,
140,Q4 2022/23,New,2023/03/03,Railway Safety Regulator (RSR),Representation at the Labour Court.,Tshiqi Zebediela Attorneys,Additional funds for represntation at the Labour Court,"R490 000,00","R490 000,00","R0,00",Noting,2023/03/02,Not Applicable,Not Applicable,
141,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"APPOINTMENT OF SERVICE PROVIDER TO SUPPLY,
INSTALL, CONFIGURE AND MAINTAIN AN INTERNET
CONNECTIVITY SERVICES TO THE OFFICE OF THE VALUER
GENERAL FOR A PERIOD OF 36",EOH MTOMBO (PTY) LTD,"At the time of activating the internet connectivity, a plan was in place to install
radio link technology to connect Centre Walk and Praetor Forum Building for the
purpose of enabling access to OVG network, This plan was not","R241 224,00","R932 882,98","R0,00",Noting,07/07/2022,1/10/2022,30/06/2025,
142,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"APPROVAL TO PROVIDE A RESOURCE TO ASSIST WITH HR
AND PAYROLL SERVICES OS HOLDING CONTRACT",OS HOLDING,ssistance for payroll and HR Data Migration,"R605 280,00","R9 561 825,76",R145 371.82,Noting,4/04/2022,04/04/2022,30/09/2022,
143,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"APPROVAL FOR VARIATION OF SCOPE ON THE INTERNET
SERVICE PROVIDER CONTRACT BY EOH TO INCREASE
BANDWIDTH ON FIBRE LINE",EOH MTOMBO (PTY) LTD,"To increase the current bandwith of 20Mbps per Second to 150 Megabits per
second (Mbps) for three days.","R4 795,00","R932 882,98",R241 224.00,Noting,28/08/2022,28/08/2022,8/08/2022,
144,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"APPOINTMENT OF SUITABLE ICT PROFESSIONAL SERVICE
PROVIDER ACCREDITED ON SITA CONTRACT NO 1183 TO
PROVIDE HUMAN RESOURCE FOR OVG",DATACENTRIX,"ICT Resource to perform remunerative overtime for the period of 18 August to 18
November 2022 for the recovery and restoration of ERP System","R147 059,72","R6 998 981,21","R0,00",Noting,18/08/2022,18/08/2022,18/11/2022,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]",,,,,
145,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"APPOINTMENT OF SUITABLE ICT PROFESSIONAL SERVICE
PROVIDER ACCREDITED ON SITA CONTRACT NO 1183 TO
PROVIDE HUMAN RESOURCE FOR OVG",DATACENTRI,"Contract extension of the current contract for the IT application Support Analyst
resource for the period of 01 January until 30 June 2024","R0,00","R0,00","R0,00",Noting,8/08/2022,01/01/2023,30/06/2024,
146,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),LABOUR RATES ADJUSTMENT,ZWIITO,Cleaning labour rates,"R0,00","R0,00","R0,00",Noting,29/07/2022,01/01/2023,0/06/2024,
147,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),SECURITY SERVICES,PRISTO,"Contract extension of the current contract for Security Services for the period of 01
December 2022 until 28 Fbruay 2023","R530 336,04","R1 591 008,21","R0,00",Noting,30/11/2022,01/12/2022,28/02/2023,
148,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"IT AUDIT SERVICES FOR ENTERPRISE-WIDE RESOURCE
SYSTEM (ERP) MIGRATION ASSURANCE",OMA CHARTERED ACCOUNTANTS,To complete outstanding ERP migration process,"R33 743,70","R224 958,00","R0,00",Noting,06/12/2022,1/12/2022,31/03/2023,
149,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),PROPERTY DATA PORTAL,LIGHTSTONE,"To prevent unexpected suspension of the service delivery by the service provider and
thus negatively affecting timeous finalization of the valuation work, which will also
impact negatively on the APP targets. Continue to render service","R36 000,00","R422 000,00","R0,00",Noting,11/01/2023,13/01/2022,2/04/2023,
150,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"CONDUCT A STUDY TO DETERMINE THE IMPACT OF
PROPERTY VALUATION ACT ON LAND REFORM
PROGRAMME IN SOUTH AFRICA",URBAN-ECON,"To enable completion of data capturing and development and finalisation of the
PVA impact study report","R0,00","R0,00","R0,00",Noting,13/12/2023,01/01/2023,31/06/2023,
151,Q4 2022/23,New,2023/03/13,Office of the Valuer-General (OVG),"LEASE OF TELEPHONE MANAGEMENT AND SWITCHBOARD
SYSTEM",AVS,To allow completion of procurement process while minimising interuption of service,"R41 021,42","R837 601,81","R0,00",Noting,7/01/2023,01/02/2023,31/03/2023,
152,Q4 2022/23,New,2023/01/17,South African Social Security Agency,"Extension of the Lease Agreement for the Limpopo Regional
Office by a Period of Three years",Omtay Property Holding Trust,"National Department of Public Works and Infrastructure are not ready to hand
over new office","R32 588 481,96","R18 526 129,46","R93 015 906,20",Noting,2022/12/21,2023/02/01,2026/01/31,
153,Q4 2022/23,New,2023/01/27,National Prosecuting Authority,Variation of contract for Mimecast DMARC Analyzer,IT Monkey (Pty) Ltd,To include a solution to detect email spoofingin incidents,"R2 719 182,96","R21 038 082,41","R0,00",Noting,2022/11/18,2022/12/01,2025/02/28,
154,Q4 2022/23,New,2023/02/08,Armaments Corporation of South Africa Limited,"Appointment of a consulting engineer for the supply, installation,
commission and decommissioning of HVAC systems at armscor",Snapp Consortium,"The order will be amended once the project value is confirmed through the
appointment of contractors","R2 132 235,00",R1 298 350.30,"R0,00",Noting,2023/02/08,2/20/2022,8/1/2023,
