,Entity/Department,Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not Supported/Not
Supported/Conditional
support (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
141,"Small Enterprise Development
Agency",Provision of security services,Unitrade 1047 T/A Isidingo,"Bid award to be finalised in the 31
Ocober 2018","2 032 376,85",.00169 466,"248 757,96",2018/09/13,Supported,2018/09/20,2018/11/30
142,"South African Broadcasting
Corporation Limited",Provision of office accomodation - Tshwane,Emira Property Fund,Relocation costs,"7 701 384,28","27 522 351,19","47 415 616,57",2018/08/22,Supported,2018/09/01,2021/08/31
143,"South African Bureau of
Standards",Market Research,Urban-Econ,Scope increase,"495 330,00",Not stated,Not stated,2018/07/24,Not Supported,2018/01/03,2018/08/31
144,"South African Diamond and
Precious Metals Regulator",Printing solutions,Pinnacle Business Solutions,Continuity of service,"449 596,66","18 999,24","177 055,08",2018/05/15,Not Supported,2018/04/01,2018/05/31
145,"South African Diamond and
Precious Metals Regulator",Provision of office accomodattion,Providence Family Trust,"The entity has 3 months to vacate the
building","1 138 464,00","110 658,72","0,00",2018/08/03,Supported,2018/09/01,2018/11/30
146,"South African Heritage
Resources Agency",Institute disciplinary proceedings,Bowman Gilfillan Attorneys,Continuity of service,"14 250,00","340 000,00","0,00",2018/09/07,Supported,Not Stated,Not Stated
147,"South African National
Biodiversity Institute",Storage of biomaterials and staff accomodation,PD Nixon Containers,Delays in project completion,39 847.50,19 923.75,"0,00",2018/07/26,Supported,2018/08/01,2018/08/31
148,"South African National
Biodiversity Institute","Rendering cleaning, hygiene and fumigation
services",Samagaba Cleaning Services,Non-responsive bids,"3 972 686,94","517 282,54","517 282,54",2018/09/25,Supported,2018/10/01,2019/01/31
149,"South African National
Biodiversity Institute",Conducting environmental audits,NCC Environmental Services,Continuity of service,"83 333,35","33 982,50","8 330,00",2018/08/01,Supported,Not Stated,Not Stated
150,South African National Parks,Provision of office accommodation at Knysna,Royal Hotel,Lease renewal,807 948.00,177 683.10,1811736,2018/07/25,Supported,2018/08/01,2018/10/31
151,South African National Parks,Data network services,Telkom SA,"Migration from the old system to the
new","59 000 000,00","7 990 861,61","16 449 953,54",2018/08/21,Supported,2018/08/22,2018/11/21
152,South African National Parks,"Provision of information technology outsourced
service agreement",Gijima,"Migration from the old system to the
new","90 000 000,00","4 862 962,38","11 086 693,87",2018/08/23,Supported,2018/09/01,2018/11/30
153,"South African Post Office
Limited",Microsoft enterprise agreement,Microsoft,Microsft product,"0,00",$6 600 426.48,"0,00",2018/08/07,Not Supported,2018/05/01,2021/04/30
154,"South African Post Office
Limited",Procurement of overnight delivery services,Netexchange,SASSA projects were given priority,"0,00","1 020 000,00","12 240 000,00",2018/09/14,Not Supported,2018/10/01,2019/09/30
155,"South African Post Office
Limited",SAP Audit - compliance cost implications,SAP SA,SAPO was audited by SAP SA,"0,00","10 110 096,00","0,00",2018/08/07,Not Supported,2015/01/01,2019/12/31
156,"South African Post Office
Limited",IBM Audit - compliance cost implications,IBM,SAPO was audited by IBM,"0,00","18 269 624,67","0,00",2018/08/07,Not Supported,2017/04/01,2020/03/31
157,"South African Post Office
Limited","Microsoft Tru-up licence Audit - compliance cost
implications",Microsoft,SAPO was audited by Microsoft,"0,00",US$1 781 784.24,"0,00",2018/08/07,Not Supported,2015/05/01,2018/04/30
158,"South African Post Office
Limited",Procurement of the cash payment module,FSS Technology South Africa,Urgency procurement method,"43 294 500,00","25 550 000,00","0,00",2018/09/12,Conditional support,2018/10/01,2023/03/31
159,"South African Qualifications
Authority","Maintenance and development of learners record
database",Praxis Computing (Pty) Ltd,"Increased number of bulk sms were
received","1 593 409,63","1 500 000,00","93 662,46",Not stated,Supported,2016/08/18,2019/08/31
160,South African Tourism,"office Accommodation in Lagos, Nigeria",RB Properties,Lease renewal,$637 344.00,$460 350.00,"0,00",2018/07/12,Supported,2018/09/01,2023/08/30
161,South African Tourism,To conduct departure survey,Plus 94 Research,New bid to be finalised,"56 086 229,00","1 664 030,82","9 456 107,83",2018/09/12,Supported,2018/10/01,2018/10/31
162,South African Tourism,To conduct domestic survey,Citizen Survey,New bid to be finalised,13 378 206.50,"1 664 030,82","3 597 433,64",2018/09/12,Supported,2018/10/01,2018/10/31
163,South African Tourism,"Provision of public relations and integrated
marketing servives",Professional Public Relations,"Bid specification to be revised and the
bid re-advertised",AUD 71 644.54,AUD 40 428.58,"0,00",2018/06/28,Supported,2018/08/23,2018/10/31
164,South African Tourism,"Provision of office accomodation - Frankfurt,
Germany",Steigenberger Immobilien GMBH,"Broker fees are exhorbitant and
regulated",Eur 527 326.20,Eur 527 326.20,"0,00",2018/08/13,Conditional support,2019/04/01,2024/03/31
165,"South African Weather
Service",To conduct asset valuation,Aurecon South Africa,"Expansion is based on advice from
Aurecon","2 288 212,50","1 330 918,00","0,00",2018/08/10,Not Supported,Not Stated,Not Stated
166,Transnet,Supply of Diesel Fuel and Petrol,Shell SA (Pty) ltd and Total SA (Pty)Ltd,"Finalise the competitive bidding
process","980 000 000,00",Time only,"1 112 000 000,00",2018/09/20,Conditional support,2018/10/01,2018/10/31
167,Transnet,Travel Management Services,Travel With Flair,"Finalise the competitive bidding
process","100 000 000,00",Time only,"0,00",2018/09/19,Conditional support,2018/10/01,2018/10/30
168,Transnet,Transition ICT Contract,T-Systems,Transition period,"1 986 552 619,86","474 219 050,34","2 507 598 809,54",2018/08/07,Conditional support,2009/01/01,6 months
169,"Wholesale and Retail Sector
Education and Training
Authority",IT Systems,Deloitte,Continuity of service,"16 929 000,00","6 106 675,60","21 350 634,64",2018/07/04,Supported,2018/08/01,2018/09/30
170,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office accomodation,Kinvest (Pty) Ltd,Expiry of SETA license,"683 448,00","560 323,74","1 138 990,51",2018/07/23,Not Supported,2018/11/01,2020/03/31
171,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office accomodation Northern Cape,Green Willows - Thomas Family Trust,Expiry of SETA license,"516 360,00","1 495 295,19","2 698 912,48",2018/07/23,Supported,2018/10/01,2020/03/31
172,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office accomodation,GrowthPoint,Expiry of SETA license,"2 184 916,24","1 077 107,73","4 132 319,99",2018/07/23,Supported,2018/10/01,2020/03/31
173,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office lease - North West,Elegant line Properties,Expiry of SETA license,"111 026,88","1 046 118,99","1 885 817,87",2018/07/23,Supported,2018/10/01,2020/03/31
174,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office accomodation,Redefine Properties,Expiry of SETA license,"24 818 163,00","14 662 566,16","22 591 358,48",2018/08/14,Supported,2018/10/01,2020/03/31
175,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office lease - Free State,Zuikerkop Group of Companies,Expiry of SETA license,"534 354,96","905 491,73","1 970 394,24",2018/07/23,Supported,2018/10/01,2020/03/31
176,"Wholesale and Retail Sector
Education and Training
Authority",Provision of the information technology services,Deloitte Consulting,Bid was cancelled,"0,00","7 938 678,28","0,00",2018/08/23,Not Supported,2018/10/01,2019/10/31
177,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office lease - Western Cape,Colosseum Centiury City,Expiry of SETA license,"1 120 679,41","1 961 380,29","4 043 176,03",2018/07/23,Supported,2018/10/01,2020/03/31
178,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office lease - Mpumalanga,Kevin Paul Properties,Expiry of SETA license,"460 958,54","582 283,77","1 592 991,46",2018/07/23,Supported,2018/10/01,2020/03/31
179,"Wholesale and Retail Sector
Education and Training
Authority",Provision of office accomodation - Limpopo,Mantombi Mapanzela,Expiry of SETA license,"1 177 478,76","819 208,22","1 207 605,36",2018/07/23,Supported,2018/10/01,2020/03/31
180,"Wholesale and Retail Sector
Education and Training
Authority",Travel Management Services,Travel with Flair,New bid to be finalised,-,"300 000,00","0,00",2018/08/30,Supported,2018/10/01,2018/12/31
181,Windybrow,Security Services,Rise Security,Continuity of service,"499 989,00","252 183,60","0,00",2018/05/31,Not Supported,2018/06/01,2018/11/30
