row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
99,Q3 2022/23,2022/11/10,Department of Employment and Labour,Caseware licenses for period of 12 months,Adapt IT,"R 1 30 701,00",Single Source,2022/09/30,2022/09/30,2022/09/30,,Within AA/AO,New
100,Q3 2022/23,2022/10/05,"Department of Environment, Forestry and Fisheries
(DEFF)","To verify qualifications and determine the National
Qualifications Framework (NQF) Levels of those
qualifications for appointment of executive
members.",South African Qualification Authority,"R 221 500,00",Single Source,2022/10/05,2022/09/28,2025/09/28,,Supported,New
101,Q3 2022/23,2022/09/26,Department of Health (DoH),"Manage internship and community service
placement programme online system for a period of
3 months",Health Information Systems Program South Africa,"R 2 488 328,00",Preferred Supplier,2022/08/29,2022/09/01,2022/11/30,,Noting,New
102,Q3 2022/23,2022/12/08,"Department of Higher Education and Training
(DHET)","Appointment of a service to implement
input/comments from various stakeholders on the
National Framework Amendment Bill",Lebese Incorporated attorneys,"R 350 000,00","The service provider drafted the first amendment bill of national Qualifications Framework, they have
background infromation documentation that informaed the proposed amendment",2022/11/16,16/12/2022,31/12/2022,,Noting,New
103,Q3 2022/23,2022/10/20,"Department of Higher Education and Training
(DHET)","Regional Limpopo CASS Moderation for ABET
Level 4 Portfolio From 10-14 October 2022",GEMINI MOON TRADING 7,"R 820 737,20","Unable to source a minimum of three quotations, the workshop and accomodation facilities in Limpopo
region were fully booked.",2022/10/07,2022/10/10,2022/10/14,,Noting,New
104,Q3 2022/23,2022/09/29,"Department of Higher Education and Training
(DHET)",Software licenses,SIS Global Services,"R 63 141,21",Single Source,2022/09/28,2022/09/20,2023/09/19,,Noting,New
105,Q3 2022/23,2022/11/09,Department of Military Veterans (DMV),Disbursement of the new pension benefit,GPAA,"R 3 7 800 000,00",Procurement by other means,2022/11/08,Not stated,Not stated,,Noting,New
106,Q3 2022/23,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Appointment of CGS and MINTEK for water ingress
project and implementation of the management
derelict and ownerless mines project on behalf of
the DMRE for a period of 3 years",CGS and MINTEK,"R 175 229 000,00",Single source procurement,2022/10/31,Not stated,Not stated,,Noting,New
107,Q3 2022/23,2022/11/28,"Department of Mineral Resources and Energy
(DMRE)","Appointment of ESRI SA to provide maintenance
and support of ARCGIS software for the DMRE for
a period of 2 years from a sole supplier",ESRI SA,"R 2 236 916,11",Sole supplier,2022/09/20,Not stated,Not stated,,Noting,New
108,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 16/05/2022 until the
16/06/2022 at Grabouw Farm 328, 330, 334, 336
and 445",Red Security Guarding Services,"R 997 165,00","On the 29/03/2021 the Regional office received notificataion about the land invasion taking place on forest
properties at Grabouw farm 334.335.336 and 445. On the 21/04/2021 the Regional Office obtained the
court order which was later made final on the 20/09/2021 to proceed with eviction. As the Regional office is
continuting with the containement of the area in order to comply with the court order by appointing the tactial
security to control access when the sherriff is busy with the project to demolish the shacks, again the
community was fighting with normal security officials deployed on site",16/05/2022,16/05/2022,16/06/2022,,Within AA/AO mandate Noting,New
109,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 16/05/2022 until the
16/06/2022 at Villiersdorp/Dennehof",Red Security Guarding Services,"R 433 274,00","Illegal invasion or tenants occupying the houses at Dennehof resort, The security team went onsite to
conduct site inspection and come across the situation, they matter was then attended by SAPS at
Villiersdor. On the 06/02/2022 the Regional Manager, REMS and Security Management held the meeting
with the to adress the illegal occupants and immediately DWPI deployed the tactical team to secure and
contain te areas as the situation was volatile. The RM adressed the occupants and advised them to
establish a commiitee that will liase with the Department and Local Municipality as the Councillor was also",16/05/2022,16/05/2022,15/06/2022,,Within AA/AO mandate Noting,New
110,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 20/02/2022 until the
20/03/2022",Red Security Guarding Services,"R 997 165,00","On the 29/03/2021 the Regional office received notificataion about the land invasion taking place on forest
properties at Grabouw farm 334.335.336 and 445. On the 21/04/2021 the Regional Office obtained the
court order which was later made final on the 20/09/2021 to proceed with eviction. As the Regional office is
continuting with the containement of the area in order to comply with the court order by appointing the tactial
security to control access when the sherriff is busy with the project to demolish the shacks, again the
community was fighting with normal security officials deployed on site",20/02/2022,20/02/2022,20/03/2022,,Within AA/AO mandate Noting,New
111,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 20/02/2022 until the
20/03/2022",Red Security Guarding Services,"R 997 165,00","Illegal invasion or tenants occupying the houses at Dennehof resort, The security team went onsite to
conduct site inspection and come across the situation, they matter was then attended by SAPS at
Villiersdor. On the 06/02/2022 the Regional Manager, REMS and Security Management held the meeting
with the to adress the illegal occupants and immediately DWPI deployed the tactical team to secure and
contain te areas as the situation was volatile. The RM adressed the occupants and advised them to
establish a commiitee that will liase with the Department and Local Municipality as the Councillor was also",17/04/2022,17/04/2022,15/05/2022,,Within AA/AO mandate Noting,New
112,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 20/02/2022 until the
20/03/2022",Red Security Guarding Services,"R 830 415,00","On the 29/03/2021 the Regional office received notificataion about the land invasion taking place on forest
properties at Grabouw farm 334.335.336 and 445. On the 21/04/2021 the Regional Office obtained the
court order which was later made final on the 20/09/2021 to proceed with eviction. As the Regional office is
continuting with the containement of the area in order to comply with the court order by appointing the tactial
security to control access when the sherriff is busy with the project to demolish the shacks, again the
community was fighting with normal security officials deployed on site",17/04/2022,17/04/2022,15/05/2022,,Within AA/AO mandate Noting,New
113,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 20/03/2022 until the
17/04/2022",Red Security Guarding Services,"R 900 450,00","Illegal invasion or tenants occupying the houses at Dennehof resort, The security team went onsite to
conduct site inspection and come across the situation, they matter was then attended by SAPS at
Villiersdor. On the 06/02/2022 the Regional Manager, REMS and Security Management held the meeting
with the to adress the illegal occupants and immediately DWPI deployed the tactical team to secure and
contain te areas as the situation was volatile. The RM adressed the occupants and advised them to
establish a commiitee that will liase with the Department and Local Municipality as the Councillor was also",20/03/2022,20/03/2022,17/04/2022,,Within AA/AO mandate Noting,New
114,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 20/03/2022 until the
17/04/2022",Red Security Guarding Services,"R 997 165,00","21/04/2021 the Regional Office obtained the court order which was later made final on the 20/09/2021 to
proceed with eviction. As the Regional office is continuting with the containement of the area in order to
comply with the court order by appointing the tactial security to control access when the sherriff is busy with
the project to demolish the shacks, again the community was fighting with normal security officials deployed
on site",20/03/2022,20/03/2022,17/04/2022,,Within AA/AO mandate Noting,New
115,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 25/04/2022 until the
25/05/2022",Red Security Guarding Services,"R 1 580 100,00","There were illegal activities at the harbour for a period of (five) years such as robbery, theft, patrons,
poaching, prostitution, sabotage and selling of drugs inside the harbour. The harbour has been always been
considered a hot spot area known from crime activities and various cases are reported to Houtbay Police
Station for further handling. On the 23/04/2022 the IDC building was set alight by criminals with intention to
vandalise the building",25/04/2022,25/04/2022,25/05/2022,,Within AA/AO mandate Noting,New
116,Q3 2022/23,2022/10/31,"Department of Public Works and Infrastructure
(DPWI)","24 hrs tactical security services to monitor and
patrol the property from 26/05/2022 until the
25/06/2022 at Houtbay Harbour",Tyte Security,"R 1 437 500,00","There were illegal activities at the harbour for a period of (five) years such as robbery, theft, patrons,
poaching, prostitution, sabotage and selling of drugs inside the harbour. The harbour has been always been
considered a hot spot area known from crime activities and various cases are reported to Houtbay Police
Station for further handling. On the 23/04/2022 the IDC building was set alight by criminals with intention to
vandalise the building",26/05/2022,26/05/2022,26/06/2022,,Within AA/AO mandate Noting,New
117,Q3 2022/23,2022/09/27,"Department of Small Business Development
(DSBD)","To assist the Department of Small Business
Development on the Development of a Digital
Support Planform for Entrepreneurs.",CSIR,"R 7 097 194,94","The Council for Scientific and Industrial Research (CSIR) is a leading scientific and technology research
organisation that research, develops, localises and diffuses technologies to accelerate socioeconomic
prosperity in South Africa. The organisation’s work contributes to industrial development and supports a
capable state.",2022/09/12,Not stated,Not stated,,Supported,New
118,Q3 2022/23,2022/10/12,"Department of Sports, Arts and Culture (DSAC)","Procurement of four (4) parameters advertising
boards per match which will be able to grant DSAC
marketing and advertising exposure to the value of
about four million rands ahead of Nedbank Final
PSL matches commenced on the 28 May 2022",World Wide Sports,"R 29 994,00","The mareting and advertising parameter boards are under the control of PSL. No other service provider
supplies such material based on their policy",2022/10/03,Not stated,Not stated,,Within AA/AO mandate Noting,New
119,Q3 2022/23,2022/10/20,"Department of Trade, Industry and Competition","PPP financial modelling quantification and
arbitration support as well as early debt settlement",Pamoja Capital,"R 1 690 500,00",Procurement by other means,2022/10/13,Not stated,2022/10/20,,Noting,New
120,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Annual Renewal of software maintenance for
Geographic Information Systems",ESRI South Africa (Pty) Ltd,"R 5 63 207,65",ESRI was approached as a sole authorized distributor to provide maintenance of the Esri annual software.,25/11/2022,Not Stated,Not Stated,,Noting,New
121,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Appointment of Government Technical Advisory
Centre (GTAC) to undertake a technical review of
the draft High-Speed Rail (HSR) Framework",Government Technical Advisory Centre (GTAC),"R 1 1 726,40","Appointment of Government Technical Advisory Centre (GTAC) as a single source government agency to
undertake a technical review of the draft High-Speed Rail (HSR) Framework",13/06/2022,13/06/2022,Not Stated,,Noting,New
122,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Catering for EXCO meeting for 27-28 September
2022 at PlatteKloof, Cape Town",The Plate Catering Company,"R 2 4 000,00","Initially the order was issued to a service provider, then declined to proceed. Suppliers where sourced on
CSD, only one responded out of more than 27 suppliers approached. It is deemed as deviation from normal
procurement, it was impractical to obtain three quotes at that time.",27/09/2022,27/10/2022,28/10/2022,,Noting,New
123,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Outside Broadcasting for the launch of Trans-
Kalahari Corridor Joint Law Enforcement Operation
taking place on 17 November 2022 along the N4 in
Rustenburg",South African Broadcasting Corporation (SABC),"R 3 36 500,00","SABC has the broadcasting rights for Channel Africa and Motsweding FM, hence SABC was only
approached (Sole Supplier).",2022/11/11,Not Stated,Not Stated,,Noting,New
124,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Procurement of Professional hours to further
enhance PAN Application (Field K)",ESRI South Africa (Pty) Ltd,"R 4 3 470,00","ESRI was approached as a sole authorized distributor to procure professional hours to further enhance Pan
Application under the field K.",15/11/2022,Not Stated,Not Stated,,Noting,New
125,Q3 2022/23,2022/12/14,Department of Transport (DOT),"Procurement of Services of Stage, chairs for Stage
and ground floor for VIPs, Podium, Decorative
Lights, Flooring, Coffee tables, PA system and
Visual Control and Crew for the IMO World
Maritime Day Para Event (WMDPE) 2022 at
Durban ICC.",Events Serve (Pty) Ltd,"R 7 02 702,00","The sourcing process was done three (3) times, utilizing CSD as well as googled companies were
approached, only (1) one supplier responded out of more than 60 suppliers approached. It was impractical
to restart at a fourth time as the request was urgent. It was impractical to obtain at least three quotations at
that time.",22/10/2022,14/06/2022,Not Stated,,Noting,New
126,Q3 2022/23,2022/12/14,Department of Transport (DOT),Travel Management Services,XL Nexus Corporate Travel,R -,"Participation by the DOT in tender RFB01-2021/22 awarded to XL Nexus Travel by RTIA to render travel
services, for a period of six months ending 31 December 2022, while the Department advertises a new
tender, after the current service provider terminated the contract.",14/06/2022,16/06/2022,31/12/2022,,Noting,New
127,Q3 2022/23,2022/11/16,Department of Water and Sanitation (DWS),"Hiring of plant and machinery for Giyani Water
project",Various,R -,Urgency,2022/11/16,2022/10/19,2022/04/18,,Noting,New
128,Q3 2022/23,2022/10/11,Department of Water and Sanitation (DWS),"Maintenance and support of the M6-32 Oracle
server, data storage unit, tape library and brochade
switches.",Oracle Corporation SA,"R 3 474 465,71",Sole supplier,2022/10/06,Not Stated,Not Stated,,Noting,New
129,Q3 2022/23,2022/10/06,Department of Water and Sanitation (DWS),"Renewal of Audit Command Language software
solution",Surtech Solutions,"R 565 460,18",Sole supplier,2022/10/04,2023/02/01,2024/01/31,,Noting,New
130,Q3 2022/23,2022/10/17,Development Bank of South Afica,Accounting System Software Licence,Sage Pastel,"R 14 228,18","The IPP Office makes use of Sage Pastel as its accounting system and it has been in use
fo the last 8 yeas. Only Sage can povide the enewal of the annual license",2022/10/10,2022/10/01,2023/09/30,,Within AA/AO,New
131,Q3 2022/23,2022/10/17,Development Bank of South Afica,Azure e-Procurement Production,Microsoft,"R 535 294,03","DBSA ICT have an appoved stategy that focuses on ‘Cloud Fist’. Essentially when
consideing new application solutions, the focus will be to conside the cloud solution of the
application fist. The undelying technology that has been selected to suppot ICT’s cloud
stategy in Micosoft Azue.
Micosoft Azue is a cloud computing sevice fom Micosoft fo building, testing, deploying,
and managing applications and sevices though Micosoft-managed data centes. Azue",2022/09/20,2022/09/01,2023/03/31,,Within AA/AO,New
132,Q3 2022/23,2022/10/17,Development Bank of South Afica,"HR Advisory and Consultancy (Specific topic and
reference)",Professor Theo Veldsman,"R 500 000,00","The paticula couse that piqued the Bank’s inteest is Designing Fit Fo Pupose Oganisations Fo The Futue.
The eason heeof is because the Bank’s Goup Executives (GE’s), togethe with the Unit Heads (HoD’s) have
following the 2017 Opeating Model eview continued to advance changes to the Divisions/Units’
oganisational stuctues
D/Pofesso Veldsman has not only been an academic and a pactitione, but has also consulted both in the",2022/10/13,2022/10/13,2022/10/31,,Within AA/AO,New
133,Q3 2022/23,2022/10/17,Development Bank of South Afica,iPads and peripherals for EXCO,iStore,"R 429 345,80",Acquisition of iPads fom OEM fo Goup EXCO,2022/10/11,2022/10/11,2022/10/31,,Within AA/AO,New
134,Q3 2022/23,2022/10/17,Development Bank of South Afica,Quantum changes for reference rate reform,Quantum,"R 46 200,00","Duing the scoping of IBO equiements, the application vendo, FIS ecommended an upgade of Quantum to
vesion 21.4.0 as a pe-equiement fo the IBO changes. This in line with OEM (Oiginal Equipment Manufactue)
suppot ecommendation",2022/10/06,2022/10/10,2022/12/10,,Within AA/AO,New
135,Q3 2022/23,2022/10/17,Development Bank of South Afica,SharePoint Online Storage,BCX,"R 430 976,00","BCX was appointed to povision Micosoft 365 OneDive, ShaePoint online migation and Entepise Mobility &
Secuity fom Decembe 2020 to 31 July 2022. The allocation of the ShaePoint Online stoage allocated to
DBSA was 8TB pio migation. The migation of shaed foldes fom the on-pemises File Seve to ShaePoint
Online has esulted in inceased stoage equiement. To enable business continuity, the stoage needs to be
inceased with an additional 37TB so that uses continue to collaboate on ShaePoint Online and povisioned fo
futue gowth.",2022/10/07,2022/07/01,2025/02/28,,Within AA/AO,New
136,Q3 2022/23,2022/10/17,Development Bank of South Afica,ThinkCell Licence Renewal,Titus Corporation,"R 48 438,00",Titus Copoation is the sole eselle of ThinkCell softwae in South Afica,2022/10/10,2022/10/01,2023/09/30,,Within AA/AO,New
137,Q3 2022/23,2022/09/19,Development Bank of Southern Africa,Guest Speaker -Manco Strategy Session,Craig Wing,"R 40 000,00","The Bank holds annual strategy sessions to reflect on the business of the DBSA and chart a new path for
the Bank. In the process of doing this, it may be necessary to invite subject matter experts, whether in
academia or in corporate, to share with the Bank’s leadership trends that the Bank should be aware of to
help it better position itself to remain competitive and relevant.The subject matter eperts were selected
based on the relavance to the topics and their individual track record.",2022/09/16,2022/09/16,2022/10/31,,Within AA/AO,New
138,Q3 2022/23,2022/10/17,Ditsong: Museums of Africa,"Appointment of Ismail & Dahya Attorneys to provide
a legal opinion on an urgent basis to DITSONG
Museums of South Africa (DMSA).",Ismail & Dahya Attorneys,"R 27 600,00","Council, at its special Council meeting on 14 September 2022, took a resolution to obtain a legal opinion on
an urgent basis pertaining to allegations contained in whistleblower report relating to procurement fraud and
corruption at DMSA. Since the contract for the Panel of Attorneys that was in place at DMSA expired and
the procurement (tender) process for the new panel is currently under way, SCM requested quotations from
legal firms on an urgent basis.",Not stated,2022/09/19,2022/10/03,,Within AA/AO mandate Noting,New
139,Q3 2022/23,2022/11/02,ECIC,IFRS consultant Re-issue,Milliman (Pty) Ltd,"R 2 21 260,00",Procurement by other means,2022/09/21,Not stated,2022/11/02,,Noting,New
140,Q3 2022/23,2022/11/25,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",ENNEAGRAM EXECUTIVE ASSESSMENT,ENNEAGRAM,"R 4 400,00",Most suitable assessment that is aligned to Executive competencies,2022/11/15,Not stated,Not stated,,Within AA/AO mandate Noting,New
141,Q3 2022/23,2022/12/15,Eskom SOC Limited,ACTUATOR REPAIR SERVICE,11000035 AUMA SOUTH AFRICA,"R 3 126 536,04",Procurement by other means,2022/10/20,2022/10/28,2022/10/20,,Noting,New
142,Q3 2022/23,2022/12/15,Eskom SOC Limited,Burners one off u6 16257,Ceezas Mechanical Works,"R 14 986 373,03",Procurement by other means,2022/10/14,2022/11/15,2023/03/31,,Noting,New
143,Q3 2022/23,2022/12/15,Eskom SOC Limited,Control Roof and Ceilling Repairs,Eskom Rotek Industries,"R 1 619 403,97",Procurement by other means,2022/09/27,2022/09/30,2023/01/26,,Noting,New
144,Q3 2022/23,2022/12/15,Eskom SOC Limited,Day Shift Security Services L&S,HUNTREX 116,"R 4 464 000,00",Procurement by other means,2022/10/06,R0.00,R0.00,,Noting,New
145,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Design, Procurement, Construction and
Commissioning of the Terrace Coal and Ash
Conveying plant for Units 5 & 6 with their
associated auxiliary systems for Kusile Power
Station",Saxeni Projects,"R 53 379 550,60",Procurement by other means,2022/10/03,2022/10/03,2023/04/03,,Noting,New
146,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Distribution LIMLANGA Cluster - Limpopo
Operating Unit",ACTOM High Voltage Equipment,"R 189 484,26",Procurement by other means,2022/10/05,2022/10/05,2022/12/07,,Noting,New
147,Q3 2022/23,2022/12/15,Eskom SOC Limited,"For the manufacturing supplying and delivery of the
500kVA 11kV/420V Minisubs .","ZEST WEG Electric (Pty) Ltd (Registration No
1990/004422/07 and CSD no MAAA1064911)","R 15 216 390,00",Procurement by other means,2022/10/21,2022/10/28,2022/03/31,,Noting,New
148,Q3 2022/23,2022/12/15,Eskom SOC Limited,Garoni Substation Maintenance,High Voltage Technologies (PTY) Ltd,"R 9 485 564,00",Procurement by other means,2022/09/28,2022/10/03,2025/10/02,,Noting,New
149,Q3 2022/23,2022/12/15,Eskom SOC Limited,Industrial cleaning U1 -6,MAGOGUDI CONTSTRUCTION PROJECTS,"R 35 646 461,13",Procurement by other means,2022/10/10,2022/10/12,2022/10/11,,Noting,New
150,Q3 2022/23,2022/12/15,Eskom SOC Limited,"KIT: TYPE: TURBINE CENTRELINE SPARES;
APPLICATION: TURBINE; COMPRISING:
CONSUMABLES; SPECIFICATION: AS PER
SAMPLES",SASCOM MAINTENANCE SERVICES,"R 1 129 490,00",Procurement by other means,2022/10/19,2022/10/19,2022/10/24,,Noting,New
151,Q3 2022/23,2022/12/15,Eskom SOC Limited,Lead Shielding Blankets for SGR Project,NPO Europe,"R 3 759 491,58",Procurement by other means,2022/09/26,2022/09/26,2022/10/31,,Noting,New
152,Q3 2022/23,2022/12/15,Eskom SOC Limited,MAINT ROAD:PRELIMINARIES AND GENERAL,ESKOM ROTEK INDUSTRIES,"R 8 375 958,59",Procurement by other means,2022/10/31,R0.00,R0.00,,Noting,New
153,Q3 2022/23,2022/12/15,Eskom SOC Limited,Maintenance of the fire detection 3month,NKM2 ENGINEERING CONSTRUCTION,"R 450 000,00",Procurement by other means,2022/10/05,2022/10/07,2023/06/01,,Noting,New
154,Q3 2022/23,2022/12/15,Eskom SOC Limited,"METER ELECT SERV:PLC;230 V;20 A;1PH (QTY
= 600)",LANDIS AND GYR,"R 891 000,00",Procurement by other means,2022/10/10,2022/10/10,2022/12/19,,Noting,New
155,Q3 2022/23,2022/12/02,Eskom SOC Limited,MOP and Oil Pump Gears,Engineered Gears,"R 2 902 500,00",Procurement by other means,2022/09/19,R0.00,R0.00,,Noting,New
156,Q3 2022/23,2022/12/15,Eskom SOC Limited,Motor repairs,Tomco Electrical,"R 1 422 746,00",Procurement by other means,2022/10/20,2022/10/20,2022/10/20,,Noting,New
157,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Online Vending System (OVS) and Prepayment
Support Gateway (PSG) Maintenance & Support",Ontec Systems (Pty) Ltd,"R 7 784 854,36",Procurement by other means,2022/09/30,2022/10/10,2024/10/09,,Noting,New
158,Q3 2022/23,2022/12/15,Eskom SOC Limited,Optimization on Unit 1 and 2,ABB South Africa,"R 14 086 516,00",Procurement by other means,2022/10/13,2022/12/01,2022/11/30,,Noting,New
159,Q3 2022/23,2022/12/15,Eskom SOC Limited,Provision of security Services,Fidility Security Service,"R 899 291,84",Procurement by other means,13/09/2022,R0.00,R0.00,,Noting,New
160,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Provision of Water Trucking Services at Kusile
Power Station (Urgent Procurement)",Sithjebangani Transport and Trading,"R 5 152 777,82",Procurement by other means,2022/10/01,2022/10/05,2023/09/30,,Noting,New
161,Q3 2022/23,2022/12/15,Eskom SOC Limited,Recovery of auxilliary plant,African Commodity Handling Projects,"R 40 784 201,06",Procurement by other means,2022/10/27,2022/10/27,2022/10/26,,Noting,New
162,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Reinstate. Over Head Traction Equ (OHTE) /
Reinstatement of Witkoppies substation /
Reinstatement of Holfontein substation",TRANSNET(PARKTOWN),"R 27 403 298,54",Procurement by other means,2022/10/12,2022/10/15,2022/10/15,,Noting,New
163,Q3 2022/23,2022/12/15,Eskom SOC Limited,Risk Assessment Consultant Services for SGR,HKA Global (Pty) Ltd,"R 27 570 162,38",Procurement by other means,2022/09/16,2022/09/16,2022/09/15,,Noting,New
164,Q3 2022/23,2022/12/15,Eskom SOC Limited,Road Sweeping and Station Services Cleaning,THE END ISIPHETHI TRADING,"R 5 850 520,00",Procurement by other means,2022/10/10,2022/10/11,2022/10/10,,Noting,New
165,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Service, calibration, supply of parts and ad-hoc
repairs of all SWAN Instrument at Lethabo Power
Station for a period of five (5) years.",SWAN Instrumentation South africa,"R 5 233 303,71",Procurement by other means,2022/10/11,2022/10/05,2027/11/14,,Noting,New
166,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Service,Maintenance& Spares of On-line
Instrumentation for a period of 36 months at Arnot
Power Station",SWAN INSTRUMENTATION SOUTH AFRICA,"R 7 421 874,25",Procurement by other means,2022/10/01,2022/10/01,2025/10/30,,Noting,New
167,Q3 2022/23,2022/12/15,Eskom SOC Limited,Spares,Tandm Technologies,"R 5 476 526,00",Procurement by other means,2022/10/25,2022/10/26,2023/09/26,,Noting,New
168,Q3 2022/23,2022/12/15,Eskom SOC Limited,Station Dams dredging,Mabhekhwana,"R 3 474 665,00",Procurement by other means,2022/10/20,2022/10/20,2022/10/20,,Noting,New
169,Q3 2022/23,2022/12/15,Eskom SOC Limited,supply and deliver : FUEL GRADE OIL: Grade 3,FFS Refineries,"R 26 431 041,00",Procurement by other means,2022/10/06,2022/10/07,2022/10/31,,Noting,New
170,Q3 2022/23,2022/12/15,Eskom SOC Limited,supply and deliver : FUEL GRADE OIL: Grade 3,Women of Africa,"R 29 280 000,00",Procurement by other means,2022/10/07,2022/10/07,2022/10/31,,Noting,New
171,Q3 2022/23,2022/12/15,Eskom SOC Limited,supply and deliver : FUEL GRADE OIL: Grade 3,Yash Corporation,"R 18 435 000,00",Procurement by other means,2022/10/07,2022/10/07,2022/10/31,,Noting,New
172,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Supply and delivery of HV turbo oxyblower system
spares","Howden Power (Pty) Ltd Reg no 2006/014232/07,
CSD No. MAAA0097108","R 3 878 721,11",Procurement by other means,2022/08/31,2022/08/31,2022/08/31,,Noting,New
173,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Supply and delivery of fully enginmeered and
manufactered replacement modules for the Reyrolle
Duobias-M basef phase 3 transformer differential
protection modules.",Woodbeam (PTY) Ltd,"R 813 875,00",Procurement by other means,2022/09/09,R0.00,R0.00,,Noting,New
174,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Supply and delivery of high pressure and high
temperature regulating valve spares on Units 1-6
during Outages and Maintenance",Kulkoni SA,"R 1 268 938,52",Procurement by other means,2022/10/24,2022/12/10,2024/05/31,,Noting,New
175,Q3 2022/23,2022/12/15,Eskom SOC Limited,Supply and delivery Valve - Stores items,11086517 PCB POWER VALVES,"R 4 149 751,22",Procurement by other means,2022/10/24,2022/10/24,2022/10/24,,Noting,New
176,Q3 2022/23,2022/12/15,Eskom SOC Limited,"TESTER:220 V AC,60 HZ,ERROR, 0.6%<0.15%",ALETRIX PTY LTD,"R 991 123,80",Procurement by other means,2022/09/07,R0.00,R0.00,,Noting,New
177,Q3 2022/23,2022/12/15,Eskom SOC Limited,"The provision of airdac cable for distribution for a
period of 12 months",CBI,"R 138 442 571,40",Procurement by other means,2022/10/12,2022/10/24,2022/10/24,,Noting,New
178,Q3 2022/23,2022/12/15,Eskom SOC Limited,"The provision of airdac cable for distribution for a
period of 12 months",M-Tech,"R 59 346 657,39",Procurement by other means,2022/10/12,R0.00,R0.00,,Noting,New
179,Q3 2022/23,2022/12/15,Eskom SOC Limited,"The removal and disposal of asbestos fill in cooling
towers 1 & 2 at Kriel Power Station as well as Civil
inspection for the precast concrete beams",Industrial Water Cooling,"R 29 305 171,65",Procurement by other means,2022/10/20,2022/10/20,2022/11/30,,Noting,New
180,Q3 2022/23,2022/12/15,Eskom SOC Limited,The Supply and Delivery of Insulators,Vexila (Pty) Ltd,"R 828 000,00",Procurement by other means,2022/10/07,R0.00,R0.00,,Noting,New
181,Q3 2022/23,2022/12/15,Eskom SOC Limited,"The supply of annual vehicle license, special
permits and certificates of roadworthy renewal for
Eskom SOC Limited, Distribution Division through a
contract with South African Post Office (SAPO)",South African Post Office,"R 35 000 000,00",Procurement by other means,2022/10/03,2022/11/01,2022/10/31,,Noting,New
182,Q3 2022/23,2022/12/15,Eskom SOC Limited,"Urgent Procurement for Majuba Power Station
Coarse Coal",NAMANE COMMODITIES,"R 103 330 800,00",Procurement by other means,2022/10/04,2022/10/01,N/A,,Noting,New
183,Q3 2022/23,2022/12/15,Eskom SOC Limited,Vuyani 132 kV Control room floor repairs,Eskom Rotek Industries,"R 1 400 400,45",Procurement by other means,2022/02/09,2022/02/09,31/03/2023,,Noting,New
184,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited",Boardpack licenses,Diligent software (Pty) Ltd,"R 3 56 703,93",Procurement by other means,2022/12/06,Not stated,Not stated,,Noting,New
185,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited",Docusign envelope subscription,Advancenet (Pty) Ltd,"R 5 38 602,50",Procurement by other means,2022/11/22,Not stated,Not stated,,Noting,New
186,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited",Leasing of scanners,Documenet excellence west,"R 2 09 953,20",Procurement by other means,2022/11/22,Not stated,Not stated,,Noting,New
