Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
133,South African Post Office,Guarding Services,Enforce,Failed negotiations with bidders,"3,500,000.00","250,000.00","1,080,000.00",2019/01/23,Supported,2019/02/01,2019/04/30
134,South African Post Office,Connect direct support services,Trustlink,Shortfall in payments,"858,656.50","686,800.00",0.00,Not Stated,Not supported,2019/06/01,2019/05/31
135,South African Post Office,Technical database specific support,Oracle (ACS),Single Source,Not stated,"5,750 000.00",1 695 447.80,2019/02/15,Not supported,2018/10/01,2020/03/31
136,South African Post Office,"Appeal: RubiQ module incident reporting and security
audit",Guideline Biztech (Pty) Ltd,Re-design the current system,"2,097,727.08","1,577,290.32",0.00,2019/03/01,Supported,2019/02/01,2020/01/31
137,South African Revenue Service,"BMC Control-M software, licence, maintenance and
support services",Blue Turtle Technologies,"Allowing business continuity while a
tender is advertised and awarded","34,964,984.08","12,369,631.79",0.00,2019/01/28,Supported,2019/02/01,2020/01/31
138,South African Revenue Service,"Renewal of maintenance and support for the
ADASPLIT, ADASTRIP, ESTRIP, TRELATIONAL DPS
and ADAREORG software suite",Bateleur Software Pty Limited,"Allow business continuity as it is a sole
supplier","22,050,799.42","16,150,456.77",0.00,2019/02/01,AA/AO Mandate,2019/03/01,2024/02/28
139,South African Revenue Service,Maintenance of SARS ICT infrastructure,Bridging Technology SA,"Allowing business continuity while a
tender is advertised and awarded","22,028,946.00","2,306,721.13",0.00,2019/01/23,Not supported,2019/02/01,2019/06/30
140,South African Revenue Service,"Variation of the previously approved lease
accommodation for the entity in Ladybrand due to
additional space occupied after evaluation",Die Bosch Familie Trust,"Allow business continuity due to scarcity
of accommodation in the area","3,357,709.97","6,290,300.75",0.00,2019/02/01,Not supported,2018/04/01,2028/03/31
141,South African Revenue Service,Provision of office accommodation- Lanseria Airport,Lanseria Internation Airport,"Allow business continuity due to the
nature of the work","1,723,909.30","4,615,324.00",0.00,2019/01/15,Supported,2019/03/01,2029/02/28
142,South African Revenue Service,"Software licensing, support and maintenance",Software AG,"Sole supplier will finalising the process
of transion into a new system","151,505,945.28","130,000,000.00","90,070,744.50",2019/02/19,Supported,2019/04/01,2024/03/31
143,South African Revenue Service,Renewal and support of Natural Extensions software,SKS Software Pty Ltd,Sole supplier,"715,532.20","559,857.38",0.00,2019/02/26,Supported,2019/05/01,2024/04/30
144,South African Revenue Service,"Procurement of Gefeg.FX with World Customs
Organisation Data Model Customization package",GEFEG,Sole supplier,"2,911,624.00","691,152.89",0.00,2019/03/04,Supported,2019/04/01,2022/03/31
145,South African Revenue Service,Renewal of biometric fingerprint services,Afiswitch,Continuity of service,"1,857,374.00","497,070.36",0.00,2019/02/18,Supported,2019/07/01,2022/06/30
146,South African Revenue Service,"Addition of funds for the annual enterprise support
and maintenance for SAP software",SAP South Africa,Exercising a renewal option,"113,509,241.24","87,000,000.00","49,191,832.00",2019/03/08,Not supported,2019/01/01,2020/12/31
147,South African Revenue Service,"Variation of purchase order: 3100022801 for
additional hard drives",Tele Business Group,Additional hardware drives,"239,734.20","62,400.20",0.00,2019/03/12,Not supported,Date of approval,Once off
148,South African Tourism,Public relation services-Northern American office,WIT,Continuity of service,US$ 684 000.00,"1,061,440.00",US$114000.00,2019/02/8,Supported,2019/04/1,2019/07/30
149,South African Tourism,Public relation services-Northern American office,Sparkloft,Continuity of service,US$ 227 850.00,"844,127.00",US$ 60 440.00,2019/02/8,Supported,2019/04/1,2019/07/30
150,South African Tourism,Public relation services-Indian office,CMGRP T/A Weber Shandwick,"Competitive bidding process in
progress",INR 12 437 368.00,"250,902.00",0.00,2019/01/31,Supported,2019/04/1,2019/06/30
151,South African Tourism,Office accommodation in Beijing,Beijing Anshi Real Estate,Continuity of service,CNY3 627 681.00,"8,078,230.00",0.00,2018/07/12,Supported,2019/04/1,2022/03/31
152,South African Tourism,Digital Activation Services,Webguerillas GMBH,Continuity of service,"2,170,206.00","1,085,104.80",EUR 72 000.00,2019/03/05,Supported,2019/10/1,2021/03/31
153,South African Tourism,Collecting data after the survey is conducted,Plus 94 PTY LTD,Variation order,56 086 229.00,2 185 000.00,31 088 507.30,2019/02/28,Supported,Not stated,Not stated
154,"State Information Technology
Agency",Office accommodation and switching centre,GEPF,"Allowing business continuity due to
scarcity of suitable accommodation in
the area","1,959,797.28","1,340,636.13",0.00,2019/01/15,Conditional support,2019/04/01,2022/03/31
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
155,"State Information Technology
Agency","Time extension of forensic investigation on possible
confict of interest",Fundudzi Forensic Services,"Allow continuation of work to finalise
outstanding matters","5,178,336.00",0.00,0.00,2019/02/14,Not supported,2019/03/29,30/12/2089
156,"State Information Technology
Agency",SAP Enterprise support and maintenance,Liquid Telecommunications,Continuity of service,"31,309,487.29","10,800,000.00","41,459,085.91",2019/03/29,Not supported,2019/04/01,2019/09/30
157,"State Information Technology
Agency",Provision of office accomodation - Rusternburg,Touchbase,Continuity of service,"1,097,887.98","595,428.60","1,471,441.43",2019/03/04,Supported,2019/04/01,2021/03/31
158,The SA State Theatre,"Refurbishment of fire detection and voice evacuation
installations",CA du Toit Consulting Engineers,Increase in the cost of services,"342,900.00","194,940.00",0.00,2019/02/08,Supported,2019/02/01,2019/07/31
159,Tourism,"Train twenty (20) black women within the tourism
sector",University of South Africa,Continuity of service,"2,849,295.00","1,511,654.10",0.00,2019/01/28,Supported,2017/10/1,2019/12/31
160,Tourism,"Enterprise Development and Incubation support
programme",Tinyoko Lodge,Variation order,"83,700.00","37,500.00",0.00,2019/03/14,Supported,2019/03/4,2019/03/9
161,Trans-Caledon Tunnel Authority,Labour dispute matter in the CCMA,"Edward Nathan Sonnerberg (ENS)
Attorneys",Continuity of service,"86,712.00","250,000.00",0.00,2019/03/11,Supported,Not stated,Not stated
162,Transnet Limited,Transactional Banking Services,Standard Bank Services,"Competitive bidding process in
progress","1,985,906.76","9,627,300.35","86,154,453.68",2018/11/11,Not supported,2019/01/01,2019/09/30
163,Transnet Limited,Cargo Handling,Crossmoor Transport (Pty) Ltd,"Competitive bidding process in
progress","178,191,059.00",0.00,"84,039,648.45",2019/02/20,Conditional support,2019/03/01,2019/03/31
164,Transnet Limited,Supply of Redefined Petroleum Fuel,"Women of Africa, Afric Oil, KZN Oils,
NRW Logistics, Yem Yem Petroleum,
Gulfstream Energy and Borutho Gas
and Tlhokaina 21","Competitive bidding process in
progress","15,500,000,000.00","4,572,947,944.35",0.00,2018/12/03,Conditional support,2019/04/01,2019/06/30
165,USAASA,"Technical support and maintenance of SAP ERP
system.",Sikwe,"To complete other projects as per the
statutory requirements","496,800,00","465,750.00",0.00,2018/12/14,Conditional support,2019/01/17,2019/01/31
166,Wholesale and Retail SETA,Office accomodation,Elegant Line Properties,"The license agreement will expire in
2020","111,026.88","1,046,118.99","1,885,817.87",2019/01/23,Supported,2018/10/01,2020/03/31
167,Wholesale and Retail SETA,Office accomodation,Mantombi Mapanzela,"The market rate per square meter was
in dispute","98,123.23","819,208.22","1,207,605.36",2019/01/23,Supported,2018/10/01,2020/03/31
168,Wholesale and Retail SETA,Office accomodation,Green Willows,"The license agreement will expire in
2020","516,360.00","1,495,295.19","2,698,912.48",2018/07/23,Supported,2018/10/01,2020/03/31
169,Wholesale and Retail SETA,Information technology services,Solugrowth,"Competitive bidding process in
progress","19,929,000.00","1,830,000.00","31,290,732.13",2019/03/01,Not supported,2019/04/01,2019/06/30
