5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT DEVIATIONS,,,,,,,,,
154,Rural Development and Land Reform,Supply of uniform and protective clothing .,Parktown Stores,"140,907.50","No suitable supplier was appointed through the normal
procurement process",2018/10/02,Conditional support,Not stated,Not stated
155,Rural Development and Land Reform,Effecting enhancements to the Land Administration Web system (LAW),AfriGIS (Pty) Ltd,"1,398,515.00",Continuity of service,2018/11/07,Not Supported,2018/05/01,2022/04/30
156,Rural Development and Land Reform,Support emerging farmers,Landbank,0.00,Landbank has a mandate other bank don’t have,2018/10/08,Conditional support,Not stated,Not stated
157,"Safety and Security Sector Education and Training
Authority",Provision of Office Accomodation,Property Management Company,"500,000.00",RFQ procurement method,2018/09/25,Supported,Not stated,Not stated
158,"Safety and Security Sector Education and Training
Authority",Provision of the SETA management system,Solugrowth,"594,075.00",Allow for the bidding process to be initiated,2018/09/27,Not Supported,2018/10/01,2018/12/31
159,SASSA,Office lease agreement and parking at Paarl Local Office,Zenith Properties (Pty) Ltd,"1,798,181.52",Continuity of service,2018/10/12,Supported,2018/03/01,2022/02/28
160,SASSA,Office accommodation,"Various spheres of governments and
state entities",Not indicated,Single Source,2018/10/18,Supported,Not stated,Not stated
161,SASSA,Appointed service provider to verify CPS financial statements,Not indicated,"2,000,000.00",Non responsive bids,2018/12/13,Supported,Not stated,Not stated
162,Science and Technology,Forensic investigation,Various suppliers,"500,000.00",Emergency,2018/11/07,Conditional support,Not stated,Not stated
163,Sentech Limited,Provision of Ka-Band service,Avanti Hylas 2 Cyprus Ltd,"8,236,500.00",Single source,2018/10/25,Supported,2018/12/01,2021/11/30
164,Sentech Limited,"Supply, Maintenance and installation of Ruckus access point and media switches",Negotiated Procedures,"3,004,000.00",Closed bid,2018/12/13,Supported,From date of approval,3 years
165,Small Enterprise Development Agency,To procure 15 travel packages to participate at the China imports expo,Amaza Enterprise and Projects,"690,000.00",First ever imports focused on imports,2018/10/03,Supported,2018/11/05,2018/11/10
166,Small Enterprise Development Agency,Provision for office accomodation - Kimberly,Els Properties,"3,399,752.46",RFQ procurement method,2018/11/19,Supported,2019/01/01,2024/12/31
167,Small Enterprise Development Agency,Provision of office accomodation,Varsimode (Pty) Ltd,"3,077,780.38",RFQ procurement method,2018/12/19,Supported,2019/03/01,2024/02/29
168,Small Enterprise Development Agency,To provide business development services,Business Doctors,"2,344,390.00",Single source procurement,2018/12/14,Supported,Not stated,Not stated
169,Small Enterprise Development Agency,Procurement of licenses,Growth Wheel South Africa,"2,691,103.50",Single source procurement,2018/12/18,Supported,2019/01/01,2021/12/31
170,South African Civil Aviation Authority,Training of Cadets,Various,Not indicated,Limited number of training providers for Cadets,2018/11/27,Conditional support,Not stated,Not stated
171,"South African Diamond and Precious Metal
Regulator",Provision of Office Accomodation,GIDZ,"33,120,000.00",The nature of the business,2018/10/31,Supported,2019/01/01,2029/12/31
172,South African National Parks,Online payment processing,Paygate (Pty) Ltd,"1,350,000.00",Single source,2018/10/04,Not Supported,2019/01/01,2019/12/31
173,South African National Parks,Rental of dry and wet milling facility for the manufacturing of Eco Furniture,Biotek Industrial Park,"900,997.02","DEA wants to retain the factory site instead of re-locating
to another site",2018/11/23,Supported,2018/10/01,2019/09/30
174,South African National Space Agency,Keetmansshoop Geomagnetic station site rental,Namibian Airports Company,"950,000.00",Continuity of service,2018/08/29,Supported,2018/10/09,2028/10/08
175,South African National Space Agency,"Provision of Sage X3 system, Hr Sdystem anf functionality audit and interim
support srvices",SAGE SA,"1,950,000.00",Continuity of service,2018/10/31,Supported,Not stated,Not stated
176,South African National Space Agency,C and IOT antenna rental services,INTELSAT,"809,000.00",Sole supply,2018/11/19,Conditional support,Not stated,Not stated
177,South African Police,Renewal of IP Granite annual software upgrade protection and support,Nanoteq (Pty) Ltd,"1,151,440.45",The supplier is an OEM,2018/10/25,Noting,2019/01/01,2019/12/31
178,South African Police,Procurement of DNA evidence collection kits,"Btho Pele Health Care, Letsepe Medicl
Supplies and Yhira Investments","8,912,336.22",Urgency procurement method,2018/10/18,Closed,Not stated,Not stated
179,South African Police,For the placement of advertisements,Provantage Media Group,"1,031,550.00","The supplier has exclusive rights to advertising
concession on all ACSA owned airports",2018/11/30,Supported,Not stated,Not stated
180,South African Police,Broadcasting of adverts on crime awareness,SABC,"2,532,990.00",To create awareness to the general public,2018/11/30,Supported,Not stated,Not stated
5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT DEVIATIONS,,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommended by
AO/ AA","not supported/not
supported/Conditional
supported
(Use","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Agricultural Research Council,Automated CFT Assay DAN extract system.,Separations,"2,875,000.00",Sole supplier,2018/10/02,Noting,Not stated,Not stated
181,South African Police,To provide additional items at Samora Machel Satellite Police station,Shell Case (Pty) Ltd,"2,858,133.86",Continuity of service,2018/10/18,Not Supported,Not stated,Not stated
182,South African Revenue Service,Procurement of Attachmate solution,Microfocus,Not stated,Single source,2018/10/05,Supported,From date of approval,36 months
183,South African Revenue Service,Upgrade of Eskort Audit Support and Case Management & tracking softwares,Intrasoft International SA,"1,368,737.25",Continuity of service,2018/10/10,Not Supported,2018/11/01,2019/08/31
184,South African Revenue Service,Maintenance and support services,Cvision,"4,726,844.14",Continuity of service,2018/10/05,Supported,2018/12/01,2021/11/30
185,South African Revenue Service,Procurement of Dell Laptops and Operating System,Dell,Not stated,Urgent requirement,2018/10/11,Not Supported,Once off,Once off
186,South African Revenue Service,Provision for office accomodation,GEPF,"198,000,000.00",Single source,2018/10/31,Supported,2019/04/01,2029/03/31
187,South African Tourism,"To address challenges of leadership, communication and co-operation",Distillery Consulting,"1,200,600.00",Single source procurement,2018/11/02,Conditional support,2018/11/01,2019/05/31
188,South African Tourism,Data Analysis Tool,Surtech (Pty) Ltd,"897,753.00",RFQ procurement method,2018/09/28,Supported,2018/11/01,2021/11/30
189,South African Tourism,"Establishing a mutally beneficial business partnership to drive the tourism
mandate",ABSA,"8,000,000.00","ABSA rewards is a aggresively growing rewards
programme",2018/11/16,Not Supported,2019/01/01,2020/12/31
190,South African Weather Services,For procurement of Radar prventative maintenance,Leonardo Germany GMBH,"3,166,480.00",Sole supplier status,2018/11/20,Closed,2018/12/01,2019/11/30
191,South African Weather Services,To investigate the alleged corruption and improper conduct by the CEO,Closed bid process,"2,000,000.00",Serious allegations must be investigated,2018/10/10,Conditional support,Not stated,Not stated
192,South African Weather Services,Annual membership fees,World Meterological Organisation,"3,329,323.00",South Africa is one of the signatory of the WMO,2018/10/03,Supported,2019/01/01,2019/12/31
193,South African Weather Services,Annual membership fees,"Meterological Association of Southern
Africa","569,423.00",South Africa is one of the signatory of the MASA,2018/10/03,Supported,2019/01/01,2019/12/31
194,South African Weather Services,Provision of office accomodation,Gildenhuys Malatji Attorneys,"515,343.75",Continuity of services,2018/12/05,Supported,Not stated,Not stated
195,South African Weather Services,Procurement of Radar spare parts,Diel T/A Intermet Africa,"1,108,401.40",Sole supplier status,2018/12/15,Noting,Not stated,Not stated
196,State Diamond Trader,Provision of Office Accomodation,GIDZ,0.00,The nature of the business,2018/11/27,Supported,2018/12/01,2021/11/30
197,State Security Agency,Procurement of Biographical and Financial Information,29 various suppliers,0.00,Closed bidding,2018/10/13,Supported,Not stated,Not stated
198,Statistics SA,Procure hired vehicles through price quotation,Not stated,"12,972,647.00",Quotations method,2018/10/24,Supported,From date of approval,2019/02/28
199,Strategic Fuel Fund,Extraction of residual hydrocarbons from the Orgies oil bunkers.,Enviroshare Trade & Logistics,0.00,"ETL was appointed bySFF and the contract expired before
the extraction due to activities such as technical studies",2018/10/10,Conditional support,Not stated,Not stated
200,"The Banking Sector Education and Training
Authority",Re-design and presentation of salary pay scale notches,Sunguti Business Solutions,"28,383.00",Continuity of services,2018/12/13,Supported,Not stated,Not stated
201,Trans-Caledon Tunnel Authority,Renewal of ACCPAC licences,AccTech Systems,"72,708.74",Continuity of services,2018/10/18,"Within AA/AO mandate
Noting",Not stated,Not stated
202,Transnet Limited,CIPS Training Programme,"Chartered Institute of Purchasing and
Supply Southern Africa (Pty) Ltd","21,614,094.87",Allow completion of studies,2018/09/27,Not Supported,2018/09/23,2020/09/22
203,Transnet Limited,Procurement of Metric Gauge Bogies for United Company Rusal (1000mm),Not applicable,Not applicable,No local capability to manufacture metric gauge bogies,2018/11/02,Conditional support,Not stated,Not stated
204,Transport,Development of rural transport strategy guidelines,"Koleko Transportation and
Engineering","533,178.00",Koleko scored high points on RFQ,2018/07/13,Supported,Not stated,Not stated
205,Unemployment Insurance Fund,Cleaning services,Morena Corporate Services,"1,342,510.45",Competitive bidding process underway,2018/10/15,Noting,2018/10/10,2018/09/03
206,Unemployment Insurance Fund,New licensing agreement,Predicate Logistics,"543,662.91",Single source,2018/10/16,Supported,2018/10/18,36 months
207,Water and Sanitation,"Rehabilitaion of the Davel Kriel Pipeline within the Usuthu River Government
Water Scheme",Bicacon (Pty) Ltd,"2,469,529.89",Emergency works,2018/11/16,Noting,Not stated,Not stated
208,"Wholesale and Retail Sector Education and Training
Authority",Procurement of IT infrastructure hosting and IT network services,Internet Solutions/Dimension Data,"2,112,244.32",The entity wants to contract directly with sub-contractors,2018/10/11,Not Supported,2018/12/01,2020/03/31
209,"Wholesale and Retail Sector Education and Training
Authority",Closed bid to approach ERP vendors,Closed bid process,0.00,The bid was non responsive,2018/11/29,Supported,Not stated,Not stated
