SASSA,"Construction of brick and mortar offices in Churchill, Danielskuil and Dithakong",Independent Development Trust,9 223 202.15,Competitive bid process not succesful,2016/08/29,Supported,Not stated,Not stated
SASSA,Acquire content marketing advertisement space for the targeted group of beneficiaries,"Media 24 newspapers ( Daily Sun, Sunday Sun, Die Son, and Son
op Sondag)",666 900.00,Sole source.,2016/07/01,Supported,Not stated,Not stated
SASSA,Supply and delivery of food parcels (Northern Cape; Free State and North West),Not stated,Not stated,Sole source,2016/08/16,Not supported,Not stated,Not stated
SASSA,Office lease in Kimberly regional office,Delta Property Fund Limited,4 590 432.00,Competitive bid process not succesful,2016/09/23,Supported,Not stated,Not stated
SASSETA,"Implement controls, policies and tool for compliance",Juliann Moodley,"734,400.00",Continuity of service,8/20/2016,Supported,3/1/2016,9/30/2017
SASSETA,"Implement controls, policies and tools for Supply Chain Management",Mosebo Consulting,"850,000.00",Continuity of service,8/20/2016,Supported,3/1/2016,2/12/2017
SASSETA,Provide legal service in addressing of irregular practices.,Maseko Tilana Incorporated,"1,531,000.00",Continuity of service,8/20/2016,Supported,3/1/2016,11/30/2016
SASSETA,Provide change management,Zweli Mnisi,"1,056,250.00",Continuity of service,8/20/2016,Supported,3/1/2016,2/12/2017
SEDA,Office Accommondation,Herring Estate Brokers CC,"1,592,390.37","Expansion of service more office space
needed",8/17/2016,Supported,9/1/2016,8/31/2019
SEDA,Office Accommondation,Western Property Partnership,"2,787,748.61","Extension of lease period unavailability of
alternate accomodation",9/9/2016,Supported,10/1/2016,9/30/2019
SEDA,Office Accommondation,Victorian Trust,"2,787,748.61",Extension of lease period,9/12/2016,Supported,once-off,once-off
SEDA,Office Accommondation,LAS Properties cc,"882,911.20","Expansion of service more office space
needed",9/21/2016,Supported,once-off,once-off
SEDA,"Implement single and integrated Financial Management System in the National and Provincial Offices
of SEDA",OS Holdings in Joint venture with Brilliant link,6 695 395.00,Intergration of financial management systems,9/14/2016,Supported,once-off,once-off
SITA,Financial Modelling Services,Parahellic CC,"2,394,000.00",Continuity of service,2016/08/04,Supported,2016/09/01,2017/03/31
SITA,Maintenance & support on desktops and notebooks,Mustek Ltd,"6,256,437.00",Sole source,2016/08/18,Supported,Once off,2017/03/31
SITA,SAN storage for ECDoR&T,Dimension Data,"65,892.00",Continuity of service,2016/08/23,Supported,Not stated,3 years
SITA,Maintenance & support of IPT system,Gijima Holdings (Pty),"2,519,472.06",Continuity of service,2016/09/15,Supported,2016/09/15,2017/03/31
SITA,Laser paper for Free State Data Centre,Wesunny Trading Enterprise,"497,508.00","Poor performance by appointed service
provider",2016/09/21,Supported,Once off,2017/09/03
SIU,Money penny investigations under Ploclamation R59 of 2013,Leanka Holding Properties,"79,800.00",Continuity of service,2016/09/07,Supported,Not stated,Not stated
SIU,"Review,design and implementation of organisational structure",Deloitte Consulting (Pty) Ltd,"7,000,000.00","Urgent review,design and implemantation of
organisational structure",Not stated,Not supported,Not stated,Not stated
SIU,Money penny investigations under Proclamation R59 of 2013,Aphane View Architects,"66,000.00",Continuity of service,2016/09/20,Supported,Not stated,Not stated
Social Development,Procurement of goods and services from co-operatives,Not stated,Not stated,To promote Co-operatives,2016/09/22,Not supported,Not stated,Not stated
Special Investigative Unit,Office Accomodation in Bloemfontein,Telkom SA SOC Ltd,"13,603,239.64",Competitive bid process not succesful,2016/07/08,Supported,Not stated,Not stated
Special Investigative Unit,Office Accomodation in Mahikeng,Edge Bay Investment 9 (Pty) Ltd.,"4,071,174.48",Urgent need for office space,2016/07/08,Supported,Not stated,Not stated
Sports & Recreation,National Schools Sports Championships,Tsogo Sun,"4,545,282.00",Reasonable price of alternate service provider,2016/07/07,Supported,Once off,Once off
StatsSA,UN World Data Forum - Conference,Cape Town ICC,"5,000,000.00",Bid award linked to venue,2016/08/10,Supported,2017/01/16,2017/01/18
StatsSA,Awareness campaign for relocation of offices,various media houses,"715,929.27",Relevant media to reach target stakeholders,2016/08/12,Supported,Once off,Once off
StatsSA,To provide consultancy services,Edward Nathan Sonnenbergs Inc,Not stated,"Continuation with overhaul of statistics
legislation.",2016/09/19,Supported,Not stated,Not stated
StatsSA,Print and Insert advertorials for release of Community Survey,National Sunday Newspapes,"1,500,000.00",Relevant media to reach target audience,2016/09/19,Supported,Once off,Once off
StatsSA,Acceleration and Improvement of Civil Registration and Vital Statistics.,Mr. Genene Bizuneh,"597,120.00",Sole source,2016/09/19,Supported,2016/10/01,2017/01/31
TETA,Forensic Investigation,Open Water,"300,000.00",Sole source,9/8/2016,Supported,Not stated,Not stated
TETA,Disciplinary enquiry of an employee,Ravuku Srategic Dispute resolution (Pty) Ltd,"200,000.00",Sole source,9/8/2016,Supported,Not stated,Not stated
Trans-Caledon Tunnel Authority,Provide COSEC Strategic Services to support TCTA Board and Management,CorpStat Governance Services,"1,149,120.00",Sole source,2016/09/08,Supported,2016/09/01,2017/03/31
Transnet,Annual maintenance and contract support of Intergrated Port Management System,Navayuga Infotech,"49,500,000.00",Sole source,2016/07/07,Supported,Not stated,Not stated
UIF,Collection of outstanding premiums from Class X111 employers,Rand Mutual Association,10% of fee collected,Sole source,2016/07/26,Not supported,2016/09/01,3 years
Water and sanitaion,Emergency draught intervention for supply and delivery of portable resrevoirs,Crossmoore Transplort Plant,Not stated,Competitive bidding process in progress,2016/07/27,Not supported,2016/06/01,"end September
2016"
Water and sanitaion,"Supply, deliver and install desalinaytion plant for the drought stricken Richards Bay on emergency
delegations",North Coast Water Utility (Pty) Ltd,"290,700,000.00",Emergency drought intervention,2016/07/27,Supported,Not stated,Not stated
Water and sanitaion,Maintenance and repair of all Teinfontein pump station pump sets as and when required,Sulzer Pumps South Africa (Pty) Ltd,"6,449,101.98",Sole source,2016/06/30,Supported,Not stated,Not stated
Water and sanitaion,WD280 Maintenance and Repair Of Laboratory Instruments at Reasource Quality Information Services,"Merck Milipore, Microsep, Worsa, 3F Scientific, Anatec, Aqualitic
CC, Chemetrix (Pty) Ltd, LECO, NECA, Analytical and Diagnostic,
IDEXX, Labex, Labotec, Toxsolutions, Vivid Air, Morvac, Lwandle
Technologies, Carl Zeis, Promolab (Pty) Ltd t/a Separation,
Schimadzu SA (Pty) Ltd, BMI Air, Labware and Dedicated Analytical
Solutions t/a Analytical Solutions CC",Not stated,Continuity of service,2016/07/22,Supported,No stated,Not stated
Water and Sanitation,"Extending the appointment of Diners Club International to pay all Water Trading Entity accommodation
transactions reserved through Hamba Nathi Travel for a period of 12 months. Cost: R 501.75 per
annum – card cost; R 111, 40 additional cards per annum and administrative fee of R 55.00 – domestic
booking and R 222.00 - international booking all excluding VAT.",Dinners Club International,Not stated,"Delays in payments of the current service
providers impact negatively on its performance",2016/02/26,Supported,No stated,Not stated
Water and sanitation,WD280 Purchasing Laboratory Chemicals At Resource Quality Information Services,"Merck (Pty) Ltd, Chemetrix (Pty) Ltd, LECO Africa (Pty) Ltd, NECSA,
IDEXX Laboratories (Pty) Ltd, Toxsolutions Kits and Services,
Anatech Instruments (Pty) Ltd, Separations, Microsep (Pty) Ltd
Industry Analytical (Pty) Ltd and Stargate Scientific",Not stated,Sole source,2016/07/22,Supported,No stated,Not stated
Water and Sanitation,Hiring of water tankers in Qwaqwa and Kroonstad for drought intervention,Acqua Transport & Plant Hire,"8,000,000.00",Emergency drought intervention,2016/07/25,Supported,Not stated,2016/06/30
Water and Sanitation,Rental of water tankers on a month to month basis.,Crossmoore (Pty) Ltd,Not stated,Emergency drought intervention,2016/07/25,Supported,Not stated,not yet awarded
Water and Sanitation,Supply and delivery of 50 Jojo water tanks in Qwaqwa.,Sobuza Investments,"826,500.00",Emergency drought intervention,2016/05/20,Supported,Once off,Once off
Water and Sanitation,Supply and delivery of 50 Jojo water tanks in Kroonstad.,Gaborone Ya Katlego (Pty) Ltd,"1,094,400.00",Emergency drought intervention,2016/05/25,Supported,Once off,Once off
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: Temperature Metrology,Archimedes Laboratory Solutions cc,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: Microcystins interlaboratory comparison
exercises",Center for Research and Innovation in Toxicology,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: LGC Standards Proficiency Testing
Schemes",Industrial Analytical (Pty) Ltd,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: Temperature Metrology,Pressure
Metrology, Mass and Volume Metrology",Intercal cc,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: Era products,Microsep,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: Temperature Metrology,Monitoring & Control Laboratories (Pty) Ltd,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: Water Microbiology Proficiency Testing
Scheme and Acquatic Toxicity Proficiency Testing Scheme",National Laboratory Association,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: 4 proficiency testing schemes,National Metrology Institute of South Africa,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recom
meded by
AO/ AA","Supported/ Not
supported by NT","Contract start
date",Contract expiry
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: Chemical, Microbiological and
Hydrobiological Analysis",Rand Water,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,"Laboratory accreditation and proficiency testing of samples: Temperature Metrology,Mass Metrology",Repcal Services CC,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: WaterCheck Proficiency Testing Scheme,South African Bureau of Standards Commercial SOC Ltd,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: National Accreditation Body,South African National Accreditation System,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
Water and Sanitation,Laboratory accreditation and proficiency testing of samples: Mass and Volume Metrology,Welfield Metrology (Pty) Ltd,Not stated,sole source,2016/08/19,Supported,Not stated,Not stated
