,Department/ Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommeded by
AO/ AA","Supported/ Not
supported/ Conditional
Support",Contract start date,Contract expiry
169,"Planning, Monitoring and
Evaluation",Procurement of firewall,Not stated,Not stated,SITA tender was non responsive.,2016/12/22,Conditional support,Not stated,Not stated
170,Public Enterprise,"Research, Study, Guidelines, Macro Economic model,
Assessments and Develop centre for Excellence for the
Public Enterprise","University of South Africa,
universities of Johannesburg,
Witwatersrand and North West","14 000 000,00",Partnership arrangements,2017/02/15,Supported,2017/04/01,2018/03/31
171,Public Works,"Facilitate the capacity building programmes for Property
Management Trading Entity (PMTE)","South African Property Owners
Association (SAPOA)","16 537 427,29",Continiuty of service,2016/12/14,Not supported,Not stated,Not stated
172,Public Works,"Provision of Internal Cleaning Services during the State of
the Nation Address",Various Service Providers,"900 000,00",Continuity of service,2017/01/18,Supported,2017/02/09,2017/02/09
173,Public Works,Procurement of 6 Ministerial Houses,Prestige Clients,"48 000 000,00",Shortage of houses on stock,2017/02/20,Supported,Once off,Once Off
174,Public Works,Renegotiation of lease contract,CIPS,Not stated,Single source,2017/02/16,Not supported,Not stated,Not stated
175,Public Works,Procurement of 4 additional parking bays at Bellville,"ERF 925 Parow Diskin Court (PTY)
LTD","26 950,00",No reason provided,2017/03/06,Not supported,2016/03/01,2021/02/28
176,RAF,Acquisition of McAFEE Security Solution,McAfee/Intel,"7 500 000,00",Single source,Not stated,Not supported,Not stated,Not stated
177,RAF,Provision of office accommodation,N1 Support (Pty) Ltd,"14 779,28",Continuity of service,Not stated,Supported,2018/02/01,2021/01/31
178,RAF,Corporate Bank Services,One of the six identified banks,"7 500 000,00",Closed bidding process,Not stated,Supported,2017/04/01,2022/03/31
179,RAF,Project Siyeza,"Ernst and Young Consortium and
Medscheme","167 675,00",Single source,2017/03/02,Not supported,2014/01/09,2017/01/08
180,RAF,Provision of office accommodation,Thusong Centre,"14 779,28",Continuity of service,Not stated,Supported,2018/02/01,2021/01/31
181,RAF,Exhibition and activation,Various service providers,"1 974 780,00",Single source,2017/03/22,Supported,Not stated,Not stated
182,RIM,"Design and reconfigure Nelson Mandela Gateway and Jetty 1
buildings",V&A Waterfront,100 000.00,Closed bidding process,2017/01/25,Conditional support,2017/02/02,2017/04/30
183,RTMC,Advertising road safety messages using LED platform,Truffle Communications,"2 166 000,00",Sole source,2016/12/23,"Not reported within 10
days",Not stated,Not stated
184,S.A Tourism,Data Processing,Forward Keys,"4 776 377,76",Single Source,2017/02/08,Conditional support,2017/04/01,2020/03/31
185,S.A Tourism,Hyper-convergence hardware infrastructure,No Supplier,"0,00",Closed bidding process,2017/02/13,Conditional support,Not stated,Not stated
186,S.A Tourism,Marketing of S.A Tourism's products,Moja Media,"249 888,00",Sole source,2017/02/17,Supported,2017/04/01,2018/03/31
187,S.A Tourism,Implementation of Oracle Talent Management Suite,Rededge,"3 500 000,00",Single Source,2017/02/27,Conditional support,2017/03/06,2018/06/30
188,SALGA,"Research on the Division of Revenue Bill (DoRB) on behalf
of SALGA",University of Johannesburg,"300 000,00",Single Source,2017/01/11,Conditional support,Not stated,Not stated
189,SALGA,Provision of office accommodation: SALGA National Office,Emira Property Fund Limited,"257 000 000,00",Continuity of service,2017/01/26,Conditional support,Not stated,Not stated
190,SAMSA,Manage & maintain Vmware software licences,SA Vmware partners,"2 259 231,85",Continuity of service,Not stated,Supported,Not stated,Not stated
191,SANParks,Implementation of Recognition of Prior Learning (RPL),UNISA,"440 000,00",Sole Source,2017/01/26,Conditional support,2017/02/01,2019/01/31
192,SANParks,"Provide guidance and assistance to the Payment Card
Industry Data Security Standard (PCI DSS) compliance",Foregenix (Pty) Ltd,"246 500,00",Single source,2017/01/21,Conditional support,2017/04/01,2018/03/31
193,SANParks,"project
Recruitment Agency",Spencer Stuart,"600 000,00",Single source,2017/03/03,Conditional support,2017/03/01,2018/03/01
194,SANParks,Forensic Investigation,No Supplier,"2 500 000,00",Closed bidding process,2017/03/16,Conditional support,2017/04/01,2019/03/31
195,SANRAL,"Alienation of land Portion 16 Far, Hanglip",Cape Nature,"100,00",The land is not usable and it is a liability to SANRAL,2017/02/21,Not supported,Not stated,Not stated
196,SANRAL,Leasing property below market value,Christi; Leigh Nicholl,"5 500,00",It is costly to maintain the property while not in use,Not stated,Supported,Not stated,Not stated
197,SANRAL,Central Messaging Front-End System,Strate (Pty) Ltd,"0,00",Continuity of service,2016/09/28,Not supported,2017/04/01,2020/03/31
198,SAPO,Universal Banking platform specific for postbank,Oracle,"42 782 055,59",Continuity of service,2017/01/25,Not supported,2017/01/04,2020/03/21
199,SAPO,Procurement and refurbishing of bicycles,Swift Cycles,"2 150 000,00",Continuity of service,2017/02/13,Conditional support,2017/01/03,2018/01/04
200,SAPO,Strategic Market (e-commerce),No Supplier,"6 684 695,01",Closed bidding process,2017/03/03,Conditional support,2017/01/04,2020/03/21
201,SAPO,Configuration of HP Hardware,HP Channel Partner Telkom/BCX,"26 350,00",Single source,2017/03/03,Conditional support,Once-off,Once-off
202,SAPO,IT Sourcing Services,KPMG,"1 586 567,50",Single source,2017/03/03,Not supported,2017/01/04,2017/09/30
203,SAPO,National Courier Service,Sentech,"998 000,00",Competitive bidding process in progress,2017/03/23,Conditional support,2017/01/04,2017/30/06
204,SAPS,"Procurement and installation of blue lights to thirty three
BMW sedan vehicles",BMW SA,"4 125 000,00",Single source,2016/12/09,Supported,Once off,Once Off
205,SAPS,"Procurement of Twenty nine vehicles to be used in the
festive season",Zambezi Auto,"12 215 937,54",Not stated,2016/11/01,Awaiting information,Once off,Once Off
206,SAPS,"Supply and Delivery of prepfiler extraction kits and prepfiler
96 well processing plates",LTC Tech South Africa,"2 564 931,60",Sole source,2017/03/23,Supported,Once off,Once Off
207,SAPS,Procurement of MKU 1500 body Armour,I-View Intergrated Systems,"6 840 000,00",Continuity of service,2016/10/14,Not supported,Once off,Once Off
208,SARS,Renewal of SARS's GIS services,Afrigis,"2 121 743,46",Competitive bidding process in progress,2017/01/31,Conditional support,2017/01/01,2017/12/31
209,SARS,Provision of office accomodation from SOE,Various State Owned Entities,Not stated,Single source,2017/01/13,Supported,Not stated,Not stated
210,SARS,Renewal of Caseware application,CQS Technology Holdings,"106 552,38",Continuity of serivce,2017/02/01,Supported,2017/02/01,2018/01/31
211,SARS,Provision of maintenance service of scanners,3DR Holdings,"7 380 950,94",Single source,2017/03/28,Conditional support,2017/04/01,36 months
212,SARS,Procurement of Apple related products and services,Core Group,"13 000 000,00",Single source,2017/03/28,Conditional support,2017/04/01,36 months
213,SASSA,Provision of office accommodation,"Trifecta Trading 434 Property 5
(Pty) Ltd",1 827 306.00,Competitive bidding process in progress,2017/01/05,Conditional support,2016/11/01,2017/10/21
214,SEDA,Design Indaba Conference,"Vutisile Mshudulu and Fehmida
Osman-Latib","15 800,00",Single source,2017/02/15,Not supported,2017/03/01,2017/03/03
215,SEDA,"Provison of office accommondation, UGU Branch in Port
Shepstone",MYSY Property Investment CC,"3 706 535,50",Single source,2017/01/23,Supported,2017/02/01,2022/01/31
216,SEDA,"Provison of office accommondation, Bushbuckridge Branch",Arrowhead Properties (Pty) Ltd,"1 912 388,80",Single source,2017/02/13,Conditional support,2017/03/01,2022/02/28
217,SEDA,"Provison of office accommondation, Ngaka Modiri Molema
Branch","Kakapa Skills Development
institute cc","3 492 810,00",Single source,2017/02/15,Conditional support,2017/04/01,2022/03/31
218,SEDA,Provison of office accommondation,Lutendo Property Group,"1 389 948,71",Single Source,2017/03/15,Conditional support,2017/04/01,2022/02/28
219,SEDA,Procurement of Incubation Portal,Avnon Consulting,"1 887 771,60",Single Source,2017/03/27,Conditional support,2017/05/01,2018/04/30
220,SITA,Maintenance of SAPS switching centre infrustructure,INFRASOL,"9 191 760,65",Continuity of serivce,2017/02/17,Conditional support,2017/03/01,2017/08/31
221,SITA,"Procurement, deployment, support and maintenance of a
next generation firewall and proxy server solution for DPME",Not stated,"1 500 000,00",Single source,2017/03/01,Conditional support,2017/03/01,3 years
222,SITA,Relocation and installation of NGN,Business Connexion,"1 357 999,02",Continuity of serivce,2017/02/10,Conditional support,Once off,Once-off
223,SITA,Installation of video conferencing equipment,EOH,"6 721,44",Single source,2017/02/08,Supported,Once off,Once-off
224,SITA,Printing management system,Konica Minolta,"77 775,00",Single source,2017/03/16,Conditional support,Once off,Once-off
225,SITA,Forensic investigation,KPMG,"300 000,00",Continuity of service,2017/03/15,Conditional support,Not stated,Not stated
226,Small Business Development,Internal Audit,"Institute for Internal Auditors (IIA)
South Africa.","7 040,00",Sole source,2016/11/02,Supported,2016/11/10,2016/11/25
227,Small Business Development,"Conduct a comparative analysis research from the 8 selected
countries",Osiba Management,"473 320,00",Two quotations received,2017/02/27,Supported,2017/03/01,2017/05/31
228,Small Business Development,Catering services,"Sefako Makgatho Presidential
Guest House","28 200,00",Single source,2017/03/29,Supported,2017/04/05,2017/04/05
229,Social Development,Construction of three community care centres in Limpopo,No Supplier,13 159 464.13,Failure to perform by appointed supplier,2017/03/23,Conditional support,Not stated,Not stated
230,Social Development,Support and maintanance of E-submission,Boxfusion,"3 200 000,00",Sole source,Not stated,Conditional support,Not stated,Not stated
231,South Africa Tourism,"Augment the limited capacity and speciality skills within
supply chain management","The Advertising Production Cost
Consultants (Pty)","2 553 369,22",Single source,2016/12/13,Conditional support,2017/02/01,2020/01/31
232,South Africa Tourism,Ground handling logistics for the crew and cast,Batsumi Travel (Pty) Ltd,"4 625 000,00",Single source,2017/01/17,Conditional support,2017/01/25,2017/01/31
233,StasSA,United Nations World Data forum Conference,"Cape Town International
Convention","3 000 000,00",Expansion of scope the work,2017/01/12,Supported,2017/01/15,2017/01/19
234,StasSA,Procurement of Network Equipment,Dimension Data,"896 615,70",Single source,2017/01/31,Conditional support,2017/03/01,Once-off
235,StasSA,Community survey,Breeze Website Designers,"96 330,00",Single source,2017/02/13,Conditional support,2017/03/01,2017/04/30
236,STATSSA,GIS system,No Supplier,"15 000 000,00",Deviation from SITA Act,2016/10/19,Supported,Not stated,Not stated
237,TCTA,"Operation, maintenance and management of Central Basin
Mine Drainage Treatment plant",Intelligent Water Solutions,"61 667 460,00",Continiuty of service,2017/01/24,Conditional support,2017/01/01,2017/06/30
238,TCTA,"Environmental Impact Assessment (EIA) for the Acid Mine
Drainage Long Term Solution project",Digby Wells Environmental,"13 742 063,00",Continiuty of service,2017/01/27,Conditional support,Not stated,Not stated
239,TCTA,Feasibility study and bankability of the ORWRDP – 2B,"Development Bank of Southern
Africa","0,00",Single source,2017/03/10,Conditional support,2017/04/01,2017/09/30
240,TETA,"Conduct the facilitation of the values workshop for staff
members",Simulation Consultants,"184 000,00",Continuity of service,2017/01/19,Not supported,Once off,Once Off
241,Tourism,"Provision of expert advice in the Baseline Study and
transformation strategy development","Dr Khangelani Zuma and Mr Jan
Harm Vorster","145 760,00",Single source,2017/01/13,Supported,Once off,Once Off
242,Tourism,Forensic investigation,KPMG,"1 842 427,00",Continuity of service,2016/12/15,Supported,Not stated,Not stated
243,Tourism,Transformation expert,Matifadza Martha Nyazema,"80 168,00",Single source,2017/02/21,Supported,2017/03/13,2017/03/24
244,Transnet,"Handling, off loading and road transportation of coal from
Kendal Siding to Kendal Power Station",Lonigyn (Pty) Ltd,"222 257 583,00",Single source,2017/02/01,Conditional support,2017/02/01,2020/06/30
245,Transnet,"Travel Management services - Request for exemption to
follow bid process on 2 pricing options",No Supplier,"0,00",Test the competiviness of the prices,2017/02/27,Supported,Not stated,Not stated
246,Transport,Procurement of a vehicle for deputy minister,Jaguar Cape town,"800 000,00",RT27 Contract does not include this vehicle type,2017/03/10,Conditional support,Not stated,Not stated
247,Transport,"Study on global Competitiveness by reducing Transport
costs on aviation and maritime for a period of 12 months.",Lashka Consulting,"2 500 000,00",Continuity of service,2017/01/13,Conditional support,Not stated,Not stated
248,UIF,Advertising,SAIL,"497 040,00",Sole source,2017/02/16,Conditional support,2016/11/10,2017/02/18
249,UIF,SAP Training,SAP,"431 262,00",Sole source,2017/02/16,Conditional support,Not stated,Not stated
250,Weather Services,Internal audit services,PWC,"350 000,00",Continuity of service,2017/02/01,Conditional support,2017/02/01,2017/05/31
251,Weather Services,"Quality control of Radar and real time rainfall observation
data",Hydro-Meteo GMBH,"2 305 500,00",Sole source,2017/02/07,Supported,2017/02/01,2017/05/31
252,Weather Services,Provision of Radar Spare Parts,Selex-ES GMBH,"3 200 000,00",Sole source,2017/03/13,Supported,Once off,Once Off
