169,Small Business Development,"To offer an Induction to Computable General Equilibruim
Modelling",University of Pretoria,12 500.00,"Department’s focus is on enhancing
the advancement of entrepreneurship
which encourages job creation and
economic growth.",2016-10-10,Supported,Once off,Once off
170,Small Business Development,"th
To host the 2016 Small Business Colloquium on the 27
th
and 28 October 2016",The Firm Communication,626 841.54,"The market was tested through
request for proposal and six suppliers
responded. Only supplier who met the
requirements.",2016-10-25,Supported,Not stated,Not stated
171,Small Business Development,To attend the GovTech Training hosted by SITA,SITA,12 000.00,"SITA is the only institution hosting the
GovTech conference",2016-10-26,Supported,Not stated,Not stated
172,Small Business Development,"Hosting of the Platinum Innovation Expo - exhibition stall at
the Mmabatho Convention Centre",Accuracy Group,15 000.00,"The stall or space for exhibitions are
owned by the Accuracy Group",2016-09-24,Supported,2016-11-16,2016-11-19
173,Small Business Development,"Two officials to attend report writing to be hosted by Institute
for Internal Auditors (IIA) South Africa","Institute for Internal Auditors (IIA)
South Africa",9 309.00,"The Institute of Internal Auditors
provide training for auditors",2016-11-02,Supported,Not stated,Not stated
174,Small Business Development,Hosting of the Global Entrepreneurship Congress (GEC),Sandton Convention Centre,4 500 000.00,No reasons provided,2016-11-25,Supported,2017-03-13,2017-03-16
175,Small Business Development,"To conduct a SCM competency based assessment and
offer training to Supply Chain Management officials","Chartered Institute of Purchase
and Supply (CIPS)",51 300.00,Single source,2016-08-12,Supported,Not stated,Not stated
176,Small Business Development,"to assist the department to implement the recommendations
of the DPME review",Vortex Strategic Alignment,210 900.00,Allows for continuity of the service,2016-09-12,Conditional support,Not stated,Not stated
177,Small Business Development,"Provide catering for the Strategic planning workshop at the
Stats SA premises",Dipalopalo FM Solutions,23 299.10,"Catering is restricted to the in- house
contracted service",2016-12-13,Supported,2016-12-14,2016-12-15
178,Social Development,Catering Services,Various Service Providers,"2 386 300,00",Close bid for co-operatives,2016-10-18,Conditional support,Not stated,Not stated
179,Social Development,Corporate clothing for Golden Games : Polokwane,Various Service Providers,"725 500,00",Close bid for co-operatives,2016-10-18,Conditional support,Not stated,Not stated
180,Social Development,Amphitheatre seats refurbishment,Various Service Providers,"275 750,00",Close bid for co-operatives,2016-10-18,Conditional support,Not stated,Not stated
181,Social Development,National Youth Camp corporate clothing,Various Service Providers,4 131 000.00,Close bid for co-operatives,2016-11-18,Conditional support,2016-12-02,2016-12-03
182,STATSSA,Uptime network equipment,Dimension Data,"1 821 676,27",Continuity of service,2016-10-03,Supported,2016-10-03,12 Months
183,STATSSA,"Additional Vmware software licences for Stats SA's new
premises.",Aptronics,"4 039 346,45",Continuity of service,2016-10-07,Supported,Not stated,Not stated
184,STATSSA,Official opening of new building,M AND M,"589 317,30","Time constraints to follow competitive
bid process",2016-12-08,Conditional support,2016-12-12,Once off
185,TCTA,"To provide quality assurance on the implementation of ERP
System",Ernest and Young,"890 000,00",Single source,2016-11-03,Conditional support,Not stated,Not stated
186,Tourism,"To launch the NC Caravan Park Kai Gariep Project in the
Northern Cape Province",Element Consulting engineers,372 448.43,Allows for continuity of the service,2016-10-17,Supported,Once-off,Once-off
187,Tourism,"To conduct forensic investigation on the projects managed
under the Expanded Public Works Programme (EPWP)",KPMG,1 842 427.00,"KPMG has the required capacity to
provide and conduct the forensic audit",2016-06-11,Supported,Once-off,Once-off
188,Tourism,Payment for Guarding Services,Tshina Consulting,"706 501,00","Required an implementing agent to
pay the guards",2016-11-01,Supported,Once-off,Once-off
189,Tourism,Payment for Guarding Services,Thobela Projects,"802 770,00","Required an implementing agent to
pay the guards",2016-11-01,Conditional support,Once-off,Once-off
190,Tourism,Payment for Guarding Services,Second Generation,"234 720,00","Required an implementing agent to
pay the guards",2016-11-01,Conditional support,Once-off,Once-off
191,Transnet,"Continuation and standardisation of General Freight
Business","America Latina Logistica Rail
management","67 155 866,00",Continuity of service,2016-11-26,Supported,Not stated,Not stated
192,Transnet,"Manufacture,supply and delivery of 71 swing check valves
for the NMPP project",Cameron and Valvosider,42 000 000,"Poor performance by appointed
service provider",2016-10-25,Supported,Not stated,2017/11/31
193,Transnet,"Extension of bid advertisement period in exceptional cases
(High value tender)",Transnet Capital Projects (TCP),Process not finalised,Extension of validity period,2016-10-04,Supported,Not stated,Not stated
194,UIF,Supply and delivery of furniture to UIF.,Sheltered Employment Factories,"2 390 328,97",Supply and deliver furniture,2016-09-16,Supported,Once-off,Not stated
195,UIF,Office accomodation,Somnipoint,"23 733 846,05",Continuity of service,2016-12-15,Supported,Not stated,Not stated
196,W&R SETA,Structural Alterations,Abreal Proprty Management,"15 000 000,00",Contractors selected by the landlord,2016-10-28,Supported,Once-off,Once-off
197,W&R SETA,Infrastructure support,Various suppliers,Not stated,urgency,2016-10-28,Not supported,Not stated,Not stated
198,W&R SETA,Commitment schedule,Deloitte Consulting,"5 405 652,00",urgency,2016-10-28,Supported,Not stated,Not stated
