3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
97,Q1 2024/25,2024/06/05,Legal Aid South Africa,Botshabelo Local Office (Leasse of office accomodation),Redefine Properties (Pty) Ltd,Tender process not yet concluded,"R 337 080,60","R 3 010 200,87","R 674 161,20",2024/05/27,2024/06/01,2024/11/30,Reported
98,Q1 2024/25,2024/06/05,Legal Aid South Africa,Klerksdorp Local Office (Leasse of office accomodation),The Apostolic Faith Mission of South Africa,Tender process not yet concluded,"R 195 624,06","R 1 746 963,48","R 782 496,24",2024/05/27,2024/06/01,2024/11/30,Reported
99,Q1 2024/25,2024/06/05,Legal Aid South Africa,Heidelberg Satellite Office (Leasse of office accomodation),George Willem Annandale,RFQ process not yet concluded,"R 101 311,20","R 397 845,48","R 188 379,17",2024/05/27,2024/06/01,2025/05/31,Reported
100,Q1 2024/25,2024/06/05,Legal Aid South Africa,Fort Beaufort Satellite Office (Leasse of office accomodation),"Georghiou Primary Property Company (Pty)
Ltd",RFQ process not yet concluded,"R 236 697,60","R 861 798,60","R 96 503,70",2024/05/27,2024/06/01,2025/05/31,Reported
101,Q1 2024/25,2024/06/05,Legal Aid South Africa,Humansdorp Satellite Office (Leasse of office accomodation),Werda Humansdorp Beleggings cc,RFQ process not yet concluded,"R 76 370,28","R 679 612,09","R 178 084,17",2024/05/27,2024/06/01,2024/11/30,Reported
102,Q1 2024/25,2024/06/05,Legal Aid South Africa,Elliot Satellite Office (Leasse of office accomodation),William John Wade,RFQ process not yet concluded,"R 166 298,64","R 742 540,68","R 150 720,00",2024/05/27,2024/06/01,2025/05/31,Reported
103,Q1 2024/25,2024/06/05,Legal Aid South Africa,Kirkwood Satellite Office (Leasse of office accomodation),Aqua Algemene Handelaars cc,RFQ process not yet concluded,"R 49 089,24","R 833 931,12","R 378 688,50",2024/05/27,2024/06/01,2024/08/31,Reported
104,Q1 2024/25,2024/06/11,Public Protector South Africa,Security services,Prime African Security,Security services requirements,"R 86 020,00","R 125 925,00",R -,2024/05/21,2024/05/24,2024/08/24,Reported
105,Q1 2024/25,2024/06/11,Public Protector South Africa,Office accomodation,Mowana Properties (GEPF),Office accomodation requirements,"R 587 115,48","R 681 297,57",R -,2024/05/31,2024/06/24,2024/05/25,Reported
106,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Design and Construction Monitoring Services for the
Dry Ash
Disposal Facility 2- 4 Year De-scoped Works and Excess Coal
Stockyard Facility Phase 3 Works","Jones & Wagener Engineering &
Environmental Consultants (Pty) Ltd",Expansion,"R9 090 887,87","R10 454 521,05","R10 752 311,08",2024/04/30,2021/01/18,2025/03/30,Reported
107,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Modification No. 2 to contract 4600070281 for the provision of
Physical Guarding Services at Kusile Power Station Project for
value and time",Venus Security International (Pty) Ltd,Expansion,"R35 240 372,64","R40 526 428,54","R11 995 879,73",2024/04/25,2021/09/09,2024/06/30,Reported
108,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision Of Catering Services at Kusile Power Station Project
and Kendal Village Accommodation",Visit Vakasha Guest Lodge SA,Expansion,"R15 696 407,49","R18 050 868,61","R0,00",2024/04/04,2023/04/01,2024/07/31,Reported
109,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Combustion Waste Terrace Construction - Phase 2 (P23B) for
the
Kusile Power Station Project","Grinaker LTA & ENZA Construction Joint
Venture",Expansion,"R223 400 711,07","R256 910 817,73","R0,00",2024/04/19,2022/08/02,2025/11/27,Reported
110,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Modification for the provision of the RT46- 2020
National Treasury (NT) Transversal Contract for the Vehicle
Tracking and Monitoring Systems to the State for a period of fifty
(50) months",EKS Vehicle Tracking (Pty) Ltd,Expansion,"R6 762 679,00","R7 777 080,85","R0,00",2023/08/30,2022/02/05,2026/03/31,Reported
111,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Modification of the Board Portal Solution,Ability Holdings 35 CC T/A Convene SA.,Expansion,"R1 940 000,00","R2 231 000,00","R0,00",2023/08/31,2022/05/13,2027/05/13,Reported
112,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Modification of legal panel,56 Suppliers (List attached),Expansion,"R889 500 000,00","R1 022 925 000,00","R0,00",2024/03/13,2019/04/01,2024/09/30,Reported
113,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Time and Value Modification of contract No. 4600067541 with
SAP South Africa (Pty) Ltd 1991/020470/07 for the provision of
maintenance and support of existing SAP licenses, SAP cloud
subscription services (noncommittal), SAP M4600067541
MaxAttention services, SAP OEM Accredited Training (non-
committal), SAP OEM Professional Services (non-committal) and
payment of African User Group Membership Fees for a contract
period of 3 years.",SAP South Africa (Pty) Ltd,Expansion,"R93 583 747,22","R107 621 309,30","R0,00",2023/08/20,2020/04/01,2024/03/31,Reported
114,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Ad-hoc and Basic software support for monitoring on-
line electrical distribution networks for 5 Operating Units and
Eskom Academy
of Learning Servers.",Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R8 871 182,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported
115,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Modification of existing contract 4600065860 for provision of
Outage Management System",GE Electrical,Expansion,"R21 219 698,49","R24 402 653,26","R0,00",2024/06/01,2019/06/01,2024/05/31,Reported
116,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Subscription license, support, and maintenance for BEST
SOLUTION for a period of four (4) years",Bayajula Services Pty Ltd,Expansion,"R621 542,23","R714 773,56","R0,00",2024/04/25,2021/05/21,2024/04/30,Reported
117,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"To purchase additional PLEXOS Licences and Migration of
PLEXOS Licences to Cloud Services",Energy Exemplar Europe (LTD),Expansion,"AUD 900 123,57",0.00,"AUD 494 446,00",2024/04/19,2022/05/25,2027/05/24,Reported
118,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Modification for Provision of Email Distribution of customer
documents solution to Eskom customers - Electronic Documents
Distribution Services (EDDS) solution",Bidvest Data Pty Ltd,Expansion,"R1 800 000,00","R2 070 000,00","R0,00",2023/07/13,2020/12/01,2023/11/30,Reported
119,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Ad-hoc and Basic software support for monitoring on-
line electrical distribution networks for 5 Operating Units and
Eskom Academy
of Learning Servers.",Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R8 871 182,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported
120,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Modification of the SAS contract,Dake Solutions Pty Ltd,Expansion,"R17 995 626,00","R20 694 969,90","R0,00",2024/05/13,2021/05/01,2027/03/31,Reported
121,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Modification of SAP Professional Services,Klarib Business Solutions (Pty) Ltd,Expansion,"R860 754,00","R989 867,10","R0,00",2023/09/30,2022/07/01,2023/09/30,Reported
122,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Non-destructive testing (NDT) Level III services on an as and
when required basis at Koeberg Operating Unit","SISA Inspection (Pty) Ltd (previously known
as Stanley Inspection South Africa (Pty) Ltd)",Expansion,"R3 043 304,86","R3 499 800,59","R6 225 203,98",2024/04/30,2019/09/20,2025/07/19,Reported
123,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision for Home-work Home Transportation of shift employees
on a daily basis at Matimba Power Station.",Naremotho Trading Enterprise (Pty) Ltd,Variation,"R76 734,00","R88 244,10","R10 072 508,48",2024/05/03,2018/09/01,2024/05/31,Reported
124,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of home-work-home transportation of shift
employees daily at Matimba Power Station",Naremotho Trading Enterprise (Pty) Ltd,Expansion,"R1 315 101,00","R1 512 366,15","R10 149 242,48",2024/05/31,2018/09/01,2024/08/31,Reported
125,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision for maintenance, testing, inspection, and repair of all
cranes and lifting equipment and supply of spares on an as and
when required basis at Matimba Power Station",Margisia Lifting Solutions (Pty) Ltd,Expansion,"R1 709 497,54","R1 965 922,17","R2 900 758,83",2024/05/10,2019/06/01,2024/05/31,Reported
126,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The Provision of Technical Training Support Services at Koeberg
Operating Unit",Prosmart Training Solutions (Pty) Ltd,Expansion,"R4 948 192,00","R5 690 420,80","R0,00",2024/05/09,2019/08/05,2026/02/03,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
127,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Refurbishment of Oil Burners and supply of spares as and when
required for a period of 5 years at Kriel Power Station",Safurnco (SA) (Pty) Ltd,Expansion,"R15 519 155,20","R17 847 028,48","R0,00",2024/05/06,2020/02/05,2025/02/04,Reported
128,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Refurbishment of Water Treatment Plant Demin Trains for a
period of 2 years at Matla Power Station",AquaPlan,Expansion,"R2 961 631,80","R3 405 876,57","R1 421 650,00",2024/05/02,2017/08/01,2024/11/30,Reported
129,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Full refurbishment of Drehmo Actuators and overall of gear boxes
for Arnot Power Station or plant for a period of three years",Ageleze Automation,Expansion,"R12 200 156,62","R14 030 180,11","R0,00",2024/04/17,2021/06/03,2024/06/06,Reported
130,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Work home-work transport for employees,Makalane Plant Maintenance,Expansion,"R748 870,92","R861 201,56","R2 246 612,76",2024/05/27,2018/09/01,2024/08/31,Reported
131,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Service & Repairs of Air Conditioners, Fans and Air Filtration
Systems at Peaking Plants and offices for 5 Years (Drakensberg,
Gariep, Ingula, Palmiet, Port Rex, Sere Windfarm and
Vanderkloof)",KRM Global Works (Pty) Ltd,Expansion,"R5 955 273,00","R6 848 563,95","R10 878 320,00",2024/05/17,2023/07/01,2028/06/30,Reported
132,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Remedial works to Machine Hall Roof,Toprope SA,Expansion,"R471 553,20","R542 286,18","R0,00",2024/05/27,2023/12/01,2024/05/31,Reported
133,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of office cleaning, hygiene, and car wash services at
Matimba Power Station","Koketso Anna Ngoako Trading & Projects
(Pty) Ltd",Expansion,"R1 877 547,94","R2 159 180,13","R1 993 112,72",2024/05/01,2022/04/01,2024/08/31,Reported
134,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Supply and delivery of dust handling plant mechanical spares to
Kriel Power Station for a period of 5 years",Madiva Trading Enterprise,Expansion,"R49 037 059,50","R56 392 618,43","R0,00",2024/05/20,2020/02/01,2025/01/31,Reported
135,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Veld Fire Services,"Sesizwile Transport & General Services
(Pty) Ltd",Expansion,"R406 900,00","R467 935,00","R0,00",2024/05/22,2019/07/01,2025/06/30,Reported
136,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of boiler washing, unblocking and vacuuming for a
period of 36 months at Camden Power Station",Dfrey Engineering Project (Pty) Ltd,Expansion,"R9 153 509,80","R10 526 536,27","R0,00",2024/04/25,2021/01/29,2024/10/29,Reported
137,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of C&I Cable Pulling, Maintenance and Outage Service",MJMP83 (Pty) Ltd,Variation,"R406 900,00","R467 935,00","R0,00",2024/05/06,2019/05/29,2026/09/03,Reported
138,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Provision of private security services at Matimba Power Station,Mjayeli Security Services (Pty) Ltd,Expansion,"R2 844 926,67","R3 271 665,67","R518 000,00",2024/05/30,2022/12/15,2024/05/30,Reported
139,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The maintenance and technical support of the mills and mill
auxiliaries from Units 1 to 6 at Duvha Power Station",Enflotech (Pty) Ltd,Expansion,"R868 229,75","R998 464,21","R98 880 390,00",2024/05/23,2017/08/01,2024/06/30,Reported
140,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Refurbishment of the Workshop and Stores Roof Cladding Project,SAWA Construction,Expansion,"R2 786 784,80","R3 204 802,52","R0,00",2024/05/15,15-Aug-23,14-Nov-24,Reported
141,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The supply of generator and generator auxiliaries spares for the
generators at Arnot Power Station for a period of 36 months",Toshiba International (Europe) Ltd,Expansion,"¥48,864,420","¥48,864,420","R0,00",2024/05/30,2021/10/01,2024/09/30,Reported
142,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Boiler Maintenance services for Auxiliary boiler, Flue
Gas cleaning, Fuel Oil Plant & Oil Burners, Submerged Scraper
Conveyor, Boiler Pressure Parts & Steam Piping and Milling & PF
Piping Maintenance Services at Kusile Power Station for Period
of Five 5 Years.",Mitsubishi Power Africa (Pty) Ltd,Expansion,"R37 800 000,00","R43 470 000,00","R0,00",2024/05/02,2021/12/02,2024/10/31,Reported
143,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Coal Plant Maintenance,"Ratamang Engineering and Supplies (Pty)
Ltd",Expansion,"R5 069 035,40","R5 829 390,71","R9 327 033,75",2024/05/03,2022/02/18,2025/03/15,Reported
144,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,Hazmat Modification,Revamp Engineering Services (Pty) Ltd,Expansion,"R11 068 640,52","R12 728 936,60","R0,00",2024/04/26,2023/01/17,2026/03/26,Reported
145,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The Workshop Refurbishment and or Repair contract of Boiler
Feed water (Electric Feed and Steam Feed), Condensate
Extraction Pumps and other associated pumps and auxiliaries
Equipment at 14 Coal Fired Power Stations",Sulzer Pumps South Africa,Expansion,"R225 802 692,35","R259 673 096,20","R0,00",2024/04/26,2021/05/25,2024/12/31,Reported
146,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Manufacture, Supply and delivery to Insert: Large
Distributor;MS;SABS 1431 and Insert: Small Distributor; MS GR
300WA to Matimba Power Station for a period of Five years",Witbank Foundry (Pty) Ltd,Expansion,"R4 272 000,00","R4 912 800,00","R0,00",2024/05/30,2019/06/01,2024/05/31,Reported
147,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Supply of New ACC Gearboxes and refurbishment of ACC
Gearboxes for a period of 36 months on an as and when required
basis.",Bearing Man Group (Pty) Ltd,Expansion,"R18 174 535,79","R20 900 716,16","R0,00",2023/12/13,2022/10/03,2025/10/02,Reported
148,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of minor reticulation services within Limlanga
Cluster (Limpopo and Mpumalanga) on “as and when” required
basis","Avansare Development Projects, Bafune
Construction & Electrical, Batlase Business
Enterprise and Driving School (Pty) Ltd,
Bazilor (Pty) Ltd, Biliyon, BK Air Link",Expansion,"R102 415 200,39","R117 777 480,45","R20 000 000,00",2023/12/13,2021/09/01,2023/08/30,Reported
149,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The establishment of an Enabling Agreement with a panel of 22
contractors for the provision of electrical contracting
(electrification of household connections, infrastructure and direct
infill/post connections, as well as the electrification of schools and
clinics) Split Unknown","Prest Business Supplier, Rejcon
Engineering, Matimba Ya Ripfumelo
Trading, Davies and Son Electrical, M and M
Nefas Electrical, Firm Supply Trading, Oxior
Civil Enterprise, MMND Engineering,
Sefagola Investment, Unarine Contractors,",Expansion,"R26 598 534,66","R30 588 314,86","R166 836 165,00",2024/04/12,2020/12/15,2024/12/14,Reported
150,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Specialised Facilities Services Fire Protection
Services for Mbombela and Ermelo Eskom Park in the
Mpumalanga Operating Unit",Transfire (Pty) Ltd,Expansion,"R500 000,00","R575 000,00","R0,00",2024/03/20,2021/03/25,2024/11/23,Reported
151,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,Double Barell Security Services CC,Expansion,"R11 624 711,00","R13 368 417,65","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
152,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,Tlhomphanang Business Enterprise,Expansion,"R12 572 565,75","R14 458 450,61","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
153,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,Gubis Solutions,Expansion,"R5 873 247,90","R6 754 235,09","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
154,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,SecureLife Security Services,Expansion,"R9 829 237,25","R11 303 622,84","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
155,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,Mphosha Security Services,Expansion,"R9 731 790,95","R11 191 559,59","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
156,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,The Provision of security services for Mpumalanga Operating Unit,Vick Pule Construction Projects,Expansion,"R6 041 248,15","R6 947 435,37","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported
157,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-Mokopane
Sector",Ensemble Security Trading 2366,Expansion,"R5 584 053,80","R6 421 661,87",R7 023 967.04,2024/05/15,2021/03/06,2024/11/30,Reported
158,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo -
Polokwane Sector",Ensemble Security Trading 2366,Expansion,"R12 013 951,93","R13 816 044,72",R10 041 362.66,2024/05/15,2021/03/06,2024/11/30,Reported
159,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Modimolle
Sector",Ensemble Security Trading 2366,Expansion,"R3 916 626,90","R4 504 120,94",R3 432 757.00,2024/05/15,2021/03/06,2024/11/30,Reported
160,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Lephalale
Sector",Ensemble Security Trading 2366,Expansion,"R8 583 529,77","R9 871 059,24",R7 457 751.52,2024/05/15,2021/03/06,2024/11/30,Reported
161,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Thohoyandou Sector",Securelife Security Services,Expansion,"R7 125 350,90","R8 194 153,54",R3 846 712.62,2024/05/15,2021/03/01,2024/11/30,Reported
162,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Makhado
Sector",Ensemble Security Trading 2366,Expansion,"R7 059 483,39","R8 118 405,90",R8 539 940.18,2024/05/15,2021/03/01,2024/11/30,Reported
163,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Giyani
Sector",Securelife Security Services,Expansion,"R4 716 779,23","R5 424 296,11",R6 864 422.62,2024/05/15,2021/03/01,2024/11/30,Reported
164,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo- Tzaneen
Sector",Ensemble Security Trading 2366,Expansion,"R5 629 373,15","R6 473 779,12",R4 563 826.59,2024/05/15,2021/03/01,2024/11/30,Reported
165,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Groblersdal Sector",Securelife Security Service,Expansion,"R6 445 074,76","R7 411 835,97",R3 996 365.30,2024/05/15,2021/03/01,2024/11/30,Reported
166,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"The provision of security guarding services in Limpopo-
Burgersfort Sector",Securelife Security Service,Expansion,"R6 850 825,52","R7 878 449,35",R7 875 974.52,2024/05/15,2021/03/01,2024/11/30,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
167,Q1 2024/25,2024/06/05,Eskom Holdings SOC Ltd,"Provision of Physical Guarding Services across various sites in
the Northern Cape Operating Unit for a period of 36 months","Mjayeli Security Services (Harts &
Kgalagadi Sector); Mulanga Security and
Training ((Kalahari & Karoo Sector)",Expansion,"R19 438 238,16","R22 353 973,88",R13 817 192.80,2024/04/25,2021/06/01,2024/05/31,Reported
168,Q1 2024/25,2024/06/08,Eskom Holdings SOC Ltd,"The manufacture, testing at works, training and supply of pole
mounted Auto Re-closers",RWW Engineering (Pty) Ltd,Expansion,"R297 378 527,58","R82 512 980,71","R3 704 967,80",2024/04/18,2019/01/02,2026/01/31,Reported
169,Q1 2024/25,2024/06/08,Eskom Holdings SOC Ltd,"Modification for the increase on time and value for the security
services contract within Gauteng Cluster","Modise Protection Services
Kya Guards (Pty) Ltd.
Grace and Guardian (Pty) Ltd.",Expansion,"R344 669 673,61","R138 028 753,94","R14 174 088,16",2024/01/06,2021/01/06,31/05/2024,Reported
170,Q1 2024/25,2024/06/08,Eskom Holdings SOC Ltd,Modification of Debt Collection Services,"SAYA Recoveries Pty Ltd
Morkalio Revenue Solutions Pty Ltd
CSS Credit Solutions Pty Ltd",Expansion,"R7 618 080,00","R1 301 442,09","R450 000,00",2024/05/01,2022/08/08,2026/03/331,Reported
171,Q1 2024/25,2024/06/08,Eskom Holdings SOC Ltd,"Modification of converting annual financial statements to
extensible business reporting language
(XBRL)",Ernst & Young Advisory Services Pty Ltd,Expansion,"R427 218,29","R425 382,70","R0,00",2024/05/22,2021/06/01,2026/05/31,Reported
172,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Security services- Free State Office,Zinhle Security & Cleaning Services,Bidding process is yet to be finalized,"R241 500,00","R925 750,00",R120 750.00,5/15/2024,,,Reported
173,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Security services- N Cape office,Reliable Security,Bidding process is yet to be finalized,"R248 175,24","R497 000,00","R0,00",5/15/2024,,,Reported
174,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Security services- Cape Town office,Selkirk Security Services,Bidding process is yet to be finalized,"R88 025,60","R783 840,00","R0,00",5/15/2024,,,Reported
175,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Security services-E Cape office,Orap Protection,Bidding process is yet to be finalized,"R163 727,04","R577 916,30","R0,00",5/15/2024,,,Reported
176,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Security services- N West office,Ligit Security Solutions,Bidding process is yet to be finalized,"R73 945,00","R4 790 347,80","R0,00",5/15/2024,,,Reported
177,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Hygiene services- Head Office,TotalServe Management,Bidding process is yet to be finalized,"R310 788,81","R932 366,43","R0,00",5/15/2024,,,Reported
178,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Legal services,Maenetja Attorneys,Litigation related to SIU to be housed under one legal entity,Rates based award,Rates based award,"R0,00",4/26/2024,,,Reported
179,Q1 2024/25,2024/06/06,National Lotteries Commission (NLC),Organizational review & redesign strategy,Africa International Advisors,Variation request,"R100 499,25","R669 995,00","R0,00",5/16/2024,,,Reported
180,Q1 2024/25,2024/03/20,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Spm Aircraft Fuelline Services,Spm Aircraft Fuelline Services,Operational Requirement,"R171 173,72","R312 449,92",R-,2024/03/20,2024/03/14,2024/03/15,Reported
181,Q1 2024/25,2024/03/20,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Civil Services,Mdc Arendse Construction,Operational Requirement,"R221 000,00","R12 908 004,89","R3 869 860,00",2024/03/20,2024/03/15,2026/07/31,Reported
182,Q1 2024/25,2024/03/21,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Plumbing Services: Head Office,Focus Facilities Solutions,Operational Requirement,"R1 425,00","R9 283,00",R-,2024/03/20,2024/03/13,2024/03/15,Reported
183,Q1 2024/25,2024/03/22,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Wan & Voice Services,Vodacom,Operational Requirement,"R303 000,00","R15 500 000,00","R908 500,00",2024/03/20,2024/03/14,2024/03/31,Reported
184,Q1 2024/25,2024/03/23,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Vodacom Internet Service Provision,Vodacom,Operational Requirement,"R600 000,00","R12 166 900,00","R3 541 000,00",2024/03/20,2024/03/14,2024/03/31,Reported
185,Q1 2024/25,2024/03/24,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Analogue And Adsl Service,Business Connexion,Operational Requirement,"R90 000,00","R381 560,00","R291 560,00",2024/03/20,2023/08/01,2024/01/31,Reported
186,Q1 2024/25,2024/03/25,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Analogue 31 Lines,Business Connexion,Operational Requirement,"R270 000,00","R381 560,00","R248 440,00",2024/03/20,2024/02/01,2025/07/31,Reported
187,Q1 2024/25,2024/03/26,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Audit Services For Ghana,Pricewaterhousecoopers (Ghana),Operational Requirement,"R939 000,00","R1 205 271,38",R-,2024/03/20,2023/12/14,2025/05/02,Reported
188,Q1 2024/25,2024/04/09,Mining Qualifications Authority (MQA),Not Stated,Nemak Trading and Project,Annual escalation rate on the contract CPI,"R17 411,23","R950 998,00",R-,2024/03/28,Not Stated,2025/04/30,Reported
189,Q1 2024/25,2024/03/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Extend Marine Loading Contract,African Marine Solutions Group,Operational Requirement,"R19 042 726,00","R92 226 762,20",R-,2024/03/28,2024/03/20,2024/05/31,Reported
190,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Consulting Engineering Services For The Routine Road
Maintenance Of National Route 2, Section 29, From Km 53.57 To
Section 31, Km 32.89; And National Route 22, Section 1, From
Km 0.00 To Section 5, Km 40.32 In The Umkhanyakude District
Municipality",Zimile Consulting Engineers (Pty) Ltd,Countinuation of service,R -,"R19 706 400,00","R19 706 400,00",2024/04/11,Not Stated,2024/08/31,Reported
