5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT- EXPANSIONS,,,,,,,,,,,
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
131,"Small Business Development
Agency",Provision of Office Accomodation: Dr Kenneth Kaunda branch,Redefine Properties (Pty) Ltd,RFQ procurement method,"1,516,581.37","2,920,119.61",0.00,2018/11/13,Supported,2019/05/01,2024/04/30
132,"Small Business Development
Agency",Provision of Office Accomodation: Bojanala,Kirchner Estate CC,RFQ procurement method,"1,398,602.10","2,982,908.32",0.00,2018/11/09,Supported,2019/05/01,2024/04/30
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
133,"Small Business Development
Agency",Provision of Office Accomodation,Silver King Investments,RFQ procurement method,"1,150,324.33","1,859,226.00",0.00,2018/10/12,Supported,2019/04/01,2024/03/31
134,"Small Business Development
Agency",Provision of office accomodation,Frugarite CC,RFQ procurement method,"1,642,836.22","2,963,102.81",0.00,2018/10/03,Supported,2019/01/01,2023/12/31
135,"Small Business Development
Agency",Provision of office accomodation - Kimberly,HAP Besigheids Trust,RFQ procurement method,"2,144,578.90","137,393.96","256,811.12",2018/10/12,Supported,2018/11/01,2018/12/31
136,"Small Enterprise Development
Agency",Provision of office accomodation in the Tshwane branch,Columbia Falls Properties,"Most economical to secure accondation from the
Metro","3,129,532.00","303,614.94","1,012,049.80",2018/12/14,Supported,2019/03/01,2019/05/31
137,"Small Enterprise Development
Agency","Provision of office accomodation in the Gauteng Provincial and
Johannesburg officesTshwane branch",Sanlam Life Insurance,"Most economical to secure accondation from the
Metro","4,670,095.00","450,521.73","1,589,075.71",2018/12/14,Supported,2019/03/01,2019/05/31
138,Small Enterprise Finance Agency,External Auditor services,Sizwe Ntsaluba Gobodo,"SEFA has been particpating in the contract
entered into by IDC","2,422,242.69","2,347,434.00",0.00,2018/11/21,Conditional support,2019/02/01,2019/01/31
139,Social Development,Cleaning services,Khayalami Cleaning Services,Continuity of service,"3,125,930.88","651,235.60","390,741.36",2018/10/26,Conditional support,2018/11/01,2019/01/31
140,"South African Broadcasting
Corporation",Debt Collection Services,Debt Collection Agencies,R320m to be collected via debt collection,"138,687,393.55","13,915,200.00","8,104,115.32",2018/10/03,Conditional support,2019/02/01,2019/03/31
141,"South African Civil Aviation
Authority",Office Accommodation,Growthpoint and Redefine,Amount for VAT adjustment,Not stated,"12,893,892.00",0.00,16/10/2018,Supported,2019/07/01,2020/06/30
142,"South African Diamond and
Precious Metal Regulator",Provision for office accomodation,Providence Family Trust,Procurement process to be finalised,"1,138,464.00","160,000.00",0.00,2018/11/22,Not supported,2019/02/01,2019/04/01
143,"South African Medical Research
Council",Provision of internet connectivity for a period of 5 years,TENET,"Costly to procure on a normal procurement
process","4,500,000.00","15,406,728.57",0.00,2018/09/26,Supported,Not stated,Not stated
144,"South African National Biodiversity
Institute",Security Services,Selkirk Security Services,Procurement process to be finalised,"469,510.50","510,496.50",0.00,2018/11/28,Supported,2018/12/01,2019/02/28
145,South African National Parks,Provision of Office Accomodation,Cozirex (Pty) Ltd,Single source procurement method,"370,044.00","339,678.72","830,837.00",2018/11/07,Supported,2018/12/01,2019/11/30
146,South African National Parks,Provision of gate management services,Omnigate (Pty) Ltd,In the process of replacing the contract,"11,016,557.00","1,227,858.00","1,652,483.55",2018/10/04,Not supported,2018/10/01,2019/03/31
147,South African National Parks,Information technology outsourced services,Gijima (Pty) Ltd,"to allow for the transition from the old to the new
system","90,000,000.00","3,241,974.92","15,949,656.25",2018/10/18,Supported,2018/12/01,2019/01/31
148,South African National Parks,For data network services,TELKOM SA,"to allow for the transition from the old to the new
system","59,000,000.00","3,995,430.80","20,445,384.34",2018/10/19,Supported,2018/11/22,2019/01/31
149,South African National Parks,Provision of office accomodation,Cozirex (Pty) Ltd,Critical costs omitted from the contract,"370,044.00","474,752.76","830,837.00",2018/12/11,Supported,2018/12/01,2018/12/30
150,"South African National Roads
Agency",Supply of Desktops and Laptops,Virtualise Pty Ltd,SANRAL has gone organisational change,"5,286,456.17","2,826,921.60",0.00,2018/06/22,Conditional support,Not stated,Not stated
151,South African Post Office,"License, Implementatiion, support and maintenance of the EMV
software",ACI,A secure and complaint system,Not stated,"5,687,023.00",0.00,2018/11/12,Closed,2018/12/01,2019/11/30
152,South African Post Office,Provision of guarding services,Mabotwane,Bid is at evaluation stage,"37,000,000.00","4,300,000.00","1,300,000.00",2018/10/16,Supported,2018/11/01,2019/01/31
153,South African Post Office,Provision of guarding services,Fidelity,Bid is at evaluation stage,"121,500,000.00","30,000,000.00","9,100,000.00",2018/10/16,Supported,2018/11/01,2019/01/31
154,South African Post Office,Provision of guarding services,Distictive Choice,Bid is at evaluation stage,"4,200,000.00","470,000.00","140,000.00",2018/10/16,Supported,2018/11/01,2019/01/31
155,South African Post Office,Provision of guarding services,JMCR,Bid is at evaluation stage,"10,200,000.00","1,350,000.00","410,000.00",2018/10/16,Supported,2018/11/01,2019/01/31
156,South African Post Office,Provision of guarding services,Enforce,Bid is at evaluation stage,"3,500,000.00","830,000.00","250,000.00",2018/10/16,Supported,2018/11/01,2019/01/31
157,South African Post Office,Internet solution services,Internet Solutions,To allow for the smooth transition,0.00,"364,756.00",0.00,2018/09/28,Supported,2018/10/01,2018/10/31
158,South African Post Office,For the Rubiq module incident reporting,Biztech (Pty) Ltd,Alternative options are being investigated,"2,097,727.08","402,000.00",0.00,2018/09/26,Conditional support,2018/10/01,2019/01/31
159,South African Post Office,Hosting of the SASSA/ SAPO integrated grant payment system,TELKOM SA,Emergency procurement method,"2,400,000.00","11,400,000.00",0.00,2018/12/10,Not supported,2019/01/01,2019/12/31
160,South African Revenue Service,Renewal of Vanguard software licenses for 6 months,Blue Turtle Technologies,Continuity of service,"684,580.00","1,340,298.07","6,768,664.08",2018/10/02,Not supported,2018/11/01,2019/04/30
161,South African Revenue Service,"Design, supply and commission of the ergonomic refresh of the
Alberton Contact Centre",Amicon,Continuity of service,"13,978,349.35","580,494.44","2,516,102.88",2018/10/01,Supported,Once off,Once off
162,South African Revenue Service,Provision of office accomodation,Revenue House,Continuity of service,"39,095,501.17","16,405,163.82",0.00,2018/09/12,Supported,2018/12/01,2021/11/30
163,South African Revenue Service,Governance subscription,African SAP User Group,Continuity of service,"292,841.11","284,625.00",0.00,2018/11/28,Supported,2019/01/01,2023/12/31
164,South African Revenue Service,Lease of office accomodation - Albany House- Durban,Zelpy 1325 Pty Ltd,Continuity of service,"371,789,408.70","37,001,376.55",0.00,2018/09/12,Supported,2019/02/01,2020/01/31
165,South African Revenue Service,Lease of office accomodation - Cape Town Container Terminal,Transnet National Ports Authority,Continuity of service,"11,331,661.25","44,649,586.16",0.00,2018/09/12,Supported,2019/01/01,2029/12/31
166,South African Revenue Service,Lease of office accomodation - Krugersdorp,SA Dutch Investments,Continuity of service,"27,896,208.99","22,090,854.88",0.00,2018/09/12,Supported,2019/05/01,2024/04/30
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
167,South African Revenue Service,Lease of office accomodation - Soweto Baragwanath,Jarrabilla Investment Pty Ltd,Continuity of service,"13,171,575.81","19,807,033.82",0.00,2018/09/12,Supported,2019/05/01,2024/04/30
168,South African Revenue Service,Lease of office accomodation - Ashlea Gardens- Pretoria,SA Corporate Real Estate Fund,Continuity of service,"33,314,887.68","21,714,695.48",0.00,2018/09/12,Supported,2019/03/01,2024/02/28
169,South African Revenue Service,Lease of office accomodation - Boksburg,Emerald Fire Investment Pty Ltd,Continuity of service,"8,878,186.92","13,132,684.00",0.00,2018/09/12,Supported,2019/04/01,2024/03/31
170,South African Tourism,To conduct domestic survey,Citizen Survey,To execute the procurement process again,"13,378,206.50","7,257,978.00","4,202,264.06",2018/10/29,Conditional support,2018/11/01,2019/10/30
171,South African Tourism,To conduct departure survey,Plus 94,To execute the procurement process again,"56,086,229.00","19,968,369.00","11,120,138.65",2018/10/29,Conditional support,2018/11/01,2019/10/30
172,South African Tourism,Provsision for office accomodation in Tokyo,Akasaka Lions Building,"The current location is at the center of the
business district","3,109,956.00","3,109,956.00",0.00,2018/12/04,Supported,2019/04/01,2022/03/31
173,"State Information Technology
Agency",Provision of internet services,Liquid telecommunications,Continuity of service,"31,309,487.29","21,600,000.00","13,271,069.31",2018/09/25,Supported,2018/10/01,2019/08/30
174,"State Information Technology
Agency",Supply of the fully managed Data Centre,Telkom SA,Continuity of service,"267,789,088.96","89,386,009.74",0.00,2018/10/18,Supported,2018/11/01,18 Months
175,"State Information Technology
Agency",Supply and Maintenance of DELL/EMC hardware and Software,EMC Computer Systems SA,Continuity of service,"7,854,000.00","23,761,166.98",0.00,2018/11/09,Supported,2018/12/01,2019/05/31
176,"State Information Technology
Agency","Provision of Broadband Network Services for Western Cape
Government",Liquid telecommunications,Continuity of service,"2,894,980,224.00","68,540,000.00",0.00,2018/11/06,Closed,Date of approval,2024/07/23
177,Trans-Caledon Tunnel Authority,AMD Project Consultancy,AECOM SA Proprietary Ltd,Continuity of service,"115,152,451.74","5,956,219.000","54,520,100.63",2018/11/26,Closed,Not stated,Not stated
178,Trans-Caledon Tunnel Authority,Travel Management,Atlantis Travel,Continuity of service,"500,000.00","150,000.00",0.00,2018/11/21,Conditional support,Not stated,Not stated
179,Trans-Caledon Tunnel Authority,Labour dispute in the Labour Court for the attorneys’ and Counsel,"Govender, Patel & Dladla Incorporated",Continuity of service,"496,503.99","300,000.00",0.00,2018/12/10,Conditional support,Not stated,Not stated
180,Transnet Limited,Network Services,Liquid Telecom (Pty) Ltd,Additional scope of work,"1,998,988,004.40","666,307,984.78",0.00,2018/09/10,Supported,2018/01/06,2018/12/31
181,Transnet Limited,Network Services,Liquid Telecom (Pty) Ltd,Additional scope of work,"1,998,988,003.40","281,804,801.00","666,307,987.78",2018/11/30,Conditional support,2019/01/01,2019/11/30
182,Transnet Limited,Travel Management,Travel With Flair,Business continuity,"10,000,000.00","78,900,000.00","28,200,000.00",2018/10/31,Supported,2018/01/11,2018/12/31
183,Transnet Limited,Supply of Diesel Fuel and Petrol (On-Road Discipline),"Shell SA (Pty) Ltd and Total SA (Pty)
Ltd",Business continuity,"980,000,000.00","120,000,000.00","1,112,000,000.00",2018/12/10,Conditional support,2018/01/10,2019/04/30
184,Transnet Limited,Provisionof Cargo Handling for Transnet SOC Ltd,Crossmoor Transport (Pty)Ltd,Business continuity,"178,191,059.05",0.00,"14,700,000.00",2018/11/27,Conditional support,2018/12/01,2019/05/31
185,"Transport Education Training
Authority",For representation at CCMA,No Mamabolo,The employye referred the case to the CCMA,"200,000.00","375,364.60",0.00,2018/11/29,Supported,Not stated,Not stated
186,"Transport Education Training
Authority",Defend TETA against lawsuit by Mashau Siphina Electrical,Seanego Incorporated Attorneys,Cancellation of contract,"82,080.00","410,188.48","200,000.00",2018/12/06,Supported,Not stated,Not stated
187,"Universal Service and Access
Agency of South Africa",Provision of office accomodation,Redefine Properties,Continuity of service,"14,769,213.40","2,171,709.66","10,320,435.00",2018/11/12,Not supported,2018/10/01,2019/03/31
188,Wholesale and Retail SETA,Information Technology Services,Solugrowth,Bid was non-responsive,"11,613,384.94","3,664,003.50","4,160,004.03",2018/11/30,Conditional support,2018/12/01,2019/03/31
189,Wholesale and Retail SETA,Provision of office accomodation,Kinvest (Pty) Ltd,"Leasing the building in the short term is not cost
effective","683,448.00","560,323.74","1,138,990.51",2018/09/19,Not supported,2018/11/01,2020/03/31
