,,,,,,,,,,
SUPPLY CHAIN MANAGEMENT: GOVERNANCE MONITORING COMPLIANCE REPORT OF EXPANSIONS: 2020/21 (27 MARCH TO 15 JUNE 2020),,,,,,,,,,
,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,"Original Contract
Value",Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
152,Transport Education Training Authority,Provision of fibre optic lines and telephone usage,Thuni Logistics,Competitive bidding in progress,"127,680.00","365,255.64","887,665.20",Supported,2020/04/01,Not stated
153,Trans-Caledon Tunnel Authority,Appeal of a labour dispute at the Pretoria High Court,"Govender, Patel & Dladla Inc",Continuity of Service,"294,800.00","300,000.00",,Conditional support,Not Stated,Not Stated
154,Trans-Caledon Tunnel Authority,Pretoria High Court for the setting aside of the legal panel,TF Matlakala Attorneys,Continuity of Service,"110,619.00","650,000.00",,Conditional support,Not Stated,Not Stated
155,Trans-Caledon Tunnel Authority,Licencing and maintenance of the Treasury Management System,Fikon (Pty) Ltd,Continuity of Service,"6,131,000.00","1,190,250.00","807,096.00",Conditional support,2020/06/15,2021/06/14
156,Trans-Caledon Tunnel Authority,Appeal of a labour dispute at the Labour Court,"Edward Nathan Sonnenberg (“ENS”)
Attorneys",Continuity of Service,"161,000.00","400,000.00",0.00,Conditional support,Not Stated,Not Stated
157,Transnet,Supply of Refined Petroleum Fuel,"Women of Africa, Afric Oil, KZN",Finalise the due diligence process,"15,500,000,000.00","600,000,000.00",0.00,Conditional support,2020/07/01,2020/09/30
158,Transnet,Provision of Occupational Health Services,Medicross,Change in operational requirements,"303,599,748.00","73,861,874.00",0.00,Conditional support,2020/03/17,Not stated
159,Umgeni Water,"Construction of 12ML reservoir at Ozwathini (Phase 3.3c),",WK Construction SA,Continuity of Service,"26,140,350.66","4,618,098.87","5,431,084.61",Not supported,Not Stated,Not Stated
160,Umgeni Water,Greater Mpofana Bulk Water Supply Scheme Phase1: Construction of the,Basil Read,Additional work required,"3,047,651,117.00","8,331,293.48","19,218,621.73",Conditional support,Not Stated,Not Stated
161,Umgeni Water,Durban Heights Reservoir 3 : Additional repair’s quantities for internal roof,Royal Smart Civils Construction,Initial work underestimated.,"22,459,527.00","6,917,000.00","11,618,528.77",Not supported,Not Stated,Not Stated
162,Wholesale and Retail SETA,Appeal: IT Infrastructure managed services and hosting,Internet Solution (IS),Continuity of Service,"6,597,626.10","14,000,252.20",0.00,Conditional Support,2020/04/01,2022/03/31
163,Wholesale and Retail SETA,IT Systems,Solugrowth,Continuity of Service,"16,929,000.00","2,778,309.18","35,593,539.46",Supported,2020/02/26,Not stated
,,,,,,,,,,
