2022/01/31,South African Police Service (SAPS),"Procurement of Cargo Plane Transport,
Armoured vehicle, soft vehicle, and other
logistics",Not stated,0.00,urgent,Supported,1/30/2022,Not stated,Not stated
2022/03/07,South African Police Service (SAPS),"Procurement of items for training of new
police members",Not stated,12054736.70,Advisory note,Not Supported,2/28/2022,not stated,not stated
2021/12/21,South African Post Office (SAPO),"Online Motor Vehicle License (MVL)
Renewal Decision",Various suppliers,not indicated,Close bid,Not Supported,30/11/2021,not indicated,not indicated
2022/03/09,"South African Qualifications Authority
(SAQA)",Legal Services,Matamela Attorneys,2500000.00,Continuity of service,Not Supported,9/3/2022,not stated,not stated
2022/01/07,South African Revenue Service (SARS),"Residential Accomodation in Manguzi for
Kosi Bay Border Post officals",Galaxy Space,1089165.00,Single source,Not Supported,7/1/2022,1/4/2022,31/3/2024
2022/01/07,South African Revenue Service (SARS),"Residential Accomodation in Manguzi Kosi
Bay Border Post officals",Onothweni Lodge,707250.00,Single source,Not Supported,7/1/2022,1/4/2022,31/3/2024
2022/01/24,South African Revenue Service (SARS),"Appointment of Veterinary Service
providers",various Suppliers,1824083.50,Non responsive market,Conditional Support,21/1/2022,Not indicated,Not indicated
2022/02/04,South African Revenue Service (SARS),"Residential Accomodation in Manguzi for
Kosi Bay Border Post officals",Galaxy Space,1089165.00,Single source,Conditional Support,7/1/2022,1/4/2022,31/3/2024
2022/02/04,South African Revenue Service (SARS),"Residential Accomodation in Manguzi Kosi
Bay Border Post officals",Onothweni Lodge,707250.00,Single source,Conditional Support,7/1/2022,1/4/2022,31/3/2024
2022/02/09,South African Revenue Service (SARS),"Sale of a generator situated at Benoni
Revenue building.",Bildamol Investments (Pty) Ltd,438750.00,Single source,Supported,9/2/2022,Not indicated,Not indicated
2022/02/28,South African Revenue Service (SARS),"maintaining and development services of
business process workflow covering SARS’
contact centres, tax registration, audits,
bank detail changes and orchestration of
processes necessary to ensure accurate
assessments and taxpayer compliance","Budge Baron and Dominick (Pty)
Ltd (BBD)",2326160000.00,Single source,Conditional Support,28/2/2022,1/1/2023,31/12/2033
2022/03/02,South African Revenue Service (SARS),"Procurement of two (02) Forklifts for the
Durban Custom warehouse",Kempston Material Handling,1605975.00,Single source,Supported,2/2/2022,Not indicated,Not indicated
2022/03/15,South African Revenue Service (SARS),"Provision of unarmed guarding services
and security control room operators SARS
OR Tambo",Fidelity Security Services,5323388.58,Single source,Supported,15/3/2022,Not indicated,Not indicated
2022/03/02,"South African Social Security Agency
(SASSA)","Enter into a short term contract for the
provision of cleaning and sanitation service
at the KZN regional office",Not Stated,1667400.00,Preferred bidder,Conditional Support,2/25/2022,not stated,not stated
2022/02/24,"South African Social Security Agency
(SASSA)","Enter into a new lease agreement with the
landlord (Info team Investment and Ocean
Echo) to acquire office accommodation for
the Ramoshere Moila and Mamusa Local
office for three (3) years.","Info team Investment and Ocean
Echo",8359222.57,Preferred bidder,Conditional Support,1/23/2022,3 years,3 years
2022/01/05,South African Tourism,"Deliver a bespoke, integrated partnership
across its two conservation Zoos located in
Sydney and Western Plains",Taronga Conservation Society,3168310.00,"Response to conditions on NT letter dated
2021/12/20",Noting,1/5/2022,2022/01/01,2022/12/31
2022/01/11,South African Weather Service,"Lease agreement for the Bloemfontein
Weather Office at Bram Fischer
International Airport","Airports Company of South Africa
(ACSA)",1269648.51,Single Source,Closed,12/22/2021,2022/04/01,2025/03/31
2022/01/07,South African Weather Service,"Lease agreement Kimberley Weather
Office","Airports Company of South Africa
(ACSA)",566559.60,Single Source,,12/22/2021,"2022/04/01
Not Stated","2024/03/31
Not Stated"
2022/02/10,South African Weather Service,Procurement of bulk radar spares,Leonardo-Selex Germany GmbH,2239896.69,Single Source,,2/10/2022,,
,2022/01/21,,,Sentech SOC LTD,Not indicated,single source,,21/1/2022,,
,2022/01/24,State Information Technology Agency (SITA),"Professional services, maintenance and
support on the Kofax product to the
Department of Defence (DOD)",EOH Mthombo (Pty) Ltd,718266.12,Single source,Not Supported,12/1/2022,1/2/2022,31/1/2023
,2022/01/20,Statistics South Africa (Stats SA),"(12) technical experts to provide technical
support and expertise on Census 2022 and
Post-enumeration Survey (PES)",Various Suppliers,11383440.00,single source,Conditional Support,20/01/2022,Not indicated,Not indicated
,2022/02/17,Statistics South Africa (Stats SA),"Renewal of Goal Tracker Software and
additional services",Data Act Lab,2204296.00,Sole Supplier,Noting,Not indicated,Not indicated,Not indicated
,2022/02/22,The Presidency,"Procurement of laptops and phone, brand
specific- Apple",Not stated,Not stated,Prefered supplier,Not Supported,1/24/2022,Not stated,Not stated
,2021/12/21,"The South African National Roads Agency
SOC Ltd (SANRAL)",Civil design software,Civil Designer South Africa,1542275.45,Sole supplier,"Within AA/AO
mandate Noting",2021/12/21,2022/3/1,2025/2/28
,2022/01/18,"The South African National Roads Agency
SOC Ltd (SANRAL)","Rehabilitation of the Sinkhole on National
Route N1 Section 21","Zutari Consulting Engineering
Services",38480192.81,emergency,Noting,2022/1/18,Not stated,Not stated
,2022/02/14,"The South African National Roads Agency
SOC Ltd (SANRAL)",Credit Rating agency,Not stated,Not applicable,Prefered supplier,Supported,2/15/2022,Not stated,Not stated
,2022/02/21,"The South African National Roads Agency
SOC Ltd (SANRAL)","provision of emergency services for the
routine road maintenance of national route
2 section 5 to 8 between Rietkuil Outspan
(km26.55) and natures valley (km80.85)",Rainbow Civil CC,51500196.50,Emergency,Noting,2/21/2022,Not stated,Not Stated
,2022/03/15,"The South African National Roads Agency
SOC Ltd (SANRAL)",Engineering consulting,Not stated,Not stated,Lack of capacity,Not Supported,10/1/2022,not stated,not stated
,2021/12/20,Transnet SOC Ltd,SAP License Maintenance Agreement,SAP South Africa (Pty) Ltd,265000000.00,Preferred bidder,Conditional Support,12/20/2021,36 months,36 months
,2022/02/21,Transnet SOC Ltd,"Disposal of Transnet Freight Rail 6 649
CR13/14 wagons to the existing Iron Ore
Export customers","Kumba, Assmang,
Sedibeng and Afrimat",7590000000.00,Urgent need for capital injection,Not Supported,2/22/2022,Once off,Once off
,2022/02/03,Transnet SOC Ltd,"Provision of multifunctional devices, large
format devices, printers, fax machines and
scanners",Business Connexion (Pty) Ltd,46200000.00,Avoid disruption to business operations,Conditional Support,2/3/2022,12 months,12 months
,3/11/2022,Transnet SOC Ltd,"National Association of Automotive
Component and Allied Manufacturers",NAACAM,Not applicable,Suitable supplier,Not Supported,2/22/2022,60 months,60 months
,2022/02/24,Unemployment Insurance Fund (UIF),Parking Bays at State Theatre,State Theatre,2267752.83,Single source,Conditional Support,24/4/2022,Not indicated,Not indicated
,2022/01/28,"Universal Service and Access Agency of
South Africa (USAASA)","To implement the proposed centralised
Broadband Model Led",Broadband Infraco,219000000.00,Single Source,Conditional Support,not indicated,Not indicated,Not indicated
,,,,,,,,,,
