,,,,,,,,,,
"GOVERNANCE, MONITORING AND COMPLIANCE: 2019/2020 QUARTER 3 (OCTOBER - DECEMBER 2019) REPORT - EXPANSIONS",,,,,,,,,,
154,SABC,ENPS Newsroom Production System,Inala Broadcast Technologies,Continuity of service,"6 5,280,119.37","2 0,000,000.00","21,584,371.47",Not supported,2020/01/01,2022/01/31
155,SABC,Maintenance and support of PABX,Gijima Holdings,Continuity of service,"2 16,053.52","2 29,563.00",0.00,Supported,2020/01/01,2020/12/31
156,SABC,Development of a new sales incentive scheme,21st Century,Continuity of service,"4 09,500.00","8 6,956.52","60,890.43",Not supported,Date of approval,2020/04/30
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)",
157,SABC,SAP Software maintenance and support,SAP SOFTWARE,Continuity of service,"82,734,043.51","22,060,971.69",0.00,Supported,2020/01/01,2022/12/31,
158,SABC,Software licence renewal,Imagine Communications- EMEA,Continuity of service,"3 0,393,053.36","1 1,109,974.00","30,201,399.00",Not supported,2020/01/01,2020/12/31,
159,"Safety and Security Education and
Training Authority (SASSETA)",Travel Management Services,Travel With Flair,Continuity of service,0.00,0.00,0.00,Supported,2020/04/01,2022/03/31,
160,"Safety and Security Education and
Training Authority (SASSETA)",Management information system,Solugrowth (Pty) Ltd,Continuity of service,"8,407,975.76","243,670.99",0.00,Supported,2020/04/01,2024/03/31,
161,SAPO,Provision for short term rental of vehicles,"Marjorie Enterprise and Somams
Projects JV",Continuity of service,"8,000,000.00","5,000,000.00",0.00,Supported,2017/12/01,2020/11/30,
162,SAPO,Guarding service,Fidelity Security Services,Continuity of service,"1 21,500,000.00","4 ,800,000.00","46,067,960.43",Supported,2019/11/01,2020/01/31,
163,SAPO,"BioPay Maintenance, Support and IGPS Enhancements and Changes",Financial System Software SA,Continuity of service,"4 3,294,500.00","1 4,250,000.00",0.00,Supported,2019/11/15,2020/09/30,
164,SAPO,Provision of additional oracle data base licenses,Oracle Corporation,Sole supplier,"3 41,711,919.92","6 ,287,745.30",0.00,Within AA mandate,2019/12/01,2020/05/30,
165,SAPO,Provision of managed maintenance of SAPO owned vehicles,Fleet Africa,Continuity of service,"3 89,358.79","1 01,210.64",0.00,Supported,2019/12/01,2019/05/31,
166,SARS,Maintenance and support of Adobe Experience manager solution,Adobe Systems Software Ireland,Continuity of service,"3 6,606,008.00","1 1,880,236.46",0.00,Supported,2019/09/01,2023/08/31,
167,SARS,Extension of lease agreement - Mmabatho,Blue Dot Properties,Continuity of service,"1 2,799,071.96","1 2,957,492.85","16,201,662.70",Supported,2019/10/01,2023/09/30,
168,SARS,Extension of lease agreement - Rusternburg,Mathcompt,Continuity of service,"3 4,056,600.36","2 0,853,041.28","16,476,901.00",Supported,2020/02/01,2025/01/31,
169,SARS,Professional fees variation,Professional Engineering Consultants,Continuity of service,"3 ,400,873.84","4 ,601,809.00",0.00,Not supported,Not stated,Not stated,
170,SARS,Rectification of deviation amount: Enterprise Architecture toolset,Casewise South Africa,"Rectification of amount to include contingency
fee","1 2,903,845.64","1 4,194,230.19",0.00,Not supported,Not stated,Not stated,
171,SARS,Lease agreement - Randburg,Delta Property Fund,Expansion of scope,"20,087,014.58","13,089,049.28",0.00,Supported,2019/11/01,2022/02/28,
172,SARS,Master Service Agreement,"Barone, Budge & Dominick and Shandon
& Lonize",Continuity of service,"9 60,000,000.00","3 55,000,000.00",0.00,Conditional Support,2020/01/01,2022/12/31,
173,SARS,Renewal of maintenance and support for the Promodag Solution,Reportstar Technologies CC,Continuity of service,"6 24,610.01","3 44,247.46",0.00,Within AA mandate,2019/10/04,2022/10/03,
174,SARS,"Lease agreement of office accomodation-Cape Town International Airport:
CARGO",ACSA,Continuity of service,"9 ,009,880.22","2 3,798,381.53",0.00,Supported,2019/12/01,2029/11/30,
175,SARS,"Lease agreement of office accomodation-Cape Town International Airport:
PAX",ACSA,Continuity of service,"2 78,180.54","6 ,683,996.93",0.00,Supported,2019/12/01,2029/11/30,
176,SARS,Lease agreement of office accomodation-OR Tambo International Airport,ACSA,Continuity of service,"2 ,859,522.72","5 ,657,786.02",0.00,Supported,2019/12/01,2029/11/30,
177,SARS,Lease agreement of office accomodation - Sanlam Building PE,Fortress Commercial Investments,Continuity of service,"2 6,632,967.04","4 2,204,835.94",0.00,Supported,2019/12/01,2024/11/30,
178,SARS,Lease agreement of office accomodation - Mitchells Plain,2 Degrees Properties,Continuity of service,"1 4,362,608.70","2 0,054,143.56",0.00,Supported,2019/12/01,2024/11/30,
179,SARS,Lease agreement of office accomodation- Uitenhage,Chase Street Properties,Continuity of service,"4 ,131,296.84","5 ,921,450.46","9,528,356.94",Supported,2019/12/01,2022/12/31,
180,SARS,Lease agreement of office accomodation- Durban Warehouse,Tribecca Property Group,Continuity of service,"4 ,013,301.96","1 0,488,979.76","13,636,379.40",Supported,2020/01/01,2021/12/31,
181,SARS,Lease agreement of office accomodation- Roodepoort,Redefine Properties Limited,Continuity of service,"1 ,876,360.20","1 9,439,798.86","29,124,764.45",Supported,2019/12/01,2024/11/30,
182,SARS,Provision of Electronic Fund Transfer,BankServ,Continuity of service,"1 ,100,000.00","2 ,195,954.99","2,883,745.00",Supported,2020/04/01,2025/03/31,
183,SARS,Renewal of the maintenance and support of licenses of ECM,OpenText,Continuity of service,"1 0,472,631.65","1 0,920,484.95","6,975,334.80",Supported,2020/01/01,2020/12/31,
184,SARS,Lease of office accomodation- Cape Town,Ingenuity Property Investments,Continuity of service,"3 5,727,571.80","3 2,126,339.77","30,967,336.72",Supported,2020/03/01,2025/02/28,
185,SARS,Lease of office accomodation- Cape Town: CBD,Sanlam Life Insurance,Continuity of service,"2 78,111,949.63","1 75,421,966.74","257,061,664.55",Supported,2020/03/01,2025/02/28,
186,SARS,Lease of office accomodation- Durban,Zelpy 1325,Continuity of service,"2 94,937,587.12","1 63,837,724.31","128,787,486.77",Supported,2020/02/01,2025/01/31,
187,Science and Innovation,Cleaning and Hygiene services,Masana,Continuity of service,"6,393,066.00","1,343,466.00","1,255,576.00",Supported,2019/12/01,2020/05/31,
188,Sedibeng Water,Appeal: Phase 2 of the Vaal Gamagara Water Supply Scheme (VGWRSS),Ingerop South Africa,Continuity of service,0.00,"121,159,580.19",0.00,Not supported,Not Stated,Not Stated,
189,SITA,Renewal of operating lease agreement,Tirade Props 136,Continuity of service,"5 7,934.80","1 ,743,892.80","2,947,688.00",Supported,2019/07/01,2024/06/30,
190,SITA,Provision of voice equipment,Liquid Telecom,Expansion of scope,"5 51,254,370.65","2 ,894,980,224.00",0.00,Not supported,Date of approval,2024/07/23,
191,SITA,McAfee Information Security Systems,Dynamic Recovery Systems,Continuity of service,"30,000,000.00","3,362,672.91","3,757,068.04",Supported,2019/11/01,2020/02/28,
192,SITA,Provision of hardware maintenance and support,Khauleza IT Solutions,Continuity of service,"2 67,905,101.83","5 5,887,526.44",0.00,Not supported,2019/10/01,2020/03/31,
193,SITA,Supply of various papers and pre-printed stationery,Government Printing Works,Continuity of service,"1 21,493,339.60","7 1,493,339.60",0.00,Supported,2020/02/01,3 Years,
194,SITA,Supply of maintenance and support Dell/ EMC hardware and software,DELL Computer SA,Continuity of service,"7 8,546,000.00","2 3,761,166.98",0.00,Noted,2018/12/01,2019/05/31,
195,SIU,"Contract extension foroffice accommodation for one month December
2019",Bishop's Court Properties,Continuity of service,"27,874,681.00","497,567.00","17,678,337.00",Conditional support,2019/12/01,2019/12/31,
196,"Small Enterprise Development
Agency (SEDA)",Integrateable IT Telephone Solution,Dimension Data,Expansion of scope,"3,404,117.25","1,627,740.99",0.00,Supported,2018/02/01,2021/01/31,
197,Social Development,XL Nexus Travel for rendering of Travel Management services,XL Nexus Travel,request for second extension,"4,500,000.00","500,000.00","1,500,000.00",Conditional support,2019/12/01,2020/02/01,
198,"South Africa Social Security
Agency (SASSA)",Lease Extension- Olievenhoutbosch,"Dimphonyana Tsa Lapeng and Pre-
School",Convenience for beneficiaries,0.00,"253,570.68",0.00,Conditional support,2019/12/01,2022/11/30,
199,"South Africa Social Security
Agency (SASSA)","Lease Extension - SASSA Head Office, Northwest Kagisano Local Office
and Ditsobotla Local Office",Not stated,No alternative accomodation,"10,917,601.22","22,263,416.97","32,849,235.52",Conditional support,2019/11/01 2,021/10/31 2024/10/31,
200,"South African Maritime Safety
Authority",Additional insurance coverage for the SA Agulhas,Marsh (Pty) Ltd,Full coverage is essential for the voyage,"11,955,872.00","3,415,964.00",0.00,Supported,Not stated,Not stated,
201,"South African Maritime Safety
Authority",Provision of additional office space including 6 (six) parking bays,Spear One (Pty) Ltd,Continuity of service,473 988.86 per month,141 577.58 per month,0.00,Conditional support,2019/10/01,2021/03/31,
202,"South African Maritime Safety
Authority",Provision of employee benefits advisory and intermediary services,ASI Financial Services,Continuity of service,0.00,"80,000.00",0.00,Supported,2020/01/01,2020/06/30,
203,"South African National
Accreditation system",Cleaning and Hygiene Services,Quatro Cleaning Services,Validity period of previous tender expired,0.00,"279,916.80",0.00,Not supported,2019/10/01,2020/03/30,
204,"South African National Biodiversity
Institute","Additional Environmental Services required in terms of the Environmental
Authorisation granted","EOH Coastal and Environmental
Services",Continuity of service,"201,666.00","113,164.44","40,321.42",Closed,Not Stated,Not Stated,
205,South African National Parks,Appeal: Tourism Management system,Real Travel and Tourism System CC,Continuity of service,5 645 723.04,"26,732,873.32",79 875 170.64,Not supported,2019/03/1,2021/02/28,
206,South African National Parks,"Single service aggregator for IT outsourced services including network and
infrastructure",Datacentrix,Expansion of Scope,297 470 744.10,66 661 788.88,0,Conditional Support,Not Stated,Not Stated,
207,South African National Parks,Short term insurance,"Marsh and Indwe Risk Services (Joint
Venture)",Continuity of Service,24 726 807.48,"74,303,327.07",0.00,Not supported,2019/10/01,2022/03/01,
208,South African National Parks,Servicing Nxanatseni Region,"Endecon Ubuntu Mpumalanga, NKP
Consulting Engineers and Element 2030",Expansion of scope,"4,590,004.00","2,031,104.00",0.00,Conditional support,Not Stated,Not Stated,
209,"South African National Roads
Agency",Road design and supervision,AECOM,Change of design,"49,561,762.00","53,822,765.00",0.00,Supported,Not stated,Not stated,
210,"South African National Space
Agency",Videography services,Creative Ace,Continuity of service,"16,800.00","2,700.00",0,Supported,Not Stated,Not Stated,
211,South African Police Service,Supply and Delivery of Automotive Spare Parts,All Parts (Pty) Ltd,Continuity of service,682 209 628.47,25 000 000.00,"308,755,588.50",Not supported,2019/10/01,2019/12/31,
212,South African Police Service,Supply and Delivery of Automotive Spare Parts,DAR Automotive,Continuity of service,277 989 079.46,9 933 500.00,155 979 672.20,Not supported,2019/10/01,2019/12/31,
213,South African Police Service/,Travel Management Services,Travel with Flair,Continiuty of service,23 877 501.00,1 000 000.00,6 000 000.00,Supported,2019/10/01,2019/12/31,
214,"Civilian Secretariat for Police
South African Tourism",Provision of office accommodation in London,Mckay Securities PLC,Continiuty of service,"10,115,311.89",11 906 700.99,0,Not supported,2020/04/05,2025/04/04,
215,South African Tourism,Membership fees payable to professional bodies,Adventure Travel Trade Association,New membership,126 240.00,27 476.00,0.00,Supported,2019/10/01,2020/09/30,
216,South African Tourism,Provision of labour dispute services,Tokiso Dispute Settlement,Continuity of service,"86,825.00","144,325.00",0.00,Supported,Not Stated,Not Stated,
217,South African Tourism,Specialised disaster recovery services.,Global Continuity South Africa,Continuity of service,"2,153,204.91","1,663,725.30",0.00,Supported,2019/12/01,11/31/2021,
218,South African Tourism,Appeal: office accommodation in London,Mckay Securities,Continuity of service,"10,115,311.89","11,906,700.99",0.00,Supported,2020/04/05,2025/04/04,
219,South African Weather Service,Forensic services,Sizwe Ntsaliba Gobodo,Expansion of scope,"2,962,433.00","450,000.00",0.00,Supported,Not Stated,Not Stated,
220,Tourism,Minister's Imbizo in Mpumalanga,Dongo Business Solutions,Expansion in the scope,"25,000.00",19 500.00,0.00,Not supported,2019/08/06,2019/08/06,
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
221,Tourism,Catering services,Dongo Business Solutions,Expansion of scope,"2 5,000.00","1 9,500.00",0.00,Supported,Once off,Once Off
222,Trans-Caledon Tunnel Authority,Additional software licences,SurTech,Continuity of Service,"1,576,420.00","1,566,243.00",0.00,Supported,Not stated,Not stated
223,Trans-Caledon Tunnel Authority,Provision of internet line,Internet Solutions,Continuity of service,"357,870.33","89,467.58",,Supported,2019/12/01,2020/02/29
224,Trans-Caledon Tunnel Authority,"Appeal: Legal advisory service for the drafting of the ICT Infrastructure
contract",Phukubye Peirce Masithela Attorneys,Continuity of service,"237,000.00","532,450.00",,Not supported,Not stated,Not stated
225,Transnet,Professional Services for Overvaal Tunnel,Sites- Afla (Pty) Ltd,Continuity of service,"456,047.30",0.00,0.00,Not supported,Not stated,Not stated
226,Transnet,"Provision of Security Sercices at Gauteng and North-West Provinces to
various TPL Properties",Sinqobile Equestrian Services (Pty) Ltd,Continuity of service,"39,788,867.00","7,639,462.48","5,729,596.85",Conditional support,2019/10/01,2020/02/02
227,Transnet,"Supply of Coupling Component, Bogie Castings and AXLES",Cast Products SA (Pty) Ltd,Increased Demand,"2,231,534.19","1,066,770,808.00",0.00,Conditional support,Not stated,Not stated
228,Transnet,Forensic Investigations,"Swasap
Motsoeneng Bill Attorneys",Continuity of service,0.00,"2,510,000.00",Not stated,Conditional support,Not stated,Not stated
229,Transnet,Insurance Broking Services,"Marsh (Pty) Ltd
Willis South Africa (Pty) Ltd",Continuity of service,"45,000,000.00",0.00,0.00,Conditional support,2019/11/01,2020/03/31
230,Transnet,"Security Services at the Ports of Richards Bay, Durban, Cape Town and
Saldanha","Unitrade cc t/a Isidingo
Fidelity
Venus",Continuity of service,"21,340,619.76","38,375,830.53","9,463,744.77",Conditional support,2019/11/01,2020/03/31
231,Transnet,"Supply of Coupling Component, Bogie Castings and Axles","Cast Products SA (Pty) Ltd
Sawap",Cover low demand,"2,231,534,190.00","1,066,770,808.00",0.00,Conditional support,N/A,N/A
232,Transnet,Forensic Investigation,Motsoeneng Bill Attorneys,Continuity of service,"778,900.00","12,500,000.00",0.00,Conditional support,Not stated,Not stated
233,Transnet,Forensic Investigation,PWC,Continuity of service,0.00,"1,700,000.00",0.00,Conditional support,Not stated,2020/03/31
234,Transnet,"Pipeline Communication Network Maintenance and Advanced Support on
Multi- Product Pipeline",Business Connexion (Pty) Ltd,Continuity of service,"48,990,600.47","46,788,320.08","7,116,529.32",Conditional support,2019/12/01,2022/03/31
235,Transnet Limited,Four high-diesel electric single carriers for Cape Town container terminal,Kalmar Industries South Africa (Pty) Ltd,"Meet operational requirements & customer
satisfaction","341,550,000.00","385,758,395.84","495,491,699.60",Conditional support,N/A,N/A
236,"Transport Education and Training
Authority",Accommodation - Durban,Marivan Investments (pty) ltd,Continuity of service,"2,641,398","9,185,399.72",0.00,Not supported,2020/04/01,2030/03/31
237,"Transport Education and Training
Authority",Accommodation - Cape Town,"Growthpoint Securitisation Warehouse
Trust",Continuity of service,"4,016,955.01","15,261,505.29",0.00,Conditional support,2020/04/01,2030/03/31
238,Transport Education and Training,Provision and Hosting of the IT Application Systems,Solugrowth (Pty) Ltd,Continuity of service,"7 ,026,000.00","7 ,504,587.80",0.00,Supported,2020/04/01,2022/03/31
239,"Authority
Umgeni Water","Nungwane Raw Water Pipeline: Construction of 13.5km, 450mm Diameter
Steel Pipeline from Nungwane Dam to Amanzimtoti Water Treatment Plan","Murray and Dickson Construction (Pty)
Ltd","Improved estimate of the expected final
quantity measurements in the BOQ; related to
a claim lodged by the contractor","81,456,221.30","31,575,297.58","43,067,000.00",Conditional support,Not stated,Not stated
240,Umgeni Water,"Supply, delivery, install and commission of water meters and the
construction of meter chambers within Uthukela District Municipality",Lungelihle Trading cc,"QA and Engineering departments changed
the scope and revised the Bill of Quantities","4,286,042.64","2,800,020.83",0.00,Not supported,Not stated,Not stated
241,Umgeni Water,Environment assessment of additional work for the Montobello Off-Take,1-Word Consulting,Continuity of service,"683,900.00","323,206.40",,Conditional support,Not stated,Not stated
242,Umgeni Water,"Construction of a 55ml/day water treatment works with weir and abstraction
works: mechanical; electrical and ancillary civils works","Veolia Water Solutions & Technologies
South Africa (Pty) Ltd",Continuity of service,"242,744,022.00","6,228,250.31","55,850,618.05",Not supported,Not Stated,Not Stated
243,Wholesale and Retail SETA,Office space,"Zuikerkop Group of Companies (Bronze
door properties)",Continuity of service,"948,010.79","272,846.12","2,957,601.35",Conditional support,2020/04/01,2019/09/30
244,Wholesale and Retail SETA,Office space,Growth Point,Continuity of service,"1,944,022.47","429,173.65","5,108,347.51",Conditional support,2020/04/01,2019/09/30
245,Wholesale and Retail SETA,Office space,Kevin Paul Properties,Continuity of service,"541,244.12","206,752.26","1,723,282.24",Conditional support,2020/04/01,2019/09/30
246,Wholesale and Retail SETA,Office space,"Colosseum Century City ( Haevimax Pty
Ltd)",Continuity of service,"1,652,205.83","613,688.66","6,097,013.25",Conditional support,2020/04/01,2019/09/30
247,Wholesale and Retail SETA,Office space,Redefine,Continuity of service,"15,115,883.98","5,578,034.00","29,896,280.99",Conditional support,2020/04/01,2019/09/30
248,Wholesale and Retail SETA,Office space,Mantombi Mapanzela,Continuity of service,"691,514.79","325,596.81","2,092,038.80",Conditional support,2020/04/01,2019/09/30
249,Wholesale and Retail SETA,Office space,Elegant Line Properties,Continuity of service,"1,081,517.28","304,142.56","3,063,097.90",Conditional support,2020/04/01,2019/09/30
250,Wholesale and Retail SETA,Office space,Green Willows (Thomas Family Trust),Continuity of service,"588,650.40","538,578.35","1,138,990.51",Conditional support,2020/04/01,2019/09/30
,,,,,,,,,,
