5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: Q1 - 2021/22 REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional
supported
(Use dropdown List)","""Award/recommended
by AO/ AA date
(yyyy/mm/dd)""","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
129,2021/06/15,Railway Safety Regulator (RSR),Procurement of 106 laptops and 22 display monitors,Not Stated,"2 299 500,00","There is a need to standardize on the Dell brand
acquisition, maintenance, support and
warranties of RSR end-user devices",Conditional Support,2021/06/15,Not Stated,Not Stated
130,2021/05/10,Rand Water,"Supply and delivery of quicklime to Rand Water Zuikerbosch and
Vereeniging Water Treatment Plant for a period of three (3) years",PPC Lime,"198 285 319,00","There are two quicklime manufacturers,",Not Supported,2021/04/22,Not Stated,Not Stated
131,2021/04/08,Road Traffic Management Corporation (RTMC),Insurance,AON,"3 294 687,49",Emergency,Noting,2021/04/08,Not Stated,Not Stated
132,2021/05/07,South African Airways (SAA),"Use the existing legal panel and public relations service provider
appointed by Transnet",Transnet Panel of service providers,Not stated,Urgency,Conditional supported,2021/05/07,Immediately,2021/11/30
133,2021/05/05,South African Broadcasting Corporation SOC Limited (SABC),Provision of office accommodation - Mpumalanga,Oriprops CC,"29 567 376,54",Single Source,Closed,2021/05/04,2021/06/01,2026/07/31
134,2021/06/03,South African Forestry Company SOC Limited (SAFCOL),Provision of WAN maintenance and support to SAFCOL,Mint Fresh Trading,"18 337 536,00",Business continuity,Conditional supported,2021/06/03,36 months,36 months
135,2021/05/11,South African Health Products Regulatory Authority (SAPHRA),Legal representation in High Court regarding Invermectin,Hahn & Hahn Attorneys,"3 500 000,00",Continuation of service,Conditional Support,2020/05/11,Not Stated,Not Stated
136,2021/05/18,South African Maritime Safety Authority (SAMSA),"Microsoft license renewal and professional
services",No Stated,"6 800 000,00","List of accredited service providers
obtainable from SITA.",Conditional Support,2021/05/18,Not Stated,Not Stated
137,2021/04/07,South African Maritime Safety Authority (SAMSA),SAGE Business Partner accredited for SAGE 300 People system,No Stated,"5 000 000,00","Business continuity as SAMSA is already
operating a payroll of Sage VIP.",Conditional Support,2021/04/07,Not Stated,Not Stated
138,2021/03/30,South African Maritime Safety Authority (SAMSA),"Phase 2 of the research study aimed at assessing and monitoring
the impact of open loop scrubber wash water discharge on the
seawater quality for period of three (3) years",University of the Western Cape(UWC),"2 000 000,00",Continuity of service.,Conditional Support,2021/03/26,Not Stated,Not Stated
139,2021/04/08,South African Maritime Safety Authority (SAMSA),"Satellite AIS Data tracking and monitoring of vessels along the
South African coastline as in the SA Search and Rescue region as
allocated by the International Maritime Organisation (IMO)",No Stated,"6 100 000,00",Continuity of service.,Conditional Support,2021/03/19,Not Stated,Not Stated
140,2021/06/14,South African Medical Research Council (SAMRC),"Provision of laboratory services and data analysis of shotgun
metagenomics and proteomics testing of samples collected in the
HVTN702 Mucosal Sub Study",Centre of Proteomic & Genomic Research laboratory (CPGR),"1 295 119,15",Sole Supply,Within AA/AO mandate Noting,2021/06/03,Not Stated,Not Stated
141,2021/06/03,South African Medical Research Council (SAMRC),The development of the medical device platform,Council for Scientific and Industrial Research (CSIR),"789 540,00",Continuity of service.,Conditional Support,2021/06/03,Not Stated,Not Stated
142,2021/06/14,South African National Parks (SANParks),Provision of servicing and repairs to ultralow freezer units,Labex (Pty) Ltd and United Scientific (Pty)Ltd,"1 200 000,00",Sole Source,Not Supported,2021/05/21,Not Stated,Not Stated
143,2021/03/31,South African National Space Agency (SANSA),Grant Management System,National Research Foundation (NRF),"120 000 000,00",Single Source,Conditional Support,2021/03/31,2021/03/01,2026/12/31
144,2021/04/29,South African National Space Agency (SANSA),Euro Diesel Engine Replacement,Diesel Electric Service (Pty) Ltd,"3 645 337,49",Emergency Procurement,Noting,2021/04/22,2021/04/22,Not Stated
145,2021/05/11,South African National Space Agency (SANSA),"Procurement of technical, administrative, and advisory support",National Research Foundation (NRF),"761 583,00",Single Source,Conditional Support,2021/05/05,Not Stated,Not Stated
146,2021/06/10,South African National Space Agency (SANSA),"Contractors fee for weekly tasks required at Keetmanshoop
Geomagnetic Station at Namibia",Mr Jawen Jacobs,"45 843,84",Sole Source,Not Supported,2021/06/09,Not Stated,Not Stated
147,2021/04/08,South African Police Service (SAPS),Maintenance and Servicing of X-ray inspection machines,Xscann technologies,"8 440 575,21",Single source,Noting,2021/04/08,Not Stated,Not Stated
148,2021/03/24,South African Post Office (SAPO),PostBank Salary benchmarking job evaluation/grading,Emergence Growth South Africa,"271 150,00",Single source,Conditional Support,2021/03/24,Not Stated,Not Stated
149,2021/04/13,South African Post Office (SAPO),Issueing of advanced electronic signatures,LawTrust,"5 000 000,00",Single Source,Supported,2021/04/12,Not Stated,Not Stated
150,2021/03/19,South African Revenue Service (SARS),Maintenance of the bulk document scanners,Advocate Solutions (Pty) Ltd,"981 320,56",Single source,Supported,2021/03/19,2021/04/01,2022/03/30
151,2021/03/24,South African Revenue Service (SARS),Decommission of Stevens House Building,Brooklyn Bridge Office Park (Pty) Ltd,"877 868,79",Single source and cost effecient,Conditional Support,2021/03/24,Not Stated,Not Stated
152,2021/03/24,South African Revenue Service (SARS),Decommission of the Riverwalk building,Mowana Properties,"3 405 661,46",Single source and cost effecient,Conditional Support,2021/03/24,Not Stated,Not Stated
153,2021/04/22,South African Revenue Service (SARS),Provision of employee health and wellness services,Workforce Healthcare Pty Ltd,"200 000,00",Tender process underwa,Supported,2021/04/19,Not Stated,Not Stated
154,2021/05/12,South African Revenue Service (SARS),Decommission of the Linton House Building,Brooklyn Bridge Office Park (Pty) Ltd,"2 716 057,82",Cost effective,Conditional Support,2021/05/11,Not Stated,Not Stated
155,2021/05/19,South African Revenue Service (SARS),"Securing media space across different platforms in bulk for
various advertising needs",Spacegrow Media (Pty) Ltd,"15 000 000,00",Cost effective,Supported,18/5/2021,Not Stated,Not Stated
156,2021/05/28,South African Revenue Service (SARS),"Placing temporary kiosks at shopping malls, community centres
or other locations",Various Suppliers,"2 500 000,00",Business Continuity,Supported,2021/05/27,2021/06/01,2021/11/30
157,2021/05/31,South African Revenue Service (SARS),"Procurement of laptops, desktops and related services",Dell EMC South Africa,"25 000 000,00",Cost effective,Not Supported,2021/05/28,Not Stated,Not Stated
158,2021/06/04,South African Revenue Service (SARS),Accommodate the tax court in the Megawatt park building,Eskom Holdings limited,"10 657 252,64",Cost effective,Supported,2021/06/03,Not Stated,Not Stated
159,2021/06/04,,,Zelpy 1325 (Pty) Ltd,"6 755 508,25",Business Continuity,,2021/06/03,Not Stated,Not Stated
160,2021/04/15,South African Social Security Agency (SASSA),Cleaning and sanitation service in the North West Region,Not Stated,Not Stated,Finanlise the tender process,Conditionaly Supported,2021/04/03,6 months,6 months
161,2021/04/09,South African Social Security Agency (SASSA),"Migrate the current Head Office (HO) PRI Infrastructure to Fibre
Infrastructure",BCX,"865 681,20",The Head office PRI infrastructure is obsolete,Conditional supported,2021/03/31,Not stated,Not stated
162,2021/04/07,South African State Theatre,Provcurement of digital screen,Corpman Media,"4 000 000,00",Single Source,Supported,Not Stated,Not Stated,Not Stated
163,2021/04/08,South African Tourism,"To monitor traveller flows and trends in real time, leveraging daily
air reservation",Forward Keys,"15 016 000,00",Single Source,Supported,Not Stated,Not Stated,Not Stated
164,2021/06/03,South African Tourism,"Partnership with Travelstart Group
to facilitate rapid economic development of the tourism sector",Travelstart Group,"10 000 000,00",Single Source,Not Supported,2021/06/02,Not Stated,Not Stated
165,2021/03/18,South African Weather Service,"The procurement of a batch of consumable components for
Vaisala Ozonesondes, including radiosondes","Vaisala Pty, Ltd,","700 000,00",Single Source,Not Supported,2021/03/17,Not Stated,Not Stated
166,2021/03/18,South African Weather Service,Procurement of the Discover Weather Software,"IBL Weather Software Solution,",58 087 EUR,Single Source,Not Supported,2021/03/18,Not Stated,Not Stated
167,2021/03/23,South African Weather Service,"Office space to house weather observation room as well as
hydrogen generator room at the Cape Town International Airport,",ATNS,"755 692,38",Single Source,Supported,2021/03/23,2021/04/01,2026/03/31
168,2021/03/29,Special Investigating Unit (SIU),"Provisioning of SIU office accommodation of the Northern Cape
Region",Public Works,"396 000,00","To allow the department to go out on tender
process",Conditionaly Supported,2021/09/03,6 months,6 months
169,2021/05/14,State Information Technology Agency (SITA),Maintenance and support of the eL@B Software,Ilex South Africa,"1 730 875,71",Business Continuity,Conditional Support,14/5/2021,Not Stated,Not Stated
170,2021/05/26,State Information Technology Agency (SITA),"The renewal of the Microsoft Premier Support Services to support
the DOD Active Directory (AD) environment",Microsoft SA (Pty) Ltd,"3 220 000,00",Business Continuity,Supported,Not Indicated,Not Stated,Not Stated
171,2021/04/23,Statistics South Africa (Stats SA),"Procvision of verification of qualification services for the Census
2021 project and other surveys",SAQA,No Stated,single source,Supported,2021/04/23,Not Stated,Not Stated
172,2021/05/11,Statistics South Africa (Stats SA),SuperStar Support Licence,WingArc1,"8 093 785,20",Sole supplier,Noting,2021/05/10,Not Stated,Not Stated
173,2021/05/20,Statistics South Africa (Stats SA),Provisioning of data and prepaid airtime,Not Indicated,"9 600 000,00",Business Continuity,Supported,2021/05/19,Not Stated,Not Stated
174,2021/05/10,Strategic Fuel Fund (SFF),"Design, manufacture,install and commission the oil sampling unit",Not Stated,Not Stated,No suitable bidder found in the market,Not Supported,2021/04/30,Not Stated,Not Stated
175,2021/05/20,The National Radioactive Waste Disposal Institute (NRWDI),Provision for insurance policy,Not Stated,"500 000,00",No reason provided,Not Supported,2021/05/20,Not Stated,Not Stated
176,2021/04/28,The Presidency,Leasing of 34 Government-Owned Vehicles,G-Fleet Management,"25 377 600,00","G-Fleet does not participate in any
bidding process.",Not Supported,2021/04/26,Not Stated,Not Stated
177,2021/05/05,The South African National Roads Agency SOC Ltd (SANRAL),"Provision of courses for New COTO Specifications for Road and
Bridge Works",South African Road Federation (SARF),"2 095 300,00",sole supply,Noting,2021/05/05,Not Stated,Not Stated
178,2021/04/07,Transnet SOC Ltd,Supply and delicery of 36 wheels inch,Lucchini Services (Pty) Ltd,"39 000 000,00",Additional need,Not supported,2021/07/04,Not stated,Not stated
179,2021/06/02,,,Ashton Bulk,"362 092 721,62",Business continuity,,2021/06/01,24 months,24 months
180,2021/06/08,Transnet SOC Ltd,Supply of Internet/ Web Proxy ZCALER License,Accelerate Networks,"5 324 655,15",Business continuity,Conditional supported,2021/06/07,12 months,12 months
181,2021/05/31,Transnet SOC Ltd,"To implement its transformation imperatives of Enterprise Supplier
Development Initiatives","National Empowerment Fund (NEF); Small Enterprise Finance Agency (SEFA);
Small Enterprise Development Agency (SEDA) and Industrial Development
Corporation of South Africa (IDC)",Not stated,Transformation imperatives,Conditional supported,2021/05/25,Not stated,Not stated
182,2021/05/23,Umgeni Water,Supply and installations of geomembrane lining systems,No Stated,"83 200 000,00","UW will fail to meet agreed obligation date from
the customer.",Not Supported,2021/05/22,Not Stated,Not Stated
183,2021/04/08,Unemployment Insurance Fund (UIF),"Awareness campaign about USSD, UIF APP and compliance
certificate system",GCIS,"10 033 346,60",Single source,Noting,2021/03/30,Not Stated,Not Stated
184,2021/04/12,"Wholesale and Retail Sector Education and Training Authority
(W&RSETA)SETA",IT Connectivity and Telephony services,Internet Solutions,"10 625 000,00",Continuity of service.,Not Supported,2021/04/12,Not Stated,Not Stated
,,,,,,,,,,
