151,"South African National Energy Development
Institute",Continuity of service,Letsema Consulting and Advisory,"297,000.00",Continuity of service,2018/12/03,Within AA/AO mandate Noting,Not Stated,Not Stated
152,"South African National Energy Development
Institute",Cool coating - closing off the project by painting,Wilcote Waterproofing,Not Stated,Sole supplier,2019/02/26,Within AA/AO mandate Noting,Not Stated,Not Stated
153,South African National Parks,Technical and project management support in relation to SCM of SANParks,GTAC,0.00,GTAC is the implementing agent of National Treasury,2018/12/21,Not supported,Not Stated,Not Stated
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommended by
AO/ AA","not supported/not
supported/Conditional supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
154,South African National Road Agency,"Provision of housing, offices, and laboratory facilities for the engineers site","Waste Management Group Project
(Pty) Ltd & Aquatan (Pty) Ltd","14,904,667,08",Incomplete work,2019/01/25,Noting,Not stated,Not stated
155,South African National Space Agency,Upgrades and spares for lonosonde network,Lowell Digisonde International,"1,250,000.00",Sole supplier,2019/02/01,Noting,Not Stated,Not Stated
156,South African National Space Agency,SANSA data cube and infrastructure,SARAO,"2,000,000.00",Business countinuity,2019/03/18,Not supported,Not Stated,Not Stated
157,South African Police,"Accomodation, meals and conference facilities for National Sports Awards","Ingwenyama Conference & Sport
Resort","1,587,480.00",No 3rd party agreement provided,2018/11/30,Supported,2019/02/26,2019/02/26
158,South African Police,Maintenance and support of the automated Ballistics Identification System,Ultra Electronics Forensic Technology,"9,014,435.65",Continuity of service,No Stated,Not supported,Not Stated,Not stated
159,South African Police,Maintenance and support of the automated Fingerprints Identification System,Safrana Morpho South African Pty Ltd,"7,798,019.00",Sole Supplier,2019/01/04,Noting,2018/12/05,2019/03/31
160,South African Police,Supply and delivery of DB Collection swab reference system,Elvis Koena Consulting,"2,636,030.00",Bid Non-responsive,2019/01/21,Not supported,Not Stated,Not stated
161,South African Police,Forensic Investigation Cas 189/2012,Sotaobe Chartered Accountants,"713,961.40",Only bidder that responded to the bid,2019/01/22,Conditional support,Not stated,Not stated
162,South African Police,Procurement of 1300 silica membrane based DNA purification kits,Surgical Innovations,"5,959,623.28",Quotation procurement method,2019/03/20,Conditional support,Not Stated,Not stated
163,South African Revenue Service,Maintenance of SARS ICT facilities infrastructure,BTSA & Merque,"6,461,660.73",Continuity of service,2019/02/12,Supported,2019/03/25,2019/08/31
164,South African Revenue Service,"Repurchase of the maintenance and support of BarnOwl Risk Management
application",IDI Technology Solutions,"650,000.00",Sole owner of software,2019/02/12,AA/AA mandate,2019/04/01,2022/03/31
165,South African Revenue Service,"Upgrade, maintain and support Eskort Audit Support software and renewal of
maintenance and support of Eskort Case Management and Tracking software",Intrasoft International SA,"5,803,033.98",Continuity of service,2019/02/18,Supported,2019/03/01,2021/11/30
166,South African Revenue Service,Repurchase of the maintenance and support of TeamMate software,"Wolters Kluwer Tax and Accounting
SA","1,434,629.35",Current solution cannot be changed,2019/02/28,Not supported,2019/04/01,2022/03/31
167,South African Revenue Service,Provision of office accommodation in Bellville- Cape Town,Ambition Recruitment Services,"76,194,820.00",Single source after feasibility study,2019/03/25,Supported,2019/04/01,10 years
168,South African Revenue Service,Office refurbishment - Durban New Pier State Warehouse,Professional Engineering Consultants,"4,601,809.00",Continuity of service,2019/02/04,Not supported,Once off,Once off
169,South African Revenue Service,Maintenance and support of baggage and cargo scanners,Nuctech and Hissco,"112,018,585.41",Continuity of service,2019/02/12,Supported,2019/04/01,2022/03/31
170,South African Tourism,To host the Polo Cape Town festival,Vivid Markerting,"2,875,000.00",Single Source,2019/1/17,Supported,2019/03/02,2019/03/02
171,South African Tourism,Appointment of destination marketing organisations,Various suppliers,"40,000,000.00",Showcase South Africa,2019/03/18,Conditional support,2019/04/01,2020/03/31
172,South African Weather Service,Connection and commissioning of SANREN services,CSIR,"2,400,557.42",Single Source,2018/12/19,Not supported,Not Stated,Not Stated
173,South African Weather Service,Procurement of radar preventative maintenance contract and related training,Leonardo Germany GMBH,"3,166,480.00",Sole supplier status not verifiable,2018/11/19,Not supported,Not Stated,Not Stated
174,South African Weather Service,Provision of ECMWF forecast data utilization,"European centre for medium Range
weather forecast (ECMWF)","1,417,740.00",Sole supplier status not verifiable,2018/10/31,Noting,2018/06/01,2019/05/31
175,South African Weather Service,"Provision of software, installation and professional service",Vaisala OYJ,"2,736 303.72",Single Source Procurement,2019/03/19,Noting,2019/03/28,2020/03/28
176,South African Weather Service,Provision of maintenance and support the lightning detection network,Vaisala OYJ,"4,043,385.00",Single Source Procurement,2019/03/19,Noting,Not Stated,Not Stated
177,State Information Technology Agency,Provision of office accommodation- Bhisho Office,Unathi Properties,"7,653,359.51",Single source due to scarcity of office space in the area,2019/01/15,Supported,2019/02/01,2024/01/31
178,State Information Technology Agency,"Provision of Gauteng Provincial Government (GPG) Fully Managed Data Centre
(FMDC) services on a month-to-month basis",Telkom,"89,386,009.74",Continuity of service,2019/01/25,Supported,2019/02/15,18 months
179,State Information Technology Agency,Appointment of a service provider to render critical investigation,Saber Industries,"19,471,988.62",Single source due to the nature of the matter,2019/01/25,Conditional support,Once off,Once off
180,State Information Technology Agency,Supply of security products and services at the SAPS,Symantec & Veritas,"75,500,000.00",Continuity of service,2019/02/07,Not supported,2019/03/01,2021/02/28
181,Trans-Caledon Tunnel Authority,Supply of laptops and deskops,Not Stated,Not Stated,Bid Non-responsive,2019/01/15,Not supported,Not Stated,Not Stated
182,Trans-Caledon Tunnel Authority,Represent TCTA at Pitermaritzburg High Court,Not Stated,"8 00,000.00",Time constraints,2019/01/16,Conditional support,Not Stated,Not Stated
183,Trans-Caledon Tunnel Authority,Labour matter in the Pretoria High Court,Not Stated,"8 00,000.00",Time constraints,2019/03/11,Supported,Not Stated,Not Stated
184,Transnet Limited,ExecutiveSearch/ Head Hunting Services,Various suppliers,Not stated,Closed bid,2019/02/10,Not supported,Not stated,Not stated
185,Transnet Limited,TransactionalBanking Services,Various suppliers,,Closed bid,2018/11/11,Supported,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommended by
AO/ AA","not supported/not
supported/Conditional supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
186,Transnet Limited,Manufacturer and supply rail for Transnet consumption,"VAE, British Steel and Guma Railway
Solutions","4,449,000.00",Closed bid,2018/12/18,Not supported,Not stated,Not stated
187,USAASA,"To solicit proposals from the property management companies on the Central
Supplier Database (CSD) for the provision of office accommodation.",Not stated,Not stated,"Closed Bid- not many service providers are available
and due to urgency",2019/01/10,Conditional support,Not stated,Not stated
188,USAASA,Technical support and maintenance of SAP ERP system.,Sikwe,"931,500.00",Continuity of service to finalise a new tender,2019/02/11,Conditional support,2019/02/15,2019/04/30
189,USAASA,Time extension for STB intallations to be completed,Various suppliers,0.00,Continuity of service,2019/02/19,Supported,Once off,Once off
190,Water and Sanitation,Laboratory chemicals at Resource Quality Information Services,Various suppliers,"12,018,000.00",Sole Supplier,2018/12/19,Noting,2019/04/01,2022/03/30
