2020/08/13,South African Revenue Service,Maintenance and support,"Wolters Kluwer Tax and Accounting SA
(Pty) Ltd",35 245 463.35,Sole Provider of Teammate Software,Supported,Not Stated,2020/08/06,2029/03/31
2020/08/03,South African Social Security Agency,"Vodacom airtime vouchers as an
exchange for cash or goods at retail and
merchant stores",Vodacom,0,Service Delivery Urgency,Not Supported,2020/07/29,not stated,not stated
2020/06/29,South African Social Security Agency,"New lease agreement with the current
landlord for SASSA local offices at
Maboloka, Dwarsberg and Ramatlabama",Not Stated,4 172 390.52,Business continuity,Conditional Support,2020/06/22,1/7/2020,2025/06/30
2020/07/15,South African Tourism,"Reporting : Association of Visitor
Experience Association Partnership",African Agenda,"1 410 000,00",Sole Source procurement,Noting,2020/6/24,2020/6/18,2020/3/31
2020/07/15,South African Tourism,"Reporting : WTM 2019 Floor space
Association of Visitor Experinece
Association Partnership",Reeds Exhibitions,"2 007 825,89",Sole Source procurement,Noting,2020/6/24,2019/11/4,2019/11/9
2020/08/12,South African Tourism,HR services,FESCO,"223 200,00",Single Source procurement,Not Supported,2020/8/12,Not Stated,Not Stated
2020/08/16,South African Tourism,"Power-BI Dashboards and Microsoft
Dynamics 365 CRM License fees",Microsoft Ireland,"11 300 576 ,68",Sole Source procurement,Not Supported,2020/8/6,2020/7/12,2023/5/29
2020/08/19,South African Tourism,Oracle HR Suite,Oracle,7 691 726.76,Single Source procurement,Supported,2020/05/13,2020/09/01,2023/08/31
2020/09/09,South African Tourism,"To launch the world Tourism day and the
opening of the Tourism sector",Soulstic music(Black Coffee),2 800 000.00,Single source procurement,Not Supported,2020/8/26,2020/9/27,2021/12/31
2020/07/01,South African Weather Service,"Reporting -Renewal of the UM
Associated Partnership Agreement",UK Meteorological Office (UKMO),"1 718 950,00",Sole Source procurement,Noting,2020/6/30,2020/04/01,2023/03/31
2020/08/25,South African Weather Service,"Three-year service level with IBL Weather
Software Solutions for Global Information
System Centre (GISC) software","IBL Weather Software
Solutions","1 227 100,00",Sole Source procurement,Noting,2020/08/24,Not Stated,Not Stated
2020/08/26,South African Weather Service,"Procurement of numerical weather
prediction output","European Centre for Medium-Range
Weather Forecasts)",5 400 000.00.,Single Source procurement,Supported,2020/8/26,Not Stated,Not Stated
,,,,,546 750 626.54,Emergency Procurement,,,2020/03/08,2020/07/10
,2020/07/08,State Security Agency,"Deviation from normal procurement to
follow a closed bidding process for the
appointment of it service provider to
replicate the existing SAP system and
migrate from IBM to HP",Not Stated,not stated,Closed bid process (Limited market),Conditional Support,2020/05/15,not stated,not stated
,2020/07/09,Statistics South Africa,Sofware Licences,GIS SOFTWARE,"5 485 130,36",GIS Software is the sole provider,Noting,Not Stated,Not Stated,Not Stated
,2020/08/20,Tourism,"Public Works extended programme
infrastructure project",Development Bank of South Africa,Not Stated,Single Source procurement,Conditional Support,2020/8/7,Not Stated,Not Stated
,2020/09/02,Trans-Caledon Tunnel Authority,"Operations and maintenance of the
Western basin Acid Mine Drainage
(AMD) Treatment Plant",Sibanye Stillwater,"430 000 000,00",Sole provider,Within AA/AO mandate Noting,2020/09/02,2020/10/01,2025/09/30
,2020/08/24,Trans-Caledon Tunnel Authority,"Legal professional service provider to
provide legal services to TCTA in respect
of the VRS Project",Various firms,"2 000 000,00",Close bidding process,Conditional Support,2020/08/20,Not stated,Not stated
,2020/07/21,Transnet Limited,Research and development projects,CSIR,"150 000 000,00","Sole Supplier and/or Single Source –
e.g. OEM",Not Supported,2020/07/19,2020/08/01,2023/07/31
,2020/08/03,Transnet Limited,Strategic recruitment,Linkedin,8 782 168.55,Closed bid process (Limited market),Within AA/AO mandate Noting,not stated,not stated,not stated
,2020/07/29,Transnet Limited,The Supply of Refned Fuel,Refiners/Producers/ Original Manufacturers,"2 160 000 000,00","Business Strategy/operations
(Recently found with SOCs with their
turn-around strategies)",Conditional Support,2020/07/29,2020/10/01,2021/07/31
,2020/06/25,Water and Sanitation,Emergency COVID-19 testing,Lancet Laboratories,"2 97 500,00",Emergency,Noting,2020/06/25,Once-Off,Once-Off
,2020/08/24,Water and Sanitation,Legal professional Services,"Moreki Distributors and two service
providers (including Sakhile Ezweni Security
Company)","40 000 000,00","Security services of the water
services infrastructure and
employment of 600 community
workers",Conditional Support,2020/09/02,2020/09/16,2021/03/15
,,,,,,,,,,
,,,,,,,,,,
