167,Lepelle Northern Water,ICP Specialist to increase accreditation scope,Elementary Analytics,"20,000.00",Supplier original supplier on ICP instrument,2017/06/12,Conditional support,2017/10/16,2017/10/20
168,Lepelle Northern Water,Transactional advisor for funding of Polokwane intervention,No Supplier,0.00,Period too short for project timelines to complete project,2017/07/31,Not supported,Not stated,Not stated
169,Lepelle Northern Water,ERA Proficiency Testing,MicroSep,"33,345.00","To test them so that it can add to the two suppliers available
in the coiuntry",2017/09/19,Not supported,2017/08/01,2019/07/31
170,Mhlathuze Water,"Nongoma water supply project to ward 5, 10 and 11",No Supplier,0.00,"Appointed service provider terminated the service that was
still required",2017/07/31,Conditional support,Not stated,Not stated
171,Mhlathuze Water,"Jozini Ingwavuma bulk water: installation of pumps and
associated equipment",No Supplier,0.00,"Urgent service, competitive bidding unsuccesful",2017/07/31,Not supported,Not stated,Not stated
172,Mhlathuze Water,"Events management service for the official launch of Jozini
Waste Water Treatment Works",PMG Events,"1,939,210.00","No sufficient time to conclude bidding process: Two weeks to
date of event",2017/08/17,Conditional support,once-off,once-off
173,Mineral Resources,Mobile Services,MTN,"11,673,000.00","It does not make good business sense to appoint Vodacom
while MTN can provide the same service at a lesser cost",2017/08/28,Supported,2017/09/01,2020/08/31
174,MQA,Qualifications Development Facilitators,"Qualifications Development
Facilitators",0.00,Single source,2017/06/26,Conditional support,2017/09/01,2020/08/31
175,MQA,Arbitration,Gildenhys Malatji Attorneys,"302,158.66",Continuity of service,2017/08/02,Conditional support,2017/09/01,2017/10/10
176,Msunduzi Museum,Appointment of Consultant,Not available,"14,767,344.00","Consultants were involved in the design and specification of
the project",2017/07/25,Not supported,Not applicable,Not applicable
177,National Credit Regulator,Lease of Office space,Master Tyre Properties,"21,359,153.00",Unresponsive bids,2017/07/10,Conditional Support,Not indicated,Not indicated
178,"National Regulator for
Compulsory Specification",Online legal research portal,Not available,"700,000.00",Insufficient time to complete bidding process,2017/07/17,Conditional Support,Not indicated,Not indicated
179,National Treasury,"Reception and dining area for the launch of New Dev Bank
Africa Regional Centre",Michael Angelo Hotel,"271,790.68","Only service provider available for the launch on the
preferred date and area",2017/08/10,Within AO / AA mandate,2017/08/17,Once off
180,National Treasury,"Internship/Learnership of financial accountants in the public
sector for new graduates",SAIPA,"6,000,000.00","Single source for professionalisation and capacitation of
public sector accountants",2017/08/17,Conditional support,8/23/2017,36 months
181,National Treasury,Legal advice to former Finance minister,Edward Nathan Sonnenbergs,"200,000.00",Urgency,2017/09/12,Conditional support,2017/09/13,Once off
182,NRF,Data network and cabling,Eclipse Holding,"6,327,657.00",Eclipse Holding manufactured the machine,2017/06/28,Supported,Not stated,Not stated
183,NRF,"Provision for brooks CTI Cryogenics Refrigeration System for
the Cooling of Low Noise Amplifiers",Kurt J. Lesker,"1,274,130.00",Sole source,2017/08/14,Supported,2017/08/01,2018/08/31
184,NSFAS,Appeal: IT Review,PWC,"2,000,000.00",Emergency,2017/06/28,Not supported,Not stated,Not stated
185,OPSC,Maintenance and support of the Data Warehouse,Kakanyo Business Solutions,"768,884.40",Single source,2017/08/14,Not supported,2017/09/12,12 months
186,PetroSA,Renewal of the Que$tor software,IHS Global SA,Not stated,Original Equipment Manufacturer of the software,2017/07/14,Conditional Support,2017/07/01,2018/06/30
187,PetroSA,Provision of LP Modelling Training on ASPEN PIMS,BLUESP PTY LTD,"274,085.00",Request for quotations failed to yield responsive results,2017/08/01,Conditional support,Not stated,Not stated
188,PetroSA,Integrity Select Software license subscription,"Bentley Systems International
Ltd",506 470.65,Original Equipment Manufacturer of the software,2017/08/07,Conditional support,2017/07/01,2019/06/30
189,PetroSA,Provision of the Cura software solution,"Cura risk management
software Pty Ltd t/a Cura
software solutions","388,626.00",Cost effective solution as it is a Cura software,2017/08/18,Conditional support,2017/10/01,2018/09/30
190,PRASA,"Consulting firm for technical assistance and supervision of
Gauteng 1 and 2 Re-signalling programme","Not yet, info will be given after
closed bid is completed",0.00,Current contractor liquidated,2017/07/13,Not supported,Not applicable,Not applicable
191,PRASA,Hire of bus services,none,0.00,Competetitive bid process in progress,2017/07/27,Conditional support,2017/09/01,2018/08/31
192,Presidency,Catering service,"SM Makgatho Presidential
Guesthouse","522,775.00",Single source -Cabine Lekgotla take place at DIRCO,2017/08/07,Conditional support,2017/08/01,2018/02/28
193,Public Works,Office Accommodation,ECDC,"2,888,824.79",Single source,2017/06/29,Conditional support,Not stated,Not stated
194,Road Accident Fund,Parking Space,SKG Properties,"2,160,000.00",Additional parking required,2017/06/26,Conditional Support,2017/09/01,2019/03/31
195,Road Accident Fund,Tenant Installation of fittings for offices,Faerie Glen Waterpark,"4,429,055.00",Secure warranties from the Landlord,2017/06/28,Conditional Support,2017/09/01,2017/11/30
196,Road Accident Fund,Communications and Advertising Services,GCIS,"105,000,000.00",Reach a wider audience,2017/06/27,Conditional Support,2017/08/01,2020/07/31
197,Road Accident Fund,Installation of fittings for offices,"Columbia Properties 80 (Pty)
Ltd","450,000.00",Secure warranties from the Landlord,2017/07/07,Conditional Support,Once off,Not applicable
198,Road Accident Fund,Office Parking in Bloemfontein,Federal Parking (Pty) Ltd,"269,710.00",Additional Parking required,2016/10/12,Conditional Support,Not stated,3 Years
199,"Road Traffic
Management Corporation",Essential E-Natis third party services,Various service providers,"133,944,017.04",Continuity of service,2017/07/14,Conditional Support,Not stated,12 Months
200,"Road Traffic
Management Corporation","Lease Agreement for National Traffic Information Sytem office
space","JHI Properties executing on
behalf of Capital Propfund 1
(PTY) Ltd","1,906,864.00",Competetitive bid process in progress,2017/07/10,Conditional support,2017/07/01,2019/07/01
201,Robben Island Museum,"Apointment of a service provider to render panel beating and
re-spraying on Robben Island Museum buses",Closed bid,"1,500,000.00","The competitive bidding process will take +- four months and
will be completed when the entity is at its peak season of its
tourist visits",2017/07/19,Conditional support,Not stated,Not stated
202,Robben Island Museum,Memorialisation Project,Zanenza Holdings Ltd,0.00,Continuity of service,,Supported,Not stated,Not stated
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
203,SA Civil Aviation Authority,Office accommodation,Airports Company South Africa,0.00,Preferred Supplier due to location,2017/01/30,Supported,Not stated,24 Months
204,SA Tourism,"Manage the registration sites for both Indaba and meetings
Africa",The ITEM,"131,448.61",Continuity of services,2017/06/29,Not verifiable,2017/07/31,2017/11/30
205,SABC,Creative sellable ideas,"Ultimate Media and Blackface
Media",0.00,Single source,2017/08/14,Not supported,Not stated,Not stated
206,SABC,Executive Search Companies,"Woodburn Mann Executive
Search Africa, People Perfect
(Pty) Ltd Trading as Talent
Africa, Spencer Stuart,
Mindcor",0.00,"The board was not happy with the service received from the
service providers. The SABC wants to appoint the Executive
Search companies for six months to fill the Group Executive
and General Manager positions that are currently vacant",9/27/2017,Not supported,2017/10/01,2017/03/31
207,SABC,Stripping and quoting of technical items,Various suppliers,0.00,"the service providers vary as requirements for strip and
quote arise as and when the equipment has failed",2017/08/14,Conditional support,Not stated,Not stated
208,SABC,TV Licence Pay Points,Various suppliers,0.00,"The relationships with appointed TV Licence pay points are
long-term as both parties commit resources in establishing
and developing the required real-time integration with the TV
Licence database",2017/08/11,Conditional support,Not stated,Not stated
209,SABC,Commercial Enterprises Management,Customer Diagnostics,0.F0o0r,various unstated reasons this did not yield a satisfactory outco,me 2017/08/08,Not supported,Not stated,Not stated
210,SABC,News website completion,Creative Spark,"482,467.77","The scope of work was left incomplete because the hours
were underestimated.",2017/08/08,Not supported,2017/09/01,2017/10/30
211,SABC,Supply of IT resources to SABC,"Exponant (Pty) Ltd, System
Skills (Pty) Ltd and Batres
Consulting (Pty) Ltd",19 680 000.00,Single source,Not stated,Not supported,2017/10/01,2020/09/30
212,SABC,Hosting and maintenance of 5FM App,Mushroom Cloud CC,1099582.00,Prefered service provider,2017/09/05,Conditional support,2017/10/01,2020/09/30
213,SABC,SABC Board Induction and Governance Training,"CGF Research Institute (Pty)
Ltd","177,840.00",Prefered service provider,2017/09/21,Not supported,2017/10/01,2019/09/30
214,SANBI,Renewal of CIPS membership,CIPS,"9,378.80",Continuity of services,2017/07/24,Supported,2017/05/12,2018/05/11
215,SANBI,Governance Ethics Course,"Institute of Directors in Sothern
Africa (IoDSA)","2,638.00",Continuity of services,2017/07/14,Supported,2017/08/30,2017/08/30
216,SANBI,Payment of salaries,"Dynamic Resources Link
System","300,000.00",Single source,2017/08/10,"Within the authority of
the AA/AO",2017/10/01,2020/03/31
217,SANBI,Payment of DSTV,Multichoice,"30,802.80",Single source,2017/08/24,Supported,2017/06/01,2018/05/31
218,SANBI,Financia Insight for Non-Financial Directors course,"Institute of Directors in South
Africa (IoDSA)","4,850.00",Single source,2017/09/19,"Within the authority of
the AA/AO",2017/09/28,2017/09/28
219,SANEDI,Hosting GIS server,"Deutsche Geseelschaft fur
International Zusammenarbeit
(GIZ)",0.00,Continuity service,2017/09/05,Conditional Support,2017/10/01,2020/09/30
220,SANParks,ECO -furniture programme for a period of six months,Biotek Industrial Pty Ltd,"940,773.60",Single source,2017/07/21,Conditional support,2017/08/01,2018/07/31
221,SANParks,Rental of milling site & Kiln space,Lumberjack Timber Mill cc,"752,400.00",Single source,2017/07/21,Supported,2017/08/01,2018/01/31
222,SANRAL,SIPDM,"Deviation in the applicatin of
SIPDM",0.00,Deviation in the application of SIPDM,2017/06/30,Not supported,Not stated,Not applicable
223,SANRAL,Legal representation-issuing of summonses,Werkmans Attorneys,"840,000.00",Institutional knowledge,2017/07/20,Not supported,Not stated,Not applicable
224,SANRAL,"Appointment of Barkers Attorneys to defend, protect and
safeguard under case number 3938/2017",Barkers Attorneys,"500,000.00","Time constraints set in the combined summons and the
particulars of claim and the rules of Court to file the notice
and pleadings there is not sufficient time to follow a
competitive bidding process",2017/08/08,Conditional support,Not stated,Not stated
225,SANRAL,Demolition of bridge on N3,Jet Demolition (Pty) Ltd,4 438 168.20,"A bridge collapsed onto N3 resulting on the use of the N3
between Gilooly’s Interchange being closed for traffic.",2017/08/10,Conditional support,Once off,Once off
226,SANSA,Remote sensing high resolution data,Digital Globe,"2,000,000.00",Sole source,2017/08/24,Conditional support,2017/08/25,2018/12/31
227,SAPO,Digital Signature Solution,Various suppliers,0.00,Original Equipment Manufacturer,2017/07/07,Supported,2017/06/22,2017/06/24
228,SAPO,"Create, implement and monitor SAPO formula for successful
implementation of Strategy and change",Bluprints,"8,305,000.00",Preferred supplier,2017/07/14,Not supported,Not stated,Not stated
229,SAPO,Backup Postillion Office Production,"DELL/ EMC Computer
Systems","499,888.86",Preferred supplier,2017/08/18,Supported,Once off,Once off
230,SAPO,Upgrading of Postbank's host environment and storage,"HP, DELL/EMC, IBM AND
TEKOM/BCX","37,781,892.31",Original Equipment Manufacturer,2017/08/18,Conditional support,2017/09/01,2020/08/31
231,SAPO,Treasury System upgrade,Fikon Treasury (Pty) Ltd,"2,506,539.50",Preferred supplier,2017/03/29,Not supported,Not stated,Not stated
232,SAPO,Migration of electronic data,Emerge Africa,"657,872.00",Continuity of services,2017/08/11,Conditional support,2017/10/01,31/11/2017
233,SAPO,Interface modules for MIP and VAP,ACI Universal Payments,"1,410,434.00",Preferred supplier,Undated,Conditional support,2017/10/01,9/31/2020
234,SAPO,International mail/parcels air conveyance,Various Airlines,0.00,Single source,2017/09/04,Conditional support,Not stated,Not stated
235,SAPS,1500 000 Round ball 9mm x 19mm Ammunition,Denel (PMP),"7,005,000.00",Sole source,2017/06/20,Conditional support,Once off,Once off
236,SAPS,Uniform Clothing item/goods and Services,Kingsgate Clothing Pty Ltd,"5,155,212.40",Unsolicited bid,2017/06/26,Not supported,Once off,Once off
237,SARS,"Procurement of upgraded software, licensing, maintenance
and support",Casewise South Africa,"12,903,845.64","Alignment of existing Enterprise Architecture with upgraded
software",2017/06/21,Conditional support,2017/07/17,3 Years
238,SARS,"Procurement of Cisco Network equipment, products and
software",Sizwe IT Africa Group,Not stated,Alignment of additional service with the contract,2017/09/13,Not supported,2017/10/01,5 Years
239,SASSA,Postage services,SAPO,"66,000,000.00",Sole source,2017/06/29,Conditional Support,Not stated,5 years
240,SASSA,Cleaning Services,Quintax Cleaning Services,2 340 283.00,Continuation iof services,2017/03/31,Not supported,2017/01/01,3/31/2017
241,SASSA,Conduct due diligence,CSIR,"500,000.00","RFQ received was more than was above the quotation
threshold of R500 000.",2017/08/16,Not supported,Once off,Not stated
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
242,SASSA,Management of grants deductions,Q Link Holdings,0.00,"Current service provider used for management of payroll
and same services maybe used for grant deductions",2017/08/23,Not supported,Not stated,5 years
243,SASSA,Central Supplier Database,various suppliers,0.00,"Pay points agreements are mostly community buildings such
as churches, community halls, tribal authority halls, municipal
halls therefore register for CSD as they are not in business is
not necessary.",2017/07/14,Conditional Support,Not stated,Not stated
244,SASSA,"Instruction Note 3 , Expansion reporting",Various suppliers,0.00,Some of the contract are less than the prescibed threshold,2017/07/14,Conditional Support,Not stated,Not stated
245,SEDA,Office Accommondation,Muthivhi Investment Holdings,"4,201,066.10",Quotation procurement method,2017/07/21,Conditional support,2017/08/01,2022/07/31
246,SEDA,Office Accommondation,"IEB Properties t/a Ismails
Hardwarehouse","2,723,238.35",Quotation procurement method,2017/07/25,Conditional support,2017/08/01,2022/07/31
247,SEDA,Office Accommodation,JHI properties Pty Ltd,"2,362,385.29",Quotation procurement method,2017/08/24,Supported,2017/06/01,2017/05/31
248,SEDA,Office Accommodation,River City Properties,"3,260,437.52",Quotation procurement method,2017/09/04,Conditional support,2017/10/01,2020/09/30
249,SEDA,Office Accommodation,"Freestone Property Investment
(Pty) (Ltd)","4,702,623.43",Quotation procurement method,2017/09/07,Conditional support,2017/10/01,2020/09/30
250,SEDA,Office Accommodation,Brander 16 Trust,"7,267,025.49",Quotation procurement method,2017/09/15,Conditional support,2017/11/01,2022/10/31
251,SEDA,Office Accommodation,"Interactive Trading 604 (Pty)
Ltd","1,437,196.38",Quotation procurement method,2017/09/26,Supported,2017/11/01,2022/10/31
252,Sentech,Install security scanners at Sentech Head Office.,"Khomanani X-rays; Pabalelo
Security; R&D Screening
Technologies; HISSCO","4,000,000.00",Urgency; using nominated procedure,2017/07/12,Not supported,2017/09/21,Once off
253,SITA,Government Technology Conference,"Inkosi Albert Luthuli
International Convention
Centre","53,726,455.00",Venue linked to conference activities,2017/06/13,Conditional support,8/17/2017,3 years
254,SITA,Office accommodation- Nelspruit,Klipkoppie,"1,479,487.32",Continuity of service,2017/08/01,Conditional support,8/1/2017,7/31/2018
255,SITA,Last mile access data links,Internet Solutions,"3,518,112.96",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
256,SITA,Last mile access data links,eThekwini Municipality,"1,823,737.25",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
257,SITA,Last mile access data links,Haimsa IT,"493,279.12",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
258,SITA,Last mile access data links,Neotel,"30,109,069.38",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
259,SITA,Last mile access data links,Telkom,"20,389,558.46",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
260,SITA,Last mile access data links,Ubuntu Technology,"25,950,522.52",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
261,SITA,Last mile access data links,Vodacom,"4,786,241.24",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
262,SITA,Last mile access data links,Wispa,"12,238,128.00",Own existing network infrastructure,2017/09/03,Conditional support,9/12/2017,8/31/2018
263,SITA,"Forensic investigation on the appointment of the Executive:
Internal Audit",Bowman Inc,"1,996,106.00",Own existing network infrastructure,2017/08/21,Not supported,Once off,Once off
264,SITA,Last mile access data links,Internet Solutions,"3,518,112.96",Own existing network infrastructure,2017/09/01,Conditional support,2017/07/14,12 months
265,SITA,Last mile access data links,eThekwini Municipality,"1,823,737.25",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
266,SITA,Last mile access data links,Haimsa IT,"448,435.52",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
267,SITA,Last mile access data links,Neotel,"23,774,120.78",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
268,SITA,Last mile access data links,Telkom,"20,389,558.46",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
269,SITA,Last mile access data links,Ubuntu Technology,"2,379,166.11",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
270,SITA,Last mile access data links,Vodacom,"4,786,241.24",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
271,SITA,Last mile access data links,Wispa,"12,796,272.00",Own existing network infrastructure,2017/09/01,Conditional support,2017/09/12,12 months
272,SITA,Fully managed data centre services,Telkom,"267,789,088.96",Own existing network infrastructure,2017/09/15,Supported,11/1/2017,10/31/2018
273,SIU,Audit services,Sizwe Ntsaluba Gobodo (SNG),450 707.00,Continuity of service,2017/08/18,Supported,10/1/2017,1/31/2017
274,"Small Business
Development","Business Nicubation and Enterprise Development Leadership
Programme",UNISA,"47,700.00",Single source,2017/07/12,Supported,2017/07/17,2017/07/21
275,"Small Development
Development","2017 Annual Gartner Symposium/Txpo and Government
Industry","Gartner Symposium/ITxpo and
Government Industry","23,288.00",Single source,2017/09/08,"Within the authority of
the AA/AO",2017/09/18,2017/09/21
276,"Small Development
Development",Advance Performance Auditing Public Sector course,"Institute of Internal Auditors
(IIA)","52,050.00",Single source,2017/08/08,"Within the authority of
the AA/AO",2017/08/14,2017/11/23
277,"Small Development
Development",Evidence -Based Policy -Making and implementation course,University of Cape Town,"23,000,000.00",Single source,2017/08/10,"Within the authority of
the AA/AO",2017/10/16,2017/10/18
278,"Small Development
Development",To load franking credits,Pure Brilliance Africa,"30,000.00",Single source,2017/09/15,"Within the authority of
the AA/AO",2017/09/20,2019/09/19
279,"Small Development
Development",19th Public Sector Trainer's Forum (PSTF) cpnference.,"NSG and the PSTF Advisory
Committee","8,626.00",Single source,2017/09/11,Supported,2017/10/16,2017/10/18
280,Social Development,Catering services for prayer day,Various suppliers,"2,225,000.00",Impractical to conduct bid process,2016/05/17,Not supported,Once off,Once off
281,Social Development,"Procurement of T-shirts, Cricket Hats, Jackets and Track Suits
for National Youth Camp in KZN Ugu district",Various services,2 480 000.00,Targeting Cooperatives,2017/09/26,Conditional Support,Once off,Not stated
282,Social Development,"Accommodation for 550 national youth camp in
Pietermaritzburg on 02 – 06 October 2017",Albert Falls,"1,931,160.00",Non responsive bid,2017/09/14,Conditional Support,Once off,Not stated
283,Social Development,"Procurement of T-shirts, Cricket Hats, Jackets and Track Suits
for National Youth Camp in Kimberly",Various services,2 480 000.00,"It is difficult to target co-operatives if the normal bidding
process is followed for procurement of goods and services
as it will open the market to all other suppliers and service
providers",2017/09/26,Conditional Support,Once off,Not stated
284,Strategic Fuel Fund,Provision of Legal Service,Allen & Overy,Not stated,Continuity service,2017/09/28,Conditional Support,once-off,once-off
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
285,TCTA,Independent procurement review,Deloitte,"879,896.66",Time constraint to award tender,2017/07/07,Conditional support,2017/07/12,2017/12/07
286,TCTA,"Replacement of one DN 1600mm diameter butterfly for the
Lesotho Highlands Water Project Delivery Tunnel North",PV Engineering (Pty) Ltd,"685,251.00",Lead time to procure is long,2017/08/01,Conditional support,Once-Off,Once-Off
287,TCTA,"Executive Search/Headhunting Services for the recruitment
agency",No Supplier,0.00,Open tender was non-responsive,2017/09/15,Conditional support,Once-Off,Once-Off
288,Tourism,Catering Services,Mthombo's place,"12,400.00",Single source,2017/08/17,"Within the authority of
the AA/AO",2017/08/22,2017/08/22
289,Tourism,Women's day celebration,State Theatre,"72,480.00",Single source,2017/08/21,Supported,2017/08/25,2017/08/25
290,Tourism,"Management of guarding services EPWP and process
payment of EPWP",Mosloow Pty Ltd,"611,050.50",Single source,2017/09/01,Conditional support,once- off,once- off
291,Umalusi,Hosting SAAEA Conference,Capital Hotel Group,"799,940.00",Other venues did not have capacity at the time,2017/07/06,Conditional support,31/08/2017,31/06/2018
292,Weather Services,"Appeal: Review of the overall strategic plan and the
development of the 2018/19 annual Performance plan","Human Interest Consulting Pty
Ltd","200,000.00",Single source,2017/07/13,Conditional support,Not stated,Not stated
293,Weather Services,Forensic Investigation,PWC,"250,000.00",Single source,2017/06/30,Conditional support,Not stated,Not stated
294,Weather Services,Professional Forensic Services,closed tender,"2,000,000.00",Closed tender,2017/08/16,Conditional support,Not stated,Not stated
295,Women,Women's Day Commemorarion,"Mittah Seperepere
International Convention","180,975.00",Preffered supplier,2017/07/11,Conditional support,2017/08/09,Not stated
