408,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),supply and delivery of cleaning materials,infinite innovators,"R 994 700,00",Unavailability of contracts,2023/11/29,Not Stated,Not Stated,Reported
409,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Langley's Catering,"R 15 935,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
410,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Distributors,"R 13 590,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
411,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Misebenzi Solutions,"R 10 030,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
412,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 30 415,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
413,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 19 170,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
414,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mahlethato (Pty)LTD,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
415,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mahlethato (Pty)LTD,"R 20 415,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
416,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Freefall Trading,"R 15 965,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
417,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Imvusa Trading,"R 35 905,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/18,Not Stated,Not Stated,Reported
418,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mahlethato (Pty)LTD,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
419,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
420,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 61 305,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
421,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 13 560,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
422,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 18 160,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
423,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 70 270,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
424,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again General trading,"R 7 775,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
425,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",JB Catering Services,"R 6 765,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
426,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",JB Catering Services,"R 27 180,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
427,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",JB Catering Services,"R 11 665,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
428,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",JB Catering Services,"R 6 795,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/19,Not Stated,Not Stated,Reported
429,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nanagca Trading,"R 125 670,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/20,Not Stated,Not Stated,Reported
430,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Masiqhame Trading 626,"R 134 005,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/21,Not Stated,Not Stated,Reported
431,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 136 290,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/21,Not Stated,Not Stated,Reported
432,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malumbazo Holdings,"R 136 290,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/21,Not Stated,Not Stated,Reported
433,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Zisithemba Trading,"R 138 755,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/21,Not Stated,Not Stated,Reported
434,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mahlethato (Pty)LTD,"R 104 420,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2023/12/21,Not Stated,Not Stated,Reported
435,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 42 700,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
436,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 20 385,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
437,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 37 360,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
438,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 50 920,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
439,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Junhico Trading,"R 20 445,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
440,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Masiqhame Trading 626,"R 96 440,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
441,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 47 715,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
442,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 21 365,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
443,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 9 050,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
444,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 9 050,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
445,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 13 590,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
446,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 55 580,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
447,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nuze Holdings,"R 96 855,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
448,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nuze Holdings,"R 65 430,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
449,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Imizi Trading,"R 35 015,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
450,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Langley's Catering,"R 11 305,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
451,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nade Holdings,"R 129 705,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
452,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 21 395,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
453,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",BJM Holdings,"R 63 680,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
454,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divana Distributors,"R 22 670,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
455,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",BJM Holdings,"R 40 800,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
456,Q4 2023/24,2024/02/12,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 95 875,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/15,Not Stated,Not Stated,Reported
457,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF BEEF,muvhuso holdings,"R 866 880,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
458,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF GROCERIES,nhlenhle services,"R 888 800,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
459,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF COAL PEACE,masase cooperation,"R 576 000,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
460,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF FROZEN FISH,bumela multi suppliers,"R 804 100,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
461,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF CHICKEN,gigatic wholesalers,"R 860 400,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
462,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF ANIMAL FEED (BALES),tsamelani agri investments,"R 380 000,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
463,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF CLEANING MATERIALS,dml construction and projects,"R 231 000,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
464,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),"SUPPLY AND DELIVERY OF TOILETRIES (TOILET
SOAP)",the authentic sea,"R 990 000,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
465,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF BROWN BREAD,riox enterprises,"R 999 200,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
466,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF BEEF HALAAL,rinaz holdings,"R 999 600,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
467,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),"SUPPLY AND DELIVERY OF GROCERIES
(MALTABELLA)",totse developments,"R 978 000,00",No contract in place,2023/12/21,Not Stated,Not Stated,Reported
468,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),"GROCERIES (TEA, DRINK FLOUR)",phn investment,"R 880 400,00",No contract in place,2023/12/22,Not Stated,Not Stated,Reported
469,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF BAKING INGREDIENTS,lesedi holdings,"R 448 200,00",No contract in place,2023/10/27,Not Stated,Not Stated,Reported
470,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF GROCERIES,liquids and holdings,"R 640 220,00",No contract in place,2023/10/26,Not Stated,Not Stated,Reported
471,Q4 2023/24,2024/01/24,,Department of Correctional Services (DCS),SUPPLY AND DELIVERY OF FISH HAKE,khoma mbilu projects,"R 696 000,00",No contract in place,2023/10/26,Not Stated,Not Stated,Reported
472,Q4 2023/24,2024/02/13,,"National Home Builders Registration Council
(NHBRC)","Diagnosis and repair work of Cube Press Machine
Machine",SPS Caliberation,"R 4 588,50",Impractically impossible,2024/02/08,Once-off,Not Stated,Reported
473,Q4 2023/24,2024/02/13,,"National Home Builders Registration Council
(NHBRC)",Provide proprietary technology and methology,University of Stellenbosch 's Centre for Geographical Analysis (CGA),"R 68 400,00",MOU,2024/02/13,Not Stated,Not Stated,Reported
474,Q4 2023/24,2024/02/13,,"National Home Builders Registration Council
(NHBRC)",Outlook and trends in residential buildings,University of Stellenbosch Bereau for Economic Research ( BER),"R 463 370,41",MOU,2023/12/18,2023/12/18,2025/12/17,Reported
475,Q4 2023/24,2024/02/13,,"National Home Builders Registration Council
(NHBRC)",Employee Wellness Programme,ICAS,"R 3 359 340,82",Impractically impossible,2024/02/06,2024/02/07,2024/08/06,Reported
476,Q4 2023/24,2024/02/13,,"National Home Builders Registration Council
(NHBRC)",Training,University of the Witwatersrand,"R 18 572,50",Impractically impossible,2024/02/05,Once-off,Not Stated,Reported
477,Q4 2023/24,2024/02/13,,Social Housing Regulatory Authority (SHRA),"Single Source memo for the renewal of the
Environmental Impact Assessment",Deep Black,"R 33 000,00","EIA is a key element of the project feasibility assessment to be
conducted by Deep Blac",2024/01/01,Once-off,Not Stated,Reported
478,Q4 2023/24,2024/02/13,,Social Housing Regulatory Authority (SHRA),Single Source memo for Microsoft 365 licenses renewal,JecTech Technologies,"R 139 875,00","JecTech is the appointed SHRAs Microsoft cloud service
provider",2024/02/02,2022/07/01,2024/06/30,Reported
479,Q4 2023/24,2024/02/13,,Social Housing Regulatory Authority (SHRA),Single source memo vehicle service and repairs,VW SA,"R 19 071,26","Service, repairs and maintanance by OEM",2024/02/06,Once-off,Not Stated,Reported
480,Q4 2023/24,2024/02/13,,Social Housing Regulatory Authority (SHRA),"Single source memo for READ AI APP Annual
subscription",READ AI APP - Enterprise,"R 6 768,00",Annual subscription,2024/02/05,2024/02/01,2025/01/01,Reported
481,Q4 2023/24,2024/02/15,,Public Protector South Africa,AGA Full Membership - 2024 SAICA Membership Fee,The South African Institute of Chartered Accountants (SAICA),"R 4 778,22",Sole Supplier,2 0 2 4 /0 1 / 3 0,N o t S t a t e d,N o t S t a t e d,Reported
482,Q4 2023/24,2024/02/15,,Public Protector South Africa,IOI Membership Fee,International Ombudsman Institute,"R 31 328,85",Sole Supplier,2 0 2 4 /0 1 / 1 6,N o t S t a t e d,N o t S t a t e d,Reported
483,Q4 2023/24,2024/02/15,,Public Protector South Africa,Annual Member Fee,South African Institute of Professional Accountants (SAIPA),"R 8 127,74",Sole Supplier,2 0 2 4 /0 2 / 0 9,N o t S t a t e d,N o t S t a t e d,Reported
484,Q4 2023/24,2024/02/15,,Public Protector South Africa,Renewal of the licences for CaseWare Working Papers,Adapt IT Holdings Ltd,"R 107 650,70",Sole Supplier,2 0 2 4 /0 2 / 1 3,N o t S t a t e d,N o t S t a t e d,Reported
485,Q4 2023/24,2024/02/15,,South African National Accreditation System (SANAS),Temporary Staff,Only Recruitment,"R 45 074,14",Single source,2024/01/31,2024/02/02,2025/02/01,Reported
486,Q4 2023/24,2024/02/15,,South African National Accreditation System (SANAS),KTC Standards,SABS Commercial,"R 629 452,00",Sole source,2024/02/07,2024/02/13,2025/02/13,Reported
487,Q4 2023/24,2024/02/15,,"South African Forestry Company SOC Limited
(SAFCOL)","Appointment of a service provider to transport the
mechanised harvesting team",MyBoet Transport,R-,Not Obtaining three (3) quotation,2024/02/02,Not Stated,Not Stated,Reported
488,Q4 2023/24,2024/02/15,,"South African Forestry Company SOC Limited
(SAFCOL)","Appointment of a service provider for provision of
destacking services",Mavuni Empowering Consultants,"R 460 453,64",Not Obtaining three quotation,2024/01/25,Not Stated,Not Stated,Reported
489,Q4 2023/24,2024/02/15,,"South African Forestry Company SOC Limited
(SAFCOL)",Procurement of a support service for IMS,Forestry Solutions,"R 98 827,55",Singe Source,2024/01/19,Not Stated,Not Stated,Reported
490,Q4 2023/24,2024/02/15,,"South African Forestry Company SOC Limited
(SAFCOL)","Appointment of a Conduct vigilance monitoring of
selected high conservation value (HCV) forests for
SAFCOL",Forestwood CC,"R 149 325,00",Not obtaining three quotations,2024/01/08,Not Stated,Not Stated,Reported
491,Q4 2023/24,2024/02/15,,"South African Forestry Company SOC Limited
(SAFCOL)",Litigation Services,Marule Attorneys,"R 1 500,00",Not obtaining three quotations,2023/05/10,Not Stated,Not Stated,Reported
492,Q4 2023/24,2024/02/12,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",To repair rooftop air-conditioner,Khanya Aircons & Projects,"R 22 600,00","To repair a rooftop air-conditioner that supplies Analytical
Laboratories.",2024/01/23,2024/01/23,2024/01/23,Reported
493,Q4 2023/24,2024/02/12,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Renewal of open membership subscription for a period
of twelve (12) months",Real IRM Solutions,"R 298 035,52","Subscription renwal of membership is done exlusively with Real
IRM Solutions as an exclusive representative of the Open
Group in South Africa.",2024/02/05,2024/02/16,2025/02/15,Reported
494,Q4 2023/24,2024/02/15,,Legal Aid South Africa,Membership fee,Chartered Institute of Procurement and Supply (CIPS),"R 6 106,50","Single Source,Membership",2024/02/13,2024/02/14,2025/02/13,Reported
495,Q4 2023/24,2024/02/21,,South African Social Security Agency (SASSA),Business Architecture Training,Real IRM Solutions,"R 18 124,00",Sole Supplier,2024/02/09,2024/02/12,2024/02/14,Reported
496,Q4 2023/24,2024/02/21,,South African Social Security Agency (SASSA),Roof Maintenance,Shalati Holdings,"R 92 240,00","Maruleng Local Office roof was damaged, the storm has blown
the roof of the office and broke the ceilings where the water
entered the whole office.",2024/02/15,2024/02/15,Not Stated,Reported
497,Q4 2023/24,2024/02/26,,National Gambling Board (NGB),Repairs to the wing of the DB Box,SSS Electrical,"R 4 942,70",Emergency,2024/02/06,2024/02/06,2024/02/06,Reported
498,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malibongwe Events,"R 6 470,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
499,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malibongwe Events,"R 13 560,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
500,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malibongwe Events,"R 24 630,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
501,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malibongwe Events,"R 99 820,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
502,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Langley's Catering,"R 6 795,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
503,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nkwali Operations,"R 15 875,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
