5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Pevious Expansion
[]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
84,Q3 2022/23,New,18/11/2022,National Treasury,"Request to approve Amendments to the SITA Service Level Agreement (SLA) signed for
5 years ending 31 March 2022",SITA (PTY) LTD,"SITA verified all the services they offer to NT and
found that the services depicted in section 3 hav been
omitted from the initial SLA","R 851 042,02","R 9 492 322,04",R -,"Within AA/AO mandate
Noting",2022/03/30,2022/04/01,2027/03/31
85,Q3 2022/23,New,18/11/2022,National Treasury,"Request to approve Amendments to the SITA Service Level Agreement (SLA) signed for
5 years ending 31 March 2022",SITA (PTY) LTD,"SITA verified all the services they offer to NT and
found that the services depicted in section 3 have
been omitted from the initial SLA","R 73 910,29","R 4 961 224,77",R -,"Within AA/AO mandate
Noting",2022/03/30,2022/04/01,2027/03/31
86,Q3 2022/23,New,18/11/2022,National Treasury,"Request to approve Amendments to the SITA Service Level Agreement (SLA) signed for
5 years ending 31 March 2022",SITA (PTY) LTD,"SITA verified all the services they offer to NT and
found that the services depicted in section 3 hav been
omittedfrom the initial SLA","R 1 032 767,00","R 53 895 275,54",R -,"Within AA/AO mandate
Noting",2022/03/30,2022/04/01,2027/03/31
87,Q3 2022/23,New,18/11/2022,National Treasury,"Request to approve price escalation for Afswitch under Managed Integrity Evaluation
(Pty) Ltd",Managed Integrity Evaluation (Pty) Ltd,Annual price increase for Afiswitch only,R -,R -,R -,"Within AA/AO mandate
Noting",2022/02/10,2022/04/13,2025/04/14
88,Q3 2022/23,New,18/11/2022,National Treasury,"To request Acting Director-General's approval for IGR to extend and expand the scope of
the current agreement with PriceWaterHouseCoopers Incorporated which is to transform
executive leadership and management through coaching",PriceWaterHouseCoopers,"Extend and Expand the scope of the current
agreement","R 4 161 091,64","R 3 702 369,80",R -,"Within AA/AO mandate
Noting",2022/02/21,2022/05/25,Not yet finalised
89,Q3 2022/23,New,2022/09/16,National Youth Development Agency (NYDA),"Human Resource Management system which engages new employees, maintains, and
updates changes, and termination of employees, VIP Payroll",Sage VIP,Continuity of Service,"R 30 778,00","R 136 736,15",R -,Noting,2022/09/01,2022/05/01,2023/02/28
90,Q3 2022/23,New,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF SUITABLE ICT PROFESSIONAL SERVICE PROVIDER
ACCREDITED ON SITA CONTRACT NO 1183 TO PROVIDE HUMAN RESOURCE FOR
OVG",Datacentrix,"ICT Resource to perform remunerative overtime for
the period of 18 August to 18 November 2022 for the
recovery and restoration of ERP System","R 147 059,72","R 6 998 981,21",R -,Noting,2022/08/18,2022/08/18,2022/11/18
91,Q3 2022/23,New,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF SUITABLE ICT PROFESSIONAL SERVICE PROVIDER
ACCREDITED ON SITA CONTRACT NO 1183 TO PROVIDE HUMAN RESOURCE FOR
OVG",Datacentrix,"Contract extension of the current contract for the IT
application Support Analyst resource for the period of
01 January until 30 June 2024",R -,R -,R -,Noting,2022/08/18,2022/08/18,2024/06/30
92,Q3 2022/23,New,2022/11/21,Office of the Valuer-General (OVG),LABOUR RATES ADJUSTMENT,Zwiito,Cleaning labour rates,R -,R -,R -,Noting,2022/07/29,2023/01/01,2024/06/30
93,Q3 2022/23,New,2022/09/22,Perishable Products Export Control Board (PPECB),Dynamics 365 Implementation,Altron Karabina,Revised MCS Proposal,"R 269 098,85","R 25 767 130,00","R 1 459 401,79",Noting,2021/06/02,2021/07/01,2026/06/30
94,Q3 2022/23,New,2022/12/15,Petroleum Agency South Africa (PASA),Appointment of a project management services in respect of office relocation,"Khuthazela Total Facilities Management Services
(KTFMS)","Due to delays between PASA and Redefine caused
KFTMS's services to be extended by two months.","R 330 000,00","R 423 200,00","R 211 000,00","Within AA/AO mandate
Noting",2022/11/29,2022/12/01,2023/02/28
95,Q3 2022/23,New,2022/10/17,Ports Regulator of South Africa,"appointment of a service provider to render company secretariat services for a period of
four months",Mashobane Advisory services,"Recruitment process of the permanent secretariat is
underway","R 103 829,75","R 155 744,64","R 51 914,88",Noting,2022/06/28,2022/09/01,2022/12/31
96,Q3 2022/23,New,2022/10/17,Ports Regulator of South Africa,"appointment of a service provider to render company secretariat services for a period of
two months",Mashobane Advisory services,"Recruitment process of the permanent secretariat is
underway","R 51 914,88","R 155 744,64",R -,Noting,2022/06/28,2022/07/01,2022/08/31
97,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
Courier Services",Skynet South Africa,"NT Transversal Contract could not be utilised as the
contract is coming to an end soon. New tender to be
advertised before end of November 2022.","R 825 000,00",R -,R -,Noting,2022/11/09,2019/01/02,31/01/2022
98,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
HM Security and Armed Response","Physical Security and Guarding FOR Nelspruit
Regional Office","Addidtional Guards needed to beef up security
services after barglury incidents attempts in the office","R 164 427,00","R 962 136,00",R -,Noting,2022/11/09,17/05/2021,16/05/2024
99,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
Marshal Nights Security","Physical Security and Guarding of Mthatha Regional
Offices","Addidtional Guards needed to beef up security
services after barglury incident happended in the office","R 170 274,93","R 1 038 190,80",R -,Noting,2022/11/09,17/07/2021,16/07/2024
100,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
Short-Term Insurance Broker Services",Bathathu Risk Services,"Tender awarded November 2022. extension was
necessary due to NT Advisory Note on Preferential
Procurement Regulations of 2017, dated 03 March
2022 instructing Public Entities not to advertise","R 1 262 887,30","R 3 406 418,27",R -,Noting,2022/11/09,2019/01/01,31/12/2021
101,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,"Supply, installation and maintenance of hosted VOIP PABX (telephony) and Call Centre
)
Management System",Broadlink (Pty) Ltd),"tenders but to extend them for 12 months.
Tender awarded November 2022. extension was
necessary due to NT Advisory Note on Preferential
Procurement Regulations of 2017, dated 03 March
2022 instructing Public Entities not to advertise","R 1 652 931,70","R 3 305 863,48",R -,Noting,2022/11/09,2018/01/01,30/06/2021
102,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
Supply, Installtion and and Maintenance of Wide Area Network",Jurumani Solutions Pty Ltd,"tenders but to extend them for 12 months. Tender was
Six (6) months extension was necessary so that the
new supplier can be afforded time to prepare
implementation. Tender was advertised twice with no
luck to award timely.","R 1 822 050,00","R 10 932 300,06",R -,Noting,2022/11/09,2022/11/01,2022/10/30
103,Q3 2022/23,New,2022/11/29,Private Security Industry Regulatory Authority (PSIRA,")
TDP Security","Physical Security and Guarding of Centurion Head
Office","Additional security guards needed due to threats
identified in the top management block of offices","R 180 000,00","R 1 080 000,00",R -,Noting,2022/11/09,17/06/2021,16/06/2024
104,Q3 2022/23,New,2022/10/18,Public Protector South Africa,Gardening services for Sibasa Office for a period of ten (10) months,Monabo Hygiene Services CC,Expansion of the scope,"R 31 178,24","R 275 814,02",R -,Noting,Not stated,Not stated,Not stated
105,Q3 2022/23,New,2022/10/18,Public Protector South Africa,"Hosting, support and maintenance for Mobile Referral Application",The Innovation Hub Management Company,Contract Extension,"R 66 930,00","R 447 434,90",R -,Noting,Not stated,Not stated,Not stated
106,Q3 2022/23,New,2022/11/07,Railway Safety Regulator (RSR),SAGE 300 technical support services,Omni Africa,Extension of scope and time,"R 72 450,00","R 193 200,00",R -,Noting,2022/10/22,20222/11/01,2023/07/10
107,Q3 2022/23,New,2022/11/30,Road Accident Fund (RAF),Countinuation of service,ICAS (Pty)Ltd,Continuity of Service,"R 1 219 500,00","R 15 022 741,13",R -,Noting,2022/11/15,2022/10/15,2025/08/31
108,Q3 2022/23,New,2022/11/30,Road Accident Fund (RAF),Countinuation of service,"Mphosa Construction Projects (Pty)Ltd T/A Mphosha
Security Services",Continuity of Service,"R 959 904,88","R 13 347 398,03",R -,Noting,2022/11/15,2022/11/01,2023/06/06
109,Q3 2022/23,New,2022/11/30,Road Accident Fund (RAF),Finalisation of new tender,Sizwe Africa IT Group (Pty)Ltd,Continuity of Service,"R 5 175 371,15","R 49 500 000,00",R -,Noting,2022/11/15,2022/12/15,2023/06/14
110,Q3 2022/23,New,2022/09/26,Road Accident Fund (RAF),Security services,Mjayeli Security Services,Additional Security Services,"R 1 819 335,72","R 1 881 457,50",R -,Noting,2022/08/01,2022/08/01,2023/01/31
111,Q3 2022/23,New,2022/09/16,Road Traffic Infringement Agency (RTIA),Office lease,Mowana Properties,Procurement process still underway,"R 1 050 000,00","R 18 000 000,00","R 1 800 000,00",Noting,2022/09/09,2022/08/29,2022/11/30
112,Q3 2022/23,New,2022/10/14,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA",Provision and implementation of an integrated management information system t,Solugrowth (Pty) Ltd,"Extension of scope of work to include MER module
for effective and efficient reporting of performance
information","R 67 103,00","R 8 047 975,76","R 12 544 047,28",Noting,2022/09/05,2022/09/05,2023/12/31
113,Q3 2022/23,New,2022/11/08,Small Enterprise Development Agency (SEDA),Office Lease: Seda Swellendam Branch,Wolfaardt Trust,"Seda requested quotation from service providers for
benchmarking purposes and the current landlords
proposal was the lowest.","R 49 498,00","R 495 491,00","R 386 560,00","Within AA/AO mandate
Noting",2022/07/25,2022/11/01,2024/10/31
114,Q3 2022/23,New,2022/10/18,South Afican evenue Sevice,Acquisition of 32 additional paking bays at the Witbank Banch Office,Uhuu Pofessional Electical Contactos (Pty) Ltd,Staff paking,"R 576 408,75","R 21 360 419,77","R 30 666 270,45","Within AA/AO mandate
Noting",2022/01/08,2022/01/08,31/07/2024
115,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Software license extension for Media Planning and Data Analysis Tools,Ask Afrika (TGI),License renewals,"R 2 303 095,80","R 6 580 274,70",R -,"Within AA/AO mandate
Noting",2022/09/27,2022/10/01,2023/09/30
116,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Software license extension for Media Planning and Data Analysis Tools,AGB Nielsen,License renewals,"R 1 971 622,01","R 8 000 508,48",R -,"Within AA/AO mandate
Noting",2022/09/27,2022/10/01,2023/09/30
117,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Software license extension for Media Planning and Data Analysis Tools,Telmar Media System,License renewals,"R 3 119 629,15","R 8 417 852,40",R -,"Within AA/AO mandate
Noting",2022/09/27,2022/10/01,2023/09/30
118,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Scaffolding equipment Lease,Wreckers Scaffolding Services (Pty) Ltd,Continuity of service while a tender process unfolds,"R 442 921,50","R 1 771 686,00","R 2 657 529,00","Within AA/AO mandate
Noting",2022/07/08,2022/08/01,2023/01/31
119,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)","Software license upgrade, and support and maintenance",Software AG South Africa (Pty) Ltd,"Upgrading of the existing Adabas Natural Environment
Software","R 4 274 999,65","R 4 687 645,46",R -,"Within AA/AO mandate
Noting",2022/07/22,2022/08/01,2023/04/25
120,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)","Supply, Installation and Commissioning of the Henley Linking",African Union Communications (South Africa) Pty Ltd,More time to implement the solution,"R 4 369 988,50","R 11 428 581,73",R -,"Within AA/AO mandate
Noting",2022/08/25,2022/09/01,2022/12/31
121,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Eastern Cape Cleaning services,Servest Pty Ltd,Continuity of service while a tender Process unfolds,"R 256 066,94","R 3 955 881,84","R 128 033,50","Within AA/AO mandate
Noting",2022/08/26,2022/09/01,2022/10/31
122,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Economic Data services,Refinitive SA Incorporated in Switzerland,Continuity of services,"R 1 672 390,00","R 1 146 722,04",R -,"Within AA/AO mandate
Noting",2022/10/05,2022/11/01,2024/10/31
123,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",Tshwane Security services,Modise Protection services,Continuity of service while a tender Process unfolds,"R 147 554,20","R 1 217 094,86",R -,"Within AA/AO mandate
Noting",2022/09/30,2022/10/01,2022/11/30
124,Q3 2022/23,New,2022/11/28,"South African Broadcasting Corporation SOC
Limited (SABC)",SABC Free State and Northern Cape Regional Offices - Security Services,Khayalami Security services,Continuity of service while a tender Process unfolds,"R 555 808,80","R 2 394 024,00","R 1 111 617,60","Within AA/AO mandate
Noting",2022/09/20,2022/10/01,2022/11/30
125,Q3 2022/23,New,2022/11/02,South African Civil Aviation Authority (SACAA),Head office lease,Redefine and Growth Point,Continuity of Service,"R 85 574 539,93","R 56 248 104,24","R 45 586 624,23",Noting,2022/11/02,2023/01/01,2025/12/31
126,Q3 2022/23,New,2022/12/02,South African Forestry Company Limited,"JDE Support, Maintenance and Enhancement for a period of two (2) months",EOH Mthombo (Pty Ltd,Business Continuity,"R 1 176 450,00","R 196 075,00","R 274 505,00",Noting,2022/12/01,2022/12/08,2023/02/07
127,Q3 2022/23,New,2022/10/31,"South African Health Products Regulatory Authority
(SAPHRA)",Board strategy planning,Travel With Flair,Additioanl conference packaging,"R 8 240,00","R 34 775,00",R -,Noting,2022/09/26,2022/09/29,2022/09/30
128,Q3 2022/23,New,2022/10/31,"South African Health Products Regulatory Authority
(SAPHRA)",EMP Tax calculation,Icon Business Solutions,"Additional services required to finalise the tax year
end process","R 143 500,24","R 287 500,00",R -,Noting,2022/08/24,2022/09/01,2023/08/31
129,Q3 2022/23,New,2022/12/12,South African National Parks (SANParks),Appointment of a Service Provider for Provision of Security Service to Karoo NP,Jen Foods,SANParks-022873-22,"R 31 995,30","R 119 814,43",R -,"Within AA/AO mandate
Noting",2022/10/31,Not stated,Not stated
130,Q3 2022/23,New,2022/12/02,South African National Space Agency (SANSA),Extenion of Guardhouse,Pancare,"Adherence to National Key Point specifications
required an adjustment to the design of the roof that
was not known at the time of placing the contract on
the supplier.","R 428 984,12","R 728 219,69",R -,"Within AA/AO mandate
Noting",2022/10/11,2022/10/11,2023/03/31
131,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Air Cargo services,Docex,"The objective of the request is to extend the contract
for Bid Air cargo on a month to month basis whilst the
tender process is being finalised","R 1 000 000,00","R 1 000 000,00","R 1 000 000,00","Within AA/AO mandate
Noting",2022/08/04,2022/08/01,2023/03/31
132,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Insurance Broker,Indwe Risk Services,"Possible risk of not attracting a brokering service to
service SAPO's portfolio
RFP could not be advertised due to Constitutional
court verdict in February 2022","R 9 27 500,00","R 875 000,00",-,"Within AA/AO mandate
Noting",2022/06/23,2022/07/01,2023/06/30
133,Q3 2022/23,New,2022/11/14,South African Post Office Limited,IT Security Managed Services,IN2IT,"A decision made by SAPO to only increase the
contract for a period of 6 months and SAPO to go out
on a procurement process","R 2 672 335,00","R 26 566 566,00","R 1 6 539 216,00","Within AA/AO mandate
Noting",2022/06/09,2022/07/01,2022/12/31
134,Q3 2022/23,New,2022/11/14,South African Post Office Limited,National Linehaul,Arrow Logistics,"The DTT Analog switch off project deadline was
extended from June 22 to September 2022 by the
High court. The new Intergovernmental contract does
not make provision for the delivery of pallets which is","R 1 1 313 317,00","R 2 26 388 529,00","R 6 9 900 000,00","Within AA/AO mandate
Noting",2022/09/29,2022/10/01,2022/12/31
135,Q3 2022/23,New,2022/11/14,South African Post Office Limited,National Linehaul,Arrow Logistics,"required for the DTT project. SAPO does not have
The DTT Analog switch off project delaine was
extended from end March 2022 to June 2022 by the
High court. The new Intergovernmental contract does
not make provision for the delivery of pallets which is","R 1 0 000 000,00","R 2 26 388 529,00","R 4 9 900 000,00","Within AA/AO mandate
Noting",2022/04/11,2022/04/01,2022/06/30
136,Q3 2022/23,New,2022/11/14,South African Post Office Limited,National Linehaul,Arrow Logistics,"required for the DTT project. NT embargo makes it
The DTT Analog switch off project deadline was
extended from June 22 to September 2022 by the
High court. The new Intergovernmental contract does
not make provision for the delivery of pallets which is","R 1 0 000 000,00","R 2 26 388 529,00","R 5 9 900 000,00","Within AA/AO mandate
Noting",2022/06/23,2022/07/01,2022/09/30
137,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Preparation of Annual Financial Statements,Kreston Pretoria,"required for the DTT project. SAPO does not have
The RFP was issued for a period of 2 years and only
awarded for a period of 1 year due to the moratorium
on multi year contracts. The extension is for the 2nd
year","R 3 675 000,00","R 3 815 000,00",-,"Within AA/AO mandate
Noting",2022/08/30,2023/02/01,2023/11/30
138,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Short term rental,Majories Enterprise and Somams Project JV,"The new appointed suppliers required a lead time of 2 -
3 months to deliver the vehicles and the previous
supplier withdrew their vehicles. There was not
sufficient vehicles to assist operations","R 1 2 000 000,00","R 8 500 000,00","R 1 0 000 000,00","Within AA/AO mandate
Noting",2022/11/03,2022/10/01,2023/03/31
139,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Short term rental,Majories Enterprise and Somams Project JV,"The new appointed suppliers required a lead time of 2 -
3 months to deliver the vehicles and the previous
supplier withdrew their vehicles. There was not
sufficient vehicles to assist operations","R 5 000 000,00","R 8 500 000,00","R 5 000 000,00","Within AA/AO mandate
Noting",2022/06/23,2021/12/01,2022/11/30
140,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Short term rental,NMP holdings,"The contract with the supplier is expanded due to the
preferred bidder that withdrew from the process as
they could not provide the services in the KZN area","R 2 523 690,00","R 4 711 672,00","R 7 82 064,00","Within AA/AO mandate
Noting",2022/08/03,2022/08/22,2022/07/23
141,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Short term rental,NMP holdings,"The contract with the supplier is expanded due to the
preferred bidder that withdrew from the process as
they could not provide the services in the
Mpumalanga area","R 7 82 064,00","R 4 711 672,00",-,"Within AA/AO mandate
Noting",2022/07/28,2022/08/22,2022/07/23
142,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 240 504,00","R 9 60 032 341,00","R 1 20 000 000,00","Within AA/AO mandate
Noting",2022/09/26,2022/08/01,2022/08/30
143,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 000 000,00","R 9 60 032 341,00",R -,"Within AA/AO mandate
Noting",2022/10/18,2022/04/01,31 April 2022
144,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 000 000,00","R 9 60 032 341,00","R 3 0 000 000,00","Within AA/AO mandate
Noting",2022/07/04,2022/05/01,2022/05/31
145,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 000 000,00","R 9 60 032 341,00","R 6 0 000 000,00","Within AA/AO mandate
Noting",2022/07/30,2022/06/01,2022/06/30
146,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 000 000,00","R 9 60 032 341,00","R 9 0 000 000,00","Within AA/AO mandate
Noting",2022/08/31,2022/07/01,2022/07/31
147,Q3 2022/23,New,2022/11/14,South African Post Office Limited,Telkom services,Telkom,"Payment of monthly Telkom services invoices for the
remainder of the contract period whilst the contract
review process is concluded","R 3 0 000 000,00","R 9 60 032 341,00","R 1 50 240 504,00","Within AA/AO mandate
Noting",2022/10/18,2022/09/01,2022/09/30
148,Q3 2022/23,New,2022/12/02,South African Revenue Service,Benoni TPS office,Growthpoint Securitization Warehouse Trust,"Expansion of the lease agreement between SARS and
Growthpoint Securitization Warehouse Trust, in
relation to the leasing out of office space at the
Lakeside Mall, for a period of one (1) year, with an","R 463 404,00","R 564 144,00",R -,"Within AA/AO mandate
Noting",2022/12/01,2023/01/01,2023/12/31
149,Q3 2022/23,New,2022/10/25,South African Revenue Service,EX 023/2022 - The Renewal of Suse Linux and Suse Manager Maintenance and Support,Axiz PTY LTD,impracticality,"R 17 035 205,82",R -,R -,"Within AA/AO mandate
Noting",2022/10/20,2022/11/01,2027/10/31
150,Q3 2022/23,New,2022/10/19,South African Revenue Service,Maintenance and suppot NIIS and CMS,Rakario Properties (Pty) Ltd,"Contract extension between SARS and Rakario
Properties (Pty) Ltd; in respect of the leasing out of
office space for a period of five (5) years,
commencing 01 November 2022 to 31 October 2027","R 61 286 835,00","R 298 945 522,72","R 4 074 298,81","Within AA/AO mandate
Noting",2022/06/10,2022/01/11,31/10/2027
151,Q3 2022/23,New,2022/12/01,South African Revenue Service,Nigel Lease extension,Lathitha Properties (Pty) Ltd,"with an oContract extension between SARS and
Expansion of the Nigel lease between SARS and
Lathitha Properties (Pty) Ltd for a further period of
one (1) year commencing 1 December 2022 and
ending 30 November 2023, with an option for early","R 1 233 497,40","R 5 104 520,56","R 10 967 126,00","Within AA/AO mandate
Noting",2022/11/29,2022/12/01,2023/11/30
152,Q3 2022/23,New,2022/11/25,South African Revenue Service,Pest Control Management,"1. Kusile Hygiene and Industrial Services
2. Masana Hygiene Services
3. Supercare Hygiene","exit pending relocation to alternative premises.
The extension of RFP 14/2019 – Provision of
Integrated Pest Control Management Services for
all SARS offices, Nationwide for a period of twelve
(12) months effective 01 December 2022 to 30","R 2 420 273,73","R 667 596,80",R -,"Within AA/AO mandate
Noting",2022/11/22,2022/12/01,2023/11/30
153,Q3 2022/23,New,2022/10/25,South African Revenue Service,Prinsman Parking lease extension,Octodec Investments Ltd,"The extension of a lease agreement between SARS
and Octodec Investments Ltd for five (5) parking bays
within the Prinsman parking space. The extension will
be for a period of five (5) years commencing from 1","R 309 504,77","R 231 101,31",R -,"Within AA/AO mandate
Noting",2022/09/27,2022/10/01,2027/09/30
154,Q3 2022/23,New,2022/11/25,South African Revenue Service,RFP 41/2019 physical security extension,"1. Tshedza Protective Services CC
2. Royal Security CC
3. Fidelity Security Services (PTY) LTD
4. Wenzile Phaphama Trading and Projects CC","October 2022 until 30 September 2027.
The extension of RFP 41/2019A- Armed
Guarding, Close Protection and Tactical
Response Security Services and RFP 41/2019C-
National Guarding Security Services for a period","R 49 070 408,00","R 349 054 385,47",R -,"Within AA/AO mandate
Noting",2022/11/17,2022/12/01,2023/03/31
155,Q3 2022/23,New,2022/10/25,South African Revenue Service,"VAR 32/2022 - Variation of the Smart Access services (0800 Share call number)
contract for an amount of R 62 471 829 (VAT Inclusive).",Telkom SA SOC Ltd,Variation of Value,"R 62 471 829,00","R 241 135 739,00",R -,"Within AA/AO mandate
Noting",2022/10/20,2022/11/01,2024/03/31
156,Q3 2022/23,New,2022/10/06,South African Social Security Agency,"Cleaning and Sanitation Services contract between SASSA Head Office and Staza
Cleaning Services (PTY) LTD for a period of one month (1 - 31 October 2022",Staza Cleaning Services,Finalization of procurement process,"R 271 084,70","R 2 678 246,07","R 575 693,60",Noting,2022/09/23,2022/01/10,2022/10/30
157,Q3 2022/23,New,2022/10/06,South African Social Security Agency,"Call Centre Extension fo 3 months Oct to Dec 2022Call Centre Extension fo 3 months
Oct to Dec 2022",Ison,Finalization of procurement process,"R 14 748 750,00","R 2 949 500,00","R 29 497 500,00",Noting,2022/09/23,2022/01/10,2022/12/31
158,Q3 2022/23,New,2022/09/22,South African Weather Service,Provision of Proofreading Services for the SAWS Annual Report 2021/2022,EPICREATIVE,"The South African Weather Service (SAWS)
appointed EPICREATIVE through a competitive RFQ
process for the compilation of a list of acronyms
based on 120 pages of","R 15 318,00","R 22 080,00",R -,"Within AA/AO mandate
Noting",2022/08/16,Not stated,Not stated
159,Q3 2022/23,New,2022/10/13,South African Weather Service,Provision of SANReN network used by the South African Weather Service,TENET,"MS Word text for parts A to D of the SAWS annual
SAWS expanded the scope of the contract to include
cross connect services to save cost,by avoiding that
each of the service providers listed below:
i. Enterprise APN to Vodacom;","R 84 628,50","R 414 400,00",R -,"Within AA/AO mandate
Noting",2022/09/29,2022/09/29,2023/03/31
160,Q3 2022/23,New,2022/11/14,State Information Technology Agency,"Request to extend current contract with SNO cleaning services cc and SITA for the
Durban office for the period of four (4) months",SNO Cleaning Services CC,"ii, Enterprise APN to
The replacement tender could not be published due to
the moratorium on publication of new bids because of
the court judgemet on the validity of the Preferential
Procurement Regulations","R 80 763,36","R 677 990,73",R -,"Within AA/AO mandate
Noting",2022/08/10,2022/08/26,2022/12/25
161,Q3 2022/23,New,2022/11/14,State Information Technology Agency,"Scope expansion for the upgrade of access link: psc0001-20 from 10 meg to 20 meg for
the office of the public service commission (OPSC) for a period of five (5) years",Telkom SA SOC Limited,"Upgrades are required as the existing network is slow
and delays the rendereing of servoces to the citizens.","R 644 462,85","R 334 993,20",R -,"Within AA/AO mandate
Noting",2021/01/18,2022/09/01,2026/01/17
162,Q3 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),AccPac License,AccTech Systems,"Alignment of 2have same ending date before Oracle
Fusion ERP system implementation","R 163 056,58","R 237 172,92",R -,Noting,2022/10/31,2019/04/01,2022/02/28
163,Q3 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),"Caseware System licences and support for the compilation of Annual Financial
Statements",AdaptIT,"Extension of the contract due to delay in the
finalisation of the ERP tender","R 160 725,08","R 963 349,50","R 711 818,00",Noting,2022/10/31,2017/12/01,2023/12/01
164,Q2 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),Cleaning Services,People's Choice Projects (Pty) Ltd,"Expand contract on duration and cost: Due to
procurement halt and TCTA new office premises","R 560 385,51","R 605 810,53",R -,Noting,2022/10/31,2022/01/01,2022/05/31
165,Q3 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),Cleaning Services,People's Choice Projects (Pty) Ltd,"Expand contract on duration and cost: Due to
procurement halt and TCTA new office premises","R 364 176,31","R 605 810,53","R 560 385,51",Noting,2022/10/31,2022/01/01,2023/01/31
166,Q3 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),Office accomodation,Central Vision Development,"Supply and maintenance of 5x biometric readers,
installation of security gates, removal of unactioned
furniture, Avaya system upgrade","R 2 044 865,18","R 76 748 796,88","R 284 175,73",Noting,2022/10/31,2022/12/01,2027/11/30
167,Q3 2022/23,New,2022/10/31,Trans-Caledon Tunnel Authority (TCTA),Security Services,Phutadichaba Trading Enterprises,"Extension to allow for the move completion, tender
process and 2 additional guards","R 325 256,62","R 6 199 487,20","R 1 047 811,54",Noting,2022/10/31,2019/06/01,2023/02/28
168,Q3 2022/23,New,2022/10/05,Transport Education Training Authority (TETA)SETA,"An Integrated Management Information System (MIS) And Commercially Off-The Shelf
(Cots) ERP Solution/s",Solugrowth (Pty) Ltd,Continuity of Service,"R 5 243 491,29","R 7 026 960,00","R 7 504 587,80",Noting,2022/03/31,2022/04/01,2022/06/30
