5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
166,Trans-Caledon Tunnel Authority,"Provide technical assistance for the Lesotho Highlands Water Project (LHWP) tunnel
inspection and implement the identified remedial measures and repairs",Lesotho Highlands Development Authority,"1 3,000,000.00",Time constraints,Not Supported,2019/10/01,2020/03/30
167,Trans-Caledon Tunnel Authority,Forensic investigations,Not stated,"1 ,400,000.00",Close-bidding - Confidentiality,Supported,Not Stated,Not Stated
168,Trans-Caledon Tunnel Authority,Represent in a litigation dispute with Witswatersrand,Werkmans Attorneys,"3 ,173,000.00",Continuity of Service,Not Supported,Not Stated,Not Stated
169,Trans-Caledon Tunnel Authority,Conduct a technical assessment of the ERP System 32 Oracle accredited companies Not Stated,,,Close-bidding -Limited Suppliers,Conditional support,Not Stated,Not Stated
170,Trans-Caledon Tunnel Authority,Appeal: Represent in a litigation dispute with Witswatersrand,Werkmans Attorneys,"3 ,173,000.00",Continuity of Service,Conditional support,Not Stated,Not Stated
171,Transnet Limited,Provision of International Operator Mentors,Aitken Spence,"55,817,336.00",Previous service provider,Conditional support,2019/10/01,2019/12/31
172,Transnet Limited,Provision of Specialised Technical Services in Port of Saldanha,"Anglo American Kumba Iron Ore (Pty) Ltd
(Kumba)","26,000,000.00",Only iron ore mining company in South Africa,Conditional support,Not stated,2.5 Months
173,Transnet Limited,"The Marine Enginering Supervision for Durban Container Terminal (DCT) Berth 203 to
205 Reconstruction, Deepening and Lengthening","ZAA Engineering Projects and Naval
Architect (Pty) Ltd (ZAA)","76,636,223.78",Continuity of service,Not supported,Not stated,5 years
174,Treasury,Upgrade and maintenance of licence,Quantec,"1,059,842.30",Sole supplier,Supported,2019/10/01,2022/09/30
175,Umgeni Water,Remaining work of Darvill Waste Water Treatment Works,Closed tender,Not Stated,Continuity of work,Conditional support,Not Stated,Not Stated
176,Umgeni Water,"Supply, install and configure a Cisco Security Solution & Switches",Dimension Data,"3 2,477,398.37",Close bidding: Gold Partners only,Conditional support,Not Stated,Not Stated
177,Umgeni Water,"Construction of earthworks, layersworks, surfacing, drainage and retaining structures on
the Maphumulo Access Road",Chris Africa Civils,"5 9,281,476.29","Safety concerns, due to urgency of the matter and the
dry season being the best time for construction",Not supported,Not Stated,Not Stated
178,Umgeni Water,Provision of banking service,Nedbank,"2 0,957,882.20",Close-bidding - Limited Suppliers,Conditional support,Not Stated,Not Stated
179,USAASA,Closed bid,Closed bid,Not stated,Closed bid,Not stated,Not stated,Not stated
180,Wholesale and Retail SETA,Microsoft dynamic ERP Licenses,"Closed bid to Microsoft accredited
suppliers","3,100,000.00",Microsoft dynamic licenses,Conditional Support,Not Stated,Not Stated
181,Women,Private legal counsel for Minister,Not stated,0.00,Court judgement - Minister liable for costs,Not supported,Not Stated,Not Stated
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
