GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 2 (16 June 2021 - 15 September 2021) REPORT DEVIATIONS,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),"Contract expiry
(yyyy/mm/dd)"
140,2021/09/01,Small Enterprise Development Agency (SEDA),Office Accommmodation in Queenstown,Investpro Commercial (Pty) Ltd,"1 462 103,60",Single Source,Not Supported,2021/10/1,2023/09/30
141,2021/06/22,South African Airways (SAA),"Undertake an assessment of Mango’s financial status, its business
sustainability",Sipho Eric Sono,100 000.00,Urgency,Not supported,12 months,12 months
142,2021/06/28,South African Airways (SAA),Provision of legal service,ENS Africa,Not stated,Urgency,Conditional Support,Not stated,Not stated
143,2021/08/03,South African Airways (SAA),"Diversion stations to the
following ten (10) Companies to oversee and handle all SAA
diversions outside of
South Africa","IJET Aviation,
HADID, International, Aviation Services
Management (ASM), EUROJET,
FLYTAG.COM, MH Aviation
Service, HABIBASH Aviation Services and
SBA Flight Support Services Ltd,",Not stated,Preferred service providers,Conditional Support,Not stated,Not stated
144,2021/06/23,South African Broadcasting Corporation SOC Limited (SABC),Recommissioning of various programmes,Various Production Houses,"858 672 177,20",Financial Sustainability and Competitive Survival,Conditional Support,Not Stated,Not Stated
145,2021/08/05,South African Broadcasting Corporation SOC Limited (SABC),"Provision of Software and Hardware Support of the Linear Tape
Open (LTO) Archiving System",Inala Broadcast (Pty) Ltd,"7 534 806,00",Single Source,Not Supported,Not Stated,2024/08/11
146,2021/06/03,South African Forestry Company SOC Limited (SAFCOL),Provision of WAN maintenance and support to SAFCOL,Mint Fresh Trading,18 337 536.00,Business continuity,Conditional supported,36 months,36 months
147,2021/07/01,South African Health Products Regulatory Authority (SAPHRA),"EURS and EURS Next Digital eCTD evaluation platforms
(subscription)",EXTEDO,"1 317 305,22",subscription,Supported,2021/8/1,2021/7/31
148,2021/07/01,South African Health Products Regulatory Authority (SAPHRA),"Provision of the EURS and EURS Next Digital eCTD evaluation
platforms (subscription)",EXTEDO,"1 317 305,22",Extedo is OEM,Supported,2021/8/1,31/7/2022
149,2021/7/2,South African Maritime Safety Authority (SAMSA),Provision of two flagships online products: Sea-Web and AIS-Live,IHS Markit,"798 273,34",Sole Supplier,Within AA/AO mandate Noting,Not Stated,Not Stated
150,2021/09/01,South African Maritime Safety Authority (SAMSA),Forensic Investogation Service,"Audit & Risk Management Solutions
(ARMS)","1 677 840,00",Highest scoring bidder has legal issues,Not Supported,Not Stated,Not Stated
151,2021/09/03,South African Maritime Safety Authority (SAMSA),"Provisioning of multiprotocol label switching (MPLS) Wide Area
Network(WAN) infrastructure for the eight months",Vox Telecom,"2 477 391,12",Continuation of service,Not Supported,2021/9/1,2022/03/31
152,2021/09/14,South African Maritime Safety Authority (SAMSA),"Provisioning of professional services including procurement of the
xCP Toolbox.",OpenText,"4 000 000,00","Urgency for the implementation of required system improvements,",Not Supported,Not stated,Not stated
153,2021/06/14,South African Medical Research Council (SAMRC),,"Centre of Proteomic & Genomic
Research laboratory (CPGR)","1 295 119,15",Sole Supply,Within AA/AO mandate Noting,Not Stated,Not Stated
154,2021/06/03,South African Medical Research Council (SAMRC),The development of the medical device platform,"Council for Scientific and Industrial
Research (CSIR)","789 540,00",Continuity of service.,Conditional Support,Not Stated,Not Stated
155,2021/07/29,South African National Biodiversity Institute (SANBI),"Supply of specialised verterinary services and related supplies to
SANBI's National Zoologocal Gardens",University of Pretoria,"1 157 389,20",Single Source,Not Supported,Not Stated,Not Stated
156,2021/06/18,South African National Space Agency (SANSA),Space Infrastructure Hub Feasibility Scoping Support,"Government Technical Advisory Centre
(GTAC)","1 000 000,00",Single Source,Conditional Support,Not Stated,Not Stated
157,2021/06/24,South African National Space Agency (SANSA),"Review and Development of SANSA's Compliance Frameworks,
Policies, and Microstructure",GTAC,"1 592 640,00",Sensitive Information,Conditional Support,Not Stated,Not Stated
158,2021/07/22,South African National Space Agency (SANSA),"Weekly Declination/Inclination (DI) observations required at
Keetmanshoop Geomagnetic Station in Namibia",Mr Jawen Jacobs,"45 843,00",Single Source,Conditional Support,Not Stated,Not Stated
159,2021/09/02,South African National Space Agency (SANSA),Executive Space Course Training for Board Members,International Space University,"450 000,00",Single Source,Conditional Support,Not Stated,Not Stated
160,2021/07/29,South African Police Service (SAPS),Completion of the previous work done for the Aircraft ZS-RHD,Airbus Southern Africa,12 436 529.87,Sole Supplier,Within AA/AO mandate Noting,Not stated,Note stated
161,2021/07/29,South African Police Service (SAPS),Completion of the previous work in progress for the aircraft ZS-RZV,Airbus Southern Africa,5 258 852.42,Sole Supplier,Within AA/AO mandate Noting,Not stated,Note stated
162,2021/08/04,South African Police Service (SAPS),"10 back packs for the members deployed in KwaZulu Natal and
Gauteng to deal with the unrest",Shaneal Distributors,"630 000,00",Emergency Procurement,Noting,Once off,Once off
163,2021/07/29,South African Police Service (SAPS),"Accommodation for members deployed in KwaZulu-Natal and
Gauteng to deal with the unrest",Various accommodation,"2 697 735,00",Emergency Procurement,Noting,Once off,Once off
164,2021/08/18,South African Police Service (SAPS),"Procurement of Ammunition 9x19 mm Calibre , Ball (full metal jacket
ammunition",Denel Pretoria Metal Pressings,6 530 000.00,Preferred Supplier,Not Supported,Not stated,Not stated
165,2021/08/18,South African Police Service (SAPS),"Procurement of round 5.56x45mm Calibre, Ball (full metal jacket)
ammunition",Denel Pretoria Metal Pressings,4 006 560.00,Preferred Supplier,Not Supported,Not stated,Not stated
166,2021/08/23,South African Police Service (SAPS),"Reporting: Procurement of 7100 helmets blcack and 2100 Masks
filters",Paramount,8 413 975.00,Emergency Procurement,Noting,Not stated,Not stated
167,2021/08/23,South African Police Service (SAPS),"Reporting: Procurement of 2900 helmets green and 7900 maks and
7900 filters",Paramount,"13 027 600,00",Emergency Procurement,Noting,Not stated,Not stated
168,2021/07/15,South African Police Service (SAPS),Operational resourcing during unrest,Not Stated,Not Stated,Emergency Procurement,Noting,Not Stated,Not Stated
169,2021/09/09,South African Police Service (SAPS),"To complete the work in progress for 12-year inspection on SAPS
BPG 786B (ZS-RZV)",Airbus Southern Africa,5 258 852.46,Sole source,Noting,Not Stated,Not Stated
170,2021/09/09,South African Police Service (SAPS),"To complete work in progress for 12-year inspection on SAPS
BPT988B (ZS-RHD)",Airbus Southern Africa,12 436 529.87,Sole source,Noting,Not Stated,Not Stated
171,2021/09/09,South African Police Service (SAPS),"annual mandatory periodic inspection and items due on aircraft
SAPS127413R (ZS-NIW)",Pilatus PC Southern Africa,1 232 236.50,Sole source,Noting,Not Stated,Not Stated
172,2021/08/16,South African Post Office (SAPO),Electronic disbursement solution,Not Stated,Not Stated,single source,Supported,Not Stated,Not Stated
173,2021/08/17,South African Post Office (SAPO),To provide Trend Micro Antivirus software maintenance and support,Blue Turtle,"4859872,50",single source,Supported,2021/9/1,31/8/2021
174,2021/08/16,South African Post Office (SAPO),Electronic disbursement solution,Not Stated,Not Stated,single source,Noting,2021/8/1,03/2022
175,2021/06/21,,,"Thuthuka Education Upliftment Fund
(TEUF)","5071085,00",Preferred supplier,Not Supported,Not Stated,
176,2021/07/01,South African Revenue Service (SARS),"Procurement of a Research Survey Tool including maintenance and
support services for a period of thirty six (36) months",Qualtrics International Inc,"3135000,00",single source,Supported,Not Stated,Not Stated
177,2021/07/02,South African Revenue Service (SARS),Decommission of the Soweto Dube branch,Hammi Ink Project (Pty) Ltd,"106668,25",Cost efficient,Supported,Not Stated,Not Stated
178,2021/09/01,South African Revenue Service (SARS),Decommission of the Soweto Dube branch,Business Partners (Pty) Ltd,"106668,25",,Supported,Not Stated,Not Stated
179,2021/07/22,South African Revenue Service (SARS),"The renewal of the VMWare Airwatch (Mobile Management Solution)
services",Dell Technologies,"45599091,09",Cost efficient,Supported,Not Stated,Not Stated
180,2021/08/16,South African Revenue Service (SARS),Disposal of clothing and textile,Britz Non-Woven,"1500000,00",single source,Conditional Support,Not Stated,Not Stated
181,2021/08/23,South African Revenue Service (SARS),Subscription of the SSAName3 tool,Not Stated,"13921288,25",single source,Supported,2021/10/1,30/9/2026
182,2021/08/16,South African Social Security Agency (SASSA),"Appoint Prosense Technology to provide development work, support
and maintenance of the ongoing receipt, verification, validation, bank
processing aspects and payment of the COVID 19 social grants",Prosense Technology,23 379 500.00,Preferred service provider,Conditional Support,2021/8/6,2022/07/31
183,2021/08/16,South African Social Security Agency (SASSA),"Appoint Prosense Technology to provide development work, support
and maintenance of the ongoing receipt, verification, validation, bank
processing aspects and payment of the COVID 19 social grants",Prosense Technology,23 379 500.00,Preferred service provider,Conditional Support,2021/8/6,2022/07/31
184,2021/09/09,South African Social Security Agency (SASSA),"short term contract for the provision of guarding (security) services
at the KZN region",Not stated,11 513 054. 04,Urgency,Conditional Support,2021/10/1,2021/12/31
185,2021/06/06,South African Social Security Agency (SASSA),"Request for Deviation to appoint BCX to migrate the current Head
Office (HO) PRI Infrastructure to Fibre Infrastructure",BCX,865 681.20,The Head office PRI infrastructure is obsolete,Conditional supported,Not stated,Not stated
186,2021/07/27,South African Tourism,"To provide website to provide website
support and maintenance in SA Tourism",HelloComputer,"993 255,00",Single Source,Not Supported,Not Stated,Not Stated
187,2021/08/02,South African Tourism,"Partnership with Flightsite to collaborate with Vodacom and Boxer
stors",Flightsight (PTY) Ltd,"1 897 500,00",Sole Supplier,Noting,2021/7/6,2021/11/30
188,2021/08/02,South African Tourism,"Bid Support- Junior Chamber International Congress 2021 from 16-
20 November 2021",Junior Chamber International (JCI),"1 146 000,00",Sole Supplier,Noting,2021/4/8,2021/11/20
189,2021/08/30,South African Tourism,"To monitor traveller flows and trends in real time, leveraging daily air
reservation",Forward Keys,"15 016 000,00",Single Source,Supported,Not Stated,Not Stated
190,2021/06/25,South African Weather Service,"Procurement of hardware and software extended warranties
High-Performance cluster",Eclipse Holdings (Pty) Ltd,"2 901 712,04",Renuwal of software warranties,Conditional Support,2021/7/1,2022/06/30
191,2021/07/05,South African Weather Service,"To procure spare parts for Automatic Weather Station (AWS) and
Automatic Rainfall Station (ARS)","Campbell Scientific,RM Young,Vaisala
and Trinity","28 300 230,00",Single Source,Conditional Support,Not Stated,Not Stated
192,2021/08/04,South African Weather Service,Procurement of Hogen S20 hydrogen generator spares,SmartCheck Technology (Pty) Ltd,"2 924 008,50",Single Source,Supported,Not Stated,Not Stated
193,2021/09/15,Special Investigating Unit (SIU),"closed bid process to engage two sole suppliers for online library
services",Not stated,2 929 576.65,Sourcing Strategy,Not Supported,Not stated,Not stated
194,2021/07/14,State Information Technology Agency (SITA),"Renewal of Software, Mimecast License and Storage System- KZN
Treasury",Mimecast,Not Stated,Cost efficient,Supported,Not Stated,Not Stated
195,2021/07/15,State Information Technology Agency (SITA),"Renewal of Software, Mimecast License and Storage System- KZN
Office of the Premier",Mimecast,"1 600 000,00",Cost efficient,Conditional Support,Not Stated,Not Stated
196,2021/07/08,State Information Technology Agency (SITA),"Oracle design, configuration, testing and Integrated Financial
Management System implementation services",Oracle,"147763300,00",Single source,Conditional Support,Not Stated,Not Stated
197,2021/07/16,,,Telkom/ BCX,"12854632,38",Single source,,Not Stated,Not Stated
198,2021/07/21,State Information Technology Agency (SITA),"Provisioning of IBMZ-series Print Management Software,
maintenance
and support at Centurion and numerous Data Centres","Levy, Ray and Shoup",Not Stated,Single source,Supported,Not Stated,Not Stated
199,2021/07/16,State Security Agency (SSA),"To appoint and procure the services of Knowlesys Intelligence
System (KIS) Trustdata (PFORTNER) to provide a social media
service OSINT (software) for a period of six (6) months.","Knowlesys Intelligence System (KIS)
Trustdata (PFORTNER)",5 692 500.00,Urgency,Conditional Support,2021/8/1,30/1/2022
200,2021/09/03,State Security Agency (SSA),"losed bid process for the provisioning of an Integrated Cyber and
Capability for South African Project.",Not stated,75 000 000.00,Sourcing Strategy,Conditional Support,Not stated,Not stated
201,2021/09/14,State Security Agency (SSA),Maritime Security system,Maritime Security,not stated,Preferred service provider,Not Supported,Not stated,Not stated
202,2021/09/06,State Security Agency (SSA),"appoint GEW Technologies (Pty) Ltd for the provision of
communications surveillance services for surveillance operation in
Mozambique.",GEW Technologies (Pty) Ltd,5 241 287.00,Preferred service provider,Conditional Support,Not stated,Not stated
203,2021/09/06,Statistics South Africa (Stats SA),GIS Software License(Hexagon-Mapp Enterprise Software),GeoSpace,"4719449,47",Sole supplier,Noting,Not Stated,Not Stated
204,2021/03/26,Statistics South Africa (Stats SA),Monitoring software,Dynatrace,"1495500,02",Sole supplier,Noting,Not Stated,Not Stated
205,2021/07/19,Strategic Fuel Fund (SFF),"Supply, install, commission and calibrate Pressure Vacuum Vents",Lecore or Varec,Not Stated,No suitable response from the market,Not Supported,Not stated,Not stated
206,2021/7/30,The Presidency,VMware license including its maintenance and support,Not Stated,"3 500 000,00",Use brand names,Conditional Support,Not stated,Not stated
207,2021/08/08,The South African National Roads Agency SOC Ltd (SANRAL),"Emergency repair of existing culvert on the R524 section 1 at km
66.6",Jordan construction (Pty) Ltd,"17 917 653,19",Emergency,Noting,Not Stated,Not Stated
208,2021/08/25,The South African National Roads Agency SOC Ltd (SANRAL),Subscription service for a case law management system,Lexis Nexis,"37016,00",Subscription,Within AA/AO mandate Noting,Not Stated,Not Stated
209,2021/08/18,The South African National Roads Agency SOC Ltd (SANRAL),"Repair of existing pipe culvert on the R555 section 3 at KM 6,88",WK Construction SA (PTY) LTD,"12 865 000,00",Emergency,Noting,Not Stated,Not Stated
210,2021/7/1,Trans-Caledon Tunnel Authority (TCTA),Defense attorneys on the KOL and Frazer,Werksmans Attorneys,"1 500 000,00",Emergency Procurement,Within AA/AO mandate Noting,Not Stated,Not Stated
211,2021/06/25,Transnet SOC Ltd,"Collaboration on Fuel Product Security Research Development
Project",CSIR,"6 793 300,00",Cost savings,Not supported,Not stated,Not stated
212,2021/06/24,Transnet SOC Ltd,Fuel Product security research,CSIR,"6 793 300,00",Preferred service provider,Within AA/AO mandate Noting,Not stated,Not stated
213,2021/08/12,Transnet SOC Ltd,"Request for approval of deviation from SCM Instruction Note 2 OF
2016/2017",Not stated,Not applicable,Time constraints,Not Supported,Not stated,Not stated
214,2021/07/05,Umgeni Water,"Legal expert in order to deal with the litigation and disciplinary
matters as recommended in the forensic investigation report.","Bowman’s Attorneys,","500 000,00",Confidential and urgent,Within AA/AO mandate Noting,Not stated,Not stated
215,2021/07/27,Umgeni Water,"Legal expert in order to deal with the litigation and disciplinary
matters as recommended in the forensic investigation report.","Bowman’s Attorneys,","2 400 000,00",Confidential and urgent,Within AA/AO mandate Noting,Not stated,Not stated
216,2021/07/21,Unemployment Insurance Fund (UIF),Provision of CaseWare software,Adapt IT Holdings Ltd,Not Stated,single source,Supported,Not stated,Not stated
217,2021/09/07,Unemployment Insurance Fund (UIF),License for the Iqual procurement system,Predicate Logistics,Not Stated,Sole supplier,Supported,Not stated,Not stated
218,2021/06/22,Universal Service and Access Agency of South Africa (USAASA),"Roll out broadband services in Kareeberg and
Rennosterberg Local Municipality within the Pixley ka Seme District
Municipality, Northern Cape",Broadband Infraco (BBI),"60000000,00",Single source,Not Supported,2021/8/1,2024/07/31
219,2021/06/11
,
South African Post Office (SAPO),Not Stated,Cost effective
