"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 4 REPORT DEVIATIONS) REPORT EXPANSIONS",,,,,,,,,,,
Number,"Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract
Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommen
ded by AO/ AA
date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2022/03/04,Agricultural Sector Education and Training Authority (AgriSETA)SETA,Solugrowth,Extension of Contract,396535.83,881190.68,0.00,Not Supported,2022/03/03,4/1/2022,5/30/2024
,2022/01/18,Airports Company South Africa (ACSA),Morar Incorporated,Continuity of service,520000.00,1347812.00,0.00,Conditional Support,2022/1/18,Not stated,Not stated
,2/10/2022,Amatola Water,"Element Consulting
Engineering",Continuity of service,48289943.20,0.00,0.00,Closed,2/10/2022,Not stated,Not stated
,2022/03/11,Artscape,"Hollard Insurance Company
(Pty) Ltd",Extension of Contract,88707.79,209838.34,0.00,Supported,2022/03/11,2022/04/01,2022/09/30
,2022/03/11,Artscape,"Insurance Underwriting
Managers (IUM)",Extension of Contract,20054.79,40000.00,9863.04,Supported,2022/03/11,2022/04/01,2022/09/30
,2022/01/27,Bloem Water,"Udumo Trading 26 Pty Ltd T/A
Ultimate Dynamic",Continuity of service,39060379.27,359669847.95,63824418.41,Not Supported,2022/1/21,Not stated,Not stated
,2/16/2022,Broadband Infraco,Growthpoint Properties,Lease extension,4159365.72,"30 556 554,13","42 563 508,14",Conditional Support,Not indicated,01/03/2022,31/08/2022
,2022/1/31,Central Energy Fund SOC Ltd (CEF),"Gildenhuys Malatji
Incorporated",Continuity of service,380000.00,1633969.63,0.00,Conditional Support,2022/1/28,Not stated,Not stated
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","City Property Representing
Olitzki Properties (OPH)",Cost efficient,9564255.60,"47 124 106,73","0,00",Not Supported,13/12/2021,01/11/2022,31/12/2023
,13/12/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",The 78 Partnership CC,Cost efficient,11457116.00,"43 995 676,98","0,00",Conditional Support,13/12/2021,01/04/2022,31/07/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","Vukile Property Fund
Represented by Broll Property
Group Ltd",Cost efficient,869612.32,"2 133 440,50",2380935.84,Conditional Support,13/12/2021,01/05/2022,31/08/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Realty 1 PG Rentals TZ,Cost efficient,226278.26,129779.10,"923 696,02",Not Supported,13/12/2021,01/12/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)","MFT Property Management
Trust/ Micheal Family Trust",Cost efficient,4496387.52,"23 086 465,31","12 485 289,10",Conditional Support,13/12/2021,01/06/2022,30/09/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Realnet,Cost efficient,180004.44,"400 232,80","573 496,07",Not Supported,13/12/2021,01/09/2022,31/08/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Hostprops 1111 CC,Cost efficient,1920000.00,"4 377 307,62","1 608 408,36",Conditional Support,13/12/2021,01/04/2022,31/07/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Delta Property Fund,Cost efficient,2438905.42,"15 059 11,81","6 819 761,76",Not Supported,13/12/2021,01/11/2022,31/10/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Heracle Share Block,Cost efficient,6250077.60,"20 917 007,89","10 994 471,76",Conditional Support,13/12/2021,1/6/2022,30/9/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Nganya,Cost efficient,4570836.00,"26 418 772,20","0,00",Conditional Support,13/12/2021,1/7/2022,31/10/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Sinmark Investments CC,Cost efficient,3719037.07,"21 718 525,22","3 012 420,08",Conditional Support,13/12/2021,1/4/2022,31/7/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Border Remedies,Cost efficient,2347380.00,"11 327 912,81","3 872 997,60",Conditional Support,13/12/2021,1/2/2022,31/5/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Rebosis,Cost efficient,16624923.68,"56 906 451,46","0,00",Not Supported,13/12/2021,1/8/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Redefine Properties,Cost efficient,1670880.00,"9 403 543,98","1 322 502,85",Conditional Support,13/12/2021,1/3/2022,30/11/2023
,12/13/2021,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Viking Pony Properties,Cost efficient,3700622.46,"3 085 622,46","0,00",Not Supported,13/12/2021,1/7/2022,31/10/2023
,3/14/2022,"Commission for Conciliation, Mediation and Arbitration (CCMA)","CSK Cleaning Services (Pty)
Ltd",Business continuity,161930.00,"169 116,00","25154,94",Supported,11/3/2022,21/3/2022,31/1/2023
,3/14/2022,"Commission for Conciliation, Mediation and Arbitration (CCMA)","Lifeshield home security &
projects",Business continuity,149500.00,"103 500,00","14 950,00",Supported,14/03/2022,01/04/2022,31/1/2023
2022/03/01,Small Enterprise Development Agency (SEDA),"Kakapa Skills Development
Institute",Extension of Contract,1510806.12,3492810.58,0.00,Conditional Support,2022/03/01,5/1/2022,4/30/2024
2022/03/11,Small Enterprise Development Agency (SEDA),Vodacom SA,Extension of Contract,3301792.22,17372566.86,9043930.20,Conditional Support,3/10/2022,4/1/2022,9/30/2022
2022/01/21,Small Enterprise Development Agency (SEDA),Te Moso Investment CC,"Current lease agreement expires
on 31 January 2022",1367510.00,1688808.60,3044030.00,Not Supported,2022/01/21,2022/02/01,2024/01/31
2022/02/09,Small Enterprise Development Agency (SEDA),Govan Mbeki Municipality,Continuation of services,737999.90,1389948.71,0.00,Conditional Support,2022/02/08,2022/03/01,2024/02/28
2022/01/11,South African Civil Aviation Authority (SACAA),Airports Company South Africa,"No suitable service provider from
the market",7618527.21,6138712.80,328276.53,Conditional Support,2022/1/11,2022/2/1,2027/1/31
2/3/2022,South African Civil Aviation Authority (SACAA),"Dikgaetsedi Trading and
Projects",Continuity of service,1763993.91,4945777.32,0.00,Supported,1/2/2022,1/3/2022,2/28/2023
2021/12/22,South African Diamond and Precious Metals Regulator,Telkom,Factoring additional employees,272760.87,650784.00,0.00,Supported,2021/12/22,2022/3/16,2022/8/31
2022/01/27,South African Heritage Resources Agency (SAHRA),Bhekamatiba (BKT) Holdings,Additional requirements,0.00,0.00,0.00,"Within AA/AO mandate
Noting",not stated,Not stated,Not stated
1/19/2022,South African Local Government Association (SALGA),Sanlam Life Insurance Limited,Lease renewal,3056788.68,12877168.02,15661830.34,Conditional Support,1/19/2022,12 months,12 months
2022/01/21,South African National Space Agency (SANSA),VM Consulting,Additional requirements,4000000.00,10337652.75,0.00,Not Supported,2021/12/14,2020/12/01,2023/11/30
2022/03/10,South African National Space Agency (SANSA),"The Innovation Hub
Management Company
(TIHMC)",Extension of Contract,9944182.71,5652473.10,31274370.89,Conditional Support,2/24/2022,10/1/2022,2024/09/30
2022/03/11,South African National Space Agency (SANSA),VM Consulting,Additional requirements,4000000.00,10337652.75,0.00,Conditional Support,2021/12/14,2020/12/01,2023/11/30
12/24/2021,South African Revenue Service (SARS),Orange Cyberdefense South Afric,"a
Business continuity",4283443.30,"139 536,00","4 491 480,44",Not Supported,20/12/2021,1/1/2018,31/12/2022
1/7/2022,South African Revenue Service (SARS),Delta Property Fund Ltd,Business continuity,44699362.75,20087014.58,"0,00",Not Supported,7/1/2022,1/3/2022,1/2/2025
1/14/2022,South African Revenue Service (SARS),"Budge Barone & Dominick
(BBD), Shandon and Ionize",Business continuity,Not indicated,Not indicated,Not indicated,Noting,13/01/2022,Not indicated,Not indicated
1/17/2022,South African Revenue Service (SARS),Vodacom,Covid19,115397265.00,"130 684 405,00","0,00",Not Supported,17/01/2022,Not indicated,Not indicated
2/15/2022,South African Revenue Service (SARS) Sa,fe2Park Managed Services (Pty),"Ltd
Lease expansion",4542637.48,"11 924 002,07","0,00",Supported,14/02/2022,01/04/2022,31/03/2024
2/25/2022,South African Revenue Service (SARS),Vodacom,Covid19,112256602.00,"130 684 405,00","0,00",Supported,17/01/2022,Not indicated,Not indicated
3/1/2022,South African Revenue Service (SARS),Panel of Attorneys,Business continuity,468207204.62,"207 432 182,00","0,00",Supported,01/03/2022,Not indicated,Not indicated
3/7/2022,South African Revenue Service (SARS),IBM South Africa (Pty) Ltd,Business continuity,90000000.00,912196731.97,"0,00",Conditional Support,04/03/2022,Not indicated,30/11/2022
3/14/2022,South African Revenue Service (SARS),"Law Trusted Third Party
Services",Business continuity,2044500.02,"21149526,23","1530535,60",Supported,11/3/2022,Not indicated,31/12/2022
2022/02/15,South African Tourism,"Akasaka Lions
Building",Extension of Contract,2626180.00,3927333.00,0.00,Closed,2022/02/10,2022/04/01,2024/03/31
2022/02/23,South African Tourism,"Akasaka Lions
Building",Extension of Contract,2626180.00,3927333.00,0.00,Conditional Support,2022/02/10,2022/04/01,2024/03/31
2022/02/24,South African Tourism,Zhong Yu Plaza,Extension of Contract,6072180.00,8078230.00,9108270.00,Conditional Support,2022/02/14,2022/04/01,2024/03/31
2022/02/28,South African Tourism,302/117 York St,Extension of Contract,3269710.00,502374.00,6052319.00,Conditional Support,2022/02/24,2022/04/01,2024/03/31
2022/03/07,South African Tourism,Syscor Automation Advisory,Variation of Contract,740784.00,"988 606,00",0.00,Conditional Support,2022/03/04,Not stated,Not stated
2022/03/07,South African Tourism,"VOX Telecommunications (Pty)
Ltd",Extension of Contract,2171051.52,"3 283 976,43",0.00,Not Supported,2/28/2022,4/1/2022,3/31/2024
2022/03/07,South African Tourism,Sizwe IT Group,Extension of Contract,6141037.59,"7 929 551,70",0.00,Not Supported,2/28/2022,4/1/2022,3/31/2024
2022/02/10,South African Weather Service,"Airports Company of South
Africa (ACSA)",Business continuity,1269878.51,1479125.81,0.00,Conditional Support,2022/01/24,2022/04/01,2025/03/31
2022/02/10,South African Weather Service,"Airports Company of South
Africa (ACSA)",Business continuity,1174977.99,1586001.24,0.00,Conditional Support,2022/01/25,2022/04/01,2025/03/31
2022/02/10,South African Weather Service,"Airports Company of South
Africa (ACSA)",Business continuity,2760015.72,3365008.20,0.00,Conditional Support,2022/01/25,2022/04/01,2025/03/31
2022/01/25,South African Weather Service,"Airports Company of South
Africa (ACSA)",Business continuity,566599.60,561091.60,0.00,Conditional Support,2022/01/25,2022/04/01,2025/03/31
2/18/2022,State Diamond Trader,RAM Transportation SA,Continuity of service,0.00,2814738.21,238008.16,Not Supported,2/18/2022,Not stated,Not stated
3/4/2022,State Diamond Trader,RAM Transport SA (Pty) Ltd,Continuity of service,0.00,2814738.21,238008.16,Supported,3/4/2022,4/1/2022,9/30/2022
2/10/2022,State Information Technology Agency (SITA),Internet Solution,Business continuity,1955184.00,10378352.15,"1 335 079,28",Supported,10/02/2022,01/03/2022,30/06/2022
2/17/2022,The Presidency,Nexus Travel,Continuity of service,500000.00,3224393.71,483659.06,Conditional Support,2/14/2022,Date of approval,Not stated
2021/12/22,The South African National Roads Agency SOC Ltd (SANRAL),Dube N Attorneys Inc,Matter has been taken on appeal,1828000.00,194800.00,1920500.00,Not Supported,2022/12/22,Not stated,Not stated
2022/01/21,The South African National Roads Agency SOC Ltd (SANRAL),"Ingerop SA and Knight Piesold
JV",Continuity of service,8853697.55,5282979.00,1252468.73,Not Supported,2022/1/21,Not stated,Not stated
2/28/2022,Transnet SOC Ltd,"Fidelity Security Services &
UAV and Drone Solutions",Finalise tender process,24940045.68,"35 406 985,91","5 209 912,51",Conditional Support,2/28/2022,2022/04/01,2022/06/30
3/1/2022,Transport Education Training Authority (TETA)SETA,Solugrowth,Continuity of service,5243291.45,0.00,7504587.80,Not Supported,2/25/2022,4/1/2022,Not stated
1/31/2022,Umgeni Water,Hatch Africa (Pty) Ltd,Continuity of service,1755255.48,26000000.00,5200000.00,Conditional Support,2022/2/2,Not stated,Not stated
,,Eigenbau,Continuity of service,28202109.53,111448390.50,17109566.85,,2022/2/7,Not stated,Not stated
3/9/2022,Umgeni Water,Ingerop SA,Continuity of service,1019923.50,0.00,0.00,Not Supported,2/20/2022,Not stated,Not stated
3/2/2022,Unemployment Insurance Fund (UIF),Powerful Cleaning and Projects,Business continuity,1175997.56,"9949911,01","0,00",Noting,02/03/2022,11/3/2022,10/6/2022
