5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,,
"Numbe
r",Period / Quarter,"Rollover / New
(Use dropdown
List)","Date Received By
GMC (yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract
Expansion","Original Contract
Value","Value of Pevious
Expansion","not supported/not
supported/Conditional
supported","Award/recommended
by AO/ AA date
(yyyy/mm/dd)","Contract start
date
(yyyy/mm/dd)","Contract
expiry
(yyyy/mm/dd)",
,Q1 2023/24,New,2023/4/11,Justice and Constitutional Development,"Rendering of Guarding and Specialised Services in
various offices of the Department of Justice and
Constitutional Development, National Prosecution
Authority and Office of Chief Justice","1. Mabotwane Security Services
2. Fidelity Seurity Services
3. Phepha MV Security
4. Vhugi Protection Services
5. Zack Business Enterprise","Business continuity to allows for the finalisation of the
replacement procurement process.","R68,036,036.49","R749,586,384.22","R835,504,456.86",Noting,2023/03/28,2023/04/01,2023/04/30,
,"Q1 2023/24
Q1 2023/24","New
New","2023/4/4
2023/4/26","Public Protector South Africa
Special Investigation Unit","Procision of cleaning services for varios offices
namely : Mafikeng, Kimberley, Bloemfontein and
Rustenburg
Quantity Surveyor","M Jnr Consulting
Manzi quantity surveyor cc","The tender for appointment of service provider for
provision of cleaning services could not be finalised on
time due to none availability of some of BEC members
Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The supply and delivery of various distribution cut-
outs. Cape Coastal Cluster",Vexila (Pty) Ltd,"National contract modified to ensure businesss needs
are catered for whilst the new procurement process is
taking place",R35 000 000.00,R144 326 341.46,R0.00,Noting,2023/05/30,2016/07/01,2024/05/31,
Q1 2023/24,New,2023/6/15,Eskom Holdings SOC Ltd,"The supply and delivery of various distribution cut-
outs. Cape Coastal Cluster",Metpress (Pty Ltd,"National contract modified to ensure businesss needs
are catered for whilst the new procurement process is
taking place",R2 695 499.89,R3 652 756.63,R547 913.49,Noting,2023/05/30,2016/07/01,2024/05/31,
"Q1 2023/24
Q1 2023/24","New
New","2023/6/15
2023/3/27","Eskom Holdings SOC Ltd
Air Traffic and Navigation Services (ATNS)","Provision of Labour Broker Services at Majuba
Underground Coal Gasification Site.
Scope expansion to add a 7th Antenna to the
existing
MEOSAR system as per the request from the DoT","Impact Human Resources (Pty) Ltd
The Study Gap Consortium","To allow for the continuation of service whilst the new
procurement request is being processed.
Continuation of service","R514 651.54
R20 104 999.20","R2 386 812.14
R58 038 487.00","R339 135.47
R0.00","Noting
Noting","2023/05/15
2023/03/20","2023/08/16
2023/04/01","2023/12/15
2029/03/31",
Q1 2023/24,New,2023/3/27,Air Traffic and Navigation Services (ATNS),"Provision of physical security services while
finalising a tender",Eagle Eye Security Specialsts,Continuation of service,R241 695.50,R1 342 758.00,R0.00,Noting,2023/03/20,2023/04/01,2023/05/01,
Q1 2023/24,New,2023/4/20,Cross-Border Road Transport Agency,"Purchasing of additional Microsoft Enterprise
Agreement Lincenses for RTI Inspectors",Microsoft Ireland Ops Limited,Continuation of service,R1 216 758.38,R7 450 578.72,R45 262.66,Noting,2023/04/17,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid in the North
West Regional Offices",Randgate Fleet Management,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R109 551.23,R1 836 646.50,R275 373.08,Noting,Not stated,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid in the
Kimberly Regional Offices",Randgate Fleet Management,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R102 336.38,R1 400 200.01,R255 840.96,Noting,Not stated,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid Witbank
Regional Offices",Calvary Cleaning Services,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R70 821.18,R1 239 370.70,R177 052.95,Noting,2022/05/22,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid Welkom
Regional Offices",Calvary Cleaning Services,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R71 471.84,R1 250 757.40,R178 679.65,Noting,2022/05/22,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid Polokwane
Regional Offices",Calvary Cleaning Services,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R65 442.82,R1 145 249.53,R163 607.05,Noting,2022/05/22,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid Gqeberha
Regional Offices",Upview General Trading,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R59 965.87,R1 049 403.07,R149 914.72,Noting,Not stated,Not stated,Not stated,
Q1 2023/24,New,2023/4/21,"Department of Mineral Resources and Energy
(DMRE)","Render cleaning services, hygiene service, pest /
fumigation control and food service aid Springbok
Regional Offices",Samagaba Cleaning Services,"Procurement was executed timeously however BAC
requested clarity on the evaluation hence procurement
process not finalised prior to expiry of the existing
contract,",R35 691.20,R536 935.60,R89 228.01,Noting,Not stated,Not stated,Not stated,
Q1 2023/24,New,2023/4/26,Road Traffic Management Corporation (RTMC),"Provision of network services for a period of 18
months",Telkom,Continuation of service,R43 000 000.00,R67 000 000.00,R0.00,Noting,2023/03/30,2023/04/01,2024/09/30,
Q1 2023/24,New,2023/4/26,Department of Transport (DOT),"To render Maritime Safety Information (MSI) and
COSPAS-SARSAT",Telkom/BCX (Openserve),"The 15% variation for the current extended to 31
March 2024",R18 228 427.00,R157 852 666.70,R0.00,Noting,2023/03/16,2023/04/01,2023/04/30,
Q1 2023/24,New,2023/4/26,Department of Transport (DOT),High speed rail framework,Government Technical Advisory Centre (GTAC),"Additional funding required for GTAC to complete the
project thus increasing the overall allocated budget",R218 880.00,R1 391 520.00,R0.00,Noting,2023/03/01,2023/04/01,2023/03/31,
Q1 2023/24,New,2023/4/26,Department of Transport (DOT),"Finalization of the National Land Transport
Information System Resign project for a period of
three (3) months",Neo Africa Advisory,"The project could not be completed on time, Approval
is granted that all outstanding deliverables must be
completed within three (3) months",R2 539 642.93,R14 939 420.00,R0.00,Noting,2023/03/14,Not stated,Not stated,
Q1 2023/24,New,2023/5/11,Central Energy Fund SOC Ltd (CEF),"The fuel pricing information in South Africa through
a sole source and as per the amended basic fuel
price rules,","S & P Global (""Platts"")","The Petroleum Products Act empowers the Minister
Department of Mineral Resources and Energy to
regulate the prices of petroleum products, The Central
Energy Fund, through the EQF, calculates the prices
on behalf of the Department by way of a Ministerial
Directive under the CEF Act, The Minister of DMRE
has approved the changes to the BFP rules and has
issued a letter to CEF allow the addition to the current
contract which is to be effected by 31 March 2023,",R1 621 581.00,R5 100 000.00,R0.00,Noting,2023/03/31,2023/04/01,2026/03/31,
Q1 2023/24,New,2023/5/11,Central Energy Fund SOC Ltd (CEF),"Contract variation for provision of litigation legal
services for the CEF arbitration matter",RW Attorneys,"RW Attorneys were allocated a labour related matter
whereby Kenneth Msiza reffered his matter for the
Conciliation and Arbitration at the CCMA against CEF
for alleged unfair dismissal, This matter began with
internal disciplinary proceedings where the employee
had several charges instituted against him because of
his laptop being ""stolen"" and subsequently accessed
with the employee's login details and the failure by the
employee to surrender his laptop to the IT department
for a route backup and maintenance, The employee
was subsequently found guilty by the Chairperson for
failing to act in the best interests of the employer and
for misrepresentation, The sanction imposed herein
was a dismissal as per the CEF Disciplinary Policy
and Procedure Framework, The matter is now part
heard at the CCMA, It was initially heard in September
2022, 8 and 9 November 2022 and 1 March 2023,",R342 066.00,R133 849.58,R0.00,Noting,2023/04/14,2023/04/15,Not stated,
Q1 2023/24,New,2023/5/12,National Agricultural Marketing Council (NAMC),ICT Services,Vukani Technologies (Pty) Ltd,"New tender was an award process,this extesion was to
allow proper transition process,",R68 829.55,R1 612 803.96,R291 807.00,Noting,2023/05/01,2023/05/31,Not stated,
Q1 2023/24,New,2023/5/12,National Agricultural Marketing Council (NAMC),ICT Services,Vukani Technologies (Pty) Ltd,Scope extension for ICT Services,R16 489.23,"R1 612 803,96",R275 318.20,Noting,2023/04/25,2023/05/31,Not stated,
Q1 2023/24,New,2023/5/17,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Ghana local REP,Clement Vanderpuye,Tender in progress,R294 937.50,R2 679 147.00,R0.00,Noting,Not stated,Not stated,Not stated,
Q1 2023/24,New,2023/5/17,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Regus office rental,Regus Amsterdam BV,Contract Extension,R20 187.00,R53 936.20,R41 000.00,Noting,2023/04/14,Not stated,Not stated,
Q1 2023/24,New,2023/5/4,"Department of Agriculture, Land Reform and
Rural Development (DALRRD)","Supply for catering and hygeine services for
Thohoyandou Vhembe District Office",Mosegoane Trading and Projects,"The tender is still under evaluation and legal Opinion is
being sought by BEC regarding the UIF certificates",R42 889.89,R128 669.67,R0.00,Noting,2023/03/23,2023/02/02,2023/04/30,
"Q1 2023/24
Q1 2023/24","New
New","2023/5/3
2023/5/3","Ports Regulator of South Africa
Ports Regulator of South Africa","Provision of translation services for PAIA Manual
Provision of Internal Audit Services","Folio Translation Consultants
Bonakude Consulting services","There were additional word count from the original
word count
Addititional Services were requested","R2 543.80
R90 160.00","R43 700.00
R937 027.00","R0.00
R0.00","Noting
Noting","2023/02/03
2023/02/23","2023/02/03
2023/02/23","Not stated
2023/05/23",
"Q1 2023/24
Q1 2023/24","New
New","2023/5/26
2023/5/29","Railway Safety Regulator (RSR)
South African Health Products Regulatory
Authority (SAPHRA)","Representation at the CCMA and Labour Court
Urgent expansion of payroll expansion purchase
order","Moja Sibiya Attorneys
Xfour Solutions","Additional funds for legal representation
Avert late or non-payment of staff","R800 000.00
R193 200.00","R700 000.00
R84 755.00","R0.00
R0.00","Noting
Noting","2023/05/10
2023/05/05","2023/05/18
2023/05/05","Not stated
2023/07/31",
Q1 2023/24,New,2023/5/24,Road Accident Fund (RAF),"Lease extension for Tzaneen Customer Service
Centre (CSC) Offices",Mamari Holdings (Pty) Ltd,"An extension of lease for Tzaneen CSC Offices for a
period of six (6) months on a month to month basis, to
allow operational efficiency of the RAF.",R240 000.00,R498 000.00,R0.00,Noting,2023/05/24,2022/05/01,2023/10/31,
Q1 2023/24,New,2023/5/24,Road Accident Fund (RAF),Extension of Media Monitoring Services,News Clip Media Monitoring (Pty) Ltd,"An extension of Media Monitoring Services for a
period of six
(6) months on a month to month basis to enable
procurement process to be completed.",R246 250.00,R2 436 324.72,R0.00,Noting,2023/05/24,Not stated,Not stated,
Q1 2023/24,New,2023/5/24,Road Accident Fund (RAF),"Security and Guarding Services at RAF East
London Regional Office and Gqeberha Customer
Service Centre (CSC)",Xhobani Security Services,"An extension of security and guarding services at East
London Regional Office and Gqeberha Customer
Service Centre (CSC) for a period of three (3) months
to allow for the National Contract process to be
completed.",R438 407.49,R835 594.74,R0.00,Noting,2023/05/24,2022/11/12,2023/08/11,
Q1 2023/24,New,2023/5/24,Road Accident Fund (RAF),Salary and Benefit Survey,21st Centuary (Pty) Ltd,"An extension of Salary and Benefit Survey services on
a month-to-month basis for a period of twelve (12)
months. The RAF participates in salary benchmarking
surveys to ensure that the salaries and benefits are
aligned with the external market and best practices.",R300 000.00,R935 285.40,R0.00,Noting,2023/05/24,Not stated,Not stated,
Q1 2023/24,New,2023/5/29,"Department of Mineral Resources and Energy
(DMRE)","Procurement of increasing server and backup
capacity hosted at vodacom, over a period of
twenty four (24) months",Vodacom,"Increasing server and backup capacity of SAMRAD
application hosted at Vodacom.",R23 130.60,R56 192.60,R0.00,Noting,2023/02/23,Not stated,Not stated,
"Q1 2023/24
Q1 2023/24","New
New","2023/6/7
2023/6/12","Road Traffic Management Corporation (RTMC)
Council for Geoscience (CGS)","Retrofitting of parkhomes
Contract variation between Gobora Drilling Pty Ltd
and the Council for Geoscience at a variation of
85.8% for the reverse circulation (RC) drilling of 7
holes at Nchwaning 267 exploration project for a
period of seven (7) weeks","GVK Siyazama Construction
Gobora Drilling Pty Ltd","Contract variation to ensure compliance to standards
Contract variation","R16 533 761.90
R2 172 177.50","R176 519 043.89
R2 563 752.50","R17 353 630.71
R0.00","Noting
Noting","2023/05/24
Not stated","2023/06/01
Not stated","2023/07/31
Not stated",
Q1 2023/24,New,2023/6/15,"South African Maritime Safety Authority
(SAMSA)","Upgrade of EK60 Scientific System to EK80 model
on Africana",MRAD,Price adjustment in terms of rate of exchange,R4 659 372.20,R0.00,R0.00,Noting,2023/06/14,2023/06/01,2023/06/01,
Q1 2023/24,New,2023/6/15,Road Traffic Infringement Agency (RTIA),Office space,Mowana Properties,"Use of shorter term contract due to ConCourt ruling
and risk mitigation",R1 050 000.00,R35 000 000.00,R1 050 000.00,Noting,2023/05/23,2023/08/01,2023/08/31,
Q1 2023/24,New,2023/6/15,Road Traffic Infringement Agency (RTIA),Compilation of financial statements,AFA Advisory,"Process of acquiring own licences not concluded at
the time of request.",R51 520.00,R141 277.00,R21 191.55,Noting,2023/05/16,2023/05/16,2023/07/30,
Q1 2023/24,New,2023/3/24,Department of Home Affairs,"Contract for transaction advisory to support the re-
development of the key six (6) priority land ports of
entry.",Ernest and Young Advisory Services (Pty) Ltd,To allow for a new open tender process to be finalised,R29 617 447.42,R27 368 086.00,R0.00,Noting,2023/03/09,2023/03/13,2025/03/12,
Q1 2023/24,New,2023/3/30,Natioanl Treasury,"To request Acting Director-General's approval for
IGR to extend the current agreement with
PriceWaterHouseCoopers Incorporated which is to
transform Executive Leadership and Management
through Coaching",PriceWaterHouseCoopers Inc,"To allow PWC sufficient time for final reporting and
reviews",R0.00,R3 702 369.80,R458 722.00,Noting,2021/12/10,2022/05/25,2023/06/30,
Q1 2023/24,New,2023/3/30,Natioanl Treasury,"Request for approval of the annual price escalation
for Excellent Security - NT001-2020 (Apr 2023)",Excellent Security,Annual Price Excallation,R6 730 983.04,R32 737 330.14,R6 950 069.83,Noting,2020/11/05,2021/01/01,2024/01/02,
Q1 2023/24,New,2023/3/30,Natioanl Treasury,"Request for contract extension for a period of six
months Central Supplier Databse enhancement,
maintenance and support",Gijima Holdings,"To enable National Treasury and the suppliers to
conclude the planned system enhancement initiative.",R0.00,R42 460 392.00,R0.00,Noting,2019/12/13,2020/04/01,2023/09/30,
Q1 2023/24,New,2023/4/4,Sasria Limited,Reinsurance Broking Services,Aon Re Africa (Pty) Ltd,"The current Reinsurance broker contract expires on
31 March 2023 and the extension was necessary to
ensure a new scope of the contract after negotiating
our reinsurance is developed and a new tender is
finalised.",R1 400 000.00,R3 850 000.00,R0.00,Noting,2023/03/27,2023/04/01,2024/03/31,
Q1 2023/24,New,2023/4/11,Home Affairs,"Extension of National Immigration Information
System (NIIS) and the Case Management System
(CMS) for a period of six (6) months.",Dimension Data Proprietary Limited,"To allow to finalise the development of the Asylum
Seeker module within the modernisation programme.",R35 576 016.21,R105 947 302.00,R105 947 302.00,Noting,2023/03/29,2023/04/01,2023/09/30,
Q1 2023/24,New,2023/4/14,"National Economic, Development and Labour
Council",Nedlac coaching programme,Media Holding Investment (Pty) Ltd,"In the 2022 financial year, Nedlac arranged coaching
for 20 managers. At the end of the period, it was
identified that to consolidate the learnings of the
coaching experience, 15 managers should continue
the coaching for a period of six (6)months. For
coaching, continuity of individual coaches is very
important and for this reason a variation was
requested. The expected outcome would be self
development leading to improved performance for the
organisation",R349 140.00,R998 545.00,R0.00,Noting,2021/12/20,2022/01/02,2022/12/31,
Q1 2023/24,New,2023/4/25,Home Affairs,"Enhancements to the IJS ABIS interfaces to
include the unique person identifier (UPID) for
each record on ABIS; cater additional biometric
modalities latent search and facial identifcation and
verification.",Xon Systems Proprietary Limited,"To cater additional biometric modalities latent search
and facial identifcation and verification.",R8 194 728.65,R205 009 897.75,R0.00,Noting,2023/01/11,2022/04/01,2024/03/31,
Q1 2023/24,New,2023/4/26,Financial Intelligence Centre,"Request for the expansion of the IDI Technology
Solutions (Pty) Ltd t/a Barnowl contract for the
acquisition of the compliance module for a two-
year period",IDI Technology Solutions (Pty) Ltd,"The FIC has already invested in the BarnOwl tool for
its Governance, Risk and
Compliance management functions to obtian pieces of
legislation and other legally adopted instruments that
affect the day-to-day operations of the FIC as a whole.",R295 377.50,R892 831.25,R0.00,Noting,2023/04/11,2023/05/01,2025/04/30,
Q1 2023/24,New,2023/4/26,Financial Intelligence Centre,"Request for additional infrastructure-as-a-services
in terms of the Microsoft Azure agreement for
Azure services for a period of three years",Microsoft Ireland Operations Limited,"To provide additional capabilities, resources, and
support to the current version",R1 000 000.00,R4 763 760.00,R0.00,Noting,2023/04/12,2023/04/19,2026/04/18,
Q1 2023/24,New,2023/4/28,National School of Government,"Annex Q to SLA 1507_001 Fully outsourced VPN
Services",SITA,Mandatory service by SITA_Upgrade,R3 004 469.02,R1 259 322.04,R0.00,Noting,2021/04/01,2021/04/01,2026/03/31,
Q1 2023/24,New,2023/4/28,National School of Government,"Annex H to SLA 1507_001 Dedicated internet
services",SITA,Mandatory service by SITA_Upgrade,R1 410 640.20,R887 856.84,R0.00,Noting,2018/04/01,2018/04/01,2023/03/01,
Q1 2023/24,New,2023/5/3,Financial Intelligence Centre,"The extension of Workforce Healthcare (WFHC)
contract for a period of three months",Workforce Health,To allow the procurement process to be finalised,R43 797.71,R464 144.04,R0.00,Noting,2023/04/26,2023/05/04,2023/08/03,
Q1 2023/24,New,2023/5/3,Financial Intelligence Centre,"Request for the expansion of the IDI Technology
Solutions (Pty) Ltd t/a Barnowl contract for the
acquisition of the compliance module for a two-
year period",IDI Technology Solutions (Pty) Ltd,"The FIC has already invested in the BarnOwl tool for
its Governance, Risk and
Compliance management functions to obtian pieces of
legislation and other legally adopted instruments that
affect the day-to-day operations of the FIC as a whole.",R295 377.50,R892 831.25,R0.00,Noting,2023/04/11,2023/05/01,2025/04/30,
Q1 2023/24,New,2023/5/3,Financial Intelligence Centre,"Request for additional infrastructure-as-a-services
in terms of the Microsoft Azure agreement for
Azure services for a period of three years",Microsoft Ireland Operations Limited,"To provide additional capabilities, resources, and
support to the current version",R1 000 000.00,R4 763 760.00,R0.00,Noting,2023/04/12,2023/04/19,2026/04/18,
Q1 2023/24,,2023/5/4,South African Revenue Service,Document Storage Reduction,Veritas & Project Management Consultants,"Variation of scope with Veritas Engineering & Project
Management Consultants appointed for the provision
of document storage reduction services",R0.00,R32 496 760.01,R0.00,Noting,,,,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Upgrade access link from 100 MEG to 200 MEG
for the Office of the Presidency Union Building:",Dark Fibre Africa (Pty) Ltd,"More bandwidth required access critical government
systems and render services.",R412 620.00,R438 453.60,No previous expansion,Noting,2023/03/27,2023/03/27,2025/03/10,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Upgrade of access link from 10 MEG to 20 MEG
(DWA0110-19)for the National Department of
Water and Sanitation",Ubuntu Technology (Pty) Ltd,"Rolling out of Office365 requires better bandwidth
performance. This will enable the intensive use of
Microsoft Teams (including voice and video calls),
migration of some of core business application to the
cloud, the performance improvement of other
applications which are accessed over the Wide Area
Network and DHCP centralized at SITA Centurion.",R254 541.12,R262 206.40,No previous expansion,Noting,2023/03/23,2023/03/23,2027/02/23,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Upgrade of access link from 10 MEG to 20 MEG
for the Department of Environmental Affairs","Ubuntu
Technologies (Pty)
Ltd","To ensure that the department has sufficient bandwidth
for the traffic and requires much better bandwidth
performance",R278 980.80,R249 600.00,No previous expansion,Noting,2023/04/12,2023/04/14,2026/01/22,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Upgrade the data line in Gariepdam - Administrasie
by Damwal Gariep Free State SFSDWAGPD1 from
2 MEG to 10 MEG",Ubuntu Technology (Pty) Ltd,"The department has committed to a project for rolling
out of Office365 which requires much better bandwidth
performance. This will enable the intensive use of
Microsoft Teams (including voice and video calls),
migration of some of core business application to the
cloud, the performance improvement of other
applications which are accessed over the Wide Area
Network and DHCP centralized at SITA Centurion",R131 607.84,R303 250.16,No previous expansion,Noting,2023/03/16,2023/03/16,2025/08/10,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Provision of hygiene and sanitary services through
the expansion of scope of the current cleaning
contract: Mpumalanga offices for the last ten
months (10) of the contract",OKS Investment 2009,"To include hygiene and sanitary services that were not
included in the original contract.",R132 146.50,R604 880.45,No previous expansion,Noting,2023/03/20,2023/03/31,2024/03/31,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Request for Scope Expansion on SMME Training
for Enterprise and Supplier Development
Programme",Tirisano (pty) Ltd,"Training will be conducted virtually and the delegates
will need to be connected at all times during training.",R45 000.00,R374 925.00,No previous expansion,Noting,2023/03/03,Once-off,Once-off,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Request for contract extension between SITA and
Open Architecture Systems (Pty) Ltd in respect of
RFB 2054-2019: maintenance and support services
to the Department of Defence (DoD) for a period of
three (3) months from 01 March 2023 to 31 May
2023",Open Architecture Systems (Pty) Ltd,Business continuity.,R129 375.00,R2 408 267.90,No previous expansion,Noting,2023/02/28,2023/03/01,2023/05/31,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Contract variation for the movement of six access
data lines from Bedfordview to either Centurion or
Beta switching centre",Comsol Networks (Pty) Ltd,"Movement of access datalines from Bedfordview due
to office closure.",R3 750.00,,No previous expansion,Noting,2023/03/18,2023/03/18,2023/09/20,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Contract variation for the movement of Access
Data Lines from Bedfordview to Centurion (Various
Departments)",Ubuntu Technologies (Pty) Ltd,"Movement of datalines in Bedfordview to SITA
Centurion as the bedfordview building is shutting down",R28 336.00,R325 340.34,No previous expansion,Noting,2023/03/08,2023/04/12,2024/12/10,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Request to approve contract variation in the Blanket
Purchase Agreement (BPA 342817 - RFQ 4430-
1880-2022) between Amber Falcon Properties 187
(Pty) Ltd and SITA for SAPOS sites","Amber Falcon
Properties 187 (Pty) Ltd","To include a cross-connect service between the
clients’ cabinet and the Telco cabinet within the data
centre.",R69 700.00,R520 432.50,No previous expansion,Noting,2023/03/10,2023/03/15,2024/08/17,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Request to approve contract variation in the Blanket
Purchase Agreement (BPA) 337041 between
Comsol Networks (Pty) Ltd and SITA",Comsol Networks (Pty) Ltd,"Movement of access datalines from Bedfordview due
to office closure.",R4 312.50,R3 236 905.00,No previous expansion,Noting,2023/03/03,2023/04/11,2025/04/25,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Extension of the Moemorandum of Agreement
between SITA and Hayani Waste and Transport
(Pty) Ltd in order to prpvide waste skips and
collection for a period of five months",Hayani Waste and Transport (PTY) LTD,"Continuation of services while the replacement
contract is underway.",R520 119.36,R3 634 448.57,No previous expansion,Noting,2023/03/30,2023/04/01,2023/08/31,
Q1 2023/24,New,2023/5/4,State Information Technology Agency,"Contract variation in the Blanket Purchase
Agreement 334677 between Ubuntu Technologies
(Pty) Ltd and SITA",Ubuntu Technologies (Pty) Ltd,"The link need to be upgraded to accommodate remote
working.",R261 855.00,R2 911 373.26,No previous expansion,Noting,2023/04/06,2023/04/06,2024/10/04,
Q1 2023/24,New,2023/5/9,Employment and Labour,"Approval to procure the external venue to host the
2nd employment working group technical bricks
meeting",St Andrews Hotel,Eastern Cape showed interest in the conference,R385 850.69,R499 953.45,R0.00,Noting,2023/05/04,2023/05/04,2023/05/12,
Q1 2023/24,New,2023/5/15,"Commission for Conciliation, Mediation &
Arbitration",Short Term Insurance,Marsh (Pty) Ltd,Contract extended due to non-responsive bid.,R174 866.79,R375 590.00,R316 117.20,Noting,2023/04/28,2023/05/01,2024/04/30,
Q1 2023/24,New,2023/5/17,State Information Technology Agency,"Acquisition of services for SCM Execution Partners
(Professional Services) for a period of six (06)
months",Caliba Group (Pty) Ltd,Finalise backlog,R2 967 966.00,R3 442 926.12,R2 967 966.00,Noting,2023/03/18,2023/03/04,2023/06/04,
Q1 2023/24,New,2023/5/18,National Treasury,"Request for approval of a deviation to appoint
Structure Works Complete Security Services to
provide maintenance on the Honeywell ProWatch
Integrated electronic security system at the
National Treasury buildings for a period of six (6)
months",Structure Works Complete Security Services,"Due to a limited number of service providers
accredited by the Original Equipment Manufacturer
(OEM), the Directorate: SCM advised on going for a
closed tender to target the accredited service
providers",R100 000.00,R81 282.00,R0.00,Noting,2023/05/09,2022/11/15,2023/11/14,
Q1 2023/24,New,2023/5/18,Home Affairs,"Appointment of CSIR provision of diagnostic report
root cause analysis and the implementation of
remedial action on Department of Home Affairs
(DHA) modernisation infrastructure and application
architecture (Live Capture System).",CSIR,"Due to urgency, time, security, confidentiality, and
POPIA Matters.",R34 968 113.00,R0.00,R0.00,Noting,2023/05/05,2023/05/17,2024/05/16,
"Q1 2023/24
Q1 2023/24","New
New","2023/5/25
2023/5/29","Financial Sector Conduct Authority
Independent Communications Authority of South
Africa","Provision of call center services
Extension of scope and variation of Control Room
and AV Solutions contract for repairs, maintenance
and support of existing audio visuals and
boardroom booking equipment/system","EOH Abantu (Pty) Ltd
Control Room and AV Solutions","To finalise current ongoing tender process
The current contract does not include the replacement
of equipment and spare parts.","R462 254.60
R78 002.90","R16 980 555.07
R176 640.00","R1 849 018.40
R1 849 018.40","Noting
Noting","2023/05/11
2023/02/28","2023/06/01
Once Off","2023/06/30
N/A",
Q1 2023/24,New,2023/5/29,"Independent Communications Authority of South
Africa","Extension of the contract for development of
implementation plans for the radio frequency
migration plan 2013 and 2019 as well as the
implementation of the international mobile
telecommunications road map 2014 and 2019, and
the consequential development of the radio
frequency spectrum assignment plans,",Cerneva,"extend the term of the Main Agreement for a period of
four (4) months effective from 1 December 2022 until
31 March 2023 and to vary the scope of work of the
Main Agreement",R536 306.00,R3 575 384.00,R0.00,Noting,2022/11/30,2022/12/01,2023/03/31,
Q1 2023/24,New,2023/5/29,"Independent Communications Authority of South
Africa","Extension of Lease agreement for the North west
Regional Office for a period of eight (8) months
effective 1 April 2023",SABC Mafikeng,"The procurement process to test the market is still
underway, and is currently at BSC level. The extension
is requested until the new procurement process is
finalised.",R798 325.95,R1 891 297.92,R0.00,Noting,2023/02/28,2023/04/01,2023/11/30,
Q1 2023/24,New,2023/5/29,"Independent Communications Authority of South
Africa","Extension of Lease agreement for the Limpopo
Regional Office for a period of twenty-four (24)
months effective 1 March 2023",Valozone 104 (Pty) Ltd,"Due to the current budget constraints, there is no
sufficient budget allocation for leasehold improvements
for the 2022/23 financial year hence this request for
extension.Leasehold improvement budget is meant to
cover costs for office space planning, office fit outs &
installation and refurbishments at the new premises,
such as drywall partitioning, painting of walls, kitchen
installations, carpets etc. In the event that we were to
relocate to a new office building, Corporate Services:
Facilities will not be in a position to effect these
leashold improvements for the new office because of
budget constraints.",R2 418 411.01,R4 551 208.99,R0.00,Noting,2022/11/14,2023/03/01,2025/02/28,
