,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
84,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Teleios,To ensure Business Continuity,"R 407 100,00","R 407 100,00",R-,2023/12/12,2024/01/05,2024/04/05,Reported
85,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To ensure Business Continuity,"R 294 285,00","R 294 285,00",R-,2023/12/12,2024/01/08,2024/03/08,Reported
86,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Xilota Security Services,To ensure Business Continuity,"R 330 510,00","R 330 510,00",R-,2023/12/12,2024/01/19,2024/04/19,Reported
87,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 30 705,00","R 30 705,00",R-,2023/12/12,2024/01/06,2024/04/06,Reported
88,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 384 575,00","R 299 994,75",R-,2023/12/12,2024/01/09,2024/04/09,Reported
89,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 150 972,00","R 150 972,00",R-,2023/12/12,2024/01/09,2024/04/08,Reported
90,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Hlaj Secuirity,To ensure Business Continuity,"R 352 641,00","R 352 641,00",R-,2023/12/12,2024/01/01,2024/03/31,Reported
91,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Hlaj Secuirity,To ensure Business Continuity,"R 309 600,00","R 309 600,00",R-,2023/12/12,2024/01/20,2024/04/19,Reported
92,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To ensure Business Continuity,"R 356 730,00","R 356 730,00",R-,2023/12/12,2023/12/13,2024/03/12,Reported
93,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 371 651,25","R 340 946,25",R-,2023/12/12,2024/01/19,2024/04/18,Reported
94,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To ensure Business Continuity,"R 262 545,00","R 262 545,00",R-,2023/12/12,2024/01/19,2024/03/02,Reported
95,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To ensure Business Continuity,"R 384 157,50","R 384 157,50",R-,2023/12/12,2024/01/15,2024/04/14,Reported
96,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To ensure Business Continuity,"R 268 582,50","R 268 582,50",R-,2023/12/12,2024/01/10,2024/04/10,Reported
97,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Mmampheng Construction and Security Services,To ensure Business Continuity,"R 300 000,00","R 300 000,00",R-,2023/12/12,2024/01/14,2024/04/14,Reported
98,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Mmampheng Construction and Security Services,To ensure Business Continuity,"R 172 625,76","R 244 553,16",R-,2023/12/12,2024/03/01,2024/06/01,Reported
99,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To ensure Business Continuity,"R 499 905,00","R 358 570,00",R-,2023/12/12,2024/01/01,2024/03/01,Reported
100,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Sabela Ngamandla,To ensure Business Continuity,"R 499 991,25","R 347 327,72",R-,2023/12/12,2024/01/01,2024/03/01,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
101,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Xilota,To ensure Business Continuity,"R 309 103,44","R 246 500,84",R-,2023/12/12,2024/01/01,2024/04/01,Reported
102,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 187 421,25","R 187 421,25",R-,2023/12/12,2024/01/04,2024/04/04,Reported
103,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Sabela Ngamandla,To ensure Business Continuity,"R 221 166,39","R 221 166,39",R-,2023/12/12,2024/01/21,2024/04/20,Reported
104,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Furniture Making Learnership Provider for Graskop
Cluster",Masakhane Training and Consultant PTY LTD,To ensure Business Continuity,"R 92 500,00","R 370 000,00",R-,2024/01/06,Not stated,Not stated,Reported
105,Q4 2023/24,2024/02/29,Special Investigating Unit (SIU),Consultancy Services,Prosite Plan (Pty) Ltd,Provision of space planning and Design,"R 300 000,00","R 537 337,50",R-,2024/01/31,2024/02/01,2024/04/30,Reported
106,Q4 2023/24,2024/03/06,Legal Aid South Africa,Licence for Asset Verification Scanning Software,Market Demand Trading (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 24 869,65","R 1 262 010,00","R 24 869,65",2024/01/23,2024/02/01,2024/03/31,Reported
107,Q4 2023/24,2024/03/06,Legal Aid South Africa,Employee Wellness Programme,Lifeline,New tender process to appoint service provider not yet concluded,"R 47 550,00","R 178 200,00","R 213 900,00",2024/01/25,2024/02/01,2024/04/30,Reported
108,Q4 2023/24,2024/03/06,Legal Aid South Africa,Tzaneen Local Office (Lease of office accomodation),Resilient Property (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 271 470,06","R 2 673 707,01","R 271 474,86",2024/01/31,2024/02/01,2024/07/31,Reported
109,Q4 2023/24,2024/03/06,Legal Aid South Africa,Nigel Satellite Office (Lease of office accomodation),Kruger & Okes Attorneys,New tender process to appoint service provider not yet concluded,"R 16 773,99","R 913 604,54","R 368 947,78",2024/01/22,2024/02/01,2024/02/29,Reported
110,Q4 2023/24,2024/03/06,Legal Aid South Africa,Makhado Local Office (Lease of office accomodation),Gemgrow Properties Ltd,"New tender process to appoint service provider not yet concluded (Deviation from normal
procurement process)","R 1 179 900,00","R 4 296 913,76","R 1 465 128,62",2024/01/26,2024/02/01,2025/01/31,Reported
111,Q4 2023/24,2024/03/06,Legal Aid South Africa,Ermelo Local Office - Cleaning Contract,Nkululeko Business Enterprise,Align with the lease agreement to end at the same time,"R 15 876,00","R 181 584,00",R-,2024/01/26,2024/04/01,2024/06/30,Reported
112,Q4 2023/24,2024/03/06,Legal Aid South Africa,Piet Retief Satellite Office - Cleaning Contract,Nkululeko Business Enterprise,Align with the lease agreement to end at the same time,"R 4 079,25","R 139 971,00",R-,2024/01/26,2024/04/01,2024/04/30,Reported
113,Q4 2023/24,2024/03/06,Legal Aid South Africa,Motor vehicle tracking services,Netstar (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 119 427,50","R 4 171 050,00","R 1 422 598,50",2024/02/13,2024/03/01,2024/03/31,Reported
114,Q4 2023/24,2024/03/06,Legal Aid South Africa,Umlazi Local Office Cleaning Services Contract,Vulithuba Cleaning Services,Align with the lease agreement to end at the same time,"R 30 561,92","R 259 781,76",R-,2024/01/29,2024/03/01,2024/06/30,Reported
115,Q4 2023/24,2024/03/06,Legal Aid South Africa,Umzinto Satellite Office - Hygiene services,Bidvest Steiner,Align with the lease agreement to end at the same time,"R 22 161,56","R 94 980,36",R-,2024/02/21,2024/03/01,2024/09/30,Reported
116,Q4 2023/24,2024/03/06,Legal Aid South Africa,Benoni Local Office - Armed response security services,Fidelity Security,New RFQ process to appoint service provider not yet concluded,"R 2 655,49","R 57 478,83",R-,2024/02/19,2024/02/29,2024/03/31,Reported
117,Q4 2023/24,2024/03/06,Legal Aid South Africa,Beaufort West Satellite Office (Lease of office accomodation),Kumani Beleggings 120 (Pty) Ltd,New RFQ process to appoint service provider not yet concluded,"R 103 367,76","R 438 006,00",R-,2024/02/29,2024/03/01,2025/02/28,Reported
118,Q4 2023/24,2024/03/06,Legal Aid South Africa,Swellendam Satellite Office (Lease of office accomodation),Frederick Gabriel Koch (FG Kock),New RFQ process to appoint service provider not yet concluded,"R 104 328,00","R 377 256,71","R 169 264,08",2024/02/28,2024/03/01,2025/02/28,Reported
119,Q4 2023/24,2024/03/06,Legal Aid South Africa,Rustenburg Local Office (Lease of office accomodation),HB Investment trust,New tender process to appoint service provider not yet concluded,"R 172 101,87","R 3 343 311,21",R-,2024/02/28,2024/03/01,2024/05/31,Reported
120,Q4 2023/24,2024/03/06,Legal Aid South Africa,"Free State / North West Provincial Office (Lease of office
accomodation)",PHG Property House,New tender process to appoint service provider not yet concluded,"R 371 324,88","R 3 079 230,54",R-,2024/02/28,2024/03/01,2024/08/31,Reported
121,Q4 2023/24,2024/03/06,Legal Aid South Africa,Prieska Satellite Office (Lease of office accomodation),Temdale Boerdery (EDMS) BPK,New deviation process to appoint service provider not yet concluded,"R 137 606,52","R 117 753,60","R 238 549,16",2024/02/23,2024/03/01,2025/02/28,Reported
122,Q4 2023/24,2024/03/06,Legal Aid South Africa,Vereeniging Local Office (Lease of office accomodation),Langenhoven Family Trust,New tender process to appoint service provider not yet concluded,"R 334 765,20","R 2 820 305,48","R 334 765,20",2024/02/23,2024/03/01,2024/08/31,Reported
123,Q4 2023/24,2024/03/06,Legal Aid South Africa,Upington Local Office (Lease of office accomodation),Usentra (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 101 879,11","R 5 149 160,64","R 1 222 549,32",2024/02/28,2024/03/01,2024/03/31,Reported
124,Q4 2023/24,2024/03/15,National Home Builders Registration Council (NHBRC),NHBRC Rustenburg Office extension for period of three months,New Heights 480 (Pty)Ltd,Tender advertised and administratively non-responsive,"R 258 056,04","R 1 939 783,66","R 13,30",2024/03/07,2024/04/01,2024/06/30,Reported
125,Q4 2023/24,2024/03/15,National Home Builders Registration Council (NHBRC),NHBRC Klerksdorp Office extension for period of three months,SUREGO INVESTMENTS,Tender advertised and administratively non-responsive,"R 108 501,00","R 769 943,40","R 14,09",2024/03/07,2024/06/01,2024/08/31,Reported
126,Q4 2023/24,2024/03/15,National Home Builders Registration Council (NHBRC),NHBRC East London Office extension for period of three months,INVESTPRO,Provision of three months for moving offices,"R 248 953,67","R 1 718 127,32","R 14,49",2024/03/07,2024/04/01,2024/06/30,Reported
127,Q4 2023/24,2024/03/07,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Cut, Make and Trim of Camouflage Jackets",Zenzeleni Clothing,"The fire outbreak incident resulted in reduced stock levels of combat dress because soldiers
had to assist in containing the fire. As a result 502 Jackets were ordered on expansion to cover
for members affected and the MSDS (Military Skills Development System) intake, curbing
upcoming Prosper with the SAPS mainly on popular sizes, is issued at 2 sets per person. The","R 202 055,00","R 693 000,00",R-,2023/12/13,2023/12/13,2024/05/31,Reported
128,Q4 2023/24,2024/03/07,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Cut, Make and Trim of Camouflage Shirts",Zenzeleni Clothing,"A1r9m0y0 T Srhaoinritn agn Edx Leorcnigs eS aletetrvaec tSs hVirutsk uwhelorme oer idne erexdce osns eoxf p2a0n 0s0io0n s tool dcioevresr a fnonr umaellmy, bwehros aefsfteacbtelisdh
and the MSDS (Military Skills Development System) intake, curbing upcoming Prosper with the
SAPS mainly on popular sizes, is issued at 2 sets per person. 300 units are to cater for those
directly involved in the incident and The balance of the combat dress is provisioned for MSDS","R 172 917,45","R 75 087,60",R-,2023/12/13,2023/12/13,2024/05/31,Reported
129,Q4 2023/24,2024/03/07,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Cut, Make and Trim of Camouflage Trousers",Zenzeleni Clothing,"19in0t0a ktreo uasnedr sb uwffeerre s otordcek roend coonl leaxbpoarantsivioen o tpoe croavtieorn sfo wr mithe tmheb eSrAs PaSffe, cintecdlu dainndg tahlel oMthSeDr S
(Military Skills Development System) intake, curbing upcoming Prosper with the SAPS mainly
on popular sizes, is issued at 2 sets per person. 300 units are to cater for those directly
involved in the incident and The balance of the combat dress is provisioned for MSDS intake","R 202 426,00","R 185 379,60",R-,2023/12/13,2023/12/13,2024/05/31,Reported
130,Q4 2023/24,2023/12/18,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request for approval from the Chief Executive Officer for financial
adjustments to Microsoft Azure Services and scope CIBECS cloud-to-
cloud backups in the ICT Licenses",Grandwell Pty Ltd,"and buffer stock on collaborative operations with the SAPS, including all other unforeseen
Request for approval from the Chief Executive Officer for financial adjustments to Microsoft
Azure Services and scope CIBECS cloud-to-cloud backups in the ICT Licenses","R 1 921 910,48","R 5 155 756,66","R 774 228,51",2023/12/14,2024/01/01,2025/03/07,Reported
131,Q4 2023/24,2024/01/02,South African Revenue Service (SARS),Bellville Lease Extension,Delta Property Fund Limited,"Lease extension for Sable House at Bellville for a period of twelve (12) months effective from 01
April 2024 until 31 March 2025, with an option for early exit, at an estimated cost of R 28 050
013.31 72 Incl VAT.","R 28 050 013,31","R 119 374 929,34","R 181 811 217,31",2023/12/29,2024/01/04,2025/03/31,Reported
132,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"LRMG, to provide the HSRC with an e-learning platform, including
superuser training for the system",LRMG,Increase in the scope of work,"R 913 570,00","R 939 492,50",R-,2023/12/18,2024/01/04,2024/12/30,Reported
133,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"PO variation Addition Security Guarding Services for a period of 30
months for the HSRC Sweetwaters office",Siva Security services,Additional of two security officers ate HSRC Sweetwaters office,"R 884 120,00","R 5 393 958,50",R-,2023/12/13,2024/01/01,2026/04/01,Reported
134,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),PO variation Torch On Waterproofing on 1st and 9th floors,Bangu Construction,Square meters provided are not correct (9th floor),"R 684 909,80","R 1 252 225,80",R-,2023/12/13,2023/12/13,2024/01/03,Reported
135,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"PO variation to facilitate the payment of external legal service
providers",Gildenhuys Lessing Malatji,"Increase in the scope of work as the service required are senior indivividual then what was
expected.","R 102 788,50","R 60 000,00",R-,2023/12/14,2023/12/14,2024/12/03,Reported
136,Q4 2023/24,2024/01/04,South African Revenue Service (SARS),KZN Shredding and Recycling,Brits Nonwoven Proprietary Limited,"Variation of time on an existing contract for the shredding and recycling of clothing from 1
January 2024 to 31 December 2024.",R-,"R 1 500 000,00",R-,2023/12/29,2024/01/01,2024/12/31,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
137,Q4 2023/24,2024/01/05,Film and Publication Board (FPB),FPB Online -Support & Maintenance,Tipp Focus Consulting,"1 To complete deliverables that have not been completed that are part of the FPB Mandate
Namely, the Finalization of Film Matrix, and the Migration Of ERMS to a web Based Platform",R-,"R 4 954 065,00",R-,2021/09/30,2021/12/31,2024/03/31,Reported
138,Q4 2023/24,2024/01/08,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Parcel Courier Services,Skynet SA,"Contract extended pending finalisation of procurement of NT Transversal contract for a longer
period","R 116 168,60","R 552 931,45",R-,2023/12/27,2024/01/01,2024/03/31,Reported
139,Q4 2023/24,2024/01/11,State Information Technology Agency (SITA),"Contract extension for SS 2474-2019: Renewal of operating lease
agreement for SITA Welkom switching centre rental for a period of
one (01) years from 01 November 2023",Barbour & Thorne (Pty) Ltd,"To allow finalisation of the plan to consolidate swithcing centres and identify switching centres
to be closed.","R 980 177,74","R 234 885,80",R-,2023/09/11,2023/11/01,2024/10/31,Reported
140,Q4 2023/24,2024/01/11,South African Revenue Service (SARS),Albany House Lease Extension,Zelpy 1325 (Pty) Ltd,"Lease agreement extension between SARS and Zelpy 1325 (Pty) Ltd for Albany House for a
period of twelve months commencing 1 February 2024 to 31 January 2025, with an option for
early exit, at a total cost of R22 253 491.32 VAT inclusive.","R 22 253 491,32","R 294 937 587,12","R 292 625 211,47",2023/12/29,2024/01/02,2025/01/31,Reported
141,Q4 2023/24,2024/01/11,Financial Sector Conduct Authority,Lease Agreement for officespaces in Block B.riverwalk Office Park,Mowana Propeties (Pty) Ltd,In occupation,"R 50 550 996,00","R 305 657 177,00",R-,2023/10/23,2023/11/01,2025/10/30,Reported
142,Q4 2023/24,2024/01/11,Financial Sector Conduct Authority,"Replacement vehicle , VW Caddy Cargo 2.0TDI",Volkswagon of South Africa (Pty) Ltd (VWSA),Car Model Changed,"R 551 272,18","R 494 289,08",R-,2023/11/30,Once-off,Once-off,Reported
143,Q4 2023/24,2024/01/12,Film and Publication Board (FPB),FPB Online support and maintenance,Tipp Focus Consulting,"To complete deliverables that have not been completed that are part of the FPB Mandate
Namely, the Finalization of Film Matrix, and the Migration Of ERMS to a web Based Platform",R-,"R 495 065,00",R-,2021/09/30,2021/12/13,2024/03/31,Reported
144,Q4 2023/24,2024/01/17,National Treasury,"Request for approval to do an addendum for annexure V – Hosting of
cabinets at DR site in Pietermaritzburg to the State Information
Technology Agency (SITA) service level agreement (SLA).",SITA Pty (Ltd),To accommodate a price increase (corrected memo/ resubmission),"R 659 743,96","R 53 895 275,54",R-,2023/12/06,2022/04/01,2027/03/31,Reported
145,Q4 2023/24,2024/01/17,Media Development and Diversity Agency (MDDA),Catering Services,Mmabatho Palms Hotel,Catering Services,"R 75 100,00",R-,R-,2024/10/01,Not stated,Not stated,Reported
146,Q4 2023/24,2024/01/17,Media Development and Diversity Agency (MDDA),Audio Visuall installation,AV Connection,The 2 tv screens had to be repaced at the venue.,"R 62 650,00",R-,R-,2024/10/01,Not stated,Not stated,Reported
147,Q4 2023/24,2024/01/19,Media Development and Diversity Agency (MDDA),Telecommunications and Network,Bitcon,"Due to infrastructure relocation, contract had to be extended as terms and conditions of the
service provider","R 384 000,00",R-,R-,2024/10/01,Not stated,Not stated,Reported
148,Q4 2023/24,2024/01/19,South African Revenue Service (SARS),Project Management Professional Certification(PMP),Myirha Consulting Engineering and Projects,Request for variation for 1 employee for PMP Certification exam as part of SACPCMP,"R 11 845,00","R 174 340,00",R-,2024/01/03,2023/04/03,2026/03/31,Reported
149,Q4 2023/24,2024/01/17,"Universal Service and Access Agency of South Africa
(USAASA)",Internet Connectivity Services,Dimension Data (extention due to disestablishment),Due to the enity's disestablishment.,"R 759 627,00","R 4 883 548,60",R-,2023/02/28,2023/03/01,2024/02/28,Reported
150,Q4 2023/24,2024/01/17,"Universal Service and Access Agency of South Africa
(USAASA)","Communication Services, e.g. voice, data, mobile, APN etc",Vodacom (exention due to disestablishment),Due to the enity's disestablishment.,"R 3 701 226,29","R 2 124 574,80",R-,2015/12/01,2015/12/01,2017/11/30,Reported
151,Q4 2023/24,2024/01/23,South African Revenue Service (SARS),"Variation of RFP 01/2016 - Network support and end-user support
(also known as Tower NSE) contract awarded to Siizwe Africa IT
Group and Gijima Holdings respectively for a period of twelve (12
months from 01 July 2024 to 30 June 2025 on a month to month basis",Sizwe Africa IT Group Gijima Holdings (Pty) Ltd,Value &Time,"R 155 453 196,51","R 1 072 556 000,00","R 20 297 161,00",2024/01/17,2024/01/17,2024/07/01,Reported
152,Q4 2023/24,2024/01/24,Department of Employment and Labour (DEL),"aRte aqnu easdtd fiotiro naaplp aromvoaul ntot odfe Rvi1a5te5 f4ro5m3 1th9e.5 n1o (rVmAaTl .p Irnoccluusreivme)e ntot
processes to increase the scope of the current contract entered into
between the fund (Pty) Ltd to provide an additional resource to assist
with data migration from Computron financial system to the new SAP",GEN2,"The Unemployment Insurance Fund entered into a contract with Gen2 Enterprise Software SA
Pty Ltd for the provision of Licences and one (1) Resource to support and maintain the
Computron Financial System for a period of three (3) years effective from 1 July 2022 and
ending on 30 June 2025. 2.4. The current allocated resource is limited to support and","R 186 006,50","R 16 947 655,51",R-,2024/01/15,2024/01/15,2024/06/16,Reported
153,Q4 2023/24,2024/01/23,South African Revenue Service (SARS),"ECVCa rpiaatyiomne onft RsyFsPte 0m1 /f2o0r1 t6h e- uNneetwmoprlko yomf Cenatr riniesru aranndc Ien ffruansdtr u(UctIuFr)e f or
Service (also known as Tower DVS) contracts awarded to Internet
Solution (a division of Dimension Data (Pty) Ltd), Telkom SOC SA
Limited and MTN (Pty) Ltd respectively, for a period of twelve 12","Internet Solution (a division of Dimension Data (Pty)
Ltd, Telkom SOC SA Limited MTN (Pty) Ltd","maintenance of the Computron financial System only and not any other work except those
Value &Time","R 174 995 683,61","R 1 355 885 653,00","R 102 205 228,28",2024/01/19,2024/01/19,2024/07/01,Reported
154,Q4 2023/24,2024/01/24,Department of Employment and Labour,"monRthesq furoemst 0fo1r Jauplpy r2o0v2a4l ttoo d3e0v Jiautnee f r2o0m2 5th oen n ao rmmoanl tphr-otoc-umreomntehn bt asis
processes to increase the scope of the current contract entered into
between the fund and Gen2 Enterprise Software SA PTY (LTD) pty
(ltd) to provide an additional resource to assist with data migration",GEN2,"The Unemployment Insurance Fund entered into a contract with Gen2 Enterprise Software SA
Pty Ltd for the provision of Licences and one (1) Resource to support and maintain the
Computron Financial System for a period of three (3) years effective from 1 July 2022 and
ending on 30 June 2025. 2.4. The current allocated resource is limited to support and","R 1 186 006,50","R 16 947 655,51",R-,2024/01/15,2024/01/15,2024/06/16,Reported
155,Q4 2023/24,2024/02/23,South African Revenue Service (SARS),"from Computron Financial System to the new SAP ECC payment
Ashlea Gardens Lease Extension",K Carrim Commercial Properties (Pty) Limited,"maintenance of the Computron financial System only and not any other work except those
Lease agreement entered between SARS and K Carrim Commercial Properties (Pty) Limited
for the Ashlea Gardens TPS Office for a period of five (5) years, with an option for early exit, at
an estimated total cost of R 29,720,499.03 VAT incl.","R 29 720 499,03","R 20 326 681,00","R 37 196 973,06",2024/02/21,2024/03/01,2029/02/28,Reported
156,Q4 2023/24,2024/02/23,National Treasury,"NT015-2021: Appointment of a service provider to render
comprehensive hygiene and cleaning services for National Treasury
buildings 240 Madiba Street, tender information centre wing, 40
church square in Pretoria CBD and 3rd floor Parliament offices at 120",M-Jnr and Olwethi Consulting Pty (Ltd),"Adjustment based on the Annual Statutary Wage increases as promolugated by the Mister of
Labour in terms of the Sectoral Determination 1, Contract Cleaning Sector.","R 607 970,52","R 19 891 891,08","R 376 371,24",2024/02/19,2022/02/01,2025/01/31,Reported
