3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
EXPANSIONS REPORT","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
"66
67","Q3 2023/24
Q3 2023/24","2023/09/19
2023/09/19","Legal Aid South Africa
Legal Aid South Africa","Kwazulu-Natal Provincial Office
Upington Local Office","Essex Terrace Property Partnership (Pty) Ltd
Usentra (Pty) Ltd","Unresponsive tender
Unresponsive tender","R 368 670,54
R 611 274,66","R 2 634 225,30
R 5 149 160,64","R 1 216 361,80
R 611 274,66","2023/08/29
2023/08/31","2023/09/01
2023/09/01","2024/03/31
2024/02/29"
"68
69
70","Q3 2023/24
Q3 2023/24
Q3 2023/24","2023/09/19
2023/09/19
2023/09/19","Legal Aid South Africa
Legal Aid South Africa
Legal Aid South Africa","Vereeniging Local Office
Cape Town Local Office
Bulwer Satellite Office","Langenhoven Family Trust
South African Reserve Bank
Stavcom CC","Tender process not yet complete
Unresponsive tender
Upliftment of suspension period on the contract to new extended period
(varying of time, no financial implications)","R 334 765,20
R 2 424 739,82
R -","R 2 820 305,48
R 8 769 120,19
R 653 444,40","R -
R 2 582 418,40
R -","2023/08/31
2023/08/31
2023/09/04","2023/09/01
2023/09/01
2024/11/01","2024/02/29
2024/08/31
2026/11/30"
"71
72","Q3 2023/24
Q3 2023/24","2023/09/19
2023/10/19","Legal Aid South Africa
Manufacturing, Engineering and Related Services Sector Education
and Training Authority (merSETA)SETA","Maintenance and support services agreement
Rental of 15 Laptops","Blue Computer Technologies (Pty) Ltd
Govtek Technologies","Sole provider
Further extension for 3-months from September 2023 is required to ensure
business
continuity while procurement process is underway. Market response for long-
term remtals
has been extremely poor.","R 6 504,25
R 67 275,00","R 6 504,25
R 139 322,50","R 6 504,25
R 44 850,00","2023/08/31
2023/01/13","2023/09/01
2023/01/16","2023/09/30
2023/07/15"
73,Q3 2023/24,2023/09/26,"Manufacturing, Engineering and Related Services Sector Education
and Training Authority (merSETA)SETA",Facial Recognition Security Services,Stallion Security (Pty) Ltd,"Expansion of scope :additional measures to allow building access for
merSETA staff members with disabilities(Wheelchair access)","R 90 111,35","R 529 842,43",R -,2022/10/07,2022/11/01,2027/05/31
74,Q3 2023/24,2023/09/26,"Manufacturing, Engineering and Related Services Sector Education
and Training Authority (merSETA)SETA",Internal Audit services,Shumba Inc.,Awaiting procurement process(advertised tender) process to be finalised.,"R 601 097,37","R 1 477 516,13","R 68 040,00",2020/08/31,2020/09/01,2023/08/31
75,Q3 2023/24,2023/10/24,"Media, Information and Communication Technologies Sector
Education and Training Authority (MICT SETA)SETA","Appointment of a Service Provider to provide a short-term insurance
cover ralated services for MICT SETA assets cover for a period of three
(03) years.",Kunene Makopo Risk Solutions (Pty) Ltd,"The request to vary the contract amount for the appointment of a service
provider for or the provision of a short-term insurance cover related services
for MICT SETA assets cover for a period of three (03) years is to ensure that
newly acquired MICT SETA fixed assets have insurance cover against any
unforeseen unfavourable situations.","R 157 513,93","R 486 445,45","R 643 959,37",2023/10/04,2021/08/01,2024/07/31
"76
77
78
79","Q3 2023/24
Q3 2023/24
Q3 2023/24
Q3 2023/24","2023/11/07
2023/10/19
2023/10/19
2023/10/03","Media, Information and Communication Technologies Sector
Education and Training Authority (MICT SETA)SETA
Mining Qualifications Authority (MQA)SETA
Mining Qualifications Authority (MQA)SETA
National Consumer Commission (NCC)","The request to vary the contract amount for the appointment of a service
provider for or the provision of a short-term insurance cover related
services for MICT SETA assets cover for a period of three (03) years
use of saving
phase 2 development and addtional system development
Additional Antivirus and Memory models","Kunene Makopo Risk Solutions (Pty) Ltd
solugrowth
solugrowth
Datacentrix","The request to expand the current scope of Kunene Makopo Risk Solutions
(Pty) to include the provision of indemnity / liability insurance cover for board
members and officers is due to several unsuccessful sourcing process in an
effort to contract a service provider to provide Board of Directors Liability,
This is a critical insurance cover as the organisationcould be at risk in the
event of lawsuits.
savings
Continuity of service
Expansion of scope of work","R 826 993,87
R -
R 343 620,00
R 202 598,63","R 486 445,44
R 3 707 728,32
R 6 116 040,00
R 21 966 322,40","R 340 548,43
R -
R 16 550,00
R -","2023/10/24
2023/10/10
2023/10/19
2023/09/12","2023/10/24
2023/10/16
2023/10/19
Not stated","2025/10/23
Not Stated
2024/03/31
Not stated"
"80
81
82
83
84","Q3 2023/24
Q3 2023/24
Q3 2023/24
Q3 2023/24
Q3 2023/24","2023/10/03
2023/10/05
2023/10/30
2023/10/30
2023/11/20","National Consumer Commission (NCC)
National Consumer Commission (NCC)
National Consumer Commission (NCC)
National Consumer Commission (NCC)
National Heritage Council South Africa (NHC)","Implementaton and support of Opt-Out of registry
ICT-Back-end Infrastructure
Media monitoring
SAGE ERP System
Software licenses for the Acronis Backup System for year 2","e-Software solutions
Datacentrix
Market IQ
LAR and Associates
Lez Technologies","Extension of time
Additional Public IP adresses
Tender process not yet complete
Expansion of scope of work
The RFQ included the licenses for 2 years with maintenance and support on
the Acronis backup system. The maintenance and support charges exceeded
the initial amount and inadequate funds were available for year 2 licences","R -
R 2 044,70
R 13 594,74
R 21 288,63
R 235 253,25","R 5 645 898,55
R 21 966 322,40
R 158 158,35
R 3 088 221,45
R 21 747,57","R 1 259 888,70
R 202 598,63
R -
R -
R -","2023/09/20
2023/10/04
2023/10/16
2023/10/20
2023/11/30","Not stated
Not stated
2023/11/01
Not stated
2023/11/01","Not stated
Not stated
2023/12/31
Not stated
2024/10/31"
85,Q3 2023/24,2023/11/20,National Heritage Council South Africa (NHC),"60th aniversary of the Rivonia Trail held on 28 September 2023 at
Lilliesleaf",Malalas Holdings,"Additional charges related to travel arrangements for attendees that did not
rsvp on time, a backup generator due to loadshedding and additional catering
services","R 815 770,00","R 18 113,50",R -,2023/09/21,2023/09/22,2023/09/29
86,Q3 2023/24,2023/11/20,National Heritage Council South Africa (NHC),"Intergenerational Dialogue under the Cultural Expressions programme in
partnership with the Mashilane Traditional Council in Matibidi Village
Mpumalanga.",Hamba Umhlaba Travel,"The RFQ was for vehicle rental from Pretoria to Mpumalanga on 26 - 28 June
2023 and the service provider charged for the tollgate fees which were not
available at the time of quotation as it depends on the road used by the
traveler","R 19 831,36","R 391,17",R -,2023/06/26,2023/06/26,2023/06/28
87,Q3 2023/24,2023/11/20,National Heritage Council South Africa (NHC),"Attendance of the opening of the Limpopo House of Traditional and
Khoisan Leaders in Limpopo",Hamba Umhlaba Travel,"The RFQ did not indicate the number of kilometers that the traveler needs to
travel to Limpopo and the service provider made provision for 200km at no
cost but charged dditional for the kilometers exceeded. The trip was n 3 - 4
May 2023 and the team travelled an additional 530km.","R 4 124,96","R 2 582,90",R -,2023/05/03,2023/05/03,2023/05/04
88,Q3 2023/24,2023/10/13,National Home Builders Registration Council (NHBRC),Accreditation of the NHBRC Construction materials testing laboratory,S G S M etrolab,Extension of time due to delays,R -,"R 975 821,00",R -,2023/10/13,2020/03/20,2024/12/19
"89
90","Q3 2023/24
Q3 2023/24","2023/10/02
2023/11/14","National Nuclear Regulator (NNR)
National Research Foundation (NRF)","Administration of Thermo-Luminescence Dosimeters
Service provider to collect, transport, clear and forward radioactive
material (radiopharmaceuticals and radioisotopes) from iThemba LABS,
Cape Town to its clients worldwide for a period of four (4) years","SABS
NTP Logistics","Continuity of service
Variation: Extension to due date with no additional cost implications","R 90 618,74
R -","R -
R 11 580 859,38","R -
R -","2023/09/29
2023/10/31","Not Stated
2017/12/22","Not Stated
2024/03/31"
91,Q3 2023/24,2023/11/14,National Research Foundation (NRF),"Supply and delivery of cleanroom undergarments for the Nuclear
Medicine Department to iThemba LABS, Faure, Western Cape, for a
period of three (3) Years",Basan SA (Pty) Ltd,"Variation: additional contract value needed as actual quantities exceeds
estimated quantities","R 10 575,00","R 210 000,00",R -,2023/11/01,2023/11/01,2025/11/03
92,Q3 2023/24,2023/11/14,National Research Foundation (NRF),"Organisation review and Skills Audit for the National Research
Foundation",Meso Management Consulting,Variation: It is as a result of ONE NRF renewal process,"R 793 500,00","R 2 668 058,00","R 900 000,00",2023/11/01,2023/08/01,2024/08/01
93,Q3 2023/24,2023/11/24,National Research Foundation (NRF),"Appointment of a service provider to operate NRF canteen and to supply
refreshments to the NRF satellite kitchens at the NRF Head Office in
Brummeria Pretoria for a period of 12 months",Mosenong Catering (Pty) Ltd,"The contract amount is exhausted due to the significant increase in demand
for catering services as a result of employees returning to the office full-time.
There is an urgent need to expand the contract amount and extend the
contract period by six months to accommodate canteen management and
satellite kitchen and catering refreshments needs of the NRF to meet the
current demand","R 308 321,00","R 483 287,50",R -,2023/11/17,2023/02/01,2024/07/31
94,Q3 2023/24,2023/10/25,National School of Government (NSG)National Department,Provision of services: Physical Security Services,Phutadichaba Trading Enterprise,Extension of current contract,"R 17 538 566,28","R 876 928,32",R -,2018/10/15,2018/11/01,2023/10/31
95,Q3 2023/24,2023/10/16,National Treasury,"Request to approve the 6% annual price escalation for Managed
Integrity Evaluation (MIE) (PTY) LTD registration No 2003/016541/07",Managed Integrity Evaluation (MIE) (PTY) LTD,To make provision for annual price escalation,R -,R -,R -,2023/07/28,2022/04/13,2025/04/14
96,Q3 2023/24,2023/11/14,National Treasury,"Request for extension of a coaching agreement between National
Treasury and Experiential Technologies (Pty) LTD by a further three
months",Experiential Technologies (Pty) LTD,"Two sessions were missed and had to be postponed to later dates.
Hence the request for the agreement period to be extended by a further
three months to cater for both the postponed sessions and any unforeseeable
events.","R 67 850,00",R -,R -,2023/11/09,2023/08/17,2024/02/16
97,Q3 2023/24,2023/11/24,National Treasury,"Request for approval to do an addendum for annexure V – Hosting of
cabinets at DR site in Pietermaritzburg to the State Information
Technology Agency (SITA) service level agreement (SLA).",SITA Pty (Ltd),To accommodate a price increase,"R 53 895 275,54","R 7 353,89",R -,2023/11/10,2022/04/01,2027/03/31
98,Q3 2023/24,2023/11/30,National Treasury,"Request for extension of a coaching agreement between National
Treasury and Experiential Technologies (Pty) LTD by a further three
months",Experiential Technologies (Pty) LTD,"Two sessions were missed and had to be postponed to later dates. Hence
the request for the agreement period to be extended by a further three
months to cater for both the postponed sessions and any unforeseeable
events.",R -,"R 67 850,00",R -,2023/11/09,2023/08/17,2024/02/16
99,Q3 2023/24,2023/11/30,National Treasury,"Request for approval to do an addendum for annexure V – Hosting of
cabinets at DR site in Pietermaritzburg to the State Information
Technology Agency (SITA) service level agreement (SLA).",SITA Pty (Ltd),To accommodate a price increase,"R 88 246,68","R 53 895 275,54","R 3 756 701,07",2023/11/10,2022/04/01,2027/03/31
100,Q3 2023/24,2023/10/31,Performing Arts Centre of the Free State (PACOFS),Provision of Ticketing services on a need basis,WEBTICKETS,Maximum value of R1 000 000 not reached,"R 1 000 000,00","R 1 000 000,00","R 1 000 000,00",2023/09/29,2023/10/02,2024/10/01
101,Q3 2023/24,2023/10/09,"Petroleum, Oil and Gas Corporation of South Africa (PetroSA)",Vodacom Internet Service Provision,Vodacom (Pty) Ltd,Single source,"R 1 778 000,00","R 12 166 900,00","R 1 763 000,00",2023/10/05,2024/01/31,2023/10/09
102,Q3 2023/24,2023/11/21,"Petroleum, Oil and Gas Corporation of South Africa (PetroSA)",Firewater Project,Mdc Arendse Construction,Continuity of service,"R 3 869 860,00","R 12 908 004,89",R -,2023/11/20,2023/08/01,2026/11/16
103,Q3 2023/24,2023/09/21,"Petroleum, Oil and Gas Corporation of South Africa (PetroSA)",Survival Training,"Cape Peninsula University Of
Technology",Operational Requirement,"R 120 000,00","R 765 000,00","R 1 866 978,00",2023/09/21,2023/09/11,2024/02/28
104,Q3 2023/24,2023/10/10,Public Service Commission (PSC),"Approval variation of the current contract with managed Intergrity
Evaluation (Pty) Ltd for the seven months remainder of the contract",Managed Intergrity Evaluations Pty Ltd,"Verification qualifications and background checks to ensure that recruitment
process is not interrupted","R 60 000,00","R 100 000,00",R -,2022/03/31,2022/04/01,2023/03/31
105,Q3 2023/24,2023/10/11,Quality Council for Trades and Occupations (QCTO),Internet connectivity,Comsol Networks,Extension of scope,"R 12 075,00","R 192 899,85",R -,2023/09/21,2023/09/22,2024/09/21
"106
107
108","Q3 2023/24
Q3 2023/24
Q3 2023/24","2023/12/12
2023/10/15
2023/10/15","Railway Safety Regulator (RSR)
Rand Water
Rand Water","Dinner for SARA Board members attending meeting at RSR Office
Construction of roads including earthwork
Construction of Engine Room","Blue Cloud Travel Solutions
Planet Earth Construction
WK Construction","Additional ten (10) Members to attend the meeting
Increase in scope of work
Increase in scope of work","R 6 993,80
R 21 793 824,36
R 303 114 918,45","R 17 484,50
R 89 087 428,36
R 47 763 966,67","R -
R -
R -","2023/11/29
2023/09/28
2023/10/02","Once off
2019/06/18
2019/05/07","Once off
2024/12/30
2023/12/31"
"109
110
111","Q3 2023/24
Q3 2023/24
Q3 2023/24","2023/09/29
2023/11/16
2023/12/08","Road Accident Fund (RAF)
Road Traffic Infringement Agency (RTIA)
SASRIA","Datacentre Hosting
Legal opinion - Rationalisation
Panel of Legal service provider","Vodacom (Pty) Ltd
MNS
List of Service providers (attached)","Service continuity
Continuity of service
There has been internal delays in the finalization of the evaluation of the new
panel","R 14 577 875,00
R 424 000,00
R 2 000 000,00","R 50 345 946,34
R 500 000,00
R -","R 58 544 305,41
R -
R 240 000,00","2023/09/29
2023/10/09
2019/12/11","2023/09/13
2023/10/10
2020/02/17","2024/09/29
2023/10/30
2024/03/31"
112,Q3 2023/24,2023/12/08,SASRIA,Panel of Forensic investigation services,Listing of Service providers (attached),"There has been internal delays in the finalization of the evaluation of the new
panel","R 3 000 000,00",R -,R -,2019/12/19,2020/02/17,2024/03/31
113,Q3 2023/24,2023/12/08,SASRIA,Supply and Maintenance of Airconditioning,Phola Airco Enterprise CC,"The process to finalize the award of the new tender was delayed and there is
an urgent need to replace the main air conditioner unit in the server room","R 802 194,00","R 257 700,00",R -,2020/11/17,2021/01/01,2024/03/31
114,Q3 2023/24,2023/11/22,SENTECH,"Sentech has acquired webMethods licenses used for systems integration
and it now due for renewal. The licenses are used for system integration
at both production and DR sites including cloud deployments (either
iPaaS in Private or public Cloud).",Mosen Technologies,"To provide managed security service forenterprise antivirus. Mosen
Technologies is a managed security service provider (MSSP) forTrend Micro
antivirus to Sentech for proactive and reactive malware real-time protection
ofthe end user devices and servers.","R 1 997 848,42","R 591 253,00",R -,2019/09/16,2019/09/16,2024/09/17
115,Q3 2023/24,2023/09/26,Services Sector Education and Training Authority (SSETA)SETA,"Proc T589-The appointment of a services provider to support microsoft
systems",Vision Wave (Pty) Ltd,"The reason for the request was due to the fact that the organisation was in
the process of renewing some of the ICT support contracts.Also, with the
implementation of services SETA integrated information management system
strategy,there were changes on how ICT will be supported.","R 783 810,00","R 5 225 400,00",R -,2023/09/20,2020/10/01,2023/12/31
116,Q3 2023/24,2023/09/26,Services Sector Education and Training Authority (SSETA)SETA,"Proc T594 -The appointment of a service provider to provide information
and communication technology (ICT) infrastructure support.",Dataproof Communication (Pty) Ltd,"The reason for the request was due to the fact that the organisation was in
the process of renewing some of the ICT support contracts.Also, with the
implementation of services SETA integrated information management system
strategy,there were changes on how ICT will be supported.","R 2 695 140,00","R 17 967 600,00",R -,2023/09/20,2020/10/01,2023/12/31
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
117,Q3 2023/24,2023/09/26,Services Sector Education and Training Authority (SSETA)SETA,"Proc T595- Appointment of a service provider to provide information and
communication technology(ICT) applications support",Struggles Descartes (Pty) Ltd,"The reason for the request was due to the fact that the organisation was in
the process of renewing some of the ICT support contracts.Also, with the
implementation of services SETA integrated information management system
strategy,there were changes on how ICT will be supported.","R 3 060 000,00","R 23 400 000,00","R 450 000,00",2023/09/20,2020/10/01,2023/12/31
118,Q3 2023/24,2023/09/26,Services Sector Education and Training Authority (SSETA)SETA,"Appointment of a security service provider to provide physical security,
armed response and maintenance and repairs of the alarm and electrical
fence at services seta Head Office",Good Work Security (Pty) Ltd,"To finalise and appoint a sucessful bidder to provide physical security at the
Services SETA Head Office and to give the agreed monthly notice to the
outgoing security service provider.","R 1 312 200,00","R 8 748 000,00",R -,2023/09/20,2020/10/01,2023/12/31
119,Q3 2023/24,2023/11/21,Small Enterprise Development Agency (SEDA),Short term insurance,Lateral Unison Insurance Brokers,"Due to pending merger between Seda and Sefa and CDBA which was put on
hold until 2024, the board resolved that Seda only enters into 2 year contracts","R 2 366 300,00","R 5 577 217,00","R 2 366 300,00",2023/09/22,2023/10/01,2025/09/30
120,Q3 2023/24,2023/11/21,Small Enterprise Development Agency (SEDA),Office Lease: Uthukela Branch,Samora Trust,"Due to pending merger between Seda and Sefa and CDBA which was put on
hold until 2024, the board resolved that Seda only enters into 2 year contracts","R 14 208 484,20","R 3 702 976,31",R -,2023/09/22,2023/11/01,2025/10/31
121,Q3 2023/24,2023/10/04,South African Broadcasting Corporation SOC Limited (SABC),"Maintenance, Repairs & Replacement of HVAC",Blue Aqua,"Expansion - The request is to have the units that were not added on
the list of requirements as well as on the contract, to be added on the
contract-by-contract expansion.","R 107 400,00","R 332 881,25",R -,2023/09/28,2023/05/01,2026/04/30
122,Q3 2023/24,2023/10/04,South African Broadcasting Corporation SOC Limited (SABC),Data Cleasing,LK Centrix,"Expansion - For the provision of data cleansing and acquisition
services to TV Licences","R 2 670 000,00","R 4 058 706,00",R -,2023/09/28,2023/11/01,2024/10/31
123,Q3 2023/24,2023/10/04,South African Broadcasting Corporation SOC Limited (SABC),Sponsorship Tracking,AGB Nielsen,"Extension - To ensure continuity of services and allow the SCM RFP
process of monitoring, and reporting on, SABC sponsorship elements
as the business intended going to market to source out a service
provider.","R 342 901,25","R 1 999 620,00",R -,2023/09/28,2023/10/01,2024/02/29
124,Q3 2023/24,2023/10/04,South African Broadcasting Corporation SOC Limited (SABC),Licenses,BAMS,"Expansion - Additional licenses were required as requests for Signiflow
usage increased.","R 340 546,05","R 2 617 970,00",R -,2023/09/14,2022/03/22,2025/02/28
125,Q3 2023/24,2023/10/04,South African Broadcasting Corporation SOC Limited (SABC),Data Analyst,PAX,Expansion - To help TV Licences create new data analytics reports,"R 164 220,00","R 1 511 207,81",R -,2023/09/27,2023/09/01,2025/05/31
126,Q3 2023/24,2023/09/29,South African Broadcasting Corporation SOC Limited (SABC),Additional 100 Signflow Licences,Badimo Asset Management Solution,Increased demand in license holders,"R 340 546,05","R 2 617 970,98",R -,2022/03/28,2022/03/22,2025/02/28
127,Q3 2023/24,2023/09/29,South African Broadcasting Corporation SOC Limited (SABC),Lease agreement renewal at the SABC East London offices,Land Byte Properties (Pty) Ltd,"The lease agreement renewal at the SABC
East London offices and edit studio facilities","R 24 640,51","R 18 290,27","R 927 379,04",2023/08/28,2024/04/01,2027/03/31
128,Q3 2023/24,2023/11/29,South African Civil Aviation Authority (SACAA),Job profiling,The assessment Toolbox,Continuity of service,"R 419 896,00","R 500 000,00","R 80 000,00",2023/11/29,2023/12/01,2024/06/30
129,Q3 2023/24,2023/10/13,South African Revenue Service (SARS),Mossel Bay Lease Renewal,Transnet SOC Ltd,"Mossel Bay lease between SARS and Transnet for a period of five (5) years
effective 01 December 2023 until 30 November 2028 at an estimated total
cost of R 1 206 646.71 incl. VAT at an annual escalation rate of 8%","R 1 206 646,71","R 954 068,20",R -,2023/10/10,2023/01/12,2028/11/30
130,Q3 2023/24,2023/10/27,South African Revenue Service (SARS),maintenance for Block G and H at LeHae La SARS,SCM Facilities Services,"Variation on existing contract PO3600028696 maintenance been done at
Block G and H at LeHae La SARS.","R 112 500,00","R 750 000,00",R -,2023/10/17,2023/01/26,2023/10/31
131,Q3 2023/24,2023/11/06,South African Revenue Service (SARS),RFP 01/2017 - Hygiene Extension,"1. Imvula Quality Protection
2. Supercare
3. Orizoe Services CC","The extension of RFP01/2017 - Supply,Installation and Maintenance of
sanitary and healthcare equipment on month to month basis notexceeding
three (3) months effective 1 November 2023 to 31 January 2024 at an
estimated cost of R2 641 086.20, VAT inclusive.","R 65 493 363,31","R 2 641 086,20","R 46 602 110,88",2023/10/31,2023/01/11,2024/01/31
132,Q3 2023/24,2023/11/16,South African Revenue Service (SARS),"Variation of contract for Maintenance and Support of Cellebrite Licenses
with Pandacom Distribution PTY Ltd, for a period of 36 months, from 01
January 2024 to 31 December 2026 at a total amount of R 1,997,550.00
VAT Inclusive.",Pandacom Distribution PTY Ltd,Value & Time,"R 596 850,00","R 1 997 550,00",R -,2023/11/15,2024/01/01,2026/12/31
133,Q3 2023/24,2023/11/16,South African Revenue Service (SARS),"Request to vary the contract for support and maintenance services of the
774 Multi-functional Devices (Printers),awarded to Evolution Technology
Group (Pty) Ltd for a period of nine (9) months from 01 April 2024 to 31
Retrieving data. Wait a few seconds and try to cut or copy again.",Evolution Technology Group (Pty) Ltd,Value & Time,"R 5 404 950 579,00","R 35 265 076,00",R -,2023/11/15,2024/04/01,2024/12/31
134,Q3 2023/24,2023/11/17,South African Revenue Service (SARS),Gifts for BRICS,Blue Moon,Additional gifts procured for BRICS conference against PO 3100033942,"R 430 450,00","R 44 361,90",R -,2023/07/11,2023/11/11,2023/11/17
135,Q3 2023/24,2023/11/22,South African Revenue Service (SARS),"Variation contract for Geographical Information Solution (GIS), including
maintenance and support services with Retrieving data. Wait a few
seconds and try to cut or copy again. AfriGIS(Pty) Ltd, for additional
funds to cater for a request for professional services to conduct Data
Analysis and Collection work required by NOSE.",AfriGIS (Pty) Ltd,Value,"R 14 229 431,91","R 2 400 000,00","R 3 378 015,89",2023/11/20,2024/01/01,2024/12/31
136,Q3 2023/24,2023/11/22,South African Revenue Service (SARS),"Variation of the procurement vehicle for the licensed software
maintenance, support, and related services for the SAP systems within
the current approved period from 01 January 2024 to 31 December
2027 at an estimated total SAP systems within the current approved
period from 01 January 2024 to 31 December 2027 at an estimated total
cost of R416,2m.",SAP South Africa Pty Ltd,Value & Time,"R 392 701 073,24","R 416 200 000,00",R -,2023/11/20,2024/01/01,2027/12/31
137,Q3 2023/24,2023/11/27,South African Revenue Service (SARS),"Vary the financial change for the business subscription of Portainer
Software with Obsidian Systems (Pty) Ltd, for a period of three years
from 02 October 2023 to 01 October 2026. The financial change is an
inclusion of 10% contingency fee to cover for exchange rate fluation to
the original approved value.",Obsidian Systems (Pty) Ltd,Value,"R 647 285,55","R 64 728,56",R -,2023/11/21,2023/10/02,2026/10/01
138,Q3 2023/24,2023/11/27,South African Revenue Service (SARS),"Variation of the Adabas & Natural ELA Software Maintenance and
Support with Software AG, for a period of five (5) years from 01 April
2024 until 31 March 2029 at an amount of R161,000.00 VAT inclusive
and 20% (R32 000 000.00) contingency for growth, subject to budget
availability at thetime such a need arises. The total amount
recommended for approval is R193 200 000. 00 Vat Inclusive.",Software AG South Africa (Pty) Ltd VAR,Value & Time,"R 90 070 744,50","R 193 200 000,00","R 149 500 000,00",2023/11/24,2023/10/02,2026/10/01
139,Q3 2023/24,2023/11/27,South African Revenue Service (SARS),"Request to vary the contract for Microsoft License Solution Provider
(LSP) with First Technology (Pty) Ltd, for a period of 6 month, on a
month-to month basis as from 27 December 2023 to 30 June 2024.",First Technology (Pty) Ltd,Time,R -,R -,R -,2023/11/27,2023/12/27,2026/06/30
140,Q3 2023/24,2023/11/27,South African Revenue Service (SARS),"The original contract was for the procurement of Promodag Maintenance
and Support based on the on-premise email solution architecture from
Reportstar Technologies CC. The licensing model has subsequently
changed due to cloud migration of the email services",Reportstar Technologies CC,Value,"R 403 594,80","R 256 507,50",R -,2023/11/27,2023/12/27,2026/06/30
141,Q3 2023/24,2023/11/28,South African Revenue Service (SARS),Benoni Lease Extension,Growthpoint Management Services (Pty) Ltd,"Twelve(12) months Benoni lease extension between SARS and Growthpoint
Management Services (Pty) Ltd on behalf of Growthpoint Securitisation
Warehouse Trust for space at Lakeside Mall, Benoni, and at a total cost of
R491 208.00 (VAT Inclusive).","R 564 144,00","R 491 208,00","R 463 404,00",2023/11/16,2024/01/01,2024/12/31
142,Q3 2023/24,2023/12/01,South African Revenue Service (SARS),"Cleaning,Consumables, Chemicals and Equipment","Medilac Group (Pty) Ltd and Masana hygiene
services","Extension of time under the contract, RFP 01/2021 for a period one (1) month
commencing, 15 November 2023.",R -,"R 19 560 425,92",R -,2023/11/14,2023/11/15,2023/12/14
143,Q3 2023/24,2023/12/01,South African Revenue Service (SARS),Vereeniging Lease Extension,Revenue House (Pty) Ltd,"Vereeniging lease extension between SARS and Revenue House (Pty) Ltd, in
respect of the leasing out of office space for a flexible period of twelve (12)
months effective 01 December 2023 to 30 November 2024 at a cost of R5
705 063.52 VAT inclusive.","R 5 705 063,52","R 6 047 936,07","R 58 597 155,89",2023/11/26,2023/12/01,2024/11/30
"144
145","Q3 2023/24
Q3 2023/24","2023/12/06
2023/12/08","South African Revenue Service (SARS)
South African Revenue Service (SARS)","Container Lease
Block EF variation","ContainerLeasing Africa
PMash Project Management CC","Extension on time and value for leasing of containers
Variation of Block EF construction works at a cost of R6 047 347.90 (VAT
Inclusive)","R 4 981,80
R 5 619 353,91","R 35 094,55
R 6 047 374,90","R -
R -","2023/11/29
2023/12/12","2023/01/12
Not indicated","2024/01/31
Not indicated"
146,Q3 2023/24,2023/12/08,South African Revenue Service (SARS),RFP 14/2019 - Pest Control Extension,"1. Supercare Hygiene
2. Masana Hygiene Services Kusile
3. Hygiene and Industrial Services","The extension of RFP14/2019 – Integrated Pest Control Management
Services be extended for the period of twelve (12) months effective 1
December 2023 to 30 November 2024 at an estimated cost of R 2 189
472.00 including VAT.","R 6 567 596,80","R 2 189 472,00","R 2 420 273,73",2023/11/12,2023/12/09,2023/12/08
147,Q3 2023/24,2023/12/08,South African Revenue Service (SARS),Kroonstad Lease Renewal,54 Hillstreet Investments (Pty) Ltd,"Kroonstad lease extension between SARS and 54 Hillstreet Investments (Pty)
Ltd, in respect of the leasing out of office space in Kroonstad for a period of
twelve (12) months with an option for early exit.","R 23 740 304,19","R 2 515 498,77","R 2 272 100,88",2023/07/12,2023/01/12,2024/11/30
148,Q3 2023/24,2023/12/11,South African Revenue Service (SARS),Nigel Lease Extension,Lathitha Properties (Pty) Ltd,"Nigel lease extension betweenSARS and Lathitha Properties (Pty) Ltd, in
respect of the leasing of office space for a period of twelve (12) months with
an option for early exit, effective 1 December 2023 to 30 November 2024, at
a cost of R1,307,487.18 Incl.VAT","R 5 680 076,61","R 1 307 487,18","R 1 233 497,40",2023/11/15,2023/12/01,2024/11/30
149,Q3 2023/24,2023/12/11,South African Revenue Service (SARS),Tramshed Parking Lease,Karabo Parking Management (Pty) Ltd,"Lease agreement entered between SARS and Karabo Parking Management
(Pty) Ltd for the Tramshed Parking for a period of 12 months.","R 410 120,00","R 16 577 979,27","R 8 514 124,70",2023/11/30,2023/12/01,2028/11/30
150,Q3 2023/24,2023/12/13,South African Revenue Service (SARS),Printing for Tax Ombudsman,Shereno Printers,"Request to vary an existing order for printing for Fair play leaflets &
Programmes for OTO anniversary","R 7 285,00","R 4 945,00",R -,2023/11/12,2023/11/21,2023/12/16
