row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
148,Q4 2022/23,2023/03/01,"South African National Space Agency
(SANSA)",Emergency Gate Repair,Ace Gates and Fences,"R4 940,00","A Vehicle collided with the main gate on entrance,
rendering it dysfunctional and creating a security threat
to the Site, as a National Key Point, the gate had to be
repaired on emergency basis, to secure the site.",2023/01/27,2023/01/27,2023/01/27,,2023/01/27,2023/01/27,2023/01/27,,Within AA/AO mandate Noting,New
149,Q4 2022/23,2023/03/01,"Human Sciences Research Council
(HSRC)",Participation on the book exhibition,NomadIT Events Limited,"R20 514,57",Sole Supplier,2023/02/16,2023/05/31,2023/06/03,,2023/02/16,2023/05/31,2023/06/03,,Within AA/AO mandate Noting,New
150,Q4 2022/23,2023/03/03,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA","ELECTRONIC
LIBRARY_LEGISLATION UPDATES",LEXIS NEXIS,"R45 082,88",Electronic library subscription,2023/02/16,Once Off,Once Off,,2023/02/16,Once Off,Once Off,,Within AA/AO mandate Noting,New
151,Q4 2022/23,2023/03/03,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA","ANNUAL AFRICA ENERGY INDABA
CONFERENCE",AFRICA ENERGY INDABA,"R172 684,00",Project is reliaCnot nofne rtehnec we oartkte anldreeandcye done. Project,2023/02/16,Once Off,Once Off,,2023/02/16,Once Off,Once Off,,Within AA/AO mandate Noting,New
152,Q4 2022/23,2023/03/03,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",ORGANISATIONAL DESIGN,THE TALENT HUB INTERNATIONAL,"R499 100,00","success is dependent on the investment on the
stakeholder engagement and substantial institutional
knowledge gained",2023/02/28,2023/03/06,2024/08/31,,2023/02/28,2023/03/06,2024/08/31,,Within AA/AO mandate Noting,New
153,Q4 2022/23,2023/03/03,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",ADVERT_BUSINESS DAY ENERGY,"TISO BLACKSTAR GROUP T/A ARENA
HOLDINGS","R93 150,00","Appropriate relevant newspaper with the largest
circulation that gives maximum exposure and targets
the relevant audience.",2023/03/02,Once Off,Once Off,,2023/03/02,Once Off,Once Off,,Within AA/AO mandate Noting,New
154,Q4 2022/23,2023/03/03,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA","JOB CREATION
CONFERENCE_27FEB-05 MAR-05","LIMPOPO CHAMBER OF COMMERCE AND
INDUSTRY","R21 100,00",Membership renewal,2023/02/27,Once Off,Once Off,,2023/02/27,Once Off,Once Off,,Within AA/AO mandate Noting,New
155,Q4 2022/23,2023/03/03,"South African National Space Agency
(SANSA)","Replacement of 200KV UPS
(emergency)",Standby systems,"R448 000,00","The UPS blew some critical components and caught
fire. The unit is unrepairable. Presently the machine is
on manual bypass creating a risk as SANSA SO works
on a 3 for 1 redundancy. Three of the antennas and
the racks in the OPS room as well as the networks are
fed from this unit, they currently don’t have backup
power I the event of a power failure. The present risk is
escalated due to the continuous Eskom load sharing.",2023/02/23,Once off,Once off,,2023/02/23,Once off,Once off,,Within AA/AO mandate Noting,New
156,Q4 2022/23,2023/03/03,"South African National Space Agency
(SANSA)","Conference exhibition are and stand
build",Dubai World Trade Centre,"R875 000,00","SANSA will be taking part in the niannual international
SpaceOps conference that will be taking place in
Dubai.SANSA has partcapated for years and uses this
conference as and important business development
opportunity. The fees will cover the custom exhibition
stand as well as space and build up.",2023/02/16,2023/03/06,2023/03/10,,2023/02/16,2023/03/06,2023/03/10,,Within AA/AO mandate Noting,New
157,Q4 2022/23,2023/03/09,"South African National Space Agency
(SANSA)","External Legal Opinion for SANSA
Single ProviBdeora rfor Directors",MJS Incorporated,"R40 000,00",Single Source – Emergency,2023/02/23,Once off,Once off,,2023/02/23,Once off,Once off,,Within AA/AO mandate Noting,New
158,Q4 2022/23,2023/03/07,"Banking Sector Education and Training
Authority (BANKSETA)SETA","Membership registered on South
African Qualifications Authority
(SAQA)",Institution of Directors South Africa (IoDSA),"R39 200,00","Single source - The only SAQA registered professional
body for Directors.",2023/02/27,Once off,Once off,,2023/02/27,Once off,Once off,,Within AA/AO mandate Noting,New
159,Q4 2022/23,2023/03/06,"Construction Education and Training
Authority (CETA)SETA","Training on the preparation of Annual
Financial Statement",Adapt IT,"R30 880,61","CETA has been using Caseware for the preparation of
the interim and Annual Financial Statement for many
years and the training is offered by Adapt IT as the
owners of the financial system .it is against this
background that we requested the training quotation
from Adapt IT directly to undertake training required to
avoid additional costs through agency fees.",2022/09/22,2022/09/27,2022/09/28,,2022/09/22,2022/09/27,2022/09/28,,Within AA/AO mandate Noting,New
160,Q4 2022/23,2023/03/09,"Small Enterprise Development Agency
(SEDA)","Ghana Food and Beverage Exhibition
service",Mr Thomas James - Wegvoraus,"R825 000,00",Sole Supplier,2023/02/22,2023/03/15,2023/03/17,,2023/02/22,2023/03/15,2023/03/17,,Within AA/AO mandate Noting,New
161,Q4 2022/23,2023/02/28,South African Tourism,ITB Berlin Stand Builder,Gielissen Exhibiti ons,"R4 716 621,00",Single source,2023/02/22,2023/03/06,2023/03/13,,2023/02/22,2023/03/06,2023/03/13,,Within AA/AO mandate Noting,New
162,Q4 2022/23,2023/02/28,South African Tourism,Bid support- NANTA Conferen,African Link,"R535 000,00",Sole Supplier,2023/02/12,2023/05/04,2023/05/06,,2023/02/12,2023/05/04,2023/05/06,,Within AA/AO mandate Noting,New
163,Q4 2022/23,2023/02/28,South African Tourism,"Bid support- Net Zero Conference and
Exhibition 2023",Professional Exhibitions Solutions,"R610 000,00",Sole Supplier,2023/02/14,Once off,Once off,,2023/02/14,Once off,Once off,,Within AA/AO mandate Noting,New
164,Q4 2022/23,2023/02/28,South African Tourism,Bid support- ESSENCE Conference,CONSULTUS (PTY) LTD,"R657 600,00",Sole Supplier,2023/02/23,2023/04/03,2023/04/05,,2023/02/23,2023/04/03,2023/04/05,,Within AA/AO mandate Noting,New
165,Q4 2022/23,2023/02/28,South African Tourism,Cape Town E-Prix 2023 Partnership,E Movement (Pty) Ltd,"R2 800 000,00",Single Source: The SSotleer iSfixu pPpalieedr I.V Filter 0.2 micron,2023/02/15,2023/07/21,2023/07/21,,2023/02/15,2023/07/21,2023/07/21,,Within AA/AO mandate Noting,New
166,Q4 2022/23,2023/03/13,National Research Foundation (NRF),"Procurement of Sterifix Paed I.V Filter
0.2 micron from B Braun Medical
(Pty) Ltd for the Production of
Radioisotopes over a period of Five
(5) years",B Braun Pty Ltd,"R200 000,00","ordered from B Braun Medical Pty Ltd is in line with
the requirements of quality assurance requirements in
the production of Radioisotopes. Should a consumable
with a different catalogue number (deemed equivalent)
be used, iThemba LABS will be required to apply for
amendment of registration dossiers to SAHPRA and
pay fees as per fee schedules that are published in the
government gazette. This will also require validation of
the new consumable. There is a possibility that the
validation processes are not successful and might
have a negative impact on iThemba LAB’s revenue.",2023/03/01,2023/03/01,2028/02/28,,2023/03/01,2023/03/01,2028/02/28,,Within AA/AO mandate Noting,New
167,Q4 2022/23,2023/03/13,National Research Foundation (NRF),"Supply and delivery of Gallium metal,
packaged in polyethylene bottle,
99.999% (metals basis).",Industrial Analytical,"R128 581,50","polyethylene bottle 99.99% ordered from Industrial is in
line with the requirements of quality assurance
requirements in the production of
Radioisotopes.Should a consumable with a different
catalogue number (deemed equivalent) be used,
iThemba LABS will be required to apply for
amendment of registration dossiers to SAHPRA and
pay fees as per fee schedules that are published in the
government gazette. This will also require validation of
the new consumable. There is a possibility that the
validation processes are not successful and might",2023/03/08,Once off,Once off,,2023/03/08,Once off,Once off,,Within AA/AO mandate Noting,New
168,Q4 2022/23,2023/03/13,National Research Foundation (NRF),"Service of Millipore Water Systems
and IT5",Merck Life Science,"R65 641,56","Sole Source: Merck Life Science is the sole service
provider of these brands in South Africa and therefore
makes Merck Life Science the authorized agent to
perform the service and validation.",2023/03/02,Once off,Once off,,2023/03/02,Once off,Once off,,Within AA/AO mandate Noting,New
169,Q4 2022/23,2023/03/13,National Research Foundation (NRF),"Supply of Siemens Eclipse PET
cyclotron maintenance parts.",Siemens Healthcare (Pty) Ltd,"R68 853,30","Sole Source: Siemens Healthcare (Pty) Ltd is the sole
provider for the spare service parts for the Eclipse PET
Single Source:The ccyhcelomtriocanl.s to be ordered from",2023/03/03,Once off,Once off,,2023/03/03,Once off,Once off,,Within AA/AO mandate Noting,New
170,Q4 2022/23,2023/03/13,National Research Foundation (NRF),"Procurement of Sigma-Aldrich,
Supelco, Millipore, SAFC and Biolab
chemical consumables for production
of radioisotopes.",Merck Life Sciences (Pty) Ltd,"R900 000,00","Merck Life Science Pty Ltd were registered as per
requirements in the dossiers submitted to SAHPRA.
These chemicals are in line with the requirements of
quality assurance in the production of Radioisotopes at
iThemba LABS.",2023/03/03,2023/04/01,2026/02/27,,2023/03/03,2023/04/01,2026/02/27,,Within AA/AO mandate Noting,New
171,Q4 2022/23,2023/03/15,"Finance and Accounting Services
Sector Education and Training Authority
(Fasset)SETA","Customised Board Development
Training",The Institute of Directors in Southern Africa,"R98 940,25",Sole Source,2023/03/13,Once off,Once off,,2023/03/13,Once off,Once off,,Within AA/AO mandate Noting,New
172,Q4 2022/23,2022/12/23,Sentech Limited,"Motivation for the procurement of
M Moodtuivlaattioorns faonr dth Sew pitrcohceurrse/m ent of the",AUCOM SA,"R1 845 655,56",Sole Supplier,2022/10/13,Once Off,N/A,,2022/10/13,Once Off,N/A,,Within AA/AO mandate Noting,New
173,Q4 2022/23,2022/12/23,Sentech Limited,"encoders for the DTH Headend
system/",AUCOM SA,"R4 461 508,22",Sole Supplier,2022/12/14,Once Off,N/A,,2022/12/14,Once Off,N/A,,Within AA/AO mandate Noting,New
174,Q4 2022/23,2022/12/23,Sentech Limited,"Motivation to add the Robotics
Module to current subscription for the
High Bond system (used by Internal
Audit and Risk Management)/",ACL/ HighBond,"R1 169 356,52",Sole Supplier,2022/11/29,Once Off,N/A,,2022/11/29,Once Off,N/A,,Within AA/AO mandate Noting,New
175,Q4 2022/23,2022/12/23,Sentech Limited,"Motivation for the procurement of the
refresh and enhancement equipment
of the DR Headend System/",AUCOM SA,"R1 671 964,88",Sole Supplier,2022/11/30,Once Off,N/A,,2022/11/30,Once Off,N/A,,Within AA/AO mandate Noting,New
176,Q4 2022/23,2022/12/23,Sentech Limited,"MSuoptipvlayt,i oinns ftoarll aMtiSon s aunpdp omrta intence of",Microsoft,"R2 556 957,00",Sole Supplier,2022/12/14,2022/12/14,2025/12/13,,2022/12/14,2022/12/14,2025/12/13,,Within AA/AO mandate Noting,New
177,Q4 2022/23,2022/12/23,Home Affairs,"backup Generators, UPS and
Airconditioners",Superway Construction Pty Ltd,"R0,00","To mitigate service delivery challenges caused by laod
shedding",2022-11-14,2022-11-14,2023/03/31,,2022-11-14,2022-11-14,2023/03/31,,Within AA/AO mandate Noting,New
178,Q4 2022/23,2023/01/11,Statistics South Africa,SPSS Software licence,OLSPS Analytics,"R1 650 215,50",Sole Supplier,2022-12-14,2023-01-02,2023/12/29,,2022-12-14,2023-01-02,2023/12/29,,Within AA/AO mandate Noting,New
179,Q4 2022/23,2023/01/13 I,ndependent Regulatory Board for Auditors,Audit Training,ISACA,"R101 200,00",The CD:ICT as the Scoulset iSdiuapnp olief rthe Information and,2022-11-11,2022-11-11,Once Off,,2022-11-11,2022-11-11,Once Off,,Within AA/AO mandate Noting,New
180,Q4 2022/23,2023/01/16,National Treasury,"Deviation from the standard
procurement processes to acquire and
implement a unified collaboration
solution (UCS) from Business
Connexion (BCX) a wholly owned
subsidiary of Telkom SA (SOC)
L 8im09it4e1d2-1032 SPR MTR W/D 179-",Business Connexion (BCX),"R20 494 097,91","Communication Technology function within the
department, must provide a reliable UCS. The
CD:ICT,therefore,investigated altenative solutions that
would provide a more efficient, modernised, effective,
reliable and highly available UCS to replace the current
solution. The CD:ICT went out to the market to
determine if BCX cposts were still competitive and if
the current solution met the functional requirements of
NT.",2023-01-05,Not yet finalised,Not yet finalised,,2023-01-05,Not yet finalised,Not yet finalised,,Within AA/AO mandate Noting,New
181,Q4 2022/23,2023/01/16,Government Printing Works,093,Altron Fintech,"R21 606,20",Sole Supplier - Deviation,2022-12-01,Once off procurement,Once off procurement,,2022-12-01,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
182,Q4 2022/23,2023/01/16,Government Printing Works,"Cable ASSY, Cycle Switch",Altron Fintech,"R7 355,40",Sole Supplier - Deviation,2022-12-02,Once off procurement,Once off procurement,,2022-12-02,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
183,Q4 2022/23,2023/01/16,Government Printing Works,"Thermal Positive Developer in 25
Liter Containers",Fujifilm,"R11 270,00",Sole Supplier - Deviation,2022-12-02,Once off procurement,Once off procurement,,2022-12-02,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
184,Q4 2022/23,2023/01/16,Government Printing Works,"Martini Machine Stamp: HK6-07-04
.881-ooo7-4",Thunderbolt,"R9 773,28",Sole Supplier - Deviation,2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
185,Q4 2022/23,2023/01/16,Government Printing Works,Pigment Storage Fluid,Thunderbolt,"R45 988,96",Sole Supplier - Deviation,2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
186,Q4 2022/23,2023/01/16,Government Printing Works,CPihgamsesnist DCrSiv Ien Sk iCdeo lour Stream 3000,Altron Fintech,"R45 778,05",Sole Supplier - Deviation,2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
187,Q4 2022/23,2023/01/16,Government Printing Works,B 3lKacgk o f Ink: SUV2193 UV PMS 416,Canon,"R793 810,50",Sole Supplier - Deviation,2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
188,Q4 2022/23,2023/01/16,Government Printing Works,GREY,SICPA,"R3 445,72",Sole Supplier - Deviation,2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
189,Q4 2022/23,2023/01/16,Government Printing Works,N/Binnder CUTTER Knives HK6-25-4,Thunderbolt,"R10 749,63","Treasury ReSguollaet iSounps p1li6eAr .-6 D.4e,v rieaatido ntogether with",2022-12-09,Once off procurement,Once off procurement,,2022-12-09,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
190,Q4 2022/23,2023/01/16,South African Revenue Service,S80u9b4s1cr2ip-1ti0o3n2 t oS JPuRta M OTnRli nWe / D 179-,Juta and Company (Pty) Ltd,"R1 255 228,00","National Treasury SCM instruction note 03 of
2021/2022 section 4.2 (a)",2022/11/19,2023/01/16,2023/12/31,,2022/11/19,2023/01/16,2023/12/31,,Within AA/AO mandate Noting,New
191,Q4 2022/23,2023/01/26,Government Printing Works,093,Altron Fintech,"R21 606,20",Sole Supplier - deviation,2022-12-01,Once off procurement,Once off procurement,,2022-12-01,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
192,Q4 2022/23,2023/01/26,Government Printing Works,"809412-215 SPR PCB ASSY HI-
RES SENSOR",Altron Fintech,"R3 532,80",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
193,Q4 2022/23,2023/01/26,Government Printing Works,Printy 4912P4- 48 x 18mm,Rubber Stamp & Engraving,"R18 919,80",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
194,Q4 2022/23,2023/01/26,Government Printing Works,"ID Smart Card: Duraguard Laminate
0.1mil Full Card",Altron Fintech,"R584 818,70",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
195,Q4 2022/23,2023/01/26,Government Printing Works,FIDreCe M WXh7e6e Gl Cehaar i2n5 fTo r1 tMhe 1 M0IaDrt ini M/C,Thunderbolt Solutions,"R13 790,80",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
196,Q4 2022/23,2023/01/26,Government Printing Works,809412-1387,Altron Fintech,"R4 788,60",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
197,Q4 2022/23,2023/01/26,Government Printing Works,523095-001 Guide Leaf Spring Card,Altron Fintech,"R2 318,40",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
198,Q4 2022/23,2023/01/26,Government Printing Works,809412-173 IDC MX76 Spare Belt,Altron Fintech,"R3 293,60",Sole Supplier - deviation,2022-12-13,Once off procurement,Once off procurement,,2022-12-13,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
199,Q4 2022/23,2023/01/26,Government Printing Works,I5D7C13 M77X-7060 1S uAcrtmio nA sCsuyp L 8H0 8E0n4tr7y,Altron Fintech,"R8 500,80",Sole Supplier - deviation,2022-12-20,Once off procurement,Once off procurement,,2022-12-20,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
200,Q4 2022/23,2023/01/26,Government Printing Works,P 2i0vikogt UV325-770 UV Transparent,Altron Fintech,"R10 991,70",Sole Supplier - deviation,2022-12-20,Once off procurement,Once off procurement,,2022-12-20,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
201,Q4 2022/23,2023/01/26,Government Printing Works,White,SICPA,"R20 083,60",Sole Supplier - deviation,2022-12-20,Once off procurement,Once off procurement,,2022-12-20,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
202,Q4 2022/23,2023/01/26,Government Printing Works,"100 Kg of Pigment Black Dye Ink-
C 8o0d8e6 1630-8000011 S0 witch Rotary E-stop",Thunderbolt Solutions,"R84 668,75",Sole Supplier - deviation,2022-12-20,Once off procurement,Once off procurement,,2022-12-20,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
203,Q4 2022/23,2023/01/26,Government Printing Works,6 5000 K VgA UCV 376-770 UV Curing,Altron Fintech,"R16 251,80",Sole Supplier - deviation,2022-12-20,Once off procurement,Once off procurement,,2022-12-20,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
204,Q4 2022/23,2023/01/26,Government Printing Works,P Ar3o7ce1s-0s1 B3l8a cSkc issors for the Martini,SICPA,"R62 334,60",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
205,Q4 2022/23,2023/01/26,Government Printing Works,m 80/c3 111-065 Spring EXT.180D,Thunderbolt,"R77 835,45",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
206,Q4 2022/23,2023/01/26,Government Printing Works,1.37L.024W,Altron Fintec,"R817,65",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
207,Q4 2022/23,2023/01/26,Government Printing Works,I8D0 S9m41a2r-t 2C2a1r dL oMoXmD R Setcicekiveersr N55/A8 733040-,Altron Fintech,"R3 160,20",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
208,Q4 2022/23,2023/01/26,Government Printing Works,356031039-001 Roller Backup,Altron Fintech,"R308 667,36",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
209,Q4 2022/23,2023/01/26,Government Printing Works,L8a0m94in1a2t-i6o6n7 SPR Pulley 18T S2M,Altron Fintech,"R24 830,80",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
210,Q4 2022/23,2023/01/26,Government Printing Works,MRooltloerr Pin TSR NO 017478 549910-,Altron Fintech,"R15 521,55",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
211,Q4 2022/23,2023/01/26,Government Printing Works,001,Altron Fintech,"R9 246,00",Sole Supplier - deviation,2022-12-21,Once off procurement,Once off procurement,,2022-12-21,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
212,Q4 2022/23,2023/01/26,Government Printing Works,"M/Martini Trelleborg Royal Form UV
Sticky Back Blankets 525 x 715x.90",Thunderbolt Solutions,"R47 150,00",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
213,Q4 2022/23,2023/01/26,Government Printing Works,PTherrefoe Lheunnsd rCelde aLniteerr sC MPLS-006 UV,Muhlbauer High Technical International,"R5 570,66",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
214,Q4 2022/23,2023/01/26,Government Printing Works,WCoalds hGlue For Unomatic Lead,Thunderbolt Solutions,"R16 560,00",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
215,Q4 2022/23,2023/01/26,Government Printing Works,Machine,NEC XON,"R754 170,00",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
216,Q4 2022/23,2023/01/26,Government Printing Works,50 Kg UV PMS 558U Green Ink,SICPA,"R54 925,15",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
217,Q4 2022/23,2023/01/26,Government Printing Works,Full Colour Ribbon Set,Altron Fintech,"R569 208,60",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
218,Q4 2022/23,2023/01/26,Government Printing Works,"IDC MX76 SPR PCB Disk Sensors 4
809412-120",Altron Fintech,"R4 082,50",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
219,Q4 2022/23,2023/01/26,Government Printing Works,MNTB0-I1N5K-2-E02-B2-:O Arpigp-oYinetlmlowen-1t 0o0f an,Muhlbauer High Technical International,"R14 016,57",Sole Supplier - deviation,2023-01-12,Once off procurement,Once off procurement,,2023-01-12,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
220,Q4 2022/23,2023/01/31,National Treasury,"international service provider for an
independent assessment of Eskom's
operational situation for a period of
tDhereveia t(i3o)n m froonmth SsCM processes and",VDBE Energy Services,"R41 006 493,00","NT is undertaking this work although it is fully aware
that addressing the debt alone will not solve Eskom's
financial challenges and return Eskom to financial
sustainability.",2023-01-20,Not yet finalised,Not yet finalised,,2023-01-20,Not yet finalised,Not yet finalised,,Within AA/AO mandate Noting,New
221,Q4 2022/23,2023/01/31,National Treasury,"appointing a single source provider to
assist with responding to defeciencies
identified in the 2021 FATF Mutual
Evaluations Report",Anthony Paul Altbeker,"R720 000,00",Single Source Provider,2023-01-23,Not yet finalised,Not yet finalised,,2023-01-23,Not yet finalised,Not yet finalised,,Within AA/AO mandate Noting,New
222,Q4 2022/23,2023/01/31,National Treasury,"Request to appoint service provider
where minimum of three quotations
were not received for catering service.",The Pink Gilitz PTY LTD,"R21 350,00","The department is responsible to make catering
arrangements for the learners in the programme. Due
to the urgency and limited time for the service
requested, SCM could not re-issue the RFQ to market
to obtain the required minimum of three quotations.",2023-01-24,N/A,N/A,,2023-01-24,N/A,N/A,,Within AA/AO mandate Noting,New
223,Q4 2022/23,2023/01/31,National Treasury,"Request to deviate from procurement
processes and appoint the OECD on a
single source basis to conduct a
MAPS assessment (Methodology for
Assessing Procurement Systems) on
the South African Public Procurement",OECD,"R3 685 830,00",The Microeco nSoinmgilce PSooluicryc eU nPirto ovnidgeori ng analysis of,2023-01-27,N/A,N/A,,2023-01-27,N/A,N/A,,Within AA/AO mandate Noting,New
224,Q4 2022/23,2023/01/31,National Treasury,"Request to deviate from procurement
procedures for Creamer Media's
research channel Africa Subscription",Creamer Media,"R4 542,50","sector developments, tracking of reform
implementation and emerging policy issues. This
process is important for among other things, policy
advice and proposal",2022-12-06,Not yet finalised,Not yet finalised,,2022-12-06,Not yet finalised,Not yet finalised,,Within AA/AO mandate Noting,New
225,Q4 2022/23,2023/01/31 I,ndependent Regulatory Board for Auditors,Grap License,Caseware t/a Adapt it,"R68 855,76",Sole Supplier - deviation,2023-01-31,2023-01-31,2024/01/30,,2023-01-31,2023-01-31,2024/01/30,,Within AA/AO mandate Noting,New
226,Q4 2022/23,2023/02/01,Government Printing Works,Corrugated Birth Certificate Boxes,Corruseal Group,"R28 405,00",National Treasury Approved Deviation,2023-01-19,Once off procurement,Once off procurement,,2023-01-19,Once off procurement,Once off procurement,,Within AA/AO mandate Noting,New
227,Q4 2022/23,2023/02/02Sou,th African Special Risk Insurance Associa,"To Maintain and Support Guidewire
tCRioleanqimuess Mt tahnaat gtheem Aecntti nSgy sDteirmector-","PricewaterhouseCoopers
Incorporated","R5 849 952,00","The Service providers were approached through a
closed tender process. Only Guidewire accredited
services providers were invited to Bid.",2023-01-26TBC,(Contract is not yet concl,"TBC (Contract is not yet
uded) concluded)",,2023-01-26TBC,(Contract is not yet concl,"TBC (Contract is not yet
uded) concluded)",,Within AA/AO mandate Noting,New
228,Q4 2022/23,2023/02/03,National Treasury,"General grant approval to deviate from
the normal procurement process for
the renewal of the Bloomber terminal
services for another three years from (
01 January 2023 to 31 December
2025)",Bloomberg,"R399 490,52",Rectification of off Sicoel es pParcoev iwdeitrh additional size of,2023-01-16,Not yet finalised,Not yet finalised,,2023-01-16,Not yet finalised,Not yet finalised,,Within AA/AO mandate Noting,New
229,Q4 2022/23,2023/02/14,South African Revenue Service,Provision of office space in Pinetown,Stormwood Investments (Pty) Ltd,"R1 720 149,67","110m2 from the initially approved office space size of
503m2",2023-09-02,2023-01-04,31/03/2028,,2023-09-02,2023-01-04,31/03/2028,,Within AA/AO mandate Noting,New
230,Q4 2022/23,2023/02/14,"Commission for Conciliation, Mediation
& Arbitration",Annual Membership Fees,"Information Systems Audit & Control
Association (ISACA)","R2 494,63","Sole Service Provider- Annual Payment to (ISACA) for
membership fees",2023-01-25,Once-ff,N/A,,2023-01-25,Once-ff,N/A,,Within AA/AO mandate Noting,New
231,Q4 2022/23,2023/02/14,"Commission for Conciliation, Mediation
& Arbitration","Annual Licences, Supply, Support &
Maintenance",Frama (Pty) Ltd,"R470 275,07","Sole Service Provider- Procurement of annual
licences for remote meter settings",2023-01-28Effe,ctive from signing of the,"60 Months upon signing
SLA of the SLA",,2023-01-28Effe,ctive from signing of the,"60 Months upon signing
SLA of the SLA",,Within AA/AO mandate Noting,New
232,Q4 2022/23,2023/02/16,"South African Special Risk Insurance
Association",RFWen:e NwWal Po f1 I7s8o/m22et:r AixP LPicOeInNsTeM ENT,Metrix Software Solution,"R182 853,15","This is a sole supplier of the license as the proprietory
owner of Isometrix system",2023-02-03,2023-02-26,2025/02/25,,2023-02-03,2023-02-26,2025/02/25,,Within AA/AO mandate Noting,New
