row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
207,Q3 2023/24,2023/11/16,"Department of Public Works and Infrastructure
(DPWI)",Port Elizabeth and surrounding areas: Service and maintenance of lifts (Kone Elevators) for the period of 36 months,Kone Elevators SA (PTY) LTD,"R 7 136 335,35","The department's maintenance approach for highly specialised machinery such as
lifts,boilers,generators etc. is that the components should be maintained by the
origional equipment manifacturer (OEM) or their approved agent for the below
reasons:(1). The manufacturer is the one who draws up the maintenance plan and
the manuals of the equipment. (2). The equipment can be properly tested,verified
and validated by the manifacturer.(3). The manufacturer knows how the equipment
must be kept in good working order.(4). The manufacturer knows the process and
the reason for the methods used in the manufacturing of the equipment.(5). The
manufacturer has developed systems and process to ensure that the technical work
performed is comprehensive in order to drive maximum equipment availability",2023/10/04,Not stated,Not stated,,
208,Q3 2023/24,2023/11/16,"Department of Public Works and Infrastructure
(DPWI)",Port Elizabeth and surrounding areas: Service and maintenance of lifts (Otis Lifts) for the period of 36 months,Otis PTY LTD,"R 9 602 970,35","The department's maintenance approach for highly specialised machinery such as
lifts,boilers,generators etc. is that the components should be maintained by the
origional equipment manifacturer (OEM) or their approved agent for the below
reasons: (1). The manufacturer is the one who draws up the maintenance plan and
the manuals of the equipment. (2). The equipment can be properly tested,verified
and validated by the manifacturer. (3). The manufacturer knows how the equipment
must be kept in good working order. (4). The manufacturer knows the process and
the reason for the methods used in the manufacturing of the equipment. (5). The
manufacturer has developed systems and process to ensure that the technical work
performed is comprehensive in order to drive maximum equipment availability",2023/11/01,Not stated,Not stated,,
209,Q3 2023/24,2023/11/16,"Department of Public Works and Infrastructure
(DPWI)",Accommodation for the Department of Correctional Services,Sonar Trust,"R 9 140 546,23","The condition of the building is a serious concern and there is am inherent risk of
injury to the occupants thereof.",2023/11/13,Not stated,Not stated,,
210,Q3 2023/24,2023/11/16,"Department of Public Works and Infrastructure
(DPWI)",Emergency appointment for the provisioning of security guarding services of state houses and buildings,Capital Ship Trading 605,"R 4 785 473,14","To Safeguard State Premises and Officials at DPWI Offices situated in Gqeberha-
Eastern Cape. The running Term Contract expired and replacement contract could
not be finalised as the tender was cancelled.",2023/08/09,2023/08/09,2023/12/08,,
211,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),"Critical Supply and Delivery for an Emergency 1000A generator change over panel circuit breaker, Installation and Commissioning",QOS Consulting CC,"R 343 160,00","An incident occurred when the generator changeover circuit breaker had a fault on
the 1000A, which affected the UPS battery depletion because of the impact of the
planned load shedding and generator failure.
The replacement of the 1000A generator change over panel circuit breaker is
deemed extremely critical to the Bank.",2023/07/24,2023/07/24,Not indicated,,
212,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),Critical Supply and Delivery for an Emergency 630A DC circuit breaker for the 300 KVA UPS Installation and Commissioning,Moshidi Group,"R 126 000,00","Whilst an electrician was doing a test on the 630A circuit breaker to analyse that the
same current and voltage is flowing in to the 300KVA UPS.
The electrician was burnt due to arching which caused severe burn on the hands
and face.
The 630 DC breaker got burnt and damaged. The urgency was necessitated by the
need to ensure that power is restored so that ICT equipment is not exposed.",2023/07/26,2023/07/26,Not indicated,,
213,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),Emergency Repairs of Leaking Main Water Supply Pipe,Mahlomuza (Pty) Ltd,"R 65 412,17","The Facility unit was informed about water leaking from the ground next to the main
water supply meter line which required immediate attention.",2023/07/02,2023/07/02,Not indicated,,
214,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),Climate screening and detailed municipal climate risk and vulnerability assessments for the water reuse programme,CSIR,"R 2 547 250,00","The DBSA secured funding from the Green Climate Fund (GCF) for the South
African Water Reuse Programme which is being implemented by the Water
Partnerships Office (WPO). The funding secured from the GCF includes a grant
component which is intended for the preparation of water reuse projects in
municipalities, in order to develop a pipeline of water reuse projects that can be
funded and implemented with support from the private sector.",2023/10/15,2023/10/15,2023/03/15,,
215,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),Additional service credits for Arcgis online from ESRI,ArcGIS Online,"R 77 238,22","ESRI is the sole international supplier of geographic information systems (GIS)
software, web GIS,
and geodatabase management applications. The Development Bank of Southern
Africa (DBSA)
has been using the ESRI ARCGIS software solution since 2008. ArcGIS is used for
mapping, webmap
services, analytics, and the deployment of mobile data capture solutions.
The Bank has deployed both ArcGIS Enterprises and ArcGIS Online. ArcGIS
Enterprises has been
set within the organisation level, while ArcGIS Online can be utilized to host services
that can be
used by external stakeholders. Therefore, ArcGIS Online operates with credits.",2023/10/03,2023/10/03,Not indicated,,
216,Q3 2023/24,2023/10/18,Development Bank of Southern Africa (DBSA),Request for Approval for Procure Check Renewal,Lexis Procure Check,"R 206 831,69","SCM is currently making use of the Procure Check system and it has proven itself to
be significant
in strengthening our governance compliance process and aiding in the process of
vetting
suppliers.",2023/10/12,2023/10/12,2024/10/11,,
217,Q3 2023/24,2023/11/23,Development Bank of Southern Africa (DBSA),Single Source Appointment of SAP as OEM to assist the DBSA with the implementation of the SAP Success Factors solution for HCM,SAP,"R 30 362 365,55","The SCM Unit published a request for quotation twice which yielded non-awards.
Subsequently, it was deemed prudent that the OEM be approached as an option to
assist the DBSA with this assignment.",2023/11/01,2023/11/01,Not indicated,,
218,Q3 2023/24,2023/11/23,Development Bank of Southern Africa (DBSA),Appointment of CSIR as a single source for the upgrdinf of the order magnitude cost optimisation tool,CSIR,"R 3 691 500,00","PDE has collaborated with the DBSA ICT team to migrate the Order of Magnitude
Cost Optimisation tool from excel-based to an online web- based application. This is
however dependent on the completion of the work proposed to be executed by the
CSIR. Considering that the expertise to complete this Project in its entirety reside
within the CSIR and its institutional memory on the project, PDE is of the view that
the Project will be completed in an efficient manner if implemented by the CSIR. The
CSIR has diverse inhouse expertise and experience as a technical advisor on similar
projects such as the Infrastructure Unit System Support (IUSS) healthcare facility
cost estimators. Furthermore, the DBSA has partnered with the CSIR to support with
the bank’s strategic projects.",2022/11/22,Not indicated,Not indicated,,
219,Q3 2023/24,2023/12/06,Development Bank of Southern Africa (DBSA),"Request for deviation from the normal tender process for the critical Supply and Delivery for an Emergency VRF HVAC PC boards and regassing of the system Installation and Commissioning by
Prexoz Engineering",Prexoz Engineering,"R 624 427,00","The DBSA technician had found that the VRF HVAC PC boards were burnt due to
power surges.
The system was regassed and commissioned.",2023/11/30,2023/10/13,2023/10/13,,
220,Q3 2023/24,2023/12/06,Development Bank of Southern Africa (DBSA),PitchBook subscription request (Sole Source),PitchBook,"R 27 000,00","The DBSA has a mandate to make early-stage equity investments that fit the
eligibility criteria of the DBSA’s High Impact Fund. All these investments are unlisted
company, so the valuation of the business is always a bone of contention. The
valuation of unlisted companies is anything but an exact science and extremely
difficult to justify. The established market practice is to use comparisons of similar
companies that operate in the same space. Information related to these companies is
available from the market on a subscription basis. A basic due diligence was
conducted and concluded that Pitchbook data is the preferred choice amongst
private equity investors.",2023/12/04,2023/12/04,2024/12/03,,
221,Q3 2023/24,2023/10/19,Film and Publication Board (FPB),Publication of Regulatory Instruments,Government Print Works,"R 38 333,64",Deviation ;Sole Service Provider,2023/08/14,Not indicated,Not indicated,,
222,Q3 2023/24,2023/10/19,Film and Publication Board (FPB),Easy intelligence Reporting Software,Tlhabollo Consulting & Services,"R 227 700,00",Deviation ;Sole Service Provider,2023/08/29,Not indicated,2026/08/28,,
223,Q3 2023/24,2023/11/23,Film and Publication Board (FPB),Evidence for CSAM,Cyanre The Digital Forensic Lab,"R 205 275,00","Deviation; Cyanre The Digital Forensic Lab was appointed to preserve evidence for
the suspected CSAM that R 205, 275.00 has been escalated to FPB by INHOPE
member (IWF) for the purpose of further analysis and prosecution.",Not indicated,Once-Off,Not indicated,,
224,Q3 2023/24,2023/10/05,Financial Intelligence Centre (FIC),"Office alteration services required at Byls Bridge Office Park, Centurion",Centurion Vision Development (Pty) Ltd,"R 8 083 479,43",Impracticality,2023/09/26,Not indicated,Not indicated,,
225,Q3 2023/24,2023/10/09,Free State Department of Education,To procure continued use of a SmartGov application modules,RT15-2016,"R 3 166 092,50",Pending the implementation of the Integrated Financial Management System(IFMS),2023/10/05,Not Stated,Not Stated,,
226,Q3 2023/24,2023/09/15,"Government Communication & Information
System",Dept of Home Affairs - The Kromhoek Housing Handover and Imbizo,Harry Gwala FM,"R 35 000,00",The medium selected will best meet the intended largest audience,2023/09/07,2023/09/08,2023/09/08,,
227,Q3 2023/24,2023/09/15,"Government Communication & Information
System",SARB - SARB -Upgrading Currency,GAgasi FM,"R 209 863,00",The medium selected will best meet the intended largest audience,2023/09/07,2023/09/07,2023/09/08,,
228,Q3 2023/24,2023/09/15,"Government Communication & Information
System",DHA - Marriage Bill,"Alfred Nzo ,Inkonjani ,Ultra Community Radio, Izwi
Lomzansi,Radio Khwezi ,Nongoma ,Maphuthaland ,
Lekoa, Vaal FM ,Thetha ,Umphakathi FM, Nlomazi FM
,Moutse ,Mkhondo ,Inakekelo ,Radio Bushbuckridge
,Vembe FM ,Blouberg , Mohodi FM ,NW: Pulse ,Star FM ,
KSFM and Vuka .","R 176 000,00",The medium selected will best meet the intended largest audience,2023/09/04,2023/09/07,2023/09/08,,
229,Q3 2023/24,2023/09/15,"Government Communication & Information
System","Department of Sports, Arts and Culture -Mass Campaign (National Commemoration Day 2023)","Media24, Fundudzi, SABC Radio and SABC TV","R 907 703,87",The medium selected will best meet the intended largest audience,2023/09/04,2023/09/05,2023/09/05,,
230,Q3 2023/24,2023/09/15,"Government Communication & Information
System",GCIS Western Cape - Interviews and live reads for different campaigns,"Heart beat FM, Whale Coast, Radio 786, Radio Atlantis,
WRFM, LG Projects, Radio Namakwaland, Tambo Radio,
Radio Hedelberg, 7441 FM, Radio West Coast","R 165 000,00",The medium selected will best meet the intended largest audience,2023/09/08,2023/09/08,2023/10/31,,
231,Q3 2023/24,2023/09/15,"Government Communication & Information
System",DOJ -Recruitment Week,Arena Holdings and Vuk'uzenzele,"R 48 532,95",The medium selected will best meet the intended largest audience,2023/09/08,2023/09/10,2023/09/10,,
232,Q3 2023/24,2023/09/15,"Government Communication & Information
System",GCIS : Media Production - Sign Language services,DEAFSA,"R 4 255,00",Urgent service for interpretation of a script for BRICS Video,2023/09/05,2023/09/06,2023/09/07,,
233,Q3 2023/24,2023/09/15,"Government Communication & Information
System","GCIS: Strategic Planning ,Risk Management ,Perfomance Monitoring and Reporting - Strategic planning session",Morati PTY LTD,"R 55 170,00",Deviating from normal procurement process as per the GCIS Catering Policy,2023/09/07,2023/09/08,2023/09/08,,
234,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)","GCIS FS - Community Radio Campaigns for transport month, GBVF, Economic recovery, 16 days of Activism, disability, disability month, world aids day messages, Arrive Alive messages, Safer
holiday, back to school ,SONA and Human Rights Day mesaages",CUT FM and Qwa Qwa FM,"R 45 600,00",The medium selected will best meet the intended largest audience,2023/09/28,2023/10/01,2024/03/31,,
235,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",SARB - Updated Currency 2nd Phase,Various suppliers,"R 177 000,00",The medium selected will best meet the intended largest audience,2023/10/02,2023/10/03,2023/10/06,,
236,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",NPA - Tender Notice,"Media24 , Arena Holdings","R 41 641,50",The medium selected will best meet the intended largest audience,2023/10/03,2023/10/08,2023/10/09,,
237,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",DFFE - Public Education and Awareness (waste Management),"Kaqala Media, Highbury Media ,Media24, E SAT TV","R 190 042,10",The medium selected will best meet the intended largest audience,2023/10/06,2023/10/15,2023/11/15,,
238,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",DOJ - Information Regulator,SABC,"R 97 037,00",The medium selected will best meet the intended largest audience,2023/10/06,2023/10/13,2023/10/13,,
239,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",SASSETA Recruitment,Arena Holding,"R 35 552,25",The medium selected will best meet the intended largest audience,2023/10/06,2023/10/08,2023/10/08,,
240,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",DHET - Call for Nomination,Arena Holding,"R 97 980,00",The medium selected will best meet the intended largest audience,2023/10/05,2023/10/08,2023/10/08,,
241,Q3 2023/24,2023/10/11,"Government Communication and Information
System (GCIS)",GCIS - Printing of special Official Funeral Prgramme for the late Deputy Minister Aziz Pahad,Shereno Printers,"R 18 676,00",Deviating from normal procurement process as per the GCIS SCM Policy,2023/09/29,2023/09/29,2023/09/29,,
242,Q3 2023/24,2023/10/20,"Government Communication and Information
System (GCIS)",DOT - October Transport Month 2023,ETV and SABC,"R 1 398 740,00",The medium selected will best meet the intended largest audience,2023/10/12,2023/10/16,2023/10/20,,
243,Q3 2023/24,2023/10/20,"Government Communication and Information
System (GCIS)",DFFE -Public Notice and Gazette(Mediators and Arbitrators,"Arena Holdings, Media24 and Vuk'uzenzele","R 187 144,32",The medium selected will best meet the intended largest audience,2023/10/12,2023/10/15,2023/10/15,,
244,Q3 2023/24,2023/10/20,"Government Communication and Information
System (GCIS)",DFFE- Full Time Bursaries 2024,"Arena Holdings, Media24, Fundudzi Mediaand
Vuk'uzenzele","R 41 641,50",The medium selected will best meet the intended largest audience,2023/10/12,2023/10/12,2023/10/12,,
245,Q3 2023/24,2023/10/26,"Government Communication and Information
System (GCIS)",Public Notice and Gazzette(Conservation of Lions),Arena Holdings and Media24,"R 107 433,00",The medium selected will best meet the intended largest audience,2023/10/13,2023/10/15,2023/10/18,,
246,Q3 2023/24,2023/10/26,"Government Communication and Information
System (GCIS)",Public Notice and Gazzette(TOPS Regulations),"Arena Holdings, Medai24 and Vukuzenzele","R 396 972,80",The medium selected will best meet the intended largest audience,2023/10/17,2023/10/22,2023/10/22,,
247,Q3 2023/24,2023/10/26,"Government Communication and Information
System (GCIS)",Public Notice and Gazzette(Reducing Food Losses and Waste),"Arena Holdings, Medai24 and Vukuzenzele","R 113 965,20",The medium selected will best meet the intended largest audience,2023/10/19,2023/10/18,2023/10/31,,
248,Q3 2023/24,2023/10/26,"Government Communication and Information
System (GCIS)",Public Education and Awareness 2023/24(Recycling Littering Campaign),"Cape Media, Highbury Media, Media24 and ESAT TV","R 348 115,35",The medium selected will best meet the intended largest audience,2023/10/19,2023/11/01,2023/11/01,,
249,Q3 2023/24,2023/10/31,"Government Communication and Information
System (GCIS)",GCIS PLL Northern Cape - October Transport Month 2023,Not indicated,"R 97 605,00",The medium selected will best meet the intended largest audience,2023/07/14,2023/07/17,2023/09/30,,
250,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",SASSETA: AGM,Media 24,"R 25 668,00",The medium selected will best meet the intended largest audience,2023/10/26,2023/10/29,2023/10/29,,
251,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",DHET: Recruitment,Arena Holding,"R 252 816,00",The medium selected will best meet the intended largest audience,2023/10/26,2023/10/29,2023/10/29,,
252,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",GCIS -EC: District Development Model,"Alfred Nzo, Ekhephini, Engcobo FM, Ingwane FM,
Isanjonisi FM, Kumkani FM, Ngqushwa FM,Nkqubela
FM,Oasis FM","R 315 000,00",The medium selected will best meet the intended largest audience,2023/10/26,2023/11/01,2023/03/24,,
253,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",DFFE: National Forest ACT,Media 24,"R 67 620,00",The medium selected will best meet the intended largest audience,2023/10/27,2023/10/29,2023/10/29,,
254,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",DOJ: Information Regulator,"Isanjonisi FM, Nkqubela FM ,IFM , Oasis FM , Ekhephini
FM, Link FM , Vukani FM , Alfred Nzo , Megazom
,Ngubeko FM , North Coast Radio , GNCR, Harry Gwala
,Hit FM , Pongola FM, Ukhahlamba FM , Izwi Lomzansi ,
Radio Khwezi , Capital Live , Commuter FM ,Eastwave ,
Ekurhuleni , Eldos , Impact FM , Pheli FM , Radio Pulpit ,
Rainbow FM , Vaal , Westbury . Revival , Kaboesna ,
Riverside < radio NFM , Ulwazi , 7441 FM ,Atlantis ,
Helderberg , MFM , Namakwaland , Overberg , Radio 789 ,
voC , Whalecoast , WRFM, FMR, BBR, Kanyamzane
,Ligwa FM, Mkhondo FM , Botlokwa FM , Makhado FM ,
Mohodi FM , Radio Turf, Sekhukhune FM, Thabangtsho
FM, Tubatse FM , Zebediela FM,Aganang FM , Bojanala
FM , Life FM, Radio Mmabatho FM ,Pulse fm , Ratlou FM ,
Star , KSFM , CUT, Qwa-Qwa , Vuka FM","R 228 000,00",The medium selected will best meet the intended largest audience,2023/10/27,2023/10/31,2023/11/01,,
255,Q3 2023/24,2023/11/02,"Government Communication and Information
System (GCIS)",GCIS - Gauteng : Communication Service Agency,"Commuter fm, Impact, Lekoa, Pheli, Rainbow, Sedibeng
and Umphakathi","R 113 688,00",The medium selected will best meet the intended largest audience,2023/10/31,2023/11/01,2023/11/01,,
256,Q3 2023/24,2023/11/17,"Government Communication and Information
System (GCIS)",PLL WestenC RADIO: National Prority Campaigns,"Heart beat fm,Eden Fm, Whale Coast Fm,Radio 786,Radio
Atlantis, WRFM (Witzenberg Fm),Lj Projects(Paarl
Fm,)Radio Namakwaland , Tambo Community radio , radio
Helderberg , 7441 Fm , Radio kC","R 108 000,00",The medium selected will best meet the intended largest audience,2023/11/10,2023/11/14,2024/02/29,,
257,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",UIF: Recruitment,"Arena Holding , Media24","R 124 976,05",The medium selected will best meet the intended largest audience,2023/11/15,2023/11/29,2023/11/29,,
258,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",DFFE: Industry Waste Tyre Management Plan,"Arena Holding , Media25","R 85 732,50",The medium selected will best meet the intended largest audience,2023/11/17,2023/11/16,2023/11/19,,
259,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",DOJ: Lay Persons Database Recruitment Campaign,"Arena Holding , Media24 ,Brand Edge Media Advertising
Service ,Vukuzenzele","R 168 074,68",The medium selected will best meet the intended largest audience,2023/11/17,2023/11/19,2023/11/20,,
260,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",DOJ: Phuthaditsaba imbizo,"Qwaqwa Radio ,Mosupatsela FM","R 85 000,00",The medium selected will best meet the intended largest audience,2023/11/17,2023/11/17,2023/11/17,,
261,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",DFFE: Coastal Waters Discharge Permits,"Arena Holding , Media24 ,Brand Edge Media Advertising
Service ,Vukuzenzele","R 65 258,03",The medium selected will best meet the intended largest audience,2023/11/17,2023/11/19,2023/11/20,,
262,Q3 2023/24,2023/11/27,"Government Communication and Information
System (GCIS)",NPA: Tender Notice Week (2023),"Arena Holding , Media24","R 38 124,80",The medium selected will best meet the intended largest audience,2023/11/17,2023/11/19,2023/11/20,,
263,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",DFFE: Licensing Authority for Classification of Landfills),"Arena Holding , Brand Edge Media Advertising Service,
Kweda Media, Media24 and Vuk'uzenzele","R 162 774,56",The medium selected will best meet the intended largest audience,2023/11/22,2023/11/24,2023/11/30,,
264,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",GCIS Northern Cape: Community Radio Slots,"Radio Riverside, Revival FM, Ulwazi FM AND Namaqua FM","R 47 855,04",The medium selected will best meet the intended largest audience,2023/11/22,2023/11/24,2024/02/29,,
265,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",GCIS W Cape: 16 days of Activism against women and children virtual dialogue,"Eden FM,","R 9 200,00",The medium selected will best meet the intended largest audience,2023/11/22,2023/11/24,2023/11/24,,
266,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",GCIS North West: National Priority Campaigns Community Radio Interviews and Live Reads,"Mahikeng FM, Mmabatho FM, Ratlou FM, Bojanala FM and
Life FM","R 45 400,00",The medium selected will best meet the intended largest audience,2023/11/22,2023/12/07,2024/02/13,,
267,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",Traditional Affairs: Customary Initiation Campaign,SABC TV and DABC Radio,"R 685 494,30",The medium selected will best meet the intended largest audience,2023/11/24,2023/11/27,2023/12/15,,
268,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",DFFE: Aquaculture Development Bill,Arena Holdings,"R 11 643,75",The medium selected will best meet the intended largest audience,2023/11/24,2023/11/24,2023/11/24,,
269,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",DFFE: Management of State Forest Plantations,"Arena Holdings, Media24, SABC, Eastern Province
Community Print Media, Khanimambo Phofula Golden
Highway Voice, Kwanza Communications, Community
Newspapers Initiative and Zinkonji Communications","R 828 313,08",The medium selected will best meet the intended largest audience,2023/11/24,2023/11/26,2023/11/28,,
270,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",IPID: Profiling the IPID 2023 Campaign,"Gagasi FM, Heart FM, Mediamark, Motswako Media, MSG
Group Sales, Primedia Broadcasting, SABC, United
Stations and YFM","R 3 766 907,13",The medium selected will best meet the intended largest audience,2023/11/24,2023/11/25,2023/12/10,,
271,Q3 2023/24,2023/12/04,"Government Communication and Information
System (GCIS)",DFFE: Cites Ammendments,"Arena Holding , Media24, Brand Edge Media Advertising
Services and Citizens","R 150 669,85",The medium selected will best meet the intended largest audience,2023/11/22,2023/11/23,2023/11/30,,
272,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",GCIS Limpopo: Community Radio Slots,"Tubatse Fm, Makhado Fm, Moletsi Fm , Mokopane Fm,
Zebediela Fm, Turf Fm, Sekhukhune Fm, Vision
Fm,Perfect FM","R 36 950,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/01,2024/01/31,,
273,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",GCIS Mpumalang: National priority campaigns,"Moutse ,Mkhondo,K Radio ,Bushbuckridge Radio, R
FM,Nkomazi","R 36 000,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/02,2023/12/31,,
274,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",GCIS Free state: National priority campaigns,"Cut FM, Free state","R 33 068,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/01,2024/02/28,,
275,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",Gauteng: Gender based violence and femicide,"Capital , Commuter, Impact , Lekoa , Pheli
,Sedibeng,Umphakathi","R 36 790,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/01,2023/12/31,,
276,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",DFFE : Financial Provisioning Regulation notice,Arena Holdings,"R 20 700,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/04,2023/12/04,,
277,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",SASSETA:Recruitment Week,Arena Holdings,"R 35 552,25",The medium selected will best meet the intended largest audience,2023/12/01,2024/12/03,2023/12/03,,
278,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",DHET: Rural Development Programme,"Arena Holdings, Media24, BEMAS, Fundudzi Media","R 156 689,80",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/01,2023/12/03,,
279,Q3 2023/24,2023/12/07,"Government Communication and Information
System (GCIS)",DTA: Customary Initiation Campaign The appointment of a service provider for an ICT Enterprise Resource Planning system,"Ekhephini Fm,Engcobo Fm, Kouga Fm,Isajonisi Fm,Vukani
Fm, UCR ,Link Fm, Alfrednzo, Ingwane Fm","R 3 766 907,13",The medium selected will best meet the intended largest audience,2023/12/01,2024/11/27,2023/11/27,,
280,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",DMV:Department Services Campaign,SABC Radio and Television,"R 645 840,00",The medium selected will best meet the intended largest audience,2023/12/06,2023/12/08,2023/12/31,,
281,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",UIF :Benefit,"Mediamark,Motswako, MSG Group sale , Primedia
Broadcasting, Radio Gagasi , Radio Heart, sabc , United
station , YFM","R 477 066 163,00",The medium selected will best meet the intended largest audience,2023/12/06,2023/12/08,2023/12/31,,
282,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",GCIS PLL KZN: Awareness on Safer Festive Season,"Izwi lomzansi,Mbokodo fm, Ntokozo fm, Inanda fm, Good
news community Radio, Vibe fm,Nqubeko Radio , Radio
Sunny South, Ugu Youth Radio , Icora fm, uThungulu
youth Radio , North Coast Radio,Hit fm, NN Community
Radio, Maputaland Radio , Rise FM, Khwezi FM,Abaqulusi
Fm, Zululand FM, Nongoma FM, Harry Gwala fm,
Umgungundlovu","R 174 953,11",The medium selected will best meet the intended largest audience,2023/12/06,2023/12/07,2024/02/29,,
283,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",GCIS PLL Western Cape: Campaigns Interviews and Live Reads,"Whale Coast fm,Radio 786, Radio Atlantis, WRFM ,Radio
Namakwaland ,Tambo Community Radio ,Radio
Helderberg, 7441 FM","R 144 000,00",The medium selected will best meet the intended largest audience,2023/12/06,2023/12/01,2023/12/31,,
284,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",NCR:OB Mountain Mill Mall,Worcester FM,"R 50 000,00",The medium selected will best meet the intended largest audience,2023/12/07,2023/12/08,2023/12/08,,
285,Q3 2023/24,2023/12/11,"Government Communication and Information
System (GCIS)",GCIS PLL Free State : National priority campaigns (QWAQWA),QwaQwa,"R 16 534,00",The medium selected will best meet the intended largest audience,2023/12/01,2023/12/03,2023/12/03,,
286,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",Mall Activations Community Radio,"Highway Radio, Hit FM, Inanda FM, Izei Lomnzansi,
Maputaland, Megazone, Nongoma FM, Radio Sunny
South, Rise FM, GNCR, KZN, Pongoloa FM, Radio
Khwezi, Umgungundlovu FM, Uthungula and Zululand","R 125 197,30",The medium selected will best meet the intended largest audience,2023/09/15,2023/09/15,2023/09/16,,
287,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",ICVPS,Vuk'uzenzele,"R 23 076,80",The medium selected will best meet the intended largest audience,2023/09/15,2023/09/15,2023/09/30,,
288,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",Sasseta Recruitment,Arena Holdings,"R 35 552,25",The medium selected will best meet the intended largest audience,2023/09/15,2023/09/17,2023/09/17,,
289,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",Department of Employment and Labour: Employment Equity 2023,"Arena Holdings, Media24, Brand Edge Media Advertising
and Vuk'uzenzele","R 549 204,59",The medium selected will best meet the intended largest audience,2023/09/15,2023/09/18,2023/09/30,,
290,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",Mall Activations Commercial Radio,GH Group and SABC,"R 562 504,50",The medium selected will best meet the intended largest audience,2023/09/15,2023/09/16,2023/09/19,,
291,Q3 2023/24,2023/09/21,"Government Communication and Information
System (GCIS)",Cluster Communication,Catering for GCF,"R 19 500,00","Deviating from normal procurement process as per the GCIS Catering
Policy",2023/09/14,2023/09/15,2023/09/15,,
292,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",DSAC: Heritage Month Campaign 2023,"SABC TV, SABC Radio and GH Media","R 998 093,00",The medium selected will best meet the intended largest audience,2023/09/21,2023/09/21,2023/09/30,,
293,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",GCIS: Government Priorities Campaigns 2023/24,"Red October, Renafela","R 349 976,15",The medium selected will best meet the intended largest audience,2023/09/21,2023/09/26,2023/10/26,,
